actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
95,PT05M15.00S,2020-01-14T00:55:41.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612741,16,9,2020-01-14T00:55:49Z,930000,,,0,,L. Markkanen REBOUND (Off:1 Def:2),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,94.0,3.0,2.0,1.0,,,,,,,,,,,,,
96,PT05M11.00S,2020-01-14T00:55:47.2Z,1,REGULAR,foul,personal,[],203935,,,1610612741,16,9,2020-01-14T00:56:04Z,940000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 203897]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1199.0,1.0,0.0,LaVine,203897.0,,,,,,,,
98,PT04M54.00S,2020-01-14T00:56:23.3Z,1,REGULAR,3pt,jumpshot,[],203897,36.61300919842313,73.10814950980392,1610612741,16,9,2020-01-14T00:56:36Z,960000,-116.0,292.0,1,left,MISS Z. LaVine 32' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,31.89,Missed,,,,,,,,,,,,,,,,,,
99,PT04M52.00S,2020-01-14T00:56:25.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,16,9,2020-01-14T00:56:36Z,970000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,
100,PT04M44.00S,2020-01-14T00:56:33.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.9060446780552,48.84344362745098,1610612738,18,9,2020-01-14T00:56:43Z,980000,-6.0,5.0,1,right,K. Walker layup (5 PTS) (G. Hayward 3 AST),"[202689, 202330]",1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,1.18,Made,5.0,,,,,,,,,,G. Hayward,202330.0,3.0,,,,,
102,PT04M17.00S,2020-01-14T00:57:00.5Z,1,REGULAR,3pt,jumpshot,[],1629632,30.305519053876477,71.6375612745098,1610612741,18,9,2020-01-14T00:57:10Z,1000000,-108.0,232.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
103,PT04M15.00S,2020-01-14T00:57:02.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,18,9,2020-01-14T00:57:10Z,1010000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,
104,PT04M15.00S,2020-01-14T00:57:07.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,18,9,2020-01-14T00:57:07Z,1020000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M02.00S,2020-01-14T00:57:23.6Z,1,REGULAR,2pt,jumpshot,[],202330,86.81011826544021,33.15716911764706,1610612738,18,9,2020-01-14T00:57:33Z,1030000,-84.0,71.0,1,right,MISS G. Hayward 11' jumpshot,[202330],1610612738.0,BOS,turnaroundfadeaway,,,Hayward,G. Hayward,,,,,11.41,Missed,,,,,,,,,,,,,,,,,,
106,PT04M00.00S,2020-01-14T00:57:25.6Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612741,18,9,2020-01-14T00:57:33Z,1040000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,
107,PT03M50.00S,2020-01-14T00:57:35.8Z,1,REGULAR,3pt,jumpshot,[],1628436,26.888961892247043,17.96109068627451,1610612741,18,9,2020-01-14T01:03:59Z,1050000,160.0,200.0,1,left,MISS L. Kornet 26' 3PT,[1628436],1610612741.0,CHI,stepback,,,Kornet,L. Kornet,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
108,PT03M48.00S,2020-01-14T00:57:37.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,9,2020-01-14T00:57:45Z,1060000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,
109,PT03M40.00S,2020-01-14T00:57:45.0Z,1,REGULAR,3pt,jumpshot,[],202689,67.23061760840999,49.333639705882355,1610612738,21,9,2020-01-14T01:04:45Z,1070000,-3.0,256.0,1,right,K. Walker 26' 3PT  (8 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,26.1,Made,8.0,,,,,,,,,,M. Smart,203935.0,1.0,,,,,
111,PT03M38.00S,2020-01-14T00:57:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,21,9,2020-01-14T00:57:51Z,1090000,,,0,,timeout full,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M38.00S,2020-01-14T00:57:53.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612741,21,9,2020-01-14T01:00:26Z,1100000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M38.00S,2020-01-14T00:57:53.3Z,1,REGULAR,substitution,out,[],1628374,,,1610612741,21,9,2020-01-14T01:00:26Z,1110000,,,0,,substitution out Markkanen,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M38.00S,2020-01-14T00:57:53.3Z,1,REGULAR,substitution,in,[],1628400,,,1610612741,21,9,2020-01-14T01:00:26Z,1120000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M38.00S,2020-01-14T00:57:53.3Z,1,REGULAR,substitution,in,[],201152,,,1610612741,21,9,2020-01-14T01:00:26Z,1130000,,,0,,substitution in Young,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M28.00S,2020-01-14T01:00:51.1Z,1,REGULAR,turnover,outofbounds,[],203897,,,1610612741,21,9,2020-01-14T01:01:05Z,1140000,,,0,,Z. LaVine TURNOVER outofbounds (1 TOV),[203897],1610612741.0,CHI,badpass,,,LaVine,Z. LaVine,,,,,,,,,,,,1204.0,,,,,,,,1.0,,,,
117,PT03M13.00S,2020-01-14T01:01:11.5Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1629684,84.05059132720105,48.84344362745098,1610612738,21,9,2020-01-14T01:01:23Z,1150000,-6.0,97.0,1,right,MISS G. Williams 10' jumpshot,[1629684],1610612738.0,BOS,floating,,,Williams,G. Williams,,,,,10.31,Missed,,,,,,,,,,,,,,,,,,
118,PT03M11.00S,2020-01-14T01:01:13.5Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612741,21,9,2020-01-14T01:01:23Z,1160000,,,0,,K. Dunn REBOUND (Off:0 Def:3),[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,117.0,3.0,3.0,0.0,,,,,,,,,,,,,
119,PT03M02.00S,2020-01-14T01:01:23.3Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612741,21,9,2020-01-14T01:01:41Z,1170000,,,0,,G. Williams FOUL personal (1 PF) (Dunn 2freethrow),"[1629684, 1627739]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,1193.0,1.0,0.0,Dunn,1627739.0,,,,,,,,
121,PT03M02.00S,2020-01-14T01:01:50.7Z,1,REGULAR,freethrow,1of2,[],1627739,,,1610612741,21,9,2020-01-14T01:01:50Z,1190000,,,0,,MISS K. Dunn freethrow 1of2,[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,Missed,,,,,,,,,,,,,,,,,,
122,PT03M02.00S,2020-01-14T01:01:50.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,21,9,2020-01-14T01:01:50Z,1200000,,,0,,Team offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,
123,PT03M02.00S,2020-01-14T01:01:51.8Z,1,REGULAR,substitution,out,[],202689,,,1610612741,21,9,2020-01-14T01:02:05Z,1210000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M02.00S,2020-01-14T01:01:51.8Z,1,REGULAR,substitution,out,[],203897,,,1610612741,21,9,2020-01-14T01:02:05Z,1220000,,,0,,substitution out LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M02.00S,2020-01-14T01:01:51.8Z,1,REGULAR,substitution,in,[],202954,,,1610612741,21,9,2020-01-14T01:02:05Z,1230000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M02.00S,2020-01-14T01:01:51.8Z,1,REGULAR,substitution,in,[],1628990,,,1610612741,21,9,2020-01-14T01:02:05Z,1240000,,,0,,substitution in Hutchison,[1628990],1610612741.0,CHI,,,,Hutchison,C. Hutchison,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M02.00S,2020-01-14T01:02:10.0Z,1,REGULAR,freethrow,2of2,[],1627739,,,1610612741,21,10,2020-01-14T01:02:10Z,1250000,,,0,,K. Dunn freethrow 2of2 (1 PTS),[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
128,PT02M50.00S,2020-01-14T01:02:24.7Z,1,REGULAR,2pt,jumpshot,[],202330,79.31997371879106,51.294424019607845,1610612738,21,10,2020-01-14T01:02:37Z,1260000,6.0,142.0,1,right,MISS G. Hayward 15' jumpshot,[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,14.75,Missed,,,,,,,,,,,,,,,,,,
129,PT02M46.00S,2020-01-14T01:02:28.7Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,21,10,2020-01-14T01:02:37Z,1270000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,128.0,1.0,0.0,1.0,,,,,,,,,,,,,
130,PT02M45.00S,2020-01-14T01:02:29.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629684,91.93495400788436,47.86305147058824,1610612738,23,10,2020-01-14T01:02:44Z,1280000,-11.0,23.0,1,right,G. Williams layup (2 PTS),[1629684],1610612738.0,BOS,putback,,,Williams,G. Williams,,,,,3.07,Made,2.0,,,,,,,,,,,,,,,,,
131,PT02M26.00S,2020-01-14T01:02:48.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628990,7.703679369250986,56.93167892156863,1610612741,23,10,2020-01-14T01:02:55Z,1290000,-35.0,20.0,1,left,MISS C. Hutchison layup,[1628990],1610612741.0,CHI,drivingfingerroll,,,Hutchison,C. Hutchison,,,,,4.3,Missed,,,,,,,,,,,,,,,,,,
132,PT02M24.00S,2020-01-14T01:02:50.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,23,10,2020-01-14T01:02:55Z,1300000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,131.0,2.0,2.0,0.0,,,,,,,,,,,,,
133,PT02M19.00S,2020-01-14T01:02:55.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,94.30026281208936,4.725796568627451,1610612738,26,10,2020-01-14T01:03:03Z,1310000,-226.0,1.0,1,right,M. Smart 23' 3PT  (3 PTS) (B. Wanamaker 1 AST),"[203935, 202954]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.65,Made,3.0,,,,,,,,,,B. Wanamaker,202954.0,1.0,,,,,
135,PT02M02.00S,2020-01-14T01:03:12.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627739,7.30946123521682,43.69638480392157,1610612741,26,12,2020-01-14T01:03:31Z,1330000,32.0,16.0,1,left,K. Dunn layup (3 PTS) (C. White 1 AST),"[1627739, 1629632]",1610612741.0,CHI,driving,,,Dunn,K. Dunn,,,,,3.83,Made,3.0,,,,,,,,,,C. White,1629632.0,1.0,,,,,
136,PT01M39.00S,2020-01-14T01:03:35.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,88.51839684625493,60.60814950980392,1610612738,26,12,2020-01-14T01:03:46Z,1340000,53.0,55.0,1,right,MISS G. Hayward 8' layup Blocked,"[202330, 1628990]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,8.07,Missed,,,,,,,,,,,,,,,,,Hutchison,1628990.0
137,PT01M39.00S,2020-01-14T01:03:35.1Z,1,REGULAR,block,,[],1628990,,,1610612738,26,12,2020-01-14T01:03:38Z,1350000,,,0,,C. Hutchison BLOCK (1 BLK),[1628990],1610612741.0,CHI,,,,Hutchison,C. Hutchison,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M35.00S,2020-01-14T01:03:39.1Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,26,12,2020-01-14T01:03:46Z,1360000,,,0,,G. Williams REBOUND (Off:2 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,136.0,2.0,0.0,2.0,,,,,,,,,,,,,
139,PT01M33.00S,2020-01-14T01:03:41.6Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",202954,85.23324572930355,62.07873774509803,1610612738,26,12,2020-01-14T01:03:53Z,1370000,60.0,86.0,1,right,MISS B. Wanamaker 11' jumpshot,[202954],1610612738.0,BOS,turnaround,,,Wanamaker,B. Wanamaker,,,,,10.99,Missed,,,,,,,,,,,,,,,,,,
140,PT01M31.00S,2020-01-14T01:03:43.6Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612741,26,12,2020-01-14T01:04:00Z,1380000,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,139.0,2.0,2.0,0.0,,,,,,,,,,,,,
141,PT01M17.00S,2020-01-14T01:03:57.8Z,1,REGULAR,2pt,jumpshot,[],1629632,15.588042049934298,28.745404411764707,1610612741,26,14,2020-01-14T01:04:13Z,1390000,106.0,94.0,1,left,C. White 15' jumpshot (2 PTS),[1629632],1610612741.0,CHI,drivingfloatingbank,,,White,C. White,,,,,14.56,Made,2.0,,,,,,,,,,,,,,,,,
142,PT00M54.50S,2020-01-14T01:04:24.5Z,1,REGULAR,turnover,outofbounds,[],1629684,,,1610612738,26,14,2020-01-14T01:04:32Z,1400000,,,0,,G. Williams TURNOVER outofbounds (1 TOV),[1629684],1610612738.0,BOS,badpass,,,Williams,G. Williams,,,,,,,,,,,,1204.0,,,,,,,,1.0,,,,
143,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,out,[],1629684,,,1610612741,26,14,2020-01-14T01:04:44Z,1410000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,out,[],1628436,,,1610612741,26,14,2020-01-14T01:04:44Z,1420000,,,0,,substitution out Kornet,[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,out,[],1627739,,,1610612741,26,14,2020-01-14T01:04:44Z,1430000,,,0,,substitution out Dunn,[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,in,[],202683,,,1610612741,26,14,2020-01-14T01:04:44Z,1440000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,in,[],1629655,,,1610612741,26,14,2020-01-14T01:04:44Z,1450000,,,0,,substitution in Gafford,[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,in,[],1627853,,,1610612741,26,14,2020-01-14T01:04:44Z,1460000,,,0,,substitution in Arcidiacono,[1627853],1610612741.0,CHI,,,,Arcidiacono,R. Arcidiacono,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,out,[],202330,,,1610612741,26,14,2020-01-14T01:04:51Z,1470000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M54.50S,2020-01-14T01:04:28.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612741,26,14,2020-01-14T01:04:51Z,1480000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M34.50S,2020-01-14T01:05:07.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629632,15.062417871222076,94.18658088235294,1610612741,26,14,2020-01-14T01:05:15Z,1490000,-221.0,89.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,24.03,Missed,,,,,,,,,,,,,,,,,,
152,PT00M32.90S,2020-01-14T01:05:09.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,26,14,2020-01-14T01:05:15Z,1500000,,,0,,E. Kanter REBOUND (Off:1 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,151.0,5.0,4.0,1.0,,,,,,,,,,,,,
153,PT00M25.20S,2020-01-14T01:05:18.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201152,,,1610612738,26,14,2020-01-14T01:05:25Z,1510000,,,0,,T. Young FOUL personal (1 PF) (Tatum inpenalty),"[201152, 1628369]",1610612741.0,CHI,shooting,,,Young,T. Young,,,,,,,,,,,,1193.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
155,PT00M25.20S,2020-01-14T01:05:39.8Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,27,14,2020-01-14T01:05:39Z,1530000,,,0,,J. Tatum freethrow 1of2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
156,PT00M25.20S,2020-01-14T01:05:41.7Z,1,REGULAR,substitution,out,[],202683,,,1610612738,27,14,2020-01-14T01:05:52Z,1540000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M25.20S,2020-01-14T01:05:41.7Z,1,REGULAR,substitution,out,[],1629655,,,1610612738,27,14,2020-01-14T01:05:52Z,1550000,,,0,,substitution out Gafford,[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M25.20S,2020-01-14T01:05:41.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,27,14,2020-01-14T01:05:52Z,1560000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M25.20S,2020-01-14T01:05:41.7Z,1,REGULAR,substitution,in,[],1628374,,,1610612738,27,14,2020-01-14T01:05:52Z,1570000,,,0,,substitution in Markkanen,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M25.20S,2020-01-14T01:06:08.2Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,28,14,2020-01-14T01:06:08Z,1580000,,,0,,J. Tatum freethrow 2of2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
161,PT00M03.10S,2020-01-14T01:06:34.6Z,1,REGULAR,3pt,jumpshot,[],201152,29.517082785808146,23.108149509803923,1610612741,28,14,2020-01-14T01:07:01Z,1590000,134.0,225.0,1,left,MISS T. Young 27' 3PT,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,
162,PT00M01.10S,2020-01-14T01:06:36.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,28,14,2020-01-14T01:07:01Z,1600000,,,0,,G. Williams REBOUND (Off:2 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,161.0,3.0,1.0,2.0,,,,,,,,,,,,,
163,PT00M00.00S,2020-01-14T01:06:40.6Z,1,REGULAR,period,end,[],0,,,1610612738,28,14,2020-01-14T01:06:40Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2020-01-14T01:08:07.4Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,28,14,2020-01-14T01:09:09Z,1620000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2020-01-14T01:08:07.4Z,2,REGULAR,substitution,out,['startperiod'],1628374,,,1610612738,28,14,2020-01-14T01:09:09Z,1630000,,,0,,substitution out Markkanen,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2020-01-14T01:08:07.4Z,2,REGULAR,substitution,in,['startperiod'],202683,,,1610612738,28,14,2020-01-14T01:09:09Z,1640000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2020-01-14T01:08:07.4Z,2,REGULAR,substitution,in,['startperiod'],1629655,,,1610612738,28,14,2020-01-14T01:09:09Z,1650000,,,0,,substitution in Gafford,[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2020-01-14T01:09:20.6Z,2,REGULAR,period,start,[],0,,,1610612741,28,14,2020-01-14T01:09:20Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M45.00S,2020-01-14T01:09:34.7Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628990,8.229303547963205,54.970894607843135,1610612741,28,14,2020-01-14T01:09:45Z,1670000,-25.0,25.0,1,left,MISS C. Hutchison layup,[1628990],1610612741.0,CHI,driving,,,Hutchison,C. Hutchison,,,,,3.93,Missed,,,,,,,,,,,,,,,,,,
171,PT11M42.00S,2020-01-14T01:09:37.4Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,28,14,2020-01-14T01:09:37Z,1680000,,,0,,E. Kanter REBOUND (Off:1 Def:5),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,170.0,6.0,5.0,1.0,,,,,,,,,,,,,
172,PT11M27.00S,2020-01-14T01:09:52.4Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,89.96386333771353,45.90226715686275,1610612738,28,14,2020-01-14T01:10:02Z,1690000,-20.0,42.0,1,right,MISS E. Kanter hook,[202683],1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,5.16,Missed,,,,,,,,,,,,,,,,,,
173,PT11M25.00S,2020-01-14T01:09:54.4Z,2,REGULAR,rebound,defensive,[],1628990,,,1610612741,28,14,2020-01-14T01:10:02Z,1700000,,,0,,C. Hutchison REBOUND (Off:0 Def:1),[1628990],1610612741.0,CHI,,,,Hutchison,C. Hutchison,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,
174,PT11M04.00S,2020-01-14T01:10:15.1Z,2,REGULAR,3pt,jumpshot,[],201152,28.33442838370565,78.25520833333334,1610612741,28,17,2020-01-14T01:10:23Z,1710000,-141.0,214.0,1,left,T. Young 26' 3PT  (3 PTS),[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,26.09,Made,3.0,,,,,,,,,,,,,,,,,
175,PT10M45.00S,2020-01-14T01:10:33.9Z,2,REGULAR,3pt,jumpshot,[],1628369,76.69185282522996,85.60814950980392,1610612738,28,17,2020-01-14T01:11:39Z,1720000,178.0,167.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,24.76,Missed,,,,,,,,,,,,,,,,,,
176,PT10M42.00S,2020-01-14T01:10:36.9Z,2,REGULAR,rebound,offensive,[],1628400,,,1610612738,28,17,2020-01-14T01:10:42Z,1730000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,175.0,1.0,0.0,1.0,,,,,,,,,,,,,
177,PT10M40.00S,2020-01-14T01:10:39.1Z,2,REGULAR,2pt,jumpshot,['2ndchance'],202954,74.32654402102497,30.95128676470588,1610612738,28,17,2020-01-14T01:10:46Z,1740000,-95.0,189.0,1,right,MISS B. Wanamaker 22' jumpshot,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,21.64,Missed,,,,,,,,,,,,,,,,,,
178,PT10M38.00S,2020-01-14T01:10:41.1Z,2,REGULAR,rebound,defensive,[],1627853,,,1610612741,28,17,2020-01-14T01:10:46Z,1750000,,,0,,R. Arcidiacono REBOUND (Off:0 Def:1),[1627853],1610612741.0,CHI,,,,Arcidiacono,R. Arcidiacono,,,,,,,,177.0,1.0,1.0,0.0,,,,,,,,,,,,,
179,PT10M30.00S,2020-01-14T01:10:50.1Z,2,REGULAR,3pt,jumpshot,[],1629632,23.99802890932983,12.323835784313726,1610612741,28,17,2020-01-14T01:11:15Z,1760000,188.0,173.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
180,PT10M26.00S,2020-01-14T01:10:54.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612741,28,17,2020-01-14T01:11:29Z,1770000,,,0,,Team offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,
181,PT10M26.00S,2020-01-14T01:11:06.8Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612741,28,17,2020-01-14T01:11:06Z,1780000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
