actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
33,PT10M01.00S,2020-07-29T00:09:08.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,7.440867279894875,48.84344362745098,1610612738,0,7,2020-07-29T00:09:21Z,330000,6.0,17.0,1,left,R. Williams III layup (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,2.36,Made,4.0,,,,,,,,,,,,,,,,,
34,PT09M47.00S,2020-07-29T00:09:21.7Z,1,REGULAR,3pt,jumpshot,[],201569,76.69185282522996,85.85324754901961,1610612745,0,7,2020-07-29T00:09:27Z,340000,179.0,167.0,1,right,MISS E. Gordon 25' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,
35,PT09M44.00S,2020-07-29T00:09:24.7Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,0,7,2020-07-29T00:09:27Z,350000,,,0,,B. Wanamaker REBOUND (Off:0 Def:2),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,
36,PT09M39.00S,2020-07-29T00:09:29.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202954,29.38567674113009,72.86305147058823,1610612738,0,10,2020-07-29T00:09:35Z,360000,-114.0,224.0,1,left,B. Wanamaker 26' 3PT  (3 PTS),[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,25.61,Made,3.0,,,,,,,,,,,,,,,,,
37,PT09M26.00S,2020-07-29T00:09:45.5Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612745,0,10,2020-07-29T00:09:53Z,370000,,,0,,R. Williams III FOUL personal (1 PF) (Harden 2freethrow),"[1629057, 201935]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Harden,201935.0,,
39,PT09M26.00S,2020-07-29T00:10:05.3Z,1,REGULAR,freethrow,1of2,[],201935,,,1610612745,1,10,2020-07-29T00:10:05Z,390000,,,0,,J. Harden freethrow 1of2 (1 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
40,PT09M26.00S,2020-07-29T00:10:17.3Z,1,REGULAR,freethrow,2of2,[],201935,,,1610612745,2,10,2020-07-29T00:10:17Z,400000,,,0,,J. Harden freethrow 2of2 (2 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
41,PT09M10.00S,2020-07-29T00:10:35.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629641,5.732588699080158,54.48069852941176,1610612738,2,10,2020-07-29T00:10:40Z,410000,-22.0,1.0,1,left,MISS R. Langford layup,[1629641],1610612738.0,BOS,drivingreverse,,,Langford,R. Langford,,,,,2.34,Missed,,,,,,,,,,,,,,,,,,
42,PT09M07.00S,2020-07-29T00:10:38.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612745,2,10,2020-07-29T00:10:40Z,420000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT09M04.00S,2020-07-29T00:10:42.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",201569,93.9060446780552,47.372855392156865,1610612745,4,10,2020-07-29T00:10:53Z,430000,-13.0,5.0,1,right,E. Gordon layup (2 PTS) (J. Harden 1 AST),"[201569, 201935]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,1.67,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
45,PT08M47.00S,2020-07-29T00:10:59.4Z,1,REGULAR,3pt,jumpshot,[],1628400,27.94021024967148,78.01011029411765,1610612738,4,13,2020-07-29T00:11:03Z,450000,-140.0,210.0,1,left,S. Ojeleye 26' 3PT  (3 PTS) (C. Edwards 1 AST),"[1628400, 1629035]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.71,Made,3.0,C. Edwards,1629035.0,1.0,,,,,,,,,,,,,,
