actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
55,PT07M26.00S,2019-12-21T00:46:59.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,11,13,2019-12-21T00:47:03Z,550000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,
56,PT07M06.00S,2019-12-21T00:47:17.7Z,1,REGULAR,2pt,jumpshot,[],1628369,16.869250985545335,20.029105392156865,1610612738,13,13,2019-12-21T00:47:22Z,560000,150.0,106.0,1,left,J. Tatum 19' jumpshot (7 PTS),[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,18.69,Made,7.0,,,,,,,,,,,,,,,,,,
57,PT06M58.00S,2019-12-21T00:47:29.3Z,1,REGULAR,turnover,outofbounds,[],203503,,,1610612765,13,13,2019-12-21T00:56:34Z,570000,,,0,,T. Snell TURNOVER outofbounds (1 TOV),[203503],1610612765.0,DET,badpass,,,Snell,T. Snell,,,,,,,,,,,1626301.0,1.0,,,,,,,,,,,,,
58,PT06M58.00S,2019-12-21T00:47:33.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,13,2019-12-21T00:47:33Z,580000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2019-12-21T00:49:55.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,13,13,2019-12-21T00:50:16Z,590000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M58.00S,2019-12-21T00:49:55.2Z,1,REGULAR,substitution,in,[],202683,,,1610612738,13,13,2019-12-21T00:50:16Z,600000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2019-12-21T00:50:35.9Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,17.000657030223394,57.284007352941174,1610612738,13,13,2019-12-21T00:50:46Z,610000,-36.0,107.0,1,left,MISS J. Tatum 12' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,11.85,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2019-12-21T00:50:36.9Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,13,13,2019-12-21T00:50:46Z,620000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,61.0,1.0,0.0,1.0,,,,,,,
63,PT06M45.00S,2019-12-21T00:50:39.9Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",202683,5.0,50.0,1610612738,13,13,2019-12-21T00:51:04Z,630000,0.0,-6.0,1,left,MISS E. Kanter layup,[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2019-12-21T00:50:41.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,13,13,2019-12-21T00:51:04Z,640000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,
65,PT06M40.00S,2019-12-21T00:50:42.2Z,1,REGULAR,2pt,jumpshot,"['fromturnover', '2ndchance']",1627759,20.02299605781866,70.51930147058823,1610612738,15,13,2019-12-21T01:04:57Z,650000,-103.0,136.0,1,left,J. Brown 17' jumpshot (4 PTS),[1627759],1610612738.0,BOS,turnaroundfadeaway,,,Brown,J. Brown,,,,,17.45,Made,4.0,,,,,,,,,,,,,,,,,,
66,PT06M21.00S,2019-12-21T00:51:00.7Z,1,REGULAR,3pt,jumpshot,[],203503,74.81931668856767,85.4702818627451,1610612765,15,13,2019-12-21T00:51:09Z,660000,177.0,184.0,1,right,MISS T. Snell 26' 3PT,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M20.00S,2019-12-21T00:51:01.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,13,2019-12-21T00:51:09Z,670000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,,,
68,PT06M05.00S,2019-12-21T00:51:17.4Z,1,REGULAR,turnover,lostball,[],202683,,,1610612738,15,13,2019-12-21T00:51:22Z,680000,,,0,,E. Kanter TURNOVER lostball (1 TOV) Stolen,"[202683, 203083]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,1.0,Drummond,203083.0,,,,,,,,,,,
69,PT06M05.00S,2019-12-21T00:51:17.4Z,1,REGULAR,steal,,[],203083,,,1610612765,15,13,2019-12-21T00:51:19Z,690000,,,0,,A. Drummond STEAL (2 STL),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M02.00S,2019-12-21T00:51:20.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629004,92.95335085413929,49.93106617647059,1610612765,15,13,2019-12-21T00:51:32Z,700000,0.0,14.0,1,right,MISS S. Mykhailiuk layup,[1629004],1610612765.0,DET,running,,,Mykhailiuk,S. Mykhailiuk,,,,,1.92,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2019-12-21T00:51:21.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,13,2019-12-21T00:51:32Z,720000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,70.0,4.0,3.0,1.0,,,,,,,
