actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
152,PT00M36.10S,2020-03-08T22:34:11.5Z,1,REGULAR,freethrow,1of2,['fastbreak'],1629641,,,1610612738,23,28,2020-03-08T22:34:11Z,1500000,,[BOS] Langford freethrow 1of2: Made (1 PTS),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,: Made,,,,,,,,1.0,,,,,,,,,,,,,,,
153,PT00M36.10S,2020-03-08T22:34:12.6Z,1,REGULAR,substitution,out,[],1629652,,,1610612738,23,28,2020-03-08T22:34:16Z,1510000,,[OKC] substitution Dort replaced by Paul,"[1629652, 101108]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,101108.0,
155,PT00M36.10S,2020-03-08T22:34:26.9Z,1,REGULAR,freethrow,2of2,['fastbreak'],1629641,,,1610612738,24,28,2020-03-08T22:34:26Z,1530000,,[BOS] Langford freethrow 2of2: Made (2 PTS),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
156,PT00M30.20S,2020-03-08T22:34:37.5Z,1,REGULAR,foul,offensive,[],203471,,,1610612760,24,28,2020-03-08T22:34:58Z,1540000,,[OKC] Schroder foul offensive (1 PF),"[203471, 1629641]",1610612760.0,OKC,charge,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Langford,1629641.0,,,
158,PT00M30.20S,2020-03-08T22:34:37.5Z,1,REGULAR,turnover,offensivefoul,[],203471,,,1610612760,24,28,2020-03-08T22:34:37Z,1560000,,[OKC] Schroder offensivefoul turnover (1 TO),[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,1.0,,,,1155.0,,,,,,,
159,PT00M13.90S,2020-03-08T22:35:07.1Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",202954,89.88173455978975,64.79779411764706,1610612738,26,28,2020-03-08T22:35:21Z,1570000,right,[BOS] Wanamaker jumpshot: Made (2 PTS),[202954],1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,8.83,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
160,PT00M04.10S,2020-03-08T22:35:20.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612760,26,28,2020-03-08T22:35:35Z,1580000,,[BOS] Williams foul personal (1 PF) (Adams inpenalty),"[1629684, 203500]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Adams,203500.0,,,
162,PT00M04.10S,2020-03-08T22:35:48.9Z,1,REGULAR,freethrow,1of2,[],203500,,,1610612760,26,29,2020-03-08T22:35:48Z,1600000,,[OKC] Adams freethrow 1of2: Made (3 PTS),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,: Made,,,,,,,,3.0,,,,,,,,,,,,,,,
163,PT00M04.10S,2020-03-08T22:35:48.9Z,1,REGULAR,freethrow,2of2,[],203500,,,1610612760,26,29,2020-03-08T22:36:13Z,1610000,,[OKC] Adams freethrow 2of2: Missed,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M03.50S,2020-03-08T22:35:49.5Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,26,29,2020-03-08T22:36:13Z,1620000,,[BOS] Kanter defensive rebound (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,163.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
165,PT00M01.00S,2020-03-08T22:36:12.4Z,1,REGULAR,3pt,jumpshot,[],1629684,41.606438896189225,44.676776960784316,1610612738,26,29,2020-03-08T22:36:49Z,1630000,right,[BOS] Williams 3pt jumpshot: Missed,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,50.26,: Missed,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M01.00S,2020-03-08T22:36:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,26,29,2020-03-08T22:36:49Z,1640000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,
167,PT00M00.00S,2020-03-08T22:36:16.6Z,1,REGULAR,period,end,[],0,,,1610612738,26,29,2020-03-08T22:36:16Z,1650000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2020-03-08T22:38:22.6Z,2,REGULAR,substitution,out,['startperiod'],101108,,,1610612738,26,29,2020-03-08T22:38:56Z,1660000,,[OKC] substitution Paul replaced by Dort,"[101108, 1629652]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,Dort,1629652.0,
170,PT12M00.00S,2020-03-08T22:38:59.9Z,2,REGULAR,period,start,[],0,,,1610612738,26,29,2020-03-08T22:38:59Z,1680000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M44.00S,2020-03-08T22:39:15.4Z,2,REGULAR,2pt,jumpshot,[],202330,86.5473061760841,70.90226715686273,1610612738,28,29,2020-03-08T22:39:21Z,1690000,right,[BOS] Hayward jumpshot: Made (4 PTS) assist: Kanter (2 AST),"[202330, 202683]",1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,13.13,: Made,,,,,,,,4.0,Kanter,202683.0,2.0,,,,,,,,,,,,
173,PT11M28.00S,2020-03-08T22:39:33.5Z,2,REGULAR,turnover,outofbounds,[],1629652,,,1610612760,28,29,2020-03-08T22:39:46Z,1710000,,[OKC] Dort outofbounds turnover (1 TO),[1629652],1610612760.0,OKC,badpass,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,1.0,,,,2715.0,,,,,,,
174,PT11M28.00S,2020-03-08T22:39:36.4Z,2,REGULAR,substitution,out,[],202954,,,1610612738,28,29,2020-03-08T22:39:40Z,1720000,,[BOS] substitution Wanamaker replaced by Walker,"[202954, 202689]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,202689.0,
176,PT11M17.00S,2020-03-08T22:39:56.9Z,2,REGULAR,2pt,jumpshot,['fromturnover'],202330,79.31997371879106,27.029718137254903,1610612738,30,29,2020-03-08T22:40:03Z,1740000,right,[BOS] Hayward jumpshot: Made (6 PTS) assist: Walker (1 AST),"[202330, 202689]",1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,18.69,: Made,,,,,,,,6.0,Walker,202689.0,1.0,,,,,,,,,,,,
178,PT11M01.00S,2020-03-08T22:40:12.9Z,2,REGULAR,turnover,badpass,[],203471,,,1610612760,30,29,2020-03-08T22:40:23Z,1760000,,[OKC] Schroder badpass turnover (2 TO) Steal: Walker (1 STL),"[203471, 202689]",1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,2.0,Walker,202689.0,1.0,,,,,,,,
180,PT10M59.00S,2020-03-08T22:40:17.9Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202689,94.43166885676742,53.74540441176471,1610612738,30,29,2020-03-08T22:40:39Z,1780000,right,[BOS] Walker layup: Missed Block: Dort (1 BLK),"[202689, 1629652]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.94,: Missed,,,,,Dort,1629652.0,1.0,,,,,,,,,,,,,,,,
182,PT10M58.00S,2020-03-08T22:40:18.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,30,29,2020-03-08T22:40:39Z,1800000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,
183,PT10M58.00S,2020-03-08T22:40:23.5Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,30,29,2020-03-08T22:40:23Z,1810000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M56.00S,2020-03-08T22:40:36.9Z,2,REGULAR,turnover,badpass,[],1629641,,,1610612738,30,29,2020-03-08T22:40:45Z,1820000,,[BOS] Langford badpass turnover (1 TO) Steal: Schroder (1 STL),"[1629641, 203471]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,1.0,Schroder,203471.0,1.0,,,,,,,,
186,PT10M52.00S,2020-03-08T22:40:43.1Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627846,8.09789750328515,44.676776960784316,1610612760,30,29,2020-03-08T22:41:27Z,1840000,left,[OKC] Nader layup: Missed,[1627846],1610612760.0,OKC,running,,,Nader,A. Nader,,,,,3.94,: Missed,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M51.00S,2020-03-08T22:40:44.1Z,2,REGULAR,rebound,offensive,[],1628977,,,1610612760,30,29,2020-03-08T22:41:27Z,1850000,,[OKC] Diallo offensive rebound (Off:1 Def:0),[1628977],1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,,,186.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
188,PT10M51.00S,2020-03-08T22:40:50.2Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', '2ndchance']",1628977,7.966491458607096,51.78462009803921,1610612760,30,29,2020-03-08T22:41:33Z,1860000,left,[OKC] Diallo layup: Missed Block: Williams (1 BLK),"[1628977, 1629684]",1610612760.0,OKC,putback,,,Diallo,H. Diallo,,,,,2.93,: Missed,,,,,Williams,1629684.0,1.0,,,,,,,,,,,,,,,,
190,PT10M50.00S,2020-03-08T22:40:51.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,30,29,2020-03-08T22:41:21Z,1880000,,[OKC] Team offensive rebound,[],1610612760.0,OKC,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,
191,PT10M50.00S,2020-03-08T22:40:55.9Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612760,30,29,2020-03-08T22:40:55Z,1890000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT10M50.00S,2020-03-08T22:41:00.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,30,29,2020-03-08T22:41:00Z,1900000,,[OKC] timeout full,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT10M50.00S,2020-03-08T22:42:58.0Z,2,REGULAR,substitution,out,[],202683,,,1610612760,30,29,2020-03-08T22:43:32Z,1910000,,[BOS] substitution Kanter replaced by Williams III,"[202683, 1629057]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams III,1629057.0,
195,PT10M44.00S,2020-03-08T22:43:51.8Z,2,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",1627846,31.61957950065703,71.39246323529412,1610612760,30,32,2020-03-08T22:43:59Z,1930000,left,[OKC] Nader 3pt shot: Made (3 PTS) assist: Schroder (1 AST),"[1627846, 203471]",1610612760.0,OKC,,,,Nader,A. Nader,,,,,27.21,: Made,,,,,,,,3.0,Schroder,203471.0,1.0,,,,,,,,,,,,
197,PT10M25.00S,2020-03-08T22:44:10.3Z,2,REGULAR,2pt,jumpshot,[],202330,78.40013140604468,41.98069852941176,1610612738,30,32,2020-03-08T22:44:21Z,1950000,right,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,16.11,: Missed,,,,,,,,,,,,,,,,,,,,,,,
198,PT10M23.00S,2020-03-08T22:44:12.3Z,2,REGULAR,rebound,defensive,[],1627846,,,1610612760,30,32,2020-03-08T22:44:21Z,1960000,,[OKC] Nader defensive rebound (Off:0 Def:1),[1627846],1610612760.0,OKC,,,,Nader,A. Nader,,,,,,,197.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
199,PT10M16.00S,2020-03-08T22:44:20.1Z,2,REGULAR,2pt,jumpshot,['fastbreak'],203471,28.07161629434954,46.392463235294116,1610612760,30,34,2020-03-08T22:44:30Z,1970000,left,[OKC] Schroder jumpshot: Made (11 PTS),[203471],1610612760.0,OKC,pullup,,,Schroder,D. Schroder,,,,,21.76,: Made,,,,,,,,11.0,,,,,,,,,,,,,,,
200,PT10M03.00S,2020-03-08T22:44:32.3Z,2,REGULAR,2pt,jumpshot,[],202689,80.89684625492772,74.57873774509804,1610612738,32,34,2020-03-08T22:44:38Z,1980000,right,[BOS] Walker jumpshot: Made (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.08,: Made,,,,,,,,5.0,,,,,,,,,,,,,,,
201,PT09M43.00S,2020-03-08T22:44:53.0Z,2,REGULAR,turnover,badpass,[],1628977,,,1610612760,32,34,2020-03-08T22:45:02Z,1990000,,[OKC] Diallo badpass turnover (1 TO) Steal: Williams (1 STL),"[1628977, 1629684]",1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,1.0,,,,,,,,
203,PT09M41.00S,2020-03-08T22:44:59.2Z,2,REGULAR,foul,personal,[],1628977,,,1610612738,32,34,2020-03-08T22:45:08Z,2010000,,[OKC] Diallo foul personal (1 PF),"[1628977, 1629684]",1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Williams,1629684.0,,,
205,PT09M41.00S,2020-03-08T22:45:06.6Z,2,REGULAR,substitution,out,[],203500,,,1610612738,32,34,2020-03-08T22:45:09Z,2030000,,[OKC] substitution Adams replaced by Noel,"[203500, 203457]",1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,Noel,203457.0,
207,PT09M35.00S,2020-03-08T22:45:26.3Z,2,REGULAR,3pt,jumpshot,['fromturnover'],202689,69.07030223390277,27.27481617647059,1610612738,32,34,2020-03-08T22:45:34Z,2050000,right,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.89,: Missed,,,,,,,,,,,,,,,,,,,,,,,
208,PT09M33.00S,2020-03-08T22:45:28.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612760,32,34,2020-03-08T22:45:34Z,2060000,,[OKC] Team defensive rebound,[],1610612760.0,OKC,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,
209,PT09M33.00S,2020-03-08T22:45:31.8Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612760,32,34,2020-03-08T22:45:31Z,2070000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT09M24.00S,2020-03-08T22:45:56.4Z,2,REGULAR,2pt,jumpshot,[],203471,26.62614980289093,38.794424019607845,1610612760,32,34,2020-03-08T22:46:02Z,2080000,left,[OKC] Schroder jumpshot: Missed,[203471],1610612760.0,OKC,pullup,,,Schroder,D. Schroder,,,,,21.09,: Missed,,,,,,,,,,,,,,,,,,,,,,,
211,PT09M22.00S,2020-03-08T22:45:58.5Z,2,REGULAR,rebound,offensive,[],203457,,,1610612760,32,34,2020-03-08T22:45:58Z,2090000,,[OKC] Noel offensive rebound (Off:1 Def:6),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,210.0,7.0,6.0,1.0,,,,,,,,,,,,,,,,,,,
212,PT09M20.00S,2020-03-08T22:46:00.1Z,2,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",203457,18.610381077529567,52.27481617647059,1610612760,32,34,2020-03-08T22:46:11Z,2100000,left,[OKC] Noel hook: Missed,[203457],1610612760.0,OKC,turnaround,,,Noel,N. Noel,,,,,12.84,: Missed,,,,,,,,,,,,,,,,,,,,,,,
213,PT09M18.00S,2020-03-08T22:46:02.1Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,32,34,2020-03-08T22:46:11Z,2110000,,[BOS] Williams III defensive rebound (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,212.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
214,PT09M11.00S,2020-03-08T22:46:11.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629641,95.3515111695138,58.40226715686274,1610612738,32,34,2020-03-08T23:07:50Z,2120000,right,[BOS] Langford layup: Missed,[1629641],1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,4.21,: Missed,,,,,,,,,,,,,,,,,,,,,,,
215,PT09M10.00S,2020-03-08T22:46:12.5Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,32,34,2020-03-08T23:07:50Z,2130000,,[BOS] Williams III offensive rebound (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,214.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
259,PT09M10.00S,2020-03-08T22:46:12.3Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629057,97.10906701708278,50.39828431372549,1610612738,32,34,2020-03-08T23:08:21Z,2132500,right,[BOS] Williams III layup: Missed,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,1.99,: Missed,,,,,,,,,,,,,,,,,,,,,,,
260,PT09M09.00S,2020-03-08T22:46:13.3Z,2,REGULAR,rebound,defensive,[],203457,,,1610612760,32,34,2020-03-08T23:09:26Z,2133750,,[OKC] Noel defensive rebound (Off:1 Def:7),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,259.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,
235,PT09M08.00S,2020-03-08T22:46:13.1Z,2,REGULAR,turnover,badpass,[],203457,,,1610612760,32,34,2020-03-08T23:08:36Z,2135000,,[OKC] Noel badpass turnover (1 TO) Steal: Langford (1 STL),"[203457, 1629641]",1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,1.0,Langford,1629641.0,1.0,,,,,,,,
218,PT09M05.00S,2020-03-08T22:46:19.2Z,2,REGULAR,2pt,jumpshot,['fromturnover'],1629641,88.12417871222075,78.01011029411765,1610612738,34,34,2020-03-08T23:09:00Z,2160000,right,[BOS] Langford jumpshot: Made (4 PTS) assist: Williams III (1 AST),"[1629641, 1629057]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,15.43,: Made,,,,,,,,4.0,Williams III,1629057.0,1.0,,,,,,,,,,,,
220,PT08M40.00S,2020-03-08T22:46:40.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],203471,12.828515111695138,36.34344362745098,1610612760,34,34,2020-03-08T22:46:48Z,2180000,left,[OKC] Schroder layup: Missed Block: Williams III (1 BLK),"[203471, 1629057]",1610612760.0,OKC,drivingfingerroll,,,Schroder,D. Schroder,,,,,10.04,: Missed,,,,,Williams III,1629057.0,1.0,,,,,,,,,,,,,,,,
222,PT08M38.00S,2020-03-08T22:46:42.1Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,34,34,2020-03-08T22:46:48Z,2200000,,[BOS] Williams defensive rebound (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,220.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
223,PT08M34.00S,2020-03-08T22:46:46.8Z,2,REGULAR,3pt,jumpshot,['fastbreak'],202689,65.65374507227332,48.353247549019606,1610612738,37,34,2020-03-08T22:46:57Z,2210000,right,[BOS] Walker 3pt shot: Made (8 PTS),[202689],1610612738.0,BOS,runningpullup,,,Walker,K. Walker,,,,,27.6,: Made,,,,,,,,8.0,,,,,,,,,,,,,,,
224,PT08M19.00S,2020-03-08T22:47:01.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629652,7.835085413929041,45.41207107843137,1610612760,37,34,2020-03-08T22:47:10Z,2220000,left,[OKC] Dort layup: Missed,[1629652],1610612760.0,OKC,drivingfingerroll,,,Dort,L. Dort,,,,,3.51,: Missed,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M17.00S,2020-03-08T22:47:03.0Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,37,34,2020-03-08T22:47:10Z,2230000,,[BOS] Williams defensive rebound (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,224.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
226,PT08M11.00S,2020-03-08T22:47:11.6Z,2,REGULAR,foul,personal,['3freethrow'],1629652,,,1610612738,37,34,2020-03-08T22:47:22Z,2240000,,[OKC] Dort foul personal (1 PF) (Walker 3freethrow),"[1629652, 202689]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Walker,202689.0,,,
228,PT08M11.00S,2020-03-08T22:47:43.7Z,2,REGULAR,freethrow,1of3,[],202689,,,1610612738,38,34,2020-03-08T22:47:43Z,2260000,,[BOS] Walker freethrow 1of3: Made (9 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Made,,,,,,,,9.0,,,,,,,,,,,,,,,
229,PT08M11.00S,2020-03-08T22:48:01.7Z,2,REGULAR,freethrow,2of3,[],202689,,,1610612738,39,34,2020-03-08T22:48:01Z,2270000,,[BOS] Walker freethrow 2of3: Made (10 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Made,,,,,,,,10.0,,,,,,,,,,,,,,,
230,PT08M11.00S,2020-03-08T22:48:02.4Z,2,REGULAR,substitution,out,[],1629652,,,1610612738,39,34,2020-03-08T22:48:09Z,2280000,,[OKC] substitution Dort replaced by Paul,"[1629652, 101108]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,101108.0,
231,PT08M11.00S,2020-03-08T22:48:02.4Z,2,REGULAR,substitution,out,[],1628977,,,1610612738,39,34,2020-03-08T22:48:09Z,2290000,,[OKC] substitution Diallo replaced by Gallinari,"[1628977, 201568]",1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,Gallinari,201568.0,
234,PT08M11.00S,2020-03-08T22:48:24.9Z,2,REGULAR,freethrow,3of3,[],202689,,,1610612738,40,34,2020-03-08T22:48:24Z,2320000,,[BOS] Walker freethrow 3of3: Made (11 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Made,,,,,,,,11.0,,,,,,,,,,,,,,,
237,PT07M48.00S,2020-03-08T22:48:50.1Z,2,REGULAR,foul,personal,['3freethrow'],1629684,,,1610612760,40,34,2020-03-08T22:49:03Z,2330000,,[BOS] Williams foul personal (2 PF) (Gallinari 3freethrow),"[1629684, 201568]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1155.0,2.0,0.0,Gallinari,201568.0,,,
239,PT07M48.00S,2020-03-08T22:49:19.5Z,2,REGULAR,freethrow,1of3,[],201568,,,1610612760,40,35,2020-03-08T22:50:01Z,2350000,,[OKC] Gallinari freethrow 1of3: Made (6 PTS),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,: Made,,,,,,,,6.0,,,,,,,,,,,,,,,
240,PT07M48.00S,2020-03-08T22:49:19.5Z,2,REGULAR,freethrow,2of3,[],201568,,,1610612760,40,36,2020-03-08T22:50:01Z,2360000,,[OKC] Gallinari freethrow 2of3: Made (7 PTS),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,: Made,,,,,,,,7.0,,,,,,,,,,,,,,,
241,PT07M48.00S,2020-03-08T22:49:19.5Z,2,REGULAR,freethrow,3of3,[],201568,,,1610612760,40,36,2020-03-08T22:50:01Z,2370000,,[OKC] Gallinari freethrow 3of3: Missed,[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
242,PT07M45.00S,2020-03-08T22:49:22.5Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,40,36,2020-03-08T22:50:01Z,2380000,,[BOS] Langford defensive rebound (Off:0 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,241.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
243,PT07M35.00S,2020-03-08T22:50:03.1Z,2,REGULAR,3pt,jumpshot,[],202689,73.40670170827858,78.25520833333334,1610612738,40,36,2020-03-08T22:50:16Z,2390000,right,[BOS] Walker stepback 3pt jumpshot: Missed,[202689],1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,24.73,: Missed,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M33.00S,2020-03-08T22:50:05.1Z,2,REGULAR,rebound,defensive,[],203457,,,1610612760,40,36,2020-03-08T22:50:16Z,2400000,,[OKC] Noel defensive rebound (Off:1 Def:8),[203457],1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,243.0,9.0,8.0,1.0,,,,,,,,,,,,,,,,,,,
245,PT07M20.00S,2020-03-08T22:50:18.6Z,2,REGULAR,2pt,jumpshot,[],201568,19.92444152431012,26.049325980392158,1610612760,40,36,2020-03-08T22:50:27Z,2410000,left,[OKC] Gallinari jumpshot: Missed,[201568],1610612760.0,OKC,fadeaway,,,Gallinari,D. Gallinari,,,,,18.45,: Missed,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M17.00S,2020-03-08T22:50:21.6Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,40,36,2020-03-08T22:50:27Z,2420000,,[BOS] Walker defensive rebound (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,245.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
247,PT07M08.00S,2020-03-08T22:50:29.7Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,93.9060446780552,47.372855392156865,1610612738,42,36,2020-03-08T22:50:35Z,2430000,right,[BOS] Williams III dunk: Made (2 PTS) assist: Walker (2 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.67,: Made,,,,,,,,2.0,Walker,202689.0,2.0,,,,,,,,,,,,
249,PT07M01.00S,2020-03-08T22:50:36.9Z,2,REGULAR,turnover,badpass,[],101108,,,1610612760,42,36,2020-03-08T22:50:46Z,2450000,,[OKC] Paul badpass turnover (2 TO) Steal: Williams III (1 STL),"[101108, 1629057]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,2.0,Williams III,1629057.0,1.0,,,,,,,,
253,PT06M48.00S,2020-03-08T22:51:06.9Z,2,REGULAR,foul,personal,['2freethrow'],101108,,,1610612738,42,36,2020-03-08T22:51:19Z,2490000,,[OKC] Paul foul personal (1 PF) (Williams III 2freethrow),"[101108, 1629057]",1610612760.0,OKC,shooting,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Williams III,1629057.0,,,
