actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,subsInPlayerName,subsInPersonId,assistPlayerName,assistPersonId,assistTotal,blockPlayerName,blockPersonId,blockTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,value
92,PT04M44.00S,2020-02-27T03:56:24.0Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,6,15,2020-02-27T03:56:52Z,920000,,[UTA] Ingles defensive rebound (Off:0 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,
93,PT04M33.00S,2020-02-27T03:57:03.7Z,1,REGULAR,foul,personal,[],1628464,,,1610612762,6,15,2020-02-27T03:57:56Z,930000,,[BOS] Theis foul personal (2 PF),"[1628464, 204060]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,200834.0,2.0,0.0,Ingles,204060.0,,,,,,,,,,,,,,,,,,,,
97,PT04M33.00S,2020-02-27T03:57:13.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612762,6,15,2020-02-27T03:57:32Z,970000,,[BOS] substitution Tatum replaced by Williams,"[1628369, 1629684]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,Williams,1629684.0,,,,,,,,,,,
98,PT04M21.00S,2020-02-27T03:57:54.1Z,1,REGULAR,turnover,lostball,[],203497,,,1610612762,6,15,2020-02-27T03:58:01Z,980000,,[UTA] Gobert lostball turnover (1 TO) Steal: Wanamaker (1 STL),"[203497, 202954]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Wanamaker,202954.0,1.0,
100,PT04M14.00S,2020-02-27T03:58:00.7Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1628464,92.9862023653088,47.372855392156865,1610612738,6,17,2020-02-27T03:58:07Z,1000000,right,[BOS] Theis dunk: Made (6 PTS) assist: Smart (2 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,: Made,6.0,2.3,,,,,,,Smart,203935.0,2.0,,,,,,,,
102,PT03M55.00S,2020-02-27T03:58:19.8Z,1,REGULAR,2pt,jumpshot,[],202711,8.229303547963205,80.21599264705883,1610612762,8,17,2020-02-27T03:58:24Z,1020000,left,[UTA] Bogdanovic jumpshot: Made (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,: Made,2.0,15.41,,,,,,,,,,,,,,,,,
103,PT03M34.00S,2020-02-27T03:58:40.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,80.1084099868594,37.56893382352941,1610612738,8,17,2020-02-27T03:58:54Z,1030000,right,[BOS] Smart jumpshot: Missed,[203935],1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,,,,,,: Missed,,15.32,,,,,,,,,,,,,,,,,
104,PT03M32.00S,2020-02-27T03:58:42.7Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,8,17,2020-02-27T03:58:46Z,1040000,,[BOS] Smart offensive rebound (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,103.0,2.0,1.0,1.0,,,,,,,,,,,,,
105,PT03M31.00S,2020-02-27T03:58:43.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203935,85.89027595269383,44.43167892156863,1610612738,8,19,2020-02-27T04:02:57Z,1050000,right,[BOS] Smart layup: Made (2 PTS),[203935],1610612738.0,BOS,tip,,,Smart,M. Smart,,,,,,,,,,: Made,2.0,9.0,,,,,,,,,,,,,,,,,
106,PT03M17.00S,2020-02-27T03:59:01.2Z,1,REGULAR,foul,personal,[],1629684,,,1610612762,8,19,2020-02-27T03:59:34Z,1060000,,[BOS] Williams foul personal (1 PF),"[1629684, 202711]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,2530.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,,,,,,,,,,,,
108,PT03M17.00S,2020-02-27T03:59:12.1Z,1,REGULAR,substitution,out,[],1626220,,,1610612762,8,19,2020-02-27T03:59:27Z,1080000,,[UTA] substitution O'Neale replaced by Niang,"[1626220, 1627777]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,Niang,1627777.0,,,,,,,,,,,
109,PT03M17.00S,2020-02-27T03:59:12.1Z,1,REGULAR,substitution,out,[],203497,,,1610612762,8,19,2020-02-27T03:59:27Z,1090000,,[UTA] substitution Gobert replaced by Mitchell,"[203497, 1628378]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,Mitchell,1628378.0,,,,,,,,,,,
110,PT03M17.00S,2020-02-27T03:59:12.1Z,1,REGULAR,substitution,out,[],202711,,,1610612762,8,19,2020-02-27T03:59:27Z,1100000,,[UTA] substitution Bogdanovic replaced by Bradley,"[202711, 1628396]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,Bradley,1628396.0,,,,,,,,,,,
111,PT03M17.00S,2020-02-27T03:59:12.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612762,8,19,2020-02-27T03:59:27Z,1110000,,[BOS] substitution Theis replaced by Kanter,"[1628464, 202683]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,Kanter,202683.0,,,,,,,,,,,
116,PT03M05.00S,2020-02-27T03:59:48.1Z,1,REGULAR,3pt,jumpshot,[],203903,30.56833114323259,66.49050245098039,1610612762,8,19,2020-02-27T03:59:55Z,1160000,left,[UTA] Clarkson 3pt jumpshot: Missed,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,: Missed,,25.41,,,,,,,,,,,,,,,,,
117,PT02M59.00S,2020-02-27T03:59:54.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,8,19,2020-02-27T03:59:55Z,1170000,,[BOS] Williams defensive rebound (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT02M55.00S,2020-02-27T03:59:58.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,67.7562417871222,50.55912990196079,1610612738,8,19,2020-02-27T04:00:04Z,1180000,right,[BOS] Smart pullup 3pt jumpshot: Missed,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,: Missed,,25.61,,,,,,,,,,,,,,,,,
119,PT02M52.00S,2020-02-27T04:00:01.0Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,8,19,2020-02-27T04:00:04Z,1190000,,[UTA] Clarkson defensive rebound (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,
120,PT02M46.00S,2020-02-27T04:00:06.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203903,16.113666228646515,40.510110294117645,1610612762,8,19,2020-02-27T04:00:11Z,1200000,left,[UTA] Clarkson jumpshot: Missed,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,,,,,,: Missed,,11.47,,,,,,,,,,,,,,,,,
121,PT02M43.00S,2020-02-27T04:00:09.8Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,8,19,2020-02-27T04:00:11Z,1210000,,[BOS] Kanter defensive rebound (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,,,,,
122,PT02M30.00S,2020-02-27T04:00:22.9Z,1,REGULAR,2pt,jumpshot,[],202330,72.01051248357425,67.49387254901961,1610612738,8,19,2020-02-27T04:00:33Z,1220000,right,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,,,,,,: Missed,,23.31,,,,,,,,,,,,,,,,,
123,PT02M28.00S,2020-02-27T04:00:24.9Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612762,8,19,2020-02-27T04:00:27Z,1230000,,[UTA] Niang defensive rebound (Off:0 Def:1),[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,
124,PT02M11.00S,2020-02-27T04:00:42.5Z,1,REGULAR,3pt,jumpshot,[],1628378,26.62614980289093,16.245404411764707,1610612762,8,19,2020-02-27T04:00:48Z,1240000,left,[UTA] Mitchell 3pt jumpshot: Missed,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,: Missed,,26.42,,,,,,,,,,,,,,,,,
125,PT02M06.00S,2020-02-27T04:00:47.5Z,1,REGULAR,rebound,offensive,[],203903,,,1610612762,8,19,2020-02-27T04:00:48Z,1250000,,[UTA] Clarkson offensive rebound (Off:1 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,124.0,2.0,1.0,1.0,,,,,,,,,,,,,
126,PT02M03.00S,2020-02-27T04:00:50.2Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627777,11.908672798948752,2.7650122549019605,1610612762,11,19,2020-02-27T04:00:55Z,1260000,left,[UTA] Niang 3pt shot: Made (3 PTS) assist: Mitchell (1 AST),"[1627777, 1628378]",1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,: Made,3.0,24.5,,,,,,,Mitchell,1628378.0,1.0,,,,,,,,
128,PT01M53.00S,2020-02-27T04:01:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,19,2020-02-27T04:01:03Z,1280000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M41.00S,2020-02-27T04:04:35.5Z,1,REGULAR,2pt,jumpshot,[],202330,89.17542706964521,74.33363970588235,1610612738,11,21,2020-02-27T04:04:47Z,1290000,right,[BOS] Hayward jumpshot: Made (2 PTS),[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,,,,,,: Made,2.0,13.35,,,,,,,,,,,,,,,,,
130,PT01M16.00S,2020-02-27T04:05:00.0Z,1,REGULAR,2pt,jumpshot,[],204060,9.674770039421814,30.46109068627451,1610612762,13,21,2020-02-27T04:05:08Z,1300000,left,[UTA] Ingles jumpshot: Made (2 PTS) assist: Mitchell (2 AST),"[204060, 1628378]",1610612762.0,UTA,drivingfloating,,,Ingles,J. Ingles,,,,,,,,,,: Made,2.0,10.71,,,,,,,Mitchell,1628378.0,2.0,,,,,,,,
132,PT01M02.00S,2020-02-27T04:05:14.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204060,,,1610612738,13,21,2020-02-27T04:05:26Z,1320000,,[UTA] Ingles foul personal (2 PF) (Hayward inpenalty),"[204060, 202330]",1610612762.0,UTA,shooting,,,Ingles,J. Ingles,,,,,202053.0,2.0,0.0,Hayward,202330.0,,,,,,,,,,,,,,,,,,,,
134,PT01M02.00S,2020-02-27T04:05:41.5Z,1,REGULAR,freethrow,1of2,[],202330,,,1610612738,13,22,2020-02-27T04:05:41Z,1340000,,[BOS] Hayward freethrow 1of2: Made (3 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,: Made,3.0,,,,,,,,,,,,,,,,,,
135,PT01M02.00S,2020-02-27T04:05:46.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,13,22,2020-02-27T04:05:48Z,1350000,,[BOS] substitution Smart replaced by Brown,"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,Brown,1627759.0,,,,,,,,,,,
137,PT01M02.00S,2020-02-27T04:06:04.6Z,1,REGULAR,freethrow,2of2,[],202330,,,1610612738,13,23,2020-02-27T04:06:04Z,1370000,,[BOS] Hayward freethrow 2of2: Made (4 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,: Made,4.0,,,,,,,,,,,,,,,,,,
138,PT00M50.40S,2020-02-27T04:06:19.0Z,1,REGULAR,3pt,jumpshot,[],203903,24.78646517739816,80.95128676470588,1610612762,13,23,2020-02-27T04:06:28Z,1380000,left,[UTA] Clarkson bank 3pt jumpshot: Missed,[203903],1610612762.0,UTA,bank,,,Clarkson,J. Clarkson,,,,,,,,,,: Missed,,24.2,,,,,,,,,,,,,,,,,
139,PT00M47.80S,2020-02-27T04:06:21.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,13,23,2020-02-27T04:06:28Z,1390000,,[BOS] Williams defensive rebound (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,138.0,2.0,2.0,0.0,,,,,,,,,,,,,
140,PT00M40.70S,2020-02-27T04:06:28.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,86.28449408672799,42.715992647058826,1610612738,13,23,2020-02-27T04:06:46Z,1400000,right,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,drivingfloatingbank,,,Hayward,G. Hayward,,,,,,,,,,: Missed,,8.96,,,,,,,,,,,,,,,,,
141,PT00M38.30S,2020-02-27T04:06:31.3Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612762,13,23,2020-02-27T04:06:33Z,1410000,,[UTA] Niang defensive rebound (Off:0 Def:2),[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,140.0,2.0,2.0,0.0,,,,,,,,,,,,,
142,PT00M34.00S,2020-02-27T04:06:35.6Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627777,31.488173455978973,57.421875,1610612762,13,23,2020-02-27T04:06:52Z,1420000,left,[UTA] Niang runningpullup 3pt jumpshot: Missed,[1627777],1610612762.0,UTA,runningpullup,,,Niang,G. Niang,,,,,,,,,,: Missed,,25.17,,,,,,,,,,,,,,,,,
143,PT00M31.40S,2020-02-27T04:06:38.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,23,2020-02-27T04:06:41Z,1430000,,[BOS] Brown defensive rebound (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,142.0,4.0,3.0,1.0,,,,,,,,,,,,,
144,PT00M14.80S,2020-02-27T04:06:54.8Z,1,REGULAR,3pt,jumpshot,[],202330,87.33574244415243,95.41207107843137,1610612738,13,23,2020-02-27T04:07:00Z,1440000,right,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,: Missed,,23.82,,,,,,,,,,,,,,,,,
145,PT00M10.80S,2020-02-27T04:06:58.8Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612762,13,23,2020-02-27T04:07:00Z,1450000,,[UTA] Bradley defensive rebound (Off:0 Def:1),[1628396],1610612762.0,UTA,,,,Bradley,T. Bradley,,,,,,,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,
146,PT00M00.50S,2020-02-27T04:07:09.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628378,5.601182654402102,44.676776960784316,1610612762,15,23,2020-02-27T04:07:15Z,1460000,left,[UTA] Mitchell layup: Made (2 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,,,,,,: Made,2.0,2.72,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2020-02-27T04:07:17.0Z,1,REGULAR,period,end,[],0,,,1610612738,15,23,2020-02-27T04:07:17Z,1470000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2020-02-27T04:10:18.9Z,2,REGULAR,substitution,out,['startperiod'],202330,,,1610612738,15,23,2020-02-27T04:10:31Z,1480000,,[BOS] substitution Hayward replaced by Tatum,"[202330, 1628369]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,Tatum,1628369.0,,,,,,,,,,,
150,PT12M00.00S,2020-02-27T04:10:52.1Z,2,REGULAR,period,start,[],0,,,1610612738,15,23,2020-02-27T04:10:52Z,1500000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M47.00S,2020-02-27T04:11:04.3Z,2,REGULAR,3pt,jumpshot,[],1628369,72.09264126149803,19.431678921568626,1610612738,15,23,2020-02-27T04:11:10Z,1510000,right,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,: Missed,,26.4,,,,,,,,,,,,,,,,,
152,PT11M44.00S,2020-02-27T04:11:07.3Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612762,15,23,2020-02-27T04:11:10Z,1520000,,[UTA] Niang defensive rebound (Off:0 Def:3),[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,151.0,3.0,3.0,0.0,,,,,,,,,,,,,
153,PT11M39.00S,2020-02-27T04:11:12.7Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1628378,32.013797634691194,45.90226715686275,1610612762,15,23,2020-02-27T04:11:20Z,1530000,left,[UTA] Mitchell pullup 3pt jumpshot: Missed,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,,,,: Missed,,25.47,,,,,,,,,,,,,,,,,
154,PT11M35.00S,2020-02-27T04:11:16.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,23,2020-02-27T04:11:20Z,1540000,,[BOS] Tatum defensive rebound (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,153.0,4.0,4.0,0.0,,,,,,,,,,,,,
155,PT11M22.00S,2020-02-27T04:11:29.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202683,93.77463863337714,52.76501225490197,1610612738,15,25,2020-02-27T04:11:36Z,1550000,right,[BOS] Kanter layup: Made (2 PTS) assist: Wanamaker (1 AST),"[202683, 202954]",1610612738.0,BOS,reverse,,,Kanter,E. Kanter,,,,,,,,,,: Made,2.0,1.8,,,,,,,Wanamaker,202954.0,1.0,,,,,,,,
157,PT11M07.00S,2020-02-27T04:11:44.4Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628396,13.091327201051248,46.63756127450981,1610612762,17,25,2020-02-27T04:11:52Z,1570000,left,[UTA] Bradley jumpshot: Made (2 PTS) assist: Mitchell (3 AST),"[1628396, 1628378]",1610612762.0,UTA,floating,,,Bradley,T. Bradley,,,,,,,,,,: Made,2.0,7.79,,,,,,,Mitchell,1628378.0,3.0,,,,,,,,
159,PT10M49.00S,2020-02-27T04:12:02.3Z,2,REGULAR,2pt,jumpshot,[],202954,71.69842312746385,60.36305147058824,1610612738,17,25,2020-02-27T04:12:07Z,1590000,right,[BOS] Wanamaker jumpshot: Missed,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,,,,,,: Missed,,22.5,,,,,,,,,,,,,,,,,
160,PT10M47.00S,2020-02-27T04:12:04.3Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,17,25,2020-02-27T04:12:07Z,1600000,,[UTA] Clarkson defensive rebound (Off:1 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,159.0,3.0,2.0,1.0,,,,,,,,,,,,,
161,PT10M41.00S,2020-02-27T04:12:10.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627777,6.521024967148489,52.029718137254896,1610612762,17,25,2020-02-27T04:12:14Z,1610000,left,[UTA] Niang layup: Missed,[1627777],1610612762.0,UTA,driving,,,Niang,G. Niang,,,,,,,,,,: Missed,,1.75,,,,,,,,,,,,,,,,,
162,PT10M39.00S,2020-02-27T04:12:12.3Z,2,REGULAR,rebound,offensive,[],1628396,,,1610612762,17,25,2020-02-27T04:12:14Z,1620000,,[UTA] Bradley offensive rebound (Off:1 Def:1),[1628396],1610612762.0,UTA,,,,Bradley,T. Bradley,,,,,,,,,,,,,161.0,2.0,1.0,1.0,,,,,,,,,,,,,
163,PT10M39.00S,2020-02-27T04:12:12.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628396,5.0,50.0,1610612762,19,25,2020-02-27T04:12:12Z,1630000,left,[UTA] Bradley layup: Made (4 PTS),[1628396],1610612762.0,UTA,tip,,,Bradley,T. Bradley,,,,,,,,,,: Made,4.0,0.0,,,,,,,,,,,,,,,,,
164,PT10M24.00S,2020-02-27T04:12:27.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.38042049934296,53.74540441176471,1610612738,19,27,2020-02-27T04:12:32Z,1640000,right,[BOS] Brown layup: Made (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,: Made,6.0,2.41,,,,,,,,,,,,,,,,,
165,PT10M13.00S,2020-02-27T04:12:41.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628378,6.521024967148489,45.166973039215684,1610612762,21,27,2020-02-27T04:12:46Z,1650000,left,[UTA] Mitchell layup: Made (4 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,,,,,,: Made,4.0,2.81,,,,,,,,,,,,,,,,,
166,PT10M13.00S,2020-02-27T04:12:43.3Z,2,REGULAR,foul,personal,['1freethrow'],202954,,,1610612762,21,27,2020-02-27T04:12:52Z,1660000,,[BOS] Wanamaker foul personal (1 PF) (Mitchell 1freethrow),"[202954, 1628378]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,200834.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,,,,
168,PT10M13.00S,2020-02-27T04:12:53.4Z,2,REGULAR,substitution,out,[],204060,,,1610612762,21,27,2020-02-27T04:15:11Z,1680000,,[UTA] substitution Ingles replaced by O'Neale,"[204060, 1626220]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,O'Neale,1626220.0,,,,,,,,,,,
170,PT10M13.00S,2020-02-27T04:13:21.6Z,2,REGULAR,freethrow,1of1,[],1628378,,,1610612762,22,27,2020-02-27T04:13:21Z,1700000,,[UTA] Mitchell freethrow 1of1: Made (5 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,: Made,5.0,,,,,,,,,,,,,,,,,,
171,PT09M59.00S,2020-02-27T04:13:37.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.9862023653088,45.41207107843137,1610612738,22,29,2020-02-27T04:13:43Z,1710000,right,[BOS] Tatum layup: Made (9 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,: Made,9.0,2.97,,,,,,,,,,,,,,,,,
172,PT09M38.00S,2020-02-27T04:13:58.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628378,5.863994743758213,43.451286764705884,1610612762,24,29,2020-02-27T04:14:03Z,1720000,left,[UTA] Mitchell layup: Made (7 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,,,,,,: Made,7.0,3.37,,,,,,,,,,,,,,,,,
173,PT09M17.00S,2020-02-27T04:14:19.6Z,2,REGULAR,2pt,jumpshot,[],1628369,83.65637319316689,73.59834558823529,1610612738,24,31,2020-02-27T04:14:23Z,1730000,right,[BOS] Tatum jumpshot: Made (11 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,: Made,11.0,15.9,,,,,,,,,,,,,,,,,
174,PT09M04.00S,2020-02-27T04:14:32.3Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628378,18.873193166885677,65.26501225490196,1610612762,26,31,2020-02-27T04:14:37Z,1740000,left,[UTA] Mitchell jumpshot: Made (9 PTS),[1628378],1610612762.0,UTA,stepback,,,Mitchell,D. Mitchell,,,,,,,,,,: Made,9.0,15.11,,,,,,,,,,,,,,,,,
175,PT08M42.00S,2020-02-27T04:14:54.2Z,2,REGULAR,3pt,jumpshot,[],1628369,68.41327201051249,56.93167892156863,1610612738,26,34,2020-02-27T04:14:59Z,1750000,right,[BOS] Tatum 3pt shot: Made (14 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,: Made,14.0,25.23,,,,,,,,,,,,,,,,,
176,PT08M27.00S,2020-02-27T04:15:09.4Z,2,REGULAR,turnover,badpass,[],1628378,,,1610612762,26,34,2020-02-27T04:15:15Z,1760000,,[UTA] Mitchell badpass turnover (1 TO) Steal: Williams (1 STL),"[1628378, 1629684]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,1.0,
178,PT08M22.00S,2020-02-27T04:15:16.0Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,91.93495400788436,50.314031862745104,1610612738,26,36,2020-02-27T04:15:46Z,1780000,right,[BOS] Brown layup: Made (8 PTS) assist: Williams (1 AST),"[1627759, 1629684]",1610612738.0,BOS,runningfingerroll,,,Brown,J. Brown,,,,,,,,,,: Made,8.0,2.88,,,,,,,Williams,1629684.0,1.0,,,,,,,,
180,PT08M22.00S,2020-02-27T04:15:25.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,26,36,2020-02-27T04:15:25Z,1800000,,[UTA] timeout full,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M22.00S,2020-02-27T04:18:30.3Z,2,REGULAR,substitution,out,[],203903,,,1610612762,26,36,2020-02-27T04:18:45Z,1810000,,[UTA] substitution Clarkson replaced by Conley,"[203903, 201144]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,Conley,201144.0,,,,,,,,,,,
182,PT08M22.00S,2020-02-27T04:18:30.3Z,2,REGULAR,substitution,out,[],1628396,,,1610612762,26,36,2020-02-27T04:18:45Z,1820000,,[UTA] substitution Bradley replaced by Gobert,"[1628396, 203497]",1610612762.0,UTA,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,Gobert,203497.0,,,,,,,,,,,
183,PT08M22.00S,2020-02-27T04:18:30.3Z,2,REGULAR,substitution,out,[],1627777,,,1610612762,26,36,2020-02-27T04:18:45Z,1830000,,[UTA] substitution Niang replaced by Bogdanovic,"[1627777, 202711]",1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,Bogdanovic,202711.0,,,,,,,,,,,
184,PT08M22.00S,2020-02-27T04:18:30.3Z,2,REGULAR,substitution,out,[],202683,,,1610612762,26,36,2020-02-27T04:18:45Z,1840000,,[BOS] substitution Kanter replaced by Ojeleye,"[202683, 1628400]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,,,,,,,,,,,
