actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
44,PT09M05.00S,2020-01-17T01:21:14.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628464,7.835085413929041,50.06893382352941,1610612738,9,4,2020-01-17T01:21:19Z,440000,0.0,21.0,1,left,D. Theis layup (4 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,running,,,Theis,D. Theis,,,,,2.66,Made,,,,,,,,,,,,4.0,,,,K. Walker,202689.0,1.0,
46,PT08M56.00S,2020-01-17T01:21:22.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],201572,68.01905387647832,21.147365196078432,1610612749,12,4,2020-01-17T01:21:29Z,460000,-144.0,248.0,1,right,B. Lopez 29' 3PT  (6 PTS) (E. Bledsoe 2 AST),"[201572, 202339]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,29.18,Made,,,,,,,,,,,,6.0,,,,E. Bledsoe,202339.0,2.0,
48,PT08M34.00S,2020-01-17T01:21:45.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,6.389618922470433,51.049325980392155,1610612738,12,6,2020-01-17T01:21:51Z,480000,-5.0,8.0,1,left,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.41,Made,,,,,,,,,,,,2.0,,,,,,,
49,PT08M17.00S,2020-01-17T01:22:01.9Z,1,REGULAR,3pt,jumpshot,[],201572,70.51576872536137,75.80422794117648,1610612749,15,6,2020-01-17T01:22:07Z,490000,129.0,225.0,1,right,B. Lopez 26' 3PT  (9 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,26.39,Made,,,,,,,,,,,,9.0,,,,G. Antetokounmpo,203507.0,1.0,
51,PT07M55.00S,2020-01-17T01:22:23.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,9.411957950065702,49.57873774509804,1610612738,15,6,2020-01-17T01:22:34Z,510000,2.0,36.0,1,left,MISS K. Walker layup,[202689],1610612738.0,BOS,drivingreverse,,,Walker,K. Walker,,,,,4.16,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M54.00S,2020-01-17T01:22:24.3Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,15,6,2020-01-17T01:22:34Z,520000,,,0,,K. Walker REBOUND (Off:1 Def:0),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,
53,PT07M45.00S,2020-01-17T01:22:34.1Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202689,28.203022339027594,17.96109068627451,1610612738,15,6,2020-01-17T01:22:43Z,530000,160.0,213.0,1,left,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M42.00S,2020-01-17T01:22:37.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,15,6,2020-01-17T01:22:37Z,540000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
55,PT07M37.00S,2020-01-17T01:22:41.9Z,1,REGULAR,turnover,badpass,[],202339,,,1610612749,15,6,2020-01-17T01:22:47Z,550000,,,0,,E. Bledsoe TURNOVER badpass (1 TOV) Stolen,"[202339, 203935]",1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,,
56,PT07M37.00S,2020-01-17T01:22:41.9Z,1,REGULAR,steal,,[],203935,,,1610612738,15,6,2020-01-17T01:22:44Z,560000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M37.00S,2020-01-17T01:22:49.9Z,1,REGULAR,foul,personal,[],202339,,,1610612738,15,6,2020-01-17T01:23:15Z,570000,,,0,,E. Bledsoe FOUL personal (1 PF),"[202339, 1628369]",1610612749.0,MIL,take,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,202037.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
59,PT07M26.00S,2020-01-17T01:23:12.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202330,30.436925098554536,21.637561274509803,1610612738,15,6,2020-01-17T01:23:19Z,590000,142.0,234.0,1,left,MISS G. Hayward 28' 3PT,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2020-01-17T01:23:16.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,15,6,2020-01-17T01:23:19Z,600000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,
61,PT07M16.00S,2020-01-17T01:23:22.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203507,93.11760840998686,52.029718137254896,1610612749,15,6,2020-01-17T01:23:26Z,610000,10.0,12.0,1,right,MISS G. Antetokounmpo layup,[203507],1610612749.0,MIL,drivingfingerroll,,,Antetokounmpo,G. Antetokounmpo,,,,,2.04,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M13.00S,2020-01-17T01:23:25.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,15,6,2020-01-17T01:23:26Z,620000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
63,PT07M08.00S,2020-01-17T01:23:30.3Z,1,REGULAR,2pt,jumpshot,[],1628369,15.325229960578188,31.44148284313725,1610612738,15,8,2020-01-17T01:23:35Z,630000,93.0,92.0,1,left,J. Tatum 13' jumpshot (4 PTS) (G. Hayward 1 AST),"[1628369, 202330]",1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,13.43,Made,,,,,,,,,,,,4.0,,,,G. Hayward,202330.0,1.0,
65,PT07M08.00S,2020-01-17T01:23:38.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,15,8,2020-01-17T01:23:38Z,650000,,,0,,timeout full,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2020-01-17T01:27:12.0Z,1,REGULAR,3pt,jumpshot,[],203114,71.43561103810775,82.17677696078431,1610612749,18,8,2020-01-17T01:27:17Z,660000,161.0,216.0,1,right,K. Middleton 27' 3PT  (3 PTS) (E. Bledsoe 3 AST),"[203114, 202339]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,27.38,Made,,,,,,,,,,,,3.0,,,,E. Bledsoe,202339.0,3.0,
