actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
167,PT11M42.00S,2020-01-17T01:45:32.4Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,36,20,2020-01-17T01:45:38Z,1660000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,166.0,3.0,3.0,0.0,,,,,,,,,,,,,
168,PT11M38.00S,2020-01-17T01:45:40.8Z,2,REGULAR,foul,personal,[],202954,,,1610612749,36,20,2020-01-17T01:46:11Z,1670000,,,0,,B. Wanamaker FOUL personal (1 PF),"[202954, 203507]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,2534.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
170,PT11M33.00S,2020-01-17T01:46:00.7Z,2,REGULAR,foul,personal,['2freethrow'],202683,,,1610612749,36,20,2020-01-17T01:46:12Z,1690000,,,0,,E. Kanter FOUL personal (1 PF) (Antetokounmpo 2freethrow),"[202683, 203507]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,203591.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
172,PT11M33.00S,2020-01-17T01:46:29.6Z,2,REGULAR,freethrow,1of2,[],203507,,,1610612749,37,20,2020-01-17T01:46:29Z,1710000,,,0,,G. Antetokounmpo freethrow 1of2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,,,5.0,,,,,,,
173,PT11M33.00S,2020-01-17T01:46:30.7Z,2,REGULAR,substitution,out,[],202683,,,1610612749,37,20,2020-01-17T01:46:40Z,1720000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M33.00S,2020-01-17T01:46:30.7Z,2,REGULAR,substitution,out,[],1629750,,,1610612749,37,20,2020-01-17T01:46:40Z,1730000,,,0,,substitution out Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M33.00S,2020-01-17T01:46:30.7Z,2,REGULAR,substitution,in,[],1629684,,,1610612749,37,20,2020-01-17T01:46:40Z,1740000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M33.00S,2020-01-17T01:46:30.7Z,2,REGULAR,substitution,in,[],202689,,,1610612749,37,20,2020-01-17T01:46:40Z,1750000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M33.00S,2020-01-17T01:46:29.6Z,2,REGULAR,freethrow,2of2,[],203507,,,1610612749,37,20,2020-01-17T01:47:13Z,1760000,,,0,,MISS G. Antetokounmpo freethrow 2of2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
178,PT11M30.00S,2020-01-17T01:46:32.6Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,37,20,2020-01-17T01:47:13Z,1770000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,177.0,2.0,2.0,0.0,,,,,,,,,,,,,
179,PT11M20.00S,2020-01-17T01:47:04.0Z,2,REGULAR,3pt,jumpshot,[],1629684,32.53942181340342,68.45128676470588,1610612738,37,20,2020-01-17T01:47:15Z,1780000,-92.0,253.0,1,left,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,,
180,PT11M16.00S,2020-01-17T01:47:07.2Z,2,REGULAR,rebound,defensive,[],202339,,,1610612749,37,20,2020-01-17T01:47:07Z,1790000,,,0,,E. Bledsoe REBOUND (Off:0 Def:2),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,179.0,2.0,2.0,0.0,,,,,,,,,,,,,
181,PT11M10.00S,2020-01-17T01:47:13.2Z,2,REGULAR,3pt,jumpshot,['fastbreak'],202339,67.36202365308804,65.75520833333334,1610612749,40,20,2020-01-17T01:47:18Z,1800000,79.0,254.0,1,right,E. Bledsoe 27' 3PT  (5 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,27.15,Made,,,,,,,,,,,,5.0,,,,,,,
182,PT11M02.00S,2020-01-17T01:47:27.1Z,2,REGULAR,foul,personal,[],201588,,,1610612738,40,20,2020-01-17T01:47:48Z,1810000,,,0,,G. Hill FOUL personal (2 PF),"[201588, 202330]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,203591.0,2.0,0.0,Hayward,202330.0,,,,,,,,
184,PT11M02.00S,2020-01-17T01:47:35.0Z,2,REGULAR,substitution,out,[],201588,,,1610612738,40,20,2020-01-17T01:47:41Z,1830000,,,0,,substitution out Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT11M02.00S,2020-01-17T01:47:35.0Z,2,REGULAR,substitution,in,[],203114,,,1610612738,40,20,2020-01-17T01:47:41Z,1840000,,,0,,substitution in Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT10M56.00S,2020-01-17T01:47:45.6Z,2,REGULAR,3pt,jumpshot,[],202330,33.590670170827856,30.95128676470588,1610612738,40,20,2020-01-17T01:47:50Z,1850000,95.0,263.0,1,left,MISS G. Hayward 29' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,28.52,Missed,,,,,,,,,,,,,,,,,,,
187,PT10M53.00S,2020-01-17T01:47:48.6Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,40,20,2020-01-17T01:47:50Z,1860000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,186.0,4.0,4.0,0.0,,,,,,,,,,,,,
188,PT10M48.00S,2020-01-17T01:47:57.8Z,2,REGULAR,foul,personal,['2freethrow'],1628400,,,1610612749,40,20,2020-01-17T01:48:07Z,1870000,,,0,,S. Ojeleye FOUL personal (1 PF) (Bledsoe 2freethrow),"[1628400, 202339]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,203591.0,1.0,0.0,Bledsoe,202339.0,,,,,,,,
190,PT10M48.00S,2020-01-17T01:48:17.9Z,2,REGULAR,freethrow,1of2,['fastbreak'],202339,,,1610612749,41,20,2020-01-17T01:48:17Z,1890000,,,0,,E. Bledsoe freethrow 1of2 (6 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,6.0,,,,,,,
191,PT10M48.00S,2020-01-17T01:48:30.6Z,2,REGULAR,freethrow,2of2,['fastbreak'],202339,,,1610612749,42,20,2020-01-17T01:48:30Z,1900000,,,0,,E. Bledsoe freethrow 2of2 (7 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,7.0,,,,,,,
192,PT10M40.00S,2020-01-17T01:48:42.0Z,2,REGULAR,3pt,jumpshot,[],202689,32.933639947437584,34.13756127450981,1610612738,42,20,2020-01-17T01:48:48Z,1910000,79.0,257.0,1,left,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,,
193,PT10M37.00S,2020-01-17T01:48:45.0Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,42,20,2020-01-17T01:48:48Z,1920000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,192.0,5.0,5.0,0.0,,,,,,,,,,,,,
194,PT10M32.00S,2020-01-17T01:48:51.6Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],203507,93.11760840998686,52.76501225490197,1610612749,44,20,2020-01-17T01:50:42Z,1930000,14.0,12.0,1,right,G. Antetokounmpo dunk (7 PTS) (K. Middleton 3 AST),"[203507, 203114]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,2.24,Made,,,,,,,,,,,,7.0,,,,K. Middleton,203114.0,3.0,
196,PT10M31.00S,2020-01-17T01:48:58.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,44,20,2020-01-17T01:48:58Z,1950000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT10M13.00S,2020-01-17T01:52:40.7Z,2,REGULAR,turnover,outofbounds,[],1629684,,,1610612738,44,20,2020-01-17T01:52:46Z,1960000,,,0,,G. Williams TURNOVER outofbounds (1 TOV),[1629684],1610612738.0,BOS,badpass,,,Williams,G. Williams,,,,,,,,,,,,,203591.0,,,,,,1.0,,,,,,
198,PT10M01.00S,2020-01-17T01:52:57.0Z,2,REGULAR,2pt,hook,"['pointsinthepaint', 'fromturnover']",201572,85.23324572930355,40.75520833333333,1610612749,44,20,2020-01-17T01:53:02Z,1970000,-46.0,86.0,1,right,MISS B. Lopez 10' hook,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,10.28,Missed,,,,,,,,,,,,,,,,,,,
199,PT09M58.00S,2020-01-17T01:53:00.0Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,44,20,2020-01-17T01:53:02Z,1980000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,198.0,1.0,1.0,0.0,,,,,,,,,,,,,
200,PT09M54.00S,2020-01-17T01:53:03.6Z,2,REGULAR,2pt,jumpshot,['fastbreak'],202689,21.632720105124836,65.51011029411765,1610612738,44,22,2020-01-17T01:53:14Z,1990000,-78.0,151.0,1,left,K. Walker 17' jumpshot (2 PTS),[202689],1610612738.0,BOS,runningpullup,,,Walker,K. Walker,,,,,17.45,Made,,,,,,,,,,,,2.0,,,,,,,
201,PT09M36.00S,2020-01-17T01:53:24.5Z,2,REGULAR,turnover,outofbounds,[],203507,,,1610612749,44,22,2020-01-17T01:53:30Z,2000000,,,0,,G. Antetokounmpo TURNOVER outofbounds (2 TOV),[203507],1610612749.0,MIL,badpass,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,202037.0,,,,,,2.0,,,,,,
202,PT09M17.00S,2020-01-17T01:53:44.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202689,7.5722733245729295,50.80422794117647,1610612738,44,24,2020-01-17T01:53:48Z,2010000,-4.0,19.0,1,left,K. Walker layup (4 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.45,Made,,,,,,,,,,,,4.0,,,,,,,
203,PT09M11.00S,2020-01-17T01:53:54.7Z,2,REGULAR,foul,offensive,[],202339,,,1610612749,44,24,2020-01-17T01:54:31Z,2020000,,,0,,E. Bledsoe FOUL offensive (2 PF),"[202339, 202689]",1610612749.0,MIL,charge,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,2534.0,2.0,0.0,Walker,202689.0,,,,,,,,
205,PT09M11.00S,2020-01-17T01:53:54.7Z,2,REGULAR,turnover,offensivefoul,[],202339,,,1610612749,44,24,2020-01-17T01:54:01Z,2040000,,,0,,E. Bledsoe TURNOVER offensivefoul (2 TOV),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,2534.0,,,,,,2.0,,,,,,
206,PT09M00.00S,2020-01-17T01:54:19.6Z,2,REGULAR,foul,personal,['2freethrow'],202339,,,1610612738,44,24,2020-01-17T01:54:32Z,2050000,,,0,,E. Bledsoe FOUL personal (3 PF) (Williams 2freethrow),"[202339, 1629684]",1610612749.0,MIL,shooting,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,203591.0,3.0,0.0,Williams,1629684.0,,,,,,,,
208,PT09M00.00S,2020-01-17T01:54:40.6Z,2,REGULAR,freethrow,1of2,['fromturnover'],1629684,,,1610612738,44,24,2020-01-17T01:54:40Z,2070000,,,0,,MISS G. Williams freethrow 1of2,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
209,PT09M00.00S,2020-01-17T01:54:40.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,44,24,2020-01-17T01:54:40Z,2080000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,
210,PT09M00.00S,2020-01-17T01:54:52.3Z,2,REGULAR,freethrow,2of2,['fromturnover'],1629684,,,1610612738,44,25,2020-01-17T01:54:52Z,2090000,,,0,,G. Williams freethrow 2of2 (1 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
211,PT08M50.00S,2020-01-17T01:55:07.4Z,2,REGULAR,foul,personal,['2freethrow'],1628400,,,1610612749,44,25,2020-01-17T01:55:18Z,2100000,,,0,,S. Ojeleye FOUL personal (2 PF) (Antetokounmpo 2freethrow),"[1628400, 203507]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,203591.0,2.0,0.0,Antetokounmpo,203507.0,,,,,,,,
213,PT08M50.00S,2020-01-17T01:55:40.8Z,2,REGULAR,freethrow,1of2,[],203507,,,1610612749,45,25,2020-01-17T01:55:40Z,2120000,,,0,,G. Antetokounmpo freethrow 1of2 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,,,8.0,,,,,,,
214,PT08M50.00S,2020-01-17T01:56:00.9Z,2,REGULAR,freethrow,2of2,[],203507,,,1610612749,46,25,2020-01-17T01:56:00Z,2130000,,,0,,G. Antetokounmpo freethrow 2of2 (9 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,,,9.0,,,,,,,
215,PT08M32.00S,2020-01-17T01:56:19.5Z,2,REGULAR,3pt,jumpshot,[],1629684,9.411957950065702,98.84344362745098,1610612738,46,25,2020-01-17T01:56:24Z,2140000,-244.0,36.0,1,left,MISS G. Williams 25' 3PT Blocked,"[1629684, 201572]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.77,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,,
216,PT08M32.00S,2020-01-17T01:56:19.5Z,2,REGULAR,block,,[],201572,,,1610612738,46,25,2020-01-17T01:56:22Z,2150000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M29.00S,2020-01-17T01:56:22.5Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,46,25,2020-01-17T01:56:24Z,2160000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,215.0,6.0,6.0,0.0,,,,,,,,,,,,,
218,PT08M23.00S,2020-01-17T01:56:29.6Z,2,REGULAR,3pt,jumpshot,[],203114,66.17936925098554,28.990502450980394,1610612749,49,25,2020-01-17T01:56:33Z,2170000,-105.0,265.0,1,right,K. Middleton 29' 3PT  (8 PTS) (G. Antetokounmpo 2 AST),"[203114, 203507]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,29.05,Made,,,,,,,,,,,,8.0,,,,G. Antetokounmpo,203507.0,2.0,
220,PT08M00.00S,2020-01-17T01:56:52.3Z,2,REGULAR,3pt,jumpshot,[],1629684,28.33442838370565,80.7061887254902,1610612738,49,28,2020-01-17T01:56:56Z,2190000,-154.0,214.0,1,left,G. Williams 27' 3PT  (4 PTS) (G. Hayward 2 AST),"[1629684, 202330]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.77,Made,,,,,,,,,,,,4.0,,,,G. Hayward,202330.0,2.0,
222,PT07M47.00S,2020-01-17T01:57:05.0Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],201572,81.15965834428384,59.872855392156865,1610612749,49,28,2020-01-17T01:57:10Z,2210000,49.0,125.0,1,right,MISS B. Lopez 14' jumpshot,[201572],1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,13.92,Missed,,,,,,,,,,,,,,,,,,,
223,PT07M42.00S,2020-01-17T01:57:10.0Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,49,28,2020-01-17T01:57:10Z,2220000,,,0,,K. Walker REBOUND (Off:1 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,222.0,3.0,2.0,1.0,,,,,,,,,,,,,
224,PT07M41.00S,2020-01-17T01:57:11.4Z,2,REGULAR,3pt,jumpshot,['fastbreak'],202689,25.969119579500656,11.34344362745098,1610612738,49,28,2020-01-17T01:57:17Z,2230000,193.0,192.0,1,left,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
225,PT07M38.00S,2020-01-17T01:57:14.4Z,2,REGULAR,rebound,defensive,[],2594,,,1610612749,49,28,2020-01-17T01:57:17Z,2240000,,,0,,K. Korver REBOUND (Off:0 Def:1),[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,,,,,224.0,1.0,1.0,0.0,,,,,,,,,,,,,
226,PT07M33.00S,2020-01-17T01:57:18.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202339,93.38042049934296,51.53952205882353,1610612749,51,28,2020-01-17T01:57:24Z,2250000,8.0,10.0,1,right,E. Bledsoe layup (9 PTS),[202339],1610612749.0,MIL,running,,,Bledsoe,E. Bledsoe,,,,,1.7,Made,,,,,,,,,,,,9.0,,,,,,,
227,PT07M18.00S,2020-01-17T01:57:33.3Z,2,REGULAR,3pt,jumpshot,[],202330,21.632720105124836,94.18658088235294,1610612738,51,28,2020-01-17T01:57:39Z,2260000,-221.0,151.0,1,left,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
228,PT07M14.00S,2020-01-17T01:57:37.3Z,2,REGULAR,rebound,defensive,[],2594,,,1610612749,51,28,2020-01-17T01:57:39Z,2270000,,,0,,K. Korver REBOUND (Off:0 Def:2),[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,,,,,227.0,2.0,2.0,0.0,,,,,,,,,,,,,
229,PT07M09.00S,2020-01-17T01:57:43.1Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203507,93.11760840998686,51.53952205882353,1610612749,53,28,2020-01-17T01:58:00Z,2280000,8.0,12.0,1,right,G. Antetokounmpo layup (11 PTS),[203507],1610612749.0,MIL,runningfingerroll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.93,Made,,,,,,,,,,,,11.0,,,,,,,
230,PT06M50.00S,2020-01-17T01:58:02.5Z,2,REGULAR,3pt,jumpshot,[],202689,30.17411300919842,77.0297181372549,1610612738,53,31,2020-01-17T01:58:06Z,2290000,-135.0,231.0,1,left,K. Walker 27' 3PT  (7 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.25,Made,,,,,,,,,,,,7.0,,,,,,,
231,PT06M43.00S,2020-01-17T01:58:16.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,53,31,2020-01-17T01:58:16Z,2300000,,,0,,timeout full,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,out,[],202339,,,1610612749,53,31,2020-01-17T02:01:39Z,2310000,,,0,,substitution out Bledsoe,[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,out,[],2594,,,1610612749,53,31,2020-01-17T02:01:39Z,2320000,,,0,,substitution out Korver,[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,out,[],203507,,,1610612749,53,31,2020-01-17T02:01:39Z,2330000,,,0,,substitution out Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,in,[],1628978,,,1610612749,53,31,2020-01-17T02:01:39Z,2350000,,,0,,substitution in DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,in,[],101141,,,1610612749,53,31,2020-01-17T02:01:39Z,2360000,,,0,,substitution in Ilyasova,[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,in,[],202083,,,1610612749,53,31,2020-01-17T02:01:39Z,2370000,,,0,,substitution in Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,in,[],203935,,,1610612749,53,31,2020-01-17T02:01:39Z,2380000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,out,[],1628400,,,1610612749,53,31,2020-01-17T02:04:36Z,2385000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
384,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,out,[],202954,,,1610612749,53,31,2020-01-17T02:34:31Z,2387500,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
385,PT06M43.00S,2020-01-17T02:00:55.0Z,2,REGULAR,substitution,in,[],1628369,,,1610612749,53,31,2020-01-17T02:34:31Z,2388750,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M33.00S,2020-01-17T02:01:52.7Z,2,REGULAR,2pt,jumpshot,[],203114,86.02168199737189,22.863051470588236,1610612749,55,31,2020-01-17T02:01:58Z,2390000,-136.0,79.0,1,right,K. Middleton 16' jumpshot (10 PTS),[203114],1610612749.0,MIL,drivingfloating,,,Middleton,K. Middleton,,,,,15.98,Made,,,,,,,,,,,,10.0,,,,,,,
241,PT06M20.00S,2020-01-17T02:02:05.5Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1629684,31.882391590013142,72.12775735294117,1610612738,55,31,2020-01-17T02:02:15Z,2400000,-111.0,247.0,1,left,MISS G. Williams 28' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,27.58,Missed,,,,,,,,,,,,,,,,,,,
242,PT06M11.00S,2020-01-17T02:02:14.5Z,2,REGULAR,rebound,defensive,[],101141,,,1610612749,55,31,2020-01-17T02:02:15Z,2410000,,,0,,E. Ilyasova REBOUND (Off:0 Def:3),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,241.0,3.0,3.0,0.0,,,,,,,,,,,,,
243,PT06M07.00S,2020-01-17T02:02:18.3Z,2,REGULAR,3pt,jumpshot,['fastbreak'],203114,77.08607095926413,7.912071078431373,1610612749,58,31,2020-01-17T02:02:22Z,2420000,-210.0,163.0,1,right,K. Middleton 27' 3PT  (13 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.95,Made,,,,,,,,,,,,13.0,,,,,,,
244,PT05M59.00S,2020-01-17T02:02:26.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202689,7.440867279894875,53.01011029411765,1610612738,58,33,2020-01-17T02:02:30Z,2430000,-15.0,17.0,1,left,K. Walker layup (9 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,2.74,Made,,,,,,,,,,,,9.0,,,,,,,
245,PT05M49.00S,2020-01-17T02:02:36.4Z,2,REGULAR,2pt,jumpshot,[],203114,71.00648817345598,34.662224264705884,1610612749,58,33,2020-01-17T02:02:56Z,2440000,-77.0,220.0,1,right,MISS K. Middleton 24' jumpshot,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,23.82,Missed,,,,,,,,,,,,,,,,,,,
246,PT05M46.00S,2020-01-17T02:02:39.4Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,58,33,2020-01-17T02:02:56Z,2450000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,245.0,2.0,2.0,0.0,,,,,,,,,,,,,
247,PT05M40.00S,2020-01-17T02:02:45.0Z,2,REGULAR,2pt,jumpshot,[],202689,28.17427726675427,64.79779411764706,1610612738,58,35,2020-01-17T02:03:53Z,2460000,-74.0,212.0,1,left,K. Walker 23' jumpshot (11 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.0,Made,,,,,,,,,,,,11.0,,,,,,,
248,PT05M23.00S,2020-01-17T02:03:01.6Z,2,REGULAR,2pt,jumpshot,[],202083,77.08607095926413,22.127757352941178,1610612749,58,35,2020-01-17T02:03:16Z,2470000,-139.0,163.0,1,right,MISS W. Matthews 22' jumpshot,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,21.86,Missed,,,,,,,,,,,,,,,,,,,
249,PT05M23.00S,2020-01-17T02:03:01.6Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,58,35,2020-01-17T02:03:16Z,2480000,,,0,,K. Walker REBOUND (Off:1 Def:3),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,248.0,4.0,3.0,1.0,,,,,,,,,,,,,
250,PT05M12.00S,2020-01-17T02:03:17.6Z,2,REGULAR,foul,personal,['2freethrow'],202083,,,1610612738,58,35,2020-01-17T02:03:31Z,2490000,,,0,,W. Matthews FOUL personal (1 PF) (Smart 2freethrow),"[202083, 203935]",1610612749.0,MIL,shooting,,,Matthews,W. Matthews,,,,,,,,,,,,,2534.0,1.0,0.0,Smart,203935.0,,,,,,,,
