actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
18,PT08M18.00S,2020-07-24T21:08:53.8Z,1,REGULAR,block,,[],203500,,,1610612738,4,4,2020-07-24T21:08:55Z,180000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT08M16.00S,2020-07-24T21:08:55.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612760,4,4,2020-07-24T21:08:58Z,190000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT07M59.00S,2020-07-24T21:09:13.6Z,1,REGULAR,3pt,jumpshot,[],1629652,24.26084099868594,12.078737745098039,1610612760,4,7,2020-07-24T21:09:18Z,200000,190.0,176.0,1,left,L. Dort 26' 3PT  (3 PTS) (D. Gallinari 2 AST),"[1629652, 201568]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,26.22,Made,,,,,3.0,D. Gallinari,201568.0,2.0,,,,,,,,,,,
22,PT07M43.00S,2020-07-24T21:09:30.2Z,1,REGULAR,3pt,jumpshot,[],203935,72.7496714848883,18.206188725490197,1610612738,4,7,2020-07-24T21:09:36Z,220000,-159.0,204.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.28,Missed,,,,,,,,,,,,,,,,,,,
23,PT07M37.00S,2020-07-24T21:09:36.2Z,1,REGULAR,rebound,defensive,[],201568,,,1610612760,4,7,2020-07-24T21:09:36Z,230000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT07M30.00S,2020-07-24T21:09:42.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203500,6.258212877792378,47.61795343137255,1610612760,4,9,2020-07-24T21:09:48Z,240000,12.0,6.0,1,left,S. Adams layup (4 PTS) (C. Paul 1 AST),"[203500, 101108]",1610612760.0,OKC,reverse,,,Adams,S. Adams,,,,,1.68,Made,,,,,4.0,C. Paul,101108.0,1.0,,,,,,,,,,,
26,PT07M14.00S,2020-07-24T21:09:57.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,83.39356110381078,46.88265931372549,1610612738,6,9,2020-07-24T21:10:05Z,260000,-16.0,104.0,1,right,M. Smart 11' jumpshot (2 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,11.02,Made,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
28,PT07M07.00S,2020-07-24T21:10:05.4Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628983,25.969119579500656,16.245404411764707,1610612760,6,9,2020-07-24T21:10:11Z,280000,169.0,192.0,1,left,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
29,PT07M04.00S,2020-07-24T21:10:08.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,9,2020-07-24T21:10:11Z,290000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT06M50.00S,2020-07-24T21:10:21.9Z,1,REGULAR,2pt,jumpshot,[],1628369,75.1149802890933,74.33363970588235,1610612738,6,9,2020-07-24T21:13:37Z,300000,122.0,181.0,1,right,MISS J. Tatum 22' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,,
31,PT06M49.00S,2020-07-24T21:10:22.9Z,1,REGULAR,rebound,defensive,[],201568,,,1610612760,6,9,2020-07-24T21:10:27Z,310000,,,0,,D. Gallinari REBOUND (Off:0 Def:2),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
32,PT06M40.00S,2020-07-24T21:10:32.8Z,1,REGULAR,2pt,jumpshot,[],201568,21.76412614980289,57.176776960784316,1610612760,6,9,2020-07-24T21:14:10Z,320000,-36.0,152.0,1,left,MISS D. Gallinari 16' jumpshot,[201568],1610612760.0,OKC,fadeaway,,,Gallinari,D. Gallinari,,,,,16.16,Missed,,,,,,,,,,,,,,,,,,,
33,PT06M37.00S,2020-07-24T21:10:35.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,9,2020-07-24T21:10:37Z,330000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT06M33.00S,2020-07-24T21:10:39.2Z,1,REGULAR,2pt,jumpshot,['fastbreak'],1627759,76.95466491458606,44.43167892156863,1610612738,6,9,2020-07-24T21:10:47Z,340000,-28.0,164.0,1,right,MISS J. Brown 17' jumpshot,[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,17.19,Missed,,,,,,,,,,,,,,,,,,,
35,PT06M30.00S,2020-07-24T21:10:42.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,6,9,2020-07-24T21:10:42Z,350000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
36,PT06M27.00S,2020-07-24T21:10:45.2Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628369,70.64717477003943,74.82383578431373,1610612738,6,9,2020-07-24T21:10:50Z,360000,124.0,223.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
37,PT06M27.00S,2020-07-24T21:10:45.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,6,9,2020-07-24T21:10:50Z,370000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT06M21.00S,2020-07-24T21:10:54.8Z,1,REGULAR,foul,personal,[],202330,,,1610612760,6,9,2020-07-24T21:11:04Z,380000,,,0,,G. Hayward FOUL personal (1 PF),"[202330, 203500]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,201638.0,1.0,0.0,Adams,203500.0,,,,,,
40,PT06M21.00S,2020-07-24T21:11:07.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,6,9,2020-07-24T21:11:07Z,400000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT06M16.00S,2020-07-24T21:14:04.4Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],203500,5.863994743758213,49.82383578431372,1610612760,6,11,2020-07-24T21:14:08Z,410000,1.0,3.0,1,left,S. Adams dunk (6 PTS),[203500],1610612760.0,OKC,driving,,,Adams,S. Adams,,,,,0.81,Made,,,,,6.0,,,,,,,,,,,,,,
42,PT05M59.00S,2020-07-24T21:14:21.4Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,6,11,2020-07-24T21:14:25Z,420000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 1628983]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,
43,PT05M59.00S,2020-07-24T21:14:21.4Z,1,REGULAR,steal,,[],1628983,,,1610612760,6,11,2020-07-24T21:14:23Z,430000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT05M47.00S,2020-07-24T21:14:33.6Z,1,REGULAR,turnover,badpass,[],1629652,,,1610612760,6,11,2020-07-24T21:14:37Z,440000,,,0,,L. Dort TURNOVER badpass (1 TOV) Stolen,"[1629652, 1628369]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,
45,PT05M47.00S,2020-07-24T21:14:33.6Z,1,REGULAR,steal,,[],1628369,,,1610612738,6,11,2020-07-24T21:14:35Z,450000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT05M46.00S,2020-07-24T21:14:38.2Z,1,REGULAR,foul,personal,[],101108,,,1610612738,6,11,2020-07-24T21:17:36Z,460000,,,0,,C. Paul FOUL personal (1 PF),"[101108, 1627759]",1610612760.0,OKC,take,,,Paul,C. Paul,,,,,,,,,,,,,,,2148.0,1.0,0.0,Brown,1627759.0,,,,,,
48,PT05M41.00S,2020-07-24T21:14:54.9Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628464,79.97700394218134,59.872855392156865,1610612738,6,11,2020-07-24T21:15:00Z,480000,49.0,136.0,1,right,MISS D. Theis 15' jumpshot,[1628464],1610612738.0,BOS,pullup,,,Theis,D. Theis,,,,,14.96,Missed,,,,,,,,,,,,,,,,,,,
49,PT05M39.00S,2020-07-24T21:14:56.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612760,6,11,2020-07-24T21:15:00Z,490000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
50,PT05M26.00S,2020-07-24T21:15:09.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],101108,15.062417871222076,41.98069852941176,1610612760,6,11,2020-07-24T21:15:19Z,500000,40.0,89.0,1,left,MISS C. Paul 10' jumpshot,[101108],1610612760.0,OKC,fadeaway,,,Paul,C. Paul,,,,,10.27,Missed,,,,,,,,,,,,,,,,,,,
51,PT05M24.00S,2020-07-24T21:15:11.9Z,1,REGULAR,rebound,offensive,[],203500,,,1610612760,6,11,2020-07-24T21:15:15Z,510000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,50.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
52,PT05M18.00S,2020-07-24T21:15:18.4Z,1,REGULAR,turnover,lostball,[],203500,,,1610612760,6,11,2020-07-24T21:15:22Z,520000,,,0,,S. Adams TURNOVER lostball (1 TOV) Stolen,"[203500, 1628369]",1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,
53,PT05M18.00S,2020-07-24T21:15:18.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,6,11,2020-07-24T21:15:20Z,530000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT05M15.00S,2020-07-24T21:15:23.7Z,1,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,6,11,2020-07-24T21:15:33Z,540000,,,0,,J. Tatum TURNOVER outofbounds (1 TOV),[1628369],1610612738.0,BOS,lostball,,,Tatum,J. Tatum,,,,,,,,,,,,,,,201638.0,,,,,,,1.0,,,
55,PT04M56.00S,2020-07-24T21:15:54.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1629652,5.206964520367937,52.76501225490197,1610612760,6,11,2020-07-24T21:15:59Z,550000,-14.0,-4.0,1,left,MISS L. Dort layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
56,PT04M54.00S,2020-07-24T21:15:56.3Z,1,REGULAR,rebound,offensive,[],203500,,,1610612760,6,11,2020-07-24T21:15:59Z,560000,,,0,,S. Adams REBOUND (Off:2 Def:2),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,55.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
57,PT04M53.00S,2020-07-24T21:15:57.5Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', '2ndchance']",203500,6.521024967148489,48.84344362745098,1610612760,6,13,2020-07-24T21:16:06Z,570000,6.0,9.0,1,left,S. Adams dunk (8 PTS),[203500],1610612760.0,OKC,putback,,,Adams,S. Adams,,,,,1.54,Made,,,,,8.0,,,,,,,,,,,,,,
58,PT04M42.00S,2020-07-24T21:16:08.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,83.26215505913272,51.294424019607845,1610612738,6,13,2020-07-24T21:16:13Z,580000,6.0,105.0,1,right,MISS G. Hayward 11' jumpshot,[202330],1610612738.0,BOS,turnaround,,,Hayward,G. Hayward,,,,,11.05,Missed,,,,,,,,,,,,,,,,,,,
59,PT04M39.00S,2020-07-24T21:16:11.5Z,1,REGULAR,rebound,defensive,[],201568,,,1610612760,6,13,2020-07-24T21:16:13Z,590000,,,0,,D. Gallinari REBOUND (Off:0 Def:3),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
60,PT04M30.00S,2020-07-24T21:16:19.8Z,1,REGULAR,2pt,hook,['pointsinthepaint'],203500,12.434296977660972,56.196384803921575,1610612760,6,13,2020-07-24T21:16:24Z,600000,-31.0,64.0,1,left,MISS S. Adams 8' hook,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,7.65,Missed,,,,,,,,,,,,,,,,,,,
61,PT04M28.00S,2020-07-24T21:16:21.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,13,2020-07-24T21:16:24Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT04M21.00S,2020-07-24T21:16:28.9Z,1,REGULAR,3pt,jumpshot,[],203935,72.7496714848883,16.490502450980394,1610612738,6,13,2020-07-24T21:16:32Z,620000,-168.0,204.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.8,Missed,,,,,,,,,,,,,,,,,,,
63,PT04M18.00S,2020-07-24T21:16:31.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,6,13,2020-07-24T21:16:32Z,630000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
64,PT04M09.00S,2020-07-24T21:16:41.2Z,1,REGULAR,3pt,jumpshot,[],1629652,8.492115637319317,4.4806985294117645,1610612760,6,13,2020-07-24T21:16:45Z,640000,228.0,27.0,1,left,MISS L. Dort 23' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.0,Missed,,,,,,,,,,,,,,,,,,,
65,PT04M06.00S,2020-07-24T21:16:44.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,13,2020-07-24T21:16:45Z,650000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
66,PT03M53.00S,2020-07-24T21:16:56.8Z,1,REGULAR,3pt,jumpshot,[],1627759,84.31340341655716,94.921875,1610612738,9,13,2020-07-24T21:17:00Z,660000,225.0,95.0,1,right,J. Brown 25' 3PT  (5 PTS) (D. Theis 2 AST),"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.61,Made,,,,,5.0,D. Theis,1628464.0,2.0,,,,,,,,,,,
68,PT03M36.00S,2020-07-24T21:17:14.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203500,6.258212877792378,50.80422794117647,1610612760,9,15,2020-07-24T21:17:21Z,680000,-4.0,6.0,1,left,S. Adams layup (10 PTS) (C. Paul 2 AST),"[203500, 101108]",1610612760.0,OKC,reverse,,,Adams,S. Adams,,,,,1.25,Made,,,,,10.0,C. Paul,101108.0,2.0,,,,,,,,,,,
70,PT03M13.00S,2020-07-24T21:17:37.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.51182654402102,50.80422794117647,1610612738,11,15,2020-07-24T21:17:40Z,700000,4.0,8.0,1,right,D. Theis layup (2 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,1.46,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
72,PT03M02.00S,2020-07-24T21:17:48.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628983,5.469776609724048,46.63756127450981,1610612760,11,17,2020-07-24T21:17:54Z,720000,17.0,-1.0,1,left,S. Gilgeous-Alexander layup (4 PTS),[1628983],1610612760.0,OKC,drivingreverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1.74,Made,,,,,4.0,,,,,,,,,,,,,,
73,PT02M48.00S,2020-07-24T21:18:02.0Z,1,REGULAR,3pt,jumpshot,[],203935,66.04796320630749,38.30422794117647,1610612738,11,17,2020-07-24T21:18:06Z,730000,-58.0,267.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,27.83,Missed,,,,,,,,,,,,,,,,,,,
74,PT02M45.00S,2020-07-24T21:18:05.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,11,17,2020-07-24T21:18:06Z,740000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
75,PT02M35.00S,2020-07-24T21:18:15.5Z,1,REGULAR,3pt,jumpshot,[],201568,27.283180026281208,17.47089460784314,1610612760,11,20,2020-07-24T21:18:19Z,750000,163.0,204.0,1,left,D. Gallinari 27' 3PT  (3 PTS) (S. Adams 1 AST),"[201568, 203500]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,26.52,Made,,,,,3.0,S. Adams,203500.0,1.0,,,,,,,,,,,
77,PT02M11.00S,2020-07-24T21:18:39.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.11760840998686,48.59834558823529,1610612738,13,20,2020-07-24T21:18:47Z,770000,-7.0,12.0,1,right,D. Theis layup (4 PTS) (G. Hayward 1 AST),"[1628464, 202330]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,1.9,Made,,,,,4.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
80,PT02M07.00S,2020-07-24T21:18:43.4Z,1,REGULAR,turnover,badpass,[],101108,,,1610612760,13,20,2020-07-24T21:18:51Z,800000,,,0,,C. Paul TURNOVER badpass (1 TOV) Stolen,"[101108, 203935]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,
81,PT02M07.00S,2020-07-24T21:18:43.4Z,1,REGULAR,steal,,[],203935,,,1610612738,13,20,2020-07-24T21:18:46Z,810000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT02M03.00S,2020-07-24T21:18:46.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203935,94.56307490144546,48.84344362745098,1610612738,15,20,2020-07-24T21:18:55Z,820000,-6.0,-1.0,1,right,M. Smart layup (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,0.71,Made,,,,,4.0,,,,,,,,,,,,,,
83,PT01M42.00S,2020-07-24T21:19:10.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612760,15,20,2020-07-24T21:19:10Z,830000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT01M42.00S,2020-07-24T21:19:16.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,15,20,2020-07-24T21:19:16Z,840000,,,0,,timeout full,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,out,[],203935,,,1610612760,15,20,2020-07-24T21:21:43Z,850000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612760,15,20,2020-07-24T21:21:43Z,860000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612760,15,20,2020-07-24T21:21:43Z,870000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,out,[],101108,,,1610612760,15,20,2020-07-24T21:21:43Z,880000,,,0,,substitution out Paul,[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,out,[],203500,,,1610612760,15,20,2020-07-24T21:21:43Z,890000,,,0,,substitution out Adams,[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,in,[],202954,,,1610612760,15,20,2020-07-24T21:21:43Z,900000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT01M42.00S,2020-07-24T21:20:35.2Z,1,REGULAR,substitution,in,[],202683,,,1610612760,15,20,2020-07-24T21:21:43Z,910000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
