actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
62,PT06M19.00S,2020-08-09T21:22:09.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628411,93.11760840998686,49.08854166666667,1610612753,6,13,2020-08-09T21:22:14Z,620000,-5.0,12.0,1,right,MISS W. Iwundu layup,[1628411],1610612753.0,ORL,driving,,,Iwundu,W. Iwundu,,,,,1.83,Missed,,,,,,,,,,,,,,,,,,
64,PT06M16.00S,2020-08-09T21:22:12.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,13,2020-08-09T21:22:14Z,640000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M09.00S,2020-08-09T21:22:23.4Z,1,REGULAR,foul,personal,[],1629109,,,1610612738,6,13,2020-08-09T21:22:32Z,650000,,,0,,G. Clark FOUL personal (1 PF),"[1629109, 1628464]",1610612753.0,ORL,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Theis,1628464.0,,,
67,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,out,[],202330,,,1610612738,6,13,2020-08-09T21:22:45Z,670000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,6,13,2020-08-09T21:22:45Z,680000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,out,[],1629109,,,1610612738,6,13,2020-08-09T21:22:45Z,690000,,,0,,substitution out Clark,[1629109],1610612753.0,ORL,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,in,[],203935,,,1610612738,6,13,2020-08-09T21:22:45Z,700000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,6,13,2020-08-09T21:22:45Z,710000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2020-08-09T21:22:28.1Z,1,REGULAR,substitution,in,[],203082,,,1610612738,6,13,2020-08-09T21:22:45Z,720000,,,0,,substitution in Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2020-08-09T21:23:00.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,6.783837056504599,49.333639705882355,1610612738,8,13,2020-08-09T21:23:06Z,730000,3.0,11.0,1,left,R. Williams III dunk (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alleyoop,,,Williams III,R. Williams III,,,,,1.71,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,
75,PT05M43.00S,2020-08-09T21:23:17.4Z,1,REGULAR,2pt,jumpshot,[],201571,76.2976346911958,67.9610906862745,1610612753,8,13,2020-08-09T21:23:21Z,750000,90.0,170.0,1,right,MISS D. Augustin 20' jumpshot,[201571],1610612753.0,ORL,drivingfloating,,,Augustin,D. Augustin,,,,,19.74,Missed,,,,,,,,,,,,,,,,,,
76,PT05M41.00S,2020-08-09T21:23:19.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,8,13,2020-08-09T21:23:21Z,760000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT05M34.00S,2020-08-09T21:23:25.1Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,6.389618922470433,50.314031862745104,1610612738,10,13,2020-08-09T21:23:31Z,770000,-2.0,8.0,1,left,R. Williams III dunk (4 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.32,Made,,,,,4.0,K. Walker,202689.0,1.0,,,,,,,,,,
79,PT05M17.00S,2020-08-09T21:23:42.1Z,1,REGULAR,3pt,jumpshot,[],201571,71.17279894875165,73.84344362745098,1610612753,10,13,2020-08-09T21:23:47Z,790000,119.0,218.0,1,right,MISS D. Augustin 25' 3PT,[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,
80,PT05M14.00S,2020-08-09T21:23:45.1Z,1,REGULAR,rebound,offensive,[],203516,,,1610612753,10,13,2020-08-09T21:23:47Z,800000,,,0,,J. Ennis III REBOUND (Off:1 Def:5),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,79.0,6.0,5.0,1.0,,,,,,,,,,,,,,
81,PT05M13.00S,2020-08-09T21:23:46.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203516,94.82588699080158,48.84344362745098,1610612753,10,15,2020-08-09T21:23:50Z,810000,-6.0,-4.0,1,right,J. Ennis III layup (6 PTS),[203516],1610612753.0,ORL,putback,,,Ennis III,J. Ennis III,,,,,0.6,Made,,,,,6.0,,,,,,,,,,,,,
82,PT04M59.00S,2020-08-09T21:24:00.2Z,1,REGULAR,3pt,jumpshot,[],203935,3.630091984231275,95.16697303921569,1610612738,13,15,2020-08-09T21:24:04Z,820000,-226.0,-18.0,1,left,M. Smart 23' 3PT  (3 PTS) (K. Walker 2 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.62,Made,,,,,3.0,K. Walker,202689.0,2.0,,,,,,,,,,
84,PT04M47.00S,2020-08-09T21:24:15.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612753,13,15,2020-08-09T21:24:15Z,840000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M47.00S,2020-08-09T21:24:15.7Z,1,REGULAR,substitution,out,[],201571,,,1610612753,13,15,2020-08-09T21:24:22Z,850000,,,0,,substitution out Augustin,[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M47.00S,2020-08-09T21:24:15.7Z,1,REGULAR,substitution,in,[],1628365,,,1610612753,13,15,2020-08-09T21:24:22Z,860000,,,0,,substitution in Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M39.00S,2020-08-09T21:24:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612753,13,15,2020-08-09T21:24:58Z,870000,,,0,,J. Brown FOUL personal (1 PF) (Iwundu 2freethrow),"[1627759, 1628411]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Iwundu,1628411.0,,,
89,PT04M39.00S,2020-08-09T21:25:08.6Z,1,REGULAR,freethrow,1of2,[],1628411,,,1610612753,13,16,2020-08-09T21:25:08Z,890000,,,0,,W. Iwundu freethrow 1of2 (3 PTS),[1628411],1610612753.0,ORL,,,,Iwundu,W. Iwundu,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
90,PT04M39.00S,2020-08-09T21:25:23.9Z,1,REGULAR,freethrow,2of2,[],1628411,,,1610612753,13,17,2020-08-09T21:25:23Z,900000,,,0,,W. Iwundu freethrow 2of2 (4 PTS),[1628411],1610612753.0,ORL,,,,Iwundu,W. Iwundu,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
91,PT04M27.00S,2020-08-09T21:25:44.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,17.69053876478318,62.56893382352941,1610612738,13,17,2020-08-09T21:25:48Z,910000,-63.0,114.0,1,left,MISS J. Brown 13' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.48,Missed,,,,,,,,,,,,,,,,,,
