actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
411,PT06M16.00S,2020-02-23T22:10:42.4Z,3,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,8.722076215505908,49.93106617647059,1610612738,70,75,2020-02-23T22:12:03Z,4018750,left,[BOS] Brown layup: Missed Block: Davis (1 BLK),"[1627759, 203076]",1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,3.5,: Missed,,,,,,,,,,,,,,,,,,,,Davis,203076.0,1.0,
413,PT06M14.00S,2020-02-23T22:10:44.4Z,3,REGULAR,rebound,defensive,[],203076,,,1610612747,70,75,2020-02-23T22:12:03Z,4019687,,[LAL] Davis defensive rebound (Off:3 Def:7),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,411.0,10.0,7.0,3.0,,,,,,,,,,,,,,,
414,PT06M04.00S,2020-02-23T22:10:52.6Z,3,REGULAR,2pt,layup,['pointsinthepaint'],2544,92.42772667542707,50.17616421568628,1610612747,72,75,2020-02-23T22:10:56Z,4080000,right,[LAL] James layup: Made (20 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,2.42,: Made,20.0,,,,,,,,,,,,,,,,,,,,,,
415,PT05M50.00S,2020-02-23T22:11:09.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203076,,,1610612738,72,75,2020-02-23T22:11:14Z,4090000,,[LAL] Davis foul personal (3 PF) (Tatum inpenalty),"[203076, 1628369]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,,,,,1830.0,3.0,0.0,Tatum,1628369.0,,,,,,,,,,
417,PT05M50.00S,2020-02-23T22:11:34.8Z,3,REGULAR,freethrow,1of2,[],1628369,,,1610612738,72,76,2020-02-23T22:11:34Z,4110000,,[BOS] Tatum freethrow 1of2: Made (32 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,32.0,,,,,,,,,,,,,,,,,,,,,,
418,PT05M50.00S,2020-02-23T22:11:37.1Z,3,REGULAR,substitution,out,[],1627759,,,1610612738,72,76,2020-02-23T22:11:43Z,4120000,,[BOS] substitution Brown replaced by Langford,"[1627759, 1629641]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,Langford,1629641.0,,,,
419,PT05M50.00S,2020-02-23T22:11:37.1Z,3,REGULAR,substitution,out,[],202330,,,1610612738,72,76,2020-02-23T22:11:43Z,4130000,,[BOS] substitution Hayward replaced by Wanamaker,"[202330, 202954]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,Wanamaker,202954.0,,,,
422,PT05M50.00S,2020-02-23T22:12:09.2Z,3,REGULAR,freethrow,2of2,[],1628369,,,1610612738,72,77,2020-02-23T22:12:09Z,4160000,,[BOS] Tatum freethrow 2of2: Made (33 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,33.0,,,,,,,,,,,,,,,,,,,,,,
423,PT05M43.00S,2020-02-23T22:12:17.7Z,3,REGULAR,3pt,jumpshot,[],201980,67.59198423127464,30.32322303921569,1610612747,72,77,2020-02-23T22:12:22Z,4170000,right,[LAL] Green 3pt jumpshot: Missed,[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,27.58,: Missed,,,,,,,,,,,,,,,,,,,,,,,
424,PT05M38.00S,2020-02-23T22:12:21.7Z,3,REGULAR,rebound,offensive,[],203076,,,1610612747,72,77,2020-02-23T22:12:21Z,4180000,,[LAL] Davis offensive rebound (Off:4 Def:7),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,423.0,11.0,7.0,4.0,,,,,,,,,,,,,,,
