actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
92,PT05M17.00S,2020-09-09T23:00:28.2Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,15,13,2020-09-09T23:00:38Z,920000,,,0,,J. Tatum REBOUND (Off:2 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,91.0,,6.0,4.0,2.0,,,,,,,,,
93,PT05M15.00S,2020-09-09T23:00:28.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,95.0,50.0,1610612738,17,13,2020-09-09T23:00:28Z,930000,0.0,-6.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,,,,,,Made,2.0,,0.0,,,,,,,,,,,,
94,PT05M05.00S,2020-09-09T23:00:39.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201188,7.703679369250986,47.86305147058824,1610612761,17,13,2020-09-09T23:00:45Z,940000,11.0,20.0,1,left,MISS M. Gasol layup,[201188],1610612761.0,TOR,driving,,,Gasol,M. Gasol,,,,,,,,,,Missed,,,2.76,,,,,,,,,,,,
95,PT05M05.00S,2020-09-09T23:00:39.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,17,13,2020-09-09T23:00:45Z,950000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,
96,PT05M04.00S,2020-09-09T23:00:44.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,17,13,2020-09-09T23:00:44Z,960000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,out,[],203935,,,1610612738,17,13,2020-09-09T23:01:01Z,970000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,out,[],201188,,,1610612738,17,13,2020-09-09T23:01:01Z,980000,,,0,,substitution out Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,out,[],1627783,,,1610612738,17,13,2020-09-09T23:01:01Z,990000,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,in,[],202954,,,1610612738,17,13,2020-09-09T23:01:01Z,1000000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,in,[],1626181,,,1610612738,17,13,2020-09-09T23:01:01Z,1010000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M04.00S,2020-09-09T23:00:45.4Z,1,REGULAR,substitution,in,[],201586,,,1610612738,17,13,2020-09-09T23:01:01Z,1020000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M42.00S,2020-09-09T23:01:29.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,91.67214191852825,56.68658088235294,1610612738,17,13,2020-09-09T23:01:37Z,1030000,33.0,26.0,1,right,MISS J. Brown layup Blocked,"[1627759, 201586]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,Missed,,,4.58,,,,,,,,,,Ibaka,201586.0,
104,PT04M42.00S,2020-09-09T23:01:29.8Z,1,REGULAR,block,,[],201586,,,1610612738,17,13,2020-09-09T23:01:31Z,1040000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M40.00S,2020-09-09T23:01:31.8Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,17,13,2020-09-09T23:01:37Z,1050000,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,103.0,,3.0,1.0,2.0,,,,,,,,,
106,PT04M40.00S,2020-09-09T23:01:33.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,92.85479632063075,54.72579656862745,1610612738,17,13,2020-09-09T23:02:12Z,1060000,24.0,15.0,1,right,MISS J. Brown layup Blocked,"[1627759, 201586]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,3.11,,,,,,,,,,Ibaka,201586.0,
107,PT04M40.00S,2020-09-09T23:01:33.3Z,1,REGULAR,block,,[],201586,,,1610612738,17,13,2020-09-09T23:01:36Z,1070000,,,0,,S. Ibaka BLOCK (2 BLK),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M40.00S,2020-09-09T23:01:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,17,13,2020-09-09T23:02:12Z,1080000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,
108,PT04M37.00S,2020-09-09T23:02:11.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612761,17,13,2020-09-09T23:02:11Z,1090000,,,0,,Jump Ball S. Ibaka vs. J. Brown: Tip to Team (TOR),"[201586, 1627759]",1610612761.0,TOR,heldball,Team (TOR),,,,Ibaka,201586.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,,
112,PT04M37.00S,2020-09-09T23:02:14.8Z,1,REGULAR,substitution,out,[],202689,,,1610612761,17,13,2020-09-09T23:02:18Z,1120000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M37.00S,2020-09-09T23:02:14.8Z,1,REGULAR,substitution,in,[],1628400,,,1610612761,17,13,2020-09-09T23:02:18Z,1130000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M22.00S,2020-09-09T23:02:39.8Z,1,REGULAR,turnover,lostball,[],1628384,,,1610612761,17,13,2020-09-09T23:02:45Z,1140000,,,0,,O. Anunoby TURNOVER lostball (1 TOV) Stolen,"[1628384, 1627759]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,
115,PT04M22.00S,2020-09-09T23:02:39.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,17,13,2020-09-09T23:02:41Z,1150000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M19.00S,2020-09-09T23:02:43.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.9862023653088,53.01011029411765,1610612738,19,13,2020-09-09T23:02:50Z,1160000,15.0,13.0,1,right,J. Brown layup (8 PTS),[1627759],1610612738.0,BOS,runningfingerroll,,,Brown,J. Brown,,,,,,,,,,Made,8.0,,2.42,,,,,,,,,,,,
117,PT04M04.00S,2020-09-09T23:02:57.5Z,1,REGULAR,3pt,jumpshot,[],200768,32.53942181340342,65.01991421568627,1610612761,19,13,2020-09-09T23:03:00Z,1170000,-75.0,253.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,26.96,,,,,,,,,,,,
118,PT04M03.00S,2020-09-09T23:02:58.5Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,19,13,2020-09-09T23:03:00Z,1180000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,117.0,,1.0,1.0,0.0,,,,,,,,,
119,PT03M58.00S,2020-09-09T23:03:06.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200768,,,1610612738,19,13,2020-09-09T23:03:12Z,1190000,,,0,,K. Lowry FOUL personal (2 PF) (Tatum inpenalty),"[200768, 1628369]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,2882.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
121,PT03M58.00S,2020-09-09T23:03:39.2Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,19,13,2020-09-09T23:03:39Z,1210000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,,,,,,,,,,
122,PT03M58.00S,2020-09-09T23:03:39.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,19,13,2020-09-09T23:03:39Z,1220000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,
123,PT03M58.00S,2020-09-09T23:03:44.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612738,19,13,2020-09-09T23:03:49Z,1230000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M58.00S,2020-09-09T23:03:44.5Z,1,REGULAR,substitution,in,[],1627783,,,1610612738,19,13,2020-09-09T23:03:49Z,1240000,,,0,,substitution in Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M58.00S,2020-09-09T23:04:06.0Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,20,13,2020-09-09T23:04:06Z,1250000,,,0,,J. Tatum freethrow 2of2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
126,PT03M41.00S,2020-09-09T23:04:28.2Z,1,REGULAR,violation,kickedball,[],1628464,,,1610612761,20,13,2020-09-09T23:04:35Z,1260000,,,0,,D. Theis violation kickedball,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,1146.0,,,,,,,,,,,,,,,,,,,,
127,PT03M30.00S,2020-09-09T23:04:53.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627783,8.360709592641262,51.53952205882353,1610612761,20,15,2020-09-09T23:04:58Z,1270000,-8.0,26.0,1,left,P. Siakam layup (3 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,drivingreverse,,,Siakam,P. Siakam,,,,,,,,,,Made,3.0,,3.25,,,,,,,F. VanVleet,1627832.0,1.0,,,
129,PT03M14.00S,2020-09-09T23:05:09.4Z,1,REGULAR,3pt,jumpshot,[],1627759,73.9323258869908,84.87285539215686,1610612738,23,15,2020-09-09T23:05:12Z,1290000,174.0,193.0,1,right,J. Brown 26' 3PT  (11 PTS) (B. Wanamaker 1 AST),"[1627759, 202954]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,11.0,,26.39,,,,,,,B. Wanamaker,202954.0,1.0,,,
131,PT03M00.00S,2020-09-09T23:05:27.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202954,,,1610612761,23,15,2020-09-09T23:05:43Z,1310000,,,0,,B. Wanamaker FOUL personal (1 PF) (Lowry inpenalty),"[202954, 200768]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,2882.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,,
133,PT03M00.00S,2020-09-09T23:05:58.9Z,1,REGULAR,freethrow,1of2,[],200768,,,1610612761,23,16,2020-09-09T23:05:58Z,1330000,,,0,,K. Lowry freethrow 1of2 (5 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
134,PT03M00.00S,2020-09-09T23:06:00.0Z,1,REGULAR,substitution,out,[],1627832,,,1610612761,23,16,2020-09-09T23:06:05Z,1340000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M00.00S,2020-09-09T23:06:00.0Z,1,REGULAR,substitution,in,[],1628384,,,1610612761,23,16,2020-09-09T23:06:05Z,1350000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT03M00.00S,2020-09-09T23:06:15.4Z,1,REGULAR,freethrow,2of2,[],200768,,,1610612761,23,17,2020-09-09T23:06:15Z,1360000,,,0,,K. Lowry freethrow 2of2 (6 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
137,PT02M46.00S,2020-09-09T23:06:31.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,83.52496714848883,37.32383578431372,1610612738,23,17,2020-09-09T23:06:34Z,1370000,-63.0,102.0,1,right,MISS B. Wanamaker 13' jumpshot,[202954],1610612738.0,BOS,drivingfloating,,,Wanamaker,B. Wanamaker,,,,,,,,,,Missed,,,12.51,,,,,,,,,,,,
138,PT02M45.00S,2020-09-09T23:06:32.8Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,23,17,2020-09-09T23:06:38Z,1380000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,137.0,,1.0,1.0,0.0,,,,,,,,,
139,PT02M35.00S,2020-09-09T23:06:42.5Z,1,REGULAR,2pt,jumpshot,[],200768,23.866622864651774,38.30422794117647,1610612761,23,19,2020-09-09T23:07:01Z,1390000,58.0,172.0,1,left,K. Lowry 19' jumpshot (8 PTS),[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,,,,,,Made,8.0,,18.67,,,,,,,,,,,,
140,PT02M22.00S,2020-09-09T23:06:57.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201586,,,1610612738,23,19,2020-09-09T23:07:05Z,1400000,,,0,,S. Ibaka FOUL personal (1 PF) (Tatum inpenalty),"[201586, 1628369]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,101284.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
142,PT02M22.00S,2020-09-09T23:07:07.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,19,2020-09-09T23:07:07Z,1420000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M22.00S,2020-09-09T23:09:12.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,23,19,2020-09-09T23:10:30Z,1430000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M22.00S,2020-09-09T23:09:12.8Z,1,REGULAR,substitution,in,[],202689,,,1610612738,23,19,2020-09-09T23:10:30Z,1440000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M22.00S,2020-09-09T23:10:45.4Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,24,19,2020-09-09T23:11:02Z,1450000,,,0,,J. Tatum freethrow 1of2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
146,PT02M22.00S,2020-09-09T23:10:45.4Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,24,19,2020-09-09T23:11:02Z,1460000,,,0,,MISS J. Tatum freethrow 2of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,,,,,,,,,,
147,PT02M22.00S,2020-09-09T23:10:45.4Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,24,19,2020-09-09T23:11:05Z,1470000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,146.0,,2.0,2.0,0.0,,,,,,,,,
148,PT02M03.00S,2020-09-09T23:11:19.2Z,1,REGULAR,3pt,jumpshot,[],1627783,32.013797634691194,67.71599264705883,1610612761,24,19,2020-09-09T23:11:22Z,1480000,-89.0,248.0,1,left,MISS P. Siakam 27' 3PT,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,26.89,,,,,,,,,,,,
149,PT02M02.00S,2020-09-09T23:11:20.2Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,24,19,2020-09-09T23:11:25Z,1490000,,,0,,B. Wanamaker REBOUND (Off:0 Def:2),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,148.0,,2.0,2.0,0.0,,,,,,,,,
150,PT01M46.00S,2020-09-09T23:11:35.8Z,1,REGULAR,3pt,jumpshot,[],1628400,93.77463863337714,3.5003063725490198,1610612738,24,19,2020-09-09T23:11:38Z,1500000,-232.0,6.0,1,right,MISS S. Ojeleye 23' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,Missed,,,23.28,,,,,,,,,,,,
151,PT01M45.00S,2020-09-09T23:11:36.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,24,19,2020-09-09T23:11:41Z,1510000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,150.0,,2.0,2.0,0.0,,,,,,,,,
152,PT01M36.00S,2020-09-09T23:11:46.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,8.09789750328515,49.57873774509804,1610612761,24,19,2020-09-09T23:11:52Z,1520000,2.0,24.0,1,left,MISS K. Lowry layup,[200768],1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,,,,,,Missed,,,2.92,,,,,,,,,,,,
153,PT01M35.00S,2020-09-09T23:11:47.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,24,19,2020-09-09T23:11:52Z,1530000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,
154,PT01M35.00S,2020-09-09T23:11:51.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627783,,,1610612738,24,19,2020-09-09T23:17:27Z,1540000,,,0,,P. Siakam FOUL personal (1 PF) (Tatum inpenalty),"[1627783, 1628369]",1610612761.0,TOR,looseball,,,Siakam,P. Siakam,,,,,101284.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
156,PT01M35.00S,2020-09-09T23:12:07.5Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,24,19,2020-09-09T23:18:33Z,1565000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,,,,,,,,,,
157,PT01M35.00S,2020-09-09T23:12:07.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,24,19,2020-09-09T23:18:33Z,1572500,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,
183,PT01M35.00S,2020-09-09T23:12:09.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,24,19,2020-09-09T23:18:17Z,1574375,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT01M35.00S,2020-09-09T23:12:09.1Z,1,REGULAR,substitution,out,[],200768,,,1610612738,24,19,2020-09-09T23:18:17Z,1575312,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT01M35.00S,2020-09-09T23:12:09.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,24,19,2020-09-09T23:18:17Z,1575781,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT01M35.00S,2020-09-09T23:12:09.1Z,1,REGULAR,substitution,in,[],1627832,,,1610612738,24,19,2020-09-09T23:18:17Z,1576015,,,0,,substitution in VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT01M35.00S,2020-09-09T23:12:07.5Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,25,19,2020-09-09T23:18:33Z,1576250,,,0,,J. Tatum freethrow 2of2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
163,PT01M12.00S,2020-09-09T23:13:19.0Z,1,REGULAR,3pt,jumpshot,[],1627832,38.58409986859396,26.53952205882353,1610612761,25,19,2020-09-09T23:14:51Z,1615000,117.0,310.0,1,left,MISS F. VanVleet 34' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,Missed,,,33.68,,,,,,,,,,,,
164,PT01M11.00S,2020-09-09T23:13:20.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,25,19,2020-09-09T23:14:51Z,1617500,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,163.0,,,,,,,,,,,,,
165,PT01M11.00S,2020-09-09T23:13:24.3Z,1,REGULAR,turnover,shotclock,['team'],0,,,1610612761,25,19,2020-09-09T23:13:32Z,1650000,,,0,,Team TURNOVER shotclock,[],1610612761.0,TOR,,,,,,,,,,101284.0,,,,,,,,,,,,,,,,,,,,
166,PT00M55.20S,2020-09-09T23:13:44.6Z,1,REGULAR,2pt,jumpshot,['fromturnover'],202954,84.97043363994744,32.91207107843137,1610612738,25,19,2020-09-09T23:13:48Z,1660000,-85.0,89.0,1,right,MISS B. Wanamaker 13' jumpshot,[202954],1610612738.0,BOS,drivingfloating,,,Wanamaker,B. Wanamaker,,,,,,,,,,Missed,,,12.72,,,,,,,,,,,,
167,PT00M53.90S,2020-09-09T23:13:45.9Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,25,19,2020-09-09T23:13:54Z,1670000,,,0,,J. Tatum REBOUND (Off:3 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,166.0,,7.0,4.0,3.0,,,,,,,,,
168,PT00M40.00S,2020-09-09T23:13:59.8Z,1,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",1628369,93.64323258869908,95.90226715686273,1610612738,25,19,2020-09-09T23:14:03Z,1680000,230.0,7.0,1,right,MISS J. Tatum 23' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,22.99,,,,,,,,,,,,
169,PT00M38.00S,2020-09-09T23:14:01.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,25,19,2020-09-09T23:14:06Z,1690000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,168.0,,2.0,2.0,0.0,,,,,,,,,
170,PT00M32.20S,2020-09-09T23:14:07.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627783,7.178055190538765,46.392463235294116,1610612761,25,19,2020-09-09T23:14:16Z,1700000,18.0,15.0,1,left,MISS P. Siakam layup Blocked,"[1627783, 1628369]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,,,,,,Missed,,,2.73,,,,,,,,,,Tatum,1628369.0,
171,PT00M32.20S,2020-09-09T23:14:07.6Z,1,REGULAR,block,,[],1628369,,,1610612761,25,19,2020-09-09T23:14:09Z,1710000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M31.60S,2020-09-09T23:14:08.2Z,1,REGULAR,rebound,offensive,[],201586,,,1610612761,25,19,2020-09-09T23:14:33Z,1720000,,,0,,S. Ibaka REBOUND (Off:1 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,170.0,,3.0,2.0,1.0,,,,,,,,,
173,PT00M21.90S,2020-09-09T23:14:17.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],201586,28.728646517739815,18.696384803921568,1610612761,25,19,2020-09-09T23:14:22Z,1730000,157.0,218.0,1,left,MISS S. Ibaka 27' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,Missed,,,27.24,,,,,,,,,,,,
174,PT00M20.60S,2020-09-09T23:14:19.1Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612761,25,19,2020-09-09T23:14:30Z,1740000,,,0,,N. Powell REBOUND (Off:1 Def:0),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,173.0,,1.0,0.0,1.0,,,,,,,,,
175,PT00M19.10S,2020-09-09T23:14:21.7Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1626181,10.5946123521682,50.55912990196079,1610612761,25,21,2020-09-09T23:14:26Z,1750000,-3.0,47.0,1,left,N. Powell jumpshot (2 PTS),[1626181],1610612761.0,TOR,floating,,,Powell,N. Powell,,,,,,,,,,Made,2.0,,5.27,,,,,,,,,,,,
176,PT00M06.50S,2020-09-09T23:14:36.5Z,1,REGULAR,3pt,jumpshot,[],202954,66.3107752956636,55.21599264705882,1610612738,25,21,2020-09-09T23:14:43Z,1760000,26.0,264.0,1,right,MISS B. Wanamaker 27' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,Missed,,,27.1,,,,,,,,,,,,
177,PT00M03.60S,2020-09-09T23:14:39.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,25,21,2020-09-09T23:14:57Z,1770000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,176.0,,1.0,0.0,1.0,,,,,,,,,
178,PT00M03.10S,2020-09-09T23:14:49.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,25,21,2020-09-09T23:14:49Z,1780000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
