actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
20,PT10M09.00S,2019-12-27T21:12:50.2Z,1,REGULAR,foul,offensive,[],1626224,,,1610612739,4,4,2019-12-27T21:13:00Z,200000,,,0,,C. Osman FOUL offensive (1 PF),"[1626224, 1627759]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,201640.0,1.0,0.0,Brown,1627759.0,,,,,,
22,PT10M09.00S,2019-12-27T21:12:50.2Z,1,REGULAR,turnover,offensivefoul,[],1626224,,,1610612739,4,4,2019-12-27T21:12:50Z,220000,,,0,,C. Osman TURNOVER offensivefoul (1 TOV),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,201640.0,,,,,1.0,,,,,
23,PT09M59.00S,2019-12-27T21:13:08.8Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,31.61957950065703,68.2061887254902,1610612738,4,4,2019-12-27T21:13:20Z,230000,-91.0,245.0,1,left,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2019-12-27T21:13:10.8Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612739,4,4,2019-12-27T21:13:20Z,240000,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M51.00S,2019-12-27T21:13:15.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1629012,94.03745072273325,47.127757352941174,1610612739,4,6,2019-12-27T21:13:26Z,250000,-14.0,4.0,1,right,C. Sexton layup (2 PTS),[1629012],1610612739.0,CLE,running,,,Sexton,C. Sexton,,,,,1.7,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2019-12-27T21:13:30.7Z,1,REGULAR,3pt,jumpshot,[],1627759,8.09789750328515,94.921875,1610612738,7,6,2019-12-27T21:13:36Z,260000,-225.0,24.0,1,left,J. Brown 23' 3PT  (7 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.65,Made,7.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
28,PT09M22.00S,2019-12-27T21:13:48.2Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612739,7,6,2019-12-27T21:13:56Z,280000,,,0,,J. Tatum FOUL personal (1 PF) (Love 2freethrow),"[1628369, 201567]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Love,201567.0,,,,,,
30,PT09M22.00S,2019-12-27T21:14:13.9Z,1,REGULAR,freethrow,1of2,[],201567,,,1610612739,7,7,2019-12-27T21:14:38Z,300000,,,0,,K. Love freethrow 1of2 (3 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
31,PT09M22.00S,2019-12-27T21:14:15.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612739,7,7,2019-12-27T21:14:18Z,310000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2019-12-27T21:14:15.7Z,1,REGULAR,substitution,in,[],202683,,,1610612739,7,7,2019-12-27T21:14:18Z,320000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2019-12-27T21:14:13.9Z,1,REGULAR,freethrow,2of2,[],201567,,,1610612739,7,7,2019-12-27T21:14:38Z,330000,,,0,,MISS K. Love freethrow 2of2,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M22.00S,2019-12-27T21:14:13.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,7,7,2019-12-27T21:14:38Z,340000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M00.00S,2019-12-27T21:14:54.2Z,1,REGULAR,2pt,jumpshot,[],1628369,12.697109067017081,32.666973039215684,1610612738,9,7,2019-12-27T21:15:02Z,350000,87.0,67.0,1,left,J. Tatum 11' jumpshot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,11.3,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
37,PT08M47.00S,2019-12-27T21:15:06.6Z,1,REGULAR,2pt,jumpshot,[],201567,80.50262812089356,23.108149509803923,1610612739,9,9,2019-12-27T21:15:24Z,370000,-134.0,131.0,1,right,K. Love 19' jumpshot (5 PTS) (C. Sexton 1 AST),"[201567, 1629012]",1610612739.0,CLE,bank,,,Love,K. Love,,,,,19.15,Made,5.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,,
38,PT08M31.00S,2019-12-27T21:15:22.6Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202330,7.046649145860711,49.82383578431372,1610612738,11,9,2019-12-27T21:15:27Z,380000,1.0,14.0,1,left,G. Hayward dunk (2 PTS) (E. Kanter 1 AST),"[202330, 202683]",1610612738.0,BOS,cutting,,,Hayward,G. Hayward,,,,,1.92,Made,2.0,E. Kanter,202683.0,1.0,,,,,,,,,,,,,,,
41,PT08M17.00S,2019-12-27T21:15:36.0Z,1,REGULAR,3pt,jumpshot,[],1629636,69.07030223390277,25.559129901960787,1610612739,11,9,2019-12-27T21:15:41Z,400000,-122.0,238.0,1,right,MISS D. Garland 27' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M15.00S,2019-12-27T21:15:38.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,11,9,2019-12-27T21:15:41Z,410000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,
43,PT07M57.00S,2019-12-27T21:15:57.2Z,1,REGULAR,2pt,jumpshot,[],1628369,5.913272010512484,84.65073529411765,1610612738,11,9,2019-12-27T21:16:08Z,420000,-173.0,3.0,1,left,MISS J. Tatum 17' jumpshot,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,17.35,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2019-12-27T21:15:59.2Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,11,9,2019-12-27T21:16:08Z,430000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,
45,PT07M51.00S,2019-12-27T21:16:02.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,8.09789750328515,48.59834558823529,1610612738,11,9,2019-12-27T21:16:15Z,440000,7.0,24.0,1,left,MISS E. Kanter layup,[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,2.99,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M49.00S,2019-12-27T21:16:04.3Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,11,9,2019-12-27T21:16:15Z,450000,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,45.0,3.0,2.0,1.0,,,,,,,,,,,
47,PT07M45.00S,2019-12-27T21:16:08.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626224,91.19579500657031,61.75321691176471,1610612739,11,11,2019-12-27T21:16:31Z,460000,59.0,30.0,1,right,C. Osman 7' jumpshot (4 PTS),[1626224],1610612739.0,CLE,drivingfloating,,,Osman,C. Osman,,,,,6.88,Made,4.0,,,,,,,,,,,,,,,,,,
48,PT07M28.00S,2019-12-27T21:16:25.2Z,1,REGULAR,turnover,lostball,[],202689,,,1610612738,11,11,2019-12-27T21:16:35Z,470000,,,0,,K. Walker TURNOVER lostball (1 TOV) Stolen,"[202689, 1629636]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,Garland,1629636.0,,,
49,PT07M28.00S,2019-12-27T21:16:25.2Z,1,REGULAR,steal,,[],1629636,,,1610612739,11,11,2019-12-27T21:16:27Z,480000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M24.00S,2019-12-27T21:16:29.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629636,93.64323258869908,50.80422794117647,1610612739,11,11,2019-12-27T21:16:39Z,490000,4.0,7.0,1,right,MISS D. Garland layup Blocked,"[1629636, 202689]",1610612739.0,CLE,drivingfingerroll,,,Garland,D. Garland,,,,,1.34,Missed,,,,,,,,,,,,,,,,,Walker,202689.0,
51,PT07M24.00S,2019-12-27T21:16:29.2Z,1,REGULAR,block,,[],202689,,,1610612739,11,11,2019-12-27T21:16:30Z,500000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M22.00S,2019-12-27T21:16:31.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,11,2019-12-27T21:16:39Z,510000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
53,PT07M19.00S,2019-12-27T21:16:34.7Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fastbreak']",1627759,16.90210249671485,35.36305147058824,1610612738,13,11,2019-12-27T21:16:46Z,520000,73.0,106.0,1,left,J. Brown 13' jumpshot (9 PTS),[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,13.37,Made,9.0,,,,,,,,,,,,,,,,,,
54,PT07M07.00S,2019-12-27T21:16:46.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629012,92.50985545335085,60.14093137254902,1610612739,13,13,2019-12-27T21:19:09Z,530000,51.0,18.0,1,right,C. Sexton 6' jumpshot (4 PTS),[1629012],1610612739.0,CLE,drivingfloating,,,Sexton,C. Sexton,,,,,5.58,Made,4.0,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2019-12-27T21:17:04.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,5.124835742444152,55.21216299019608,1610612738,15,13,2019-12-27T21:17:11Z,540000,-26.0,-4.0,1,left,K. Walker layup (2 PTS) (E. Kanter 2 AST),"[202689, 202683]",1610612738.0,BOS,drivingreverse,,,Walker,K. Walker,,,,,2.61,Made,2.0,E. Kanter,202683.0,2.0,,,,,,,,,,,,,,,
56,PT06M29.00S,2019-12-27T21:17:24.0Z,1,REGULAR,2pt,jumpshot,[],1626224,85.23324572930355,74.08854166666666,1610612739,15,13,2019-12-27T21:17:32Z,550000,120.0,86.0,1,right,MISS C. Osman 15' jumpshot,[1626224],1610612739.0,CLE,stepback,,,Osman,C. Osman,,,,,15.14,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M27.00S,2019-12-27T21:17:26.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,13,2019-12-27T21:17:32Z,560000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,
58,PT06M18.00S,2019-12-27T21:17:35.7Z,1,REGULAR,2pt,jumpshot,[],1628369,12.302890932982917,30.95128676470588,1610612738,17,13,2019-12-27T21:17:40Z,570000,95.0,63.0,1,left,J. Tatum 12' jumpshot (4 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,11.73,Made,4.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
59,PT06M06.00S,2019-12-27T21:17:47.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629012,81.2910643889619,53.255208333333336,1610612739,17,15,2019-12-27T21:18:06Z,580000,16.0,123.0,1,right,C. Sexton 13' jumpshot (6 PTS),[1629012],1610612739.0,CLE,drivingfloating,,,Sexton,C. Sexton,,,,,12.99,Made,6.0,,,,,,,,,,,,,,,,,,
60,PT06M06.00S,2019-12-27T21:17:54.0Z,1,REGULAR,foul,personal,['1freethrow'],202683,,,1610612739,17,15,2019-12-27T21:18:05Z,590000,,,0,,E. Kanter FOUL personal (1 PF) (Sexton 1freethrow),"[202683, 1629012]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,,,202035.0,1.0,0.0,Sexton,1629012.0,,,,,,
62,PT06M06.00S,2019-12-27T21:18:11.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,17,15,2019-12-27T21:19:09Z,610000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2019-12-27T21:20:36.6Z,1,REGULAR,substitution,out,[],202330,,,1610612739,17,15,2019-12-27T21:21:08Z,620000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2019-12-27T21:20:36.6Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,17,15,2019-12-27T21:21:08Z,630000,,,0,,substitution out Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M06.00S,2019-12-27T21:20:36.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612739,17,15,2019-12-27T21:21:08Z,640000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M06.00S,2019-12-27T21:20:36.6Z,1,REGULAR,substitution,in,[],203521,,,1610612739,17,15,2019-12-27T21:21:08Z,650000,,,0,,substitution in Dellavedova,[203521],1610612739.0,CLE,,,,Dellavedova,M. Dellavedova,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M06.00S,2019-12-27T21:21:09.8Z,1,REGULAR,freethrow,1of1,[],1629012,,,1610612739,17,16,2019-12-27T21:21:09Z,660000,,,0,,C. Sexton freethrow 1of1 (7 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
69,PT05M55.00S,2019-12-27T21:21:22.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,6.783837056504599,46.14736519607843,1610612738,19,16,2019-12-27T21:21:36Z,670000,19.0,11.0,1,left,K. Walker layup (4 PTS) (G. Williams 1 AST),"[202689, 1629684]",1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,2.56,Made,4.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
72,PT05M30.00S,2019-12-27T21:21:47.4Z,1,REGULAR,3pt,jumpshot,[],1626224,65.65374507227332,36.833639705882355,1610612739,19,16,2019-12-27T21:21:55Z,690000,-66.0,270.0,1,right,MISS C. Osman 28' 3PT,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,28.36,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M27.00S,2019-12-27T21:21:50.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,19,16,2019-12-27T21:21:55Z,700000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,
74,PT05M27.00S,2019-12-27T21:21:53.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,19,16,2019-12-27T21:21:53Z,710000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M27.00S,2019-12-27T21:21:55.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,19,16,2019-12-27T21:22:03Z,720000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2019-12-27T21:21:55.0Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,19,16,2019-12-27T21:22:03Z,730000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M12.00S,2019-12-27T21:22:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1629012,,,1610612738,19,16,2019-12-27T21:22:31Z,740000,,,0,,C. Sexton FOUL personal (1 PF) (Walker 2freethrow),"[1629012, 202689]",1610612739.0,CLE,shooting,,,Sexton,C. Sexton,,,,,,,,,,,,,,,202035.0,1.0,0.0,Walker,202689.0,,,,,,
79,PT05M12.00S,2019-12-27T21:22:47.2Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,20,16,2019-12-27T21:22:47Z,760000,,,0,,K. Walker freethrow 1of2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
80,PT05M12.00S,2019-12-27T21:23:04.0Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,21,16,2019-12-27T21:23:04Z,770000,,,0,,K. Walker freethrow 2of2 (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
81,PT04M52.00S,2019-12-27T21:23:25.5Z,1,REGULAR,3pt,jumpshot,[],201567,77.87450722733246,89.28462009803921,1610612739,21,19,2019-12-27T21:23:30Z,780000,196.0,155.0,1,right,K. Love 25' 3PT  (8 PTS) (C. Osman 1 AST),"[201567, 1626224]",1610612739.0,CLE,,,,Love,K. Love,,,,,25.4,Made,8.0,C. Osman,1626224.0,1.0,,,,,,,,,,,,,,,
83,PT04M35.00S,2019-12-27T21:23:43.1Z,1,REGULAR,3pt,jumpshot,[],1627759,31.09395532194481,73.35324754901961,1610612738,24,19,2019-12-27T21:23:47Z,800000,-117.0,240.0,1,left,J. Brown 27' 3PT  (12 PTS) (G. Williams 2 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.17,Made,12.0,G. Williams,1629684.0,2.0,,,,,,,,,,,,,,,
85,PT04M11.00S,2019-12-27T21:24:07.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626224,93.9060446780552,55.4610906862745,1610612739,24,19,2019-12-27T21:24:15Z,820000,27.0,5.0,1,right,MISS C. Osman layup Blocked,"[1626224, 1629641]",1610612739.0,CLE,cutting,,,Osman,C. Osman,,,,,2.92,Missed,,,,,,,,,,,,,,,,,Langford,1629641.0,
86,PT04M11.00S,2019-12-27T21:24:07.3Z,1,REGULAR,block,,[],1629641,,,1610612739,24,19,2019-12-27T21:24:09Z,830000,,,0,,R. Langford BLOCK (1 BLK),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M08.00S,2019-12-27T21:24:10.3Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,24,19,2019-12-27T21:24:15Z,840000,,,0,,E. Kanter REBOUND (Off:1 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,85.0,3.0,2.0,1.0,,,,,,,,,,,
88,PT04M01.00S,2019-12-27T21:24:18.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,8.623521681997373,47.127757352941174,1610612738,24,19,2019-12-27T21:24:27Z,850000,14.0,29.0,1,left,MISS K. Walker layup Blocked,"[202689, 1626224]",1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,3.7,Missed,,,,,,,,,,,,,,,,,Osman,1626224.0,
89,PT04M01.00S,2019-12-27T21:24:18.9Z,1,REGULAR,block,,[],1626224,,,1610612738,24,19,2019-12-27T21:24:21Z,860000,,,0,,C. Osman BLOCK (1 BLK),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M59.00S,2019-12-27T21:24:20.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,24,19,2019-12-27T21:24:27Z,870000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,
91,PT03M59.00S,2019-12-27T21:24:23.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,24,19,2019-12-27T21:24:23Z,880000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M59.00S,2019-12-27T21:24:23.9Z,1,REGULAR,substitution,out,[],202684,,,1610612738,24,19,2019-12-27T21:24:30Z,890000,,,0,,substitution out Thompson,[202684],1610612739.0,CLE,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M59.00S,2019-12-27T21:24:23.9Z,1,REGULAR,substitution,out,[],1626224,,,1610612738,24,19,2019-12-27T21:24:30Z,900000,,,0,,substitution out Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
