actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
93,PT04M28.00S,2020-09-17T23:30:14.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,16,17,2020-09-17T23:30:16Z,930000,,,0,,D. Theis REBOUND (Off:0 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,92.0,4.0,4.0,0.0,,,,,,,,,,,,,
94,PT04M20.00S,2020-09-17T23:30:22.6Z,1,REGULAR,3pt,jumpshot,[],203935,68.67608409986859,62.814031862745104,1610612738,19,17,2020-09-17T23:30:29Z,940000,64.0,242.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,25.56,Made,3.0,,,,,,,J. Brown,1627759.0,2.0,,,,,,,,
96,PT04M02.00S,2020-09-17T23:30:43.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203482,7.5722733245729295,52.27481617647059,1610612748,19,19,2020-09-17T23:30:48Z,960000,-11.0,19.0,1,left,K. Olynyk jumpshot (2 PTS) (T. Herro 1 AST),"[203482, 1629639]",1610612748.0,MIA,drivingfloating,,,Olynyk,K. Olynyk,,,,,2.68,Made,2.0,,,,,,,T. Herro,1629639.0,1.0,,,,,,,,
98,PT04M02.00S,2020-09-17T23:30:47.5Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612748,19,19,2020-09-17T23:30:58Z,980000,,,0,,D. Theis FOUL personal (1 PF) (Olynyk 1freethrow),"[1628464, 203482]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Olynyk,203482.0,,,,
100,PT04M02.00S,2020-09-17T23:31:11.1Z,1,REGULAR,freethrow,1of1,[],203482,,,1610612748,19,19,2020-09-17T23:31:13Z,1000000,,,0,,MISS K. Olynyk freethrow 1of1,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,Missed,,,,,,,,,,,,,,,,,,
101,PT03M59.00S,2020-09-17T23:31:14.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,19,19,2020-09-17T23:31:13Z,1010000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,100.0,1.0,1.0,0.0,,,,,,,,,,,,,
102,PT03M47.00S,2020-09-17T23:31:24.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,79.84559789750328,47.127757352941174,1610612738,21,19,2020-09-17T23:31:32Z,1020000,-14.0,137.0,1,right,M. Smart 14' jumpshot (5 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,pullupbank,,,Smart,M. Smart,,,,,14.32,Made,5.0,,,,,,,D. Theis,1628464.0,1.0,,,,,,,,
104,PT03M38.00S,2020-09-17T23:31:34.1Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1629639,6.389618922470433,51.049325980392155,1610612748,21,21,2020-09-17T23:34:26Z,1040000,-5.0,8.0,1,left,T. Herro layup (2 PTS),[1629639],1610612748.0,MIA,drivingfingerroll,,,Herro,T. Herro,,,,,1.41,Made,2.0,,,,,,,,,,,,,,,,,
105,PT03M25.00S,2020-09-17T23:31:46.4Z,1,REGULAR,3pt,jumpshot,[],1628464,66.83639947437582,50.314031862745104,1610612738,21,21,2020-09-17T23:31:50Z,1050000,2.0,259.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,
106,PT03M22.00S,2020-09-17T23:31:49.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,21,21,2020-09-17T23:31:50Z,1060000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,
107,PT03M18.00S,2020-09-17T23:31:54.4Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1629639,29.77989487516426,24.823835784313726,1610612748,21,21,2020-09-17T23:32:00Z,1070000,126.0,227.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,26.48,Missed,,,,,,,,,,,,,,,,,,
108,PT03M13.00S,2020-09-17T23:31:59.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,21,2020-09-17T23:32:00Z,1080000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,
109,PT03M08.00S,2020-09-17T23:32:03.5Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fastbreak']",1627759,84.97043363994744,48.59834558823529,1610612738,23,21,2020-09-17T23:32:11Z,1090000,-7.0,89.0,1,right,J. Brown 9' jumpshot (4 PTS),[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,9.46,Made,4.0,,,,,,,,,,,,,,,,,
110,PT03M00.00S,2020-09-17T23:32:15.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,23,21,2020-09-17T23:32:15Z,1100000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612748,23,21,2020-09-17T23:36:00Z,1110000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,out,[],202689,,,1610612748,23,21,2020-09-17T23:36:00Z,1120000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,out,[],202710,,,1610612748,23,21,2020-09-17T23:36:00Z,1130000,,,0,,substitution out Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,out,[],203109,,,1610612748,23,21,2020-09-17T23:36:00Z,1140000,,,0,,substitution out Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612748,23,21,2020-09-17T23:36:00Z,1150000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,in,[],202954,,,1610612748,23,21,2020-09-17T23:36:00Z,1160000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,in,[],201609,,,1610612748,23,21,2020-09-17T23:36:00Z,1170000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M00.00S,2020-09-17T23:35:33.2Z,1,REGULAR,substitution,in,[],2738,,,1610612748,23,21,2020-09-17T23:36:00Z,1180000,,,0,,substitution in Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M49.00S,2020-09-17T23:36:12.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203482,10.200394218134035,44.43167892156863,1610612748,23,21,2020-09-17T23:36:19Z,1190000,28.0,43.0,1,left,MISS K. Olynyk 6' jumpshot Blocked,"[203482, 1628369]",1610612748.0,MIA,drivingfloating,,,Olynyk,K. Olynyk,,,,,5.62,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0
120,PT02M49.00S,2020-09-17T23:36:12.6Z,1,REGULAR,block,,[],1628369,,,1610612748,23,21,2020-09-17T23:36:14Z,1200000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M49.00S,2020-09-17T23:36:12.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,23,21,2020-09-17T23:36:19Z,1210000,,,0,,Team offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,
122,PT02M49.00S,2020-09-17T23:36:16.7Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612748,23,21,2020-09-17T23:36:16Z,1220000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M46.00S,2020-09-17T23:36:42.0Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1629130,27.151773981603156,78.99050245098039,1610612748,23,24,2020-09-17T23:36:47Z,1230000,-145.0,203.0,1,left,D. Robinson 25' 3PT  (12 PTS) (G. Dragic 2 AST),"[1629130, 201609]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.37,Made,12.0,,,,,,,G. Dragic,201609.0,2.0,,,,,,,,
125,PT02M29.00S,2020-09-17T23:36:58.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628400,94.43166885676742,49.57873774509804,1610612738,23,24,2020-09-17T23:37:06Z,1250000,-2.0,0.0,1,right,MISS S. Ojeleye layup Blocked,"[1628400, 1629130]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,0.57,Missed,,,,,,,,,,,,,,,,,Robinson,1629130.0
126,PT02M29.00S,2020-09-17T23:36:58.2Z,1,REGULAR,block,,[],1629130,,,1610612738,23,24,2020-09-17T23:37:00Z,1260000,,,0,,D. Robinson BLOCK (1 BLK),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M27.00S,2020-09-17T23:37:00.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,23,24,2020-09-17T23:37:06Z,1270000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,
128,PT02M22.00S,2020-09-17T23:37:07.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612748,23,24,2020-09-17T23:37:29Z,1280000,,,0,,M. Smart FOUL personal (2 PF) (Herro inpenalty),"[203935, 1629639]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,1148.0,,,,,2.0,0.0,Herro,1629639.0,,,,
130,PT02M22.00S,2020-09-17T23:37:30.7Z,1,REGULAR,freethrow,1of2,[],1629639,,,1610612748,23,25,2020-09-17T23:37:30Z,1300000,,,0,,T. Herro freethrow 1of2 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
131,PT02M22.00S,2020-09-17T23:37:45.3Z,1,REGULAR,freethrow,2of2,[],1629639,,,1610612748,23,26,2020-09-17T23:37:45Z,1310000,,,0,,T. Herro freethrow 2of2 (4 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
132,PT02M09.00S,2020-09-17T23:38:00.1Z,1,REGULAR,turnover,lostball,[],1628369,,,1610612738,23,26,2020-09-17T23:38:07Z,1320000,,,0,,J. Tatum TURNOVER lostball (1 TOV) Stolen,"[1628369, 1629639]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,1.0,,,,,,,,Herro,1629639.0,,
133,PT02M09.00S,2020-09-17T23:38:00.1Z,1,REGULAR,steal,,[],1629639,,,1610612748,23,26,2020-09-17T23:38:01Z,1330000,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M04.00S,2020-09-17T23:38:04.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,8.754927726675426,41.490502450980394,1610612748,23,26,2020-09-17T23:38:11Z,1340000,43.0,30.0,1,left,MISS T. Herro 6' layup,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,5.52,Missed,,,,,,,,,,,,,,,,,,
135,PT02M02.00S,2020-09-17T23:38:06.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,26,2020-09-17T23:38:06Z,1350000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,134.0,2.0,2.0,0.0,,,,,,,,,,,,,
136,PT01M55.00S,2020-09-17T23:38:15.7Z,1,REGULAR,foul,personal,[],203482,,,1610612738,23,26,2020-09-17T23:38:26Z,1360000,,,0,,K. Olynyk FOUL personal (1 PF),"[203482, 1628369]",1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Tatum,1628369.0,,,,
138,PT01M44.00S,2020-09-17T23:38:46.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,90.22667542706965,63.05912990196079,1610612738,25,26,2020-09-17T23:38:50Z,1380000,65.0,39.0,1,right,J. Tatum 8' jumpshot (4 PTS) (D. Theis 2 AST),"[1628369, 1628464]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,7.92,Made,4.0,,,,,,,D. Theis,1628464.0,2.0,,,,,,,,
140,PT01M21.00S,2020-09-17T23:39:08.3Z,1,REGULAR,3pt,jumpshot,[],1629130,4.5499342969776615,95.65716911764706,1610612748,25,26,2020-09-17T23:39:16Z,1400000,-228.0,-10.0,1,left,MISS D. Robinson 23' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,
141,PT01M19.00S,2020-09-17T23:39:10.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,25,26,2020-09-17T23:45:47Z,1410000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,140.0,2.0,2.0,0.0,,,,,,,,,,,,,
142,PT01M13.00S,2020-09-17T23:39:17.1Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1628369,93.51182654402102,48.84344362745098,1610612738,27,26,2020-09-17T23:39:27Z,1420000,-6.0,8.0,1,right,J. Tatum layup (6 PTS),[1628369],1610612738.0,BOS,runningfingerroll,,,Tatum,J. Tatum,,,,,1.52,Made,6.0,,,,,,,,,,,,,,,,,
144,PT01M01.00S,2020-09-17T23:39:27.9Z,1,REGULAR,3pt,jumpshot,[],203482,27.677398160315374,78.25520833333334,1610612748,27,26,2020-09-17T23:39:36Z,1440000,-141.0,208.0,1,left,MISS K. Olynyk 26' 3PT,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,
145,PT00M59.30S,2020-09-17T23:39:29.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,27,26,2020-09-17T23:39:36Z,1450000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,
146,PT00M59.30S,2020-09-17T23:39:34.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,27,26,2020-09-17T23:39:34Z,1460000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,27,26,2020-09-17T23:39:50Z,1470000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,out,[],203482,,,1610612738,27,26,2020-09-17T23:39:50Z,1480000,,,0,,substitution out Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,out,[],1629130,,,1610612738,27,26,2020-09-17T23:39:50Z,1490000,,,0,,substitution out Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,in,[],202683,,,1610612738,27,26,2020-09-17T23:39:50Z,1500000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,in,[],1628389,,,1610612738,27,26,2020-09-17T23:39:50Z,1510000,,,0,,substitution in Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M59.30S,2020-09-17T23:39:35.4Z,1,REGULAR,substitution,in,[],1629134,,,1610612738,27,26,2020-09-17T23:39:50Z,1520000,,,0,,substitution in Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M46.10S,2020-09-17T23:40:09.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,80.76544021024968,62.56893382352941,1610612738,27,26,2020-09-17T23:40:18Z,1530000,63.0,128.0,1,right,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,14.78,Missed,,,,,,,,,,,,,,,,,,
154,PT00M43.10S,2020-09-17T23:40:12.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,27,26,2020-09-17T23:40:12Z,1540000,,,0,,B. Adebayo REBOUND (Off:2 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,153.0,4.0,2.0,2.0,,,,,,,,,,,,,
155,PT00M38.90S,2020-09-17T23:40:16.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],201609,11.251642575558476,95.41207107843137,1610612748,27,26,2020-09-17T23:40:22Z,1550000,-227.0,53.0,1,left,MISS G. Dragic 23' 3PT,[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,
156,PT00M35.50S,2020-09-17T23:40:19.7Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,27,26,2020-09-17T23:40:22Z,1560000,,,0,,E. Kanter REBOUND (Off:0 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,155.0,3.0,3.0,0.0,,,,,,,,,,,,,
157,PT00M30.50S,2020-09-17T23:40:24.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,76.42904073587385,13.549325980392158,1610612738,30,26,2020-09-17T23:40:30Z,1570000,-182.0,169.0,1,right,M. Smart 25' 3PT  (8 PTS),[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,25.24,Made,8.0,,,,,,,,,,,,,,,,,
158,PT00M08.00S,2020-09-17T23:40:51.3Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201609,6.521024967148489,64.28462009803921,1610612748,30,28,2020-09-17T23:41:00Z,1580000,-71.0,9.0,1,left,G. Dragic 7' jumpshot (5 PTS),[201609],1610612748.0,MIA,drivingfloating,,,Dragic,G. Dragic,,,,,7.28,Made,5.0,,,,,,,,,,,,,,,,,
159,PT00M00.90S,2020-09-17T23:41:01.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629639,,,1610612738,30,28,2020-09-17T23:41:20Z,1590000,,,0,,T. Herro FOUL personal (1 PF) (Tatum inpenalty),"[1629639, 1628369]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Tatum,1628369.0,,,,
161,PT00M00.90S,2020-09-17T23:41:30.4Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,30,28,2020-09-17T23:41:30Z,1610000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT00M00.90S,2020-09-17T23:41:30.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,30,28,2020-09-17T23:41:30Z,1620000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,
163,PT00M00.90S,2020-09-17T23:41:44.4Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,31,28,2020-09-17T23:41:44Z,1630000,,,0,,J. Tatum freethrow 2of2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2020-09-17T23:41:50.2Z,1,REGULAR,period,end,[],0,,,1610612748,31,28,2020-09-17T23:41:50Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2020-09-17T23:44:50.6Z,2,REGULAR,substitution,out,['startperiod'],1628400,,,1610612748,31,28,2020-09-17T23:45:32Z,1650000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2020-09-17T23:44:50.6Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612748,31,28,2020-09-17T23:45:32Z,1660000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2020-09-17T23:45:32.8Z,2,REGULAR,period,start,[],0,,,1610612748,31,28,2020-09-17T23:45:32Z,1670000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M45.00S,2020-09-17T23:45:45.9Z,2,REGULAR,turnover,badpass,[],201609,,,1610612748,31,28,2020-09-17T23:45:51Z,1680000,,,0,,G. Dragic TURNOVER badpass (2 TOV) Stolen,"[201609, 203935]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,2.0,,,,,,,,Smart,203935.0,,
169,PT11M45.00S,2020-09-17T23:45:45.9Z,2,REGULAR,steal,,[],203935,,,1610612738,31,28,2020-09-17T23:45:47Z,1690000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M40.00S,2020-09-17T23:45:52.0Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202683,94.56307490144546,46.63756127450981,1610612738,33,28,2020-09-17T23:45:59Z,1700000,-17.0,-1.0,1,right,E. Kanter layup (4 PTS) (B. Wanamaker 1 AST),"[202683, 202954]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.73,Made,4.0,,,,,,,B. Wanamaker,202954.0,1.0,,,,,,,,
172,PT11M21.00S,2020-09-17T23:46:11.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629134,6.258212877792378,51.294424019607845,1610612748,33,28,2020-09-17T23:46:16Z,1720000,-6.0,6.0,1,left,MISS K. Nunn layup Blocked,"[1629134, 203935]",1610612748.0,MIA,drivingreverse,,,Nunn,K. Nunn,,,,,1.35,Missed,,,,,,,,,,,,,,,,,Smart,203935.0
173,PT11M21.00S,2020-09-17T23:46:11.0Z,2,REGULAR,block,,[],203935,,,1610612748,33,28,2020-09-17T23:46:13Z,1730000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M17.00S,2020-09-17T23:46:15.0Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,33,28,2020-09-17T23:46:16Z,1740000,,,0,,E. Kanter REBOUND (Off:0 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,172.0,4.0,4.0,0.0,,,,,,,,,,,,,
175,PT11M05.00S,2020-09-17T23:46:27.3Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,80.76544021024968,37.8140318627451,1610612738,33,28,2020-09-17T23:46:33Z,1750000,-61.0,128.0,1,right,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,14.7,Missed,,,,,,,,,,,,,,,,,,
176,PT11M02.00S,2020-09-17T23:46:30.3Z,2,REGULAR,rebound,defensive,[],1629134,,,1610612748,33,28,2020-09-17T23:46:33Z,1760000,,,0,,K. Nunn REBOUND (Off:0 Def:1),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,175.0,1.0,1.0,0.0,,,,,,,,,,,,,
177,PT10M59.00S,2020-09-17T23:46:33.2Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1629639,5.995400788436268,48.84344362745098,1610612748,33,30,2020-09-17T23:46:38Z,1770000,6.0,4.0,1,left,T. Herro layup (6 PTS) (K. Nunn 1 AST),"[1629639, 1629134]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,1.1,Made,6.0,,,,,,,K. Nunn,1629134.0,1.0,,,,,,,,
179,PT10M44.00S,2020-09-17T23:46:49.9Z,2,REGULAR,foul,offensive,[],202954,,,1610612738,33,30,2020-09-17T23:46:59Z,1790000,,,0,,B. Wanamaker FOUL offensive (1 PF),"[202954, 201609]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Dragic,201609.0,,,,
181,PT10M44.00S,2020-09-17T23:46:49.9Z,2,REGULAR,turnover,offensivefoul,[],202954,,,1610612738,33,30,2020-09-17T23:46:49Z,1810000,,,0,,B. Wanamaker TURNOVER offensivefoul (1 TOV),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,2529.0,1.0,,,,,,,,,,,
182,PT10M34.00S,2020-09-17T23:47:12.1Z,2,REGULAR,3pt,jumpshot,['fromturnover'],201609,24.129434954007884,12.568933823529413,1610612748,33,30,2020-09-17T23:47:17Z,1820000,187.0,174.0,1,left,MISS G. Dragic 26' 3PT,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
