actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
33,PT09M24.00S,2020-08-30T17:20:28.0Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1627759,84.05059132720105,72.37285539215686,1610612738,0,5,2020-08-30T17:20:32Z,330000,112.0,97.0,1,right,MISS J. Brown 15' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,15.2,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M21.00S,2020-08-30T17:20:31.0Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,5,2020-08-30T17:20:32Z,340000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT09M14.00S,2020-08-30T17:20:39.9Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627783,8.09789750328515,42.22579656862745,1610612761,2,5,2020-08-30T17:21:07Z,350000,39.0,24.0,1,left,P. Siakam hook (2 PTS) (K. Lowry 1 AST),"[1627783, 200768]",1610612761.0,TOR,turnaroundbank,,,Siakam,P. Siakam,,,,,4.86,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
37,PT09M14.00S,2020-08-30T17:20:42.8Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612761,2,5,2020-08-30T17:20:49Z,370000,,,0,,J. Brown FOUL personal (1 PF) (Siakam 1freethrow),"[1627759, 1627783]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,101284.0,,1.0,0.0,Siakam,1627783.0,,,,,
39,PT09M14.00S,2020-08-30T17:21:14.0Z,1,REGULAR,freethrow,1of1,[],1627783,,,1610612761,3,5,2020-08-30T17:21:14Z,390000,,,0,,P. Siakam freethrow 1of1 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
40,PT09M01.00S,2020-08-30T17:21:29.0Z,1,REGULAR,3pt,jumpshot,[],1627759,73.27529566360053,13.059129901960784,1610612738,3,8,2020-08-30T17:21:34Z,400000,-185.0,199.0,1,right,J. Brown 28' 3PT  (5 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.53,Made,,,,,5.0,K. Walker,202689.0,1.0,,,,,,,,,,,
104,PT08M52.00S,2020-08-30T17:21:33.6Z,1,REGULAR,turnover,lostball,[],200768,,,1610612761,3,8,2020-08-30T17:34:02Z,415000,,,0,,K. Lowry TURNOVER lostball (2 TOV) Stolen,"[200768, 1628464]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,2.0,,,,,Theis,1628464.0,,,
105,PT08M52.00S,2020-08-30T17:21:33.6Z,1,REGULAR,steal,,[],1628464,,,1610612738,3,8,2020-08-30T17:34:02Z,417500,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M48.00S,2020-08-30T17:21:44.1Z,1,REGULAR,turnover,outofbounds,[],203935,,,1610612738,3,8,2020-08-30T17:21:53Z,450000,,,0,,M. Smart TURNOVER outofbounds (1 TOV),[203935],1610612738.0,BOS,badpass,,,Smart,M. Smart,,,,,,,,,,,,,,,101284.0,1.0,,,,,,,,,
46,PT08M25.00S,2020-08-30T17:22:13.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628384,5.995400788436268,94.18658088235294,1610612761,3,8,2020-08-30T17:22:17Z,460000,-221.0,4.0,1,left,MISS O. Anunoby 22' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.11,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M23.00S,2020-08-30T17:22:15.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,8,2020-08-30T17:22:17Z,470000,,,0,,D. Theis REBOUND (Off:0 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
49,PT08M07.00S,2020-08-30T17:22:33.5Z,1,REGULAR,foul,personal,[],200768,,,1610612738,3,8,2020-08-30T17:22:40Z,490000,,,0,,K. Lowry FOUL personal (1 PF),"[200768, 1627759]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,202058.0,,1.0,0.0,Brown,1627759.0,,,,,
51,PT08M04.00S,2020-08-30T17:22:54.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,91.14651773981603,49.82383578431372,1610612738,3,10,2020-08-30T17:23:17Z,510000,-1.0,31.0,1,right,D. Theis layup (2 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,drivingfingerroll,,,Theis,D. Theis,,,,,3.62,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
53,PT08M04.00S,2020-08-30T17:22:57.4Z,1,REGULAR,foul,personal,['1freethrow'],201188,,,1610612738,3,10,2020-08-30T17:23:06Z,530000,,,0,,M. Gasol FOUL personal (2 PF) (Theis 1freethrow),"[201188, 1628464]",1610612761.0,TOR,shooting,,,Gasol,M. Gasol,,,,,,,,,,,,,,,2530.0,,2.0,0.0,Theis,1628464.0,,,,,
55,PT08M04.00S,2020-08-30T17:23:28.0Z,1,REGULAR,freethrow,1of1,[],1628464,,,1610612738,3,11,2020-08-30T17:23:28Z,550000,,,0,,D. Theis freethrow 1of1 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
56,PT08M04.00S,2020-08-30T17:23:32.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,3,11,2020-08-30T17:23:32Z,560000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2020-08-30T17:27:21.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.30946123521682,53.50030637254902,1610612761,5,11,2020-08-30T17:27:27Z,570000,-18.0,16.0,1,left,K. Lowry layup (2 PTS) (M. Gasol 1 AST),"[200768, 201188]",1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,2.79,Made,,,,,2.0,M. Gasol,201188.0,1.0,,,,,,,,,,,
59,PT07M33.00S,2020-08-30T17:27:42.8Z,1,REGULAR,foul,personal,[],1628384,,,1610612738,5,11,2020-08-30T17:27:48Z,590000,,,0,,O. Anunoby FOUL personal (1 PF),"[1628384, 1627759]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,202058.0,,1.0,0.0,Brown,1627759.0,,,,,
61,PT07M33.00S,2020-08-30T17:28:05.4Z,1,REGULAR,foul,offensive,[],1628464,,,1610612738,5,11,2020-08-30T17:28:10Z,610000,,,0,,D. Theis FOUL offensive (2 PF),"[1628464, 201188]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2530.0,,2.0,0.0,Gasol,201188.0,,,,,
63,PT07M33.00S,2020-08-30T17:28:05.4Z,1,REGULAR,turnover,offensivefoul,[],1628464,,,1610612738,5,11,2020-08-30T17:28:05Z,630000,,,0,,D. Theis TURNOVER offensivefoul (1 TOV),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2530.0,1.0,,,,,,,,,
