actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M02.00S,2020-09-12T01:28:04.4Z,1,REGULAR,3pt,jumpshot,[],203935,74.72076215505913,85.36305147058823,1610612738,5,4,2020-09-12T01:28:10Z,190000,177.0,185.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,
20,PT09M59.00S,2020-09-12T01:28:07.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,4,2020-09-12T01:28:10Z,200000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2020-09-12T01:28:11.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,4,2020-09-12T01:28:11Z,210000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2020-09-12T01:28:32.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627759,91.14651773981603,94.43167892156863,1610612738,5,4,2020-09-12T01:28:36Z,220000,222.0,31.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2020-09-12T01:28:35.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,5,4,2020-09-12T01:28:35Z,230000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M44.00S,2020-09-12T01:28:41.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627832,5.469776609724048,50.06893382352941,1610612761,5,4,2020-09-12T01:28:46Z,240000,0.0,-1.0,1,left,MISS F. VanVleet layup Blocked,"[1627832, 1628369]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,0.44,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,
25,PT09M44.00S,2020-09-12T01:28:41.8Z,1,REGULAR,block,,[],1628369,,,1610612761,5,4,2020-09-12T01:28:44Z,250000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M41.00S,2020-09-12T01:28:44.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,4,2020-09-12T01:29:20Z,260000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M37.00S,2020-09-12T01:28:48.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,69.72733245729303,29.480698529411764,1610612738,5,4,2020-09-12T01:28:53Z,270000,-103.0,232.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2020-09-12T01:28:52.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,5,4,2020-09-12T01:28:53Z,280000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M18.00S,2020-09-12T01:29:07.2Z,1,REGULAR,turnover,badpass,[],1627783,,,1610612761,5,4,2020-09-12T01:29:10Z,290000,,,0,,P. Siakam TURNOVER badpass (1 TOV) Stolen,"[1627783, 203935]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,,,
30,PT09M18.00S,2020-09-12T01:29:07.2Z,1,REGULAR,steal,,[],203935,,,1610612738,5,4,2020-09-12T01:29:08Z,300000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M12.00S,2020-09-12T01:29:12.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,92.06636005256242,51.53952205882353,1610612738,5,6,2020-09-12T01:29:16Z,310000,8.0,22.0,1,right,M. Smart layup (2 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,2.87,Made,,,,,2.0,,,,,,,,,,,,,
32,PT08M50.00S,2020-09-12T01:29:34.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201188,14.273981603153747,44.43167892156863,1610612761,5,6,2020-09-12T01:29:38Z,320000,28.0,82.0,1,left,MISS M. Gasol 9' jumpshot,[201188],1610612761.0,TOR,turnaround,,,Gasol,M. Gasol,,,,,9.15,Missed,,,,,,,,,,,,,,,,,,
33,PT08M48.00S,2020-09-12T01:29:36.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,6,2020-09-12T01:29:38Z,330000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M37.00S,2020-09-12T01:29:47.4Z,1,REGULAR,3pt,jumpshot,[],202689,70.12155059132719,69.921875,1610612738,5,6,2020-09-12T01:29:51Z,340000,100.0,228.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2020-09-12T01:29:50.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,5,6,2020-09-12T01:29:51Z,350000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M27.00S,2020-09-12T01:30:00.4Z,1,REGULAR,violation,kickedball,[],1628464,,,1610612761,5,6,2020-09-12T01:30:05Z,360000,,,0,,D. Theis violation kickedball,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,2714.0,,,,
37,PT08M27.00S,2020-09-12T01:30:12.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612761,5,6,2020-09-12T01:30:15Z,370000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M27.00S,2020-09-12T01:30:12.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612761,5,6,2020-09-12T01:30:15Z,380000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M19.00S,2020-09-12T01:30:27.8Z,1,REGULAR,turnover,lostball,[],1627832,,,1610612761,5,6,2020-09-12T01:30:30Z,390000,,,0,,F. VanVleet TURNOVER lostball (1 TOV) Stolen,"[1627832, 1627759]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,
40,PT08M19.00S,2020-09-12T01:30:27.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,5,6,2020-09-12T01:30:29Z,400000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M15.00S,2020-09-12T01:30:35.7Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,5,6,2020-09-12T01:33:41Z,410000,,,0,,F. VanVleet FOUL personal (1 PF),"[1627832, 1627759]",1610612761.0,TOR,take,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Brown,1627759.0
43,PT08M06.00S,2020-09-12T01:30:57.5Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,95.74572930354796,3.7454044117647056,1610612738,5,6,2020-09-12T01:31:01Z,430000,-231.0,-13.0,1,right,MISS J. Tatum 23' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2020-09-12T01:31:00.5Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,5,6,2020-09-12T01:31:01Z,440000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,
45,PT08M00.00S,2020-09-12T01:31:04.3Z,1,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",203935,67.36202365308804,38.30422794117647,1610612738,5,6,2020-09-12T01:31:07Z,450000,-58.0,254.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,
46,PT07M56.00S,2020-09-12T01:31:08.3Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,5,6,2020-09-12T01:31:07Z,460000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M45.00S,2020-09-12T01:31:18.7Z,1,REGULAR,2pt,jumpshot,[],1627832,16.113666228646515,19.186580882352942,1610612761,7,6,2020-09-12T01:31:22Z,470000,154.0,99.0,1,left,F. VanVleet 19' jumpshot (2 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.62,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M32.00S,2020-09-12T01:31:32.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,6,2020-09-12T01:31:32Z,480000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2020-09-12T01:31:48.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629057,94.1688567674113,50.55912990196079,1610612738,7,8,2020-09-12T01:31:52Z,490000,3.0,2.0,1,right,R. Williams III layup (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,0.83,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,
51,PT07M04.00S,2020-09-12T01:32:09.0Z,1,REGULAR,3pt,jumpshot,[],201188,32.276609724047304,59.872855392156865,1610612761,7,8,2020-09-12T01:32:12Z,510000,-49.0,251.0,1,left,MISS M. Gasol 26' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2020-09-12T01:32:12.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,8,2020-09-12T01:32:12Z,520000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT06M54.00S,2020-09-12T01:32:18.8Z,1,REGULAR,3pt,jumpshot,[],1628369,69.07030223390277,68.69638480392157,1610612738,7,11,2020-09-12T01:32:22Z,530000,93.0,238.0,1,right,J. Tatum 26' 3PT  (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.1,Made,,,,,5.0,,,,,,,,,,,,,
54,PT06M44.00S,2020-09-12T01:32:33.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,7,11,2020-09-12T01:32:33Z,540000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2020-09-12T01:36:21.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627783,14.931011826544022,35.36305147058824,1610612761,7,11,2020-09-12T01:36:25Z,550000,73.0,88.0,1,left,MISS P. Siakam 12' jumpshot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,11.87,Missed,,,,,,,,,,,,,,,,,,
56,PT06M37.00S,2020-09-12T01:36:23.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,11,2020-09-12T01:36:25Z,560000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,
57,PT06M33.00S,2020-09-12T01:36:30.0Z,1,REGULAR,foul,personal,[],201188,,,1610612738,7,11,2020-09-12T01:36:35Z,570000,,,0,,M. Gasol FOUL personal (1 PF),"[201188, 1628369]",1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0
59,PT06M19.00S,2020-09-12T01:36:56.5Z,1,REGULAR,3pt,jumpshot,[],203935,89.56964520367937,95.65716911764706,1610612738,7,14,2020-09-12T01:37:00Z,590000,228.0,46.0,1,right,M. Smart 23' 3PT  (5 PTS) (K. Walker 2 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.39,Made,,,,,5.0,K. Walker,202689.0,2.0,,,,,,,,,,
61,PT06M05.00S,2020-09-12T01:37:10.4Z,1,REGULAR,3pt,jumpshot,[],200768,34.510512483574246,45.166973039215684,1610612761,7,14,2020-09-12T01:37:13Z,610000,24.0,272.0,1,left,MISS K. Lowry 28' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,27.85,Missed,,,,,,,,,,,,,,,,,,
62,PT06M03.00S,2020-09-12T01:37:12.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,14,2020-09-12T01:37:13Z,620000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,61.0,4.0,4.0,0.0,,,,,,,,,,,,,,
63,PT05M59.00S,2020-09-12T01:37:16.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627759,93.51182654402102,49.333639705882355,1610612738,7,16,2020-09-12T01:37:20Z,630000,-3.0,8.0,1,right,J. Brown layup (4 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.44,Made,,,,,4.0,J. Tatum,1628369.0,2.0,,,,,,,,,,
65,PT05M29.00S,2020-09-12T01:37:46.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627783,5.469776609724048,64.03952205882352,1610612761,7,16,2020-09-12T01:37:50Z,650000,-70.0,-1.0,1,left,MISS P. Siakam 7' jumpshot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,7.03,Missed,,,,,,,,,,,,,,,,,,
66,PT05M28.00S,2020-09-12T01:37:47.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,16,2020-09-12T01:37:50Z,660000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,65.0,5.0,5.0,0.0,,,,,,,,,,,,,,
67,PT05M22.00S,2020-09-12T01:37:53.4Z,1,REGULAR,3pt,jumpshot,[],203935,78.26872536136662,90.26501225490196,1610612738,7,19,2020-09-12T01:37:56Z,670000,201.0,152.0,1,right,M. Smart 26' 3PT  (8 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.55,Made,,,,,8.0,J. Tatum,1628369.0,3.0,,,,,,,,,,
69,PT05M02.00S,2020-09-12T01:38:12.7Z,1,REGULAR,3pt,jumpshot,[],1627832,25.706307490144546,12.568933823529413,1610612761,10,19,2020-09-12T01:38:17Z,690000,187.0,189.0,1,left,F. VanVleet 27' 3PT  (5 PTS) (M. Gasol 2 AST),"[1627832, 201188]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,27.0,Made,,,,,5.0,M. Gasol,201188.0,2.0,,,,,,,,,,
71,PT04M48.00S,2020-09-12T01:38:27.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.95729303547962,51.53952205882353,1610612738,10,19,2020-09-12T01:38:30Z,710000,8.0,-5.0,1,right,MISS K. Walker layup Blocked,"[202689, 1627783]",1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,0.77,Missed,,,,,,,,,Siakam,1627783.0,,,,,,,,
72,PT04M48.00S,2020-09-12T01:38:27.2Z,1,REGULAR,block,,[],1627783,,,1610612738,10,19,2020-09-12T01:38:29Z,720000,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M46.00S,2020-09-12T01:38:29.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,10,19,2020-09-12T01:38:30Z,730000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT04M41.00S,2020-09-12T01:38:35.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],201188,31.882391590013142,50.06893382352941,1610612761,10,19,2020-09-12T01:38:39Z,740000,0.0,247.0,1,left,MISS M. Gasol 25' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
75,PT04M38.00S,2020-09-12T01:38:38.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,19,2020-09-12T01:38:39Z,750000,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,74.0,6.0,6.0,0.0,,,,,,,,,,,,,,
76,PT04M34.00S,2020-09-12T01:38:44.4Z,1,REGULAR,foul,offensive,[],1629057,,,1610612738,10,19,2020-09-12T01:39:07Z,760000,,,0,,R. Williams III FOUL offensive (1 PF),"[1629057, 1627832]",1610612738.0,BOS,offtheball,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,VanVleet,1627832.0
78,PT04M34.00S,2020-09-12T01:38:44.4Z,1,REGULAR,turnover,offensivefoul,[],1629057,,,1610612738,10,19,2020-09-12T01:38:44Z,780000,,,0,,R. Williams III TURNOVER offensivefoul (1 TOV),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,1.0,,,1162.0,,,,
79,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,out,[],201188,,,1610612761,10,19,2020-09-12T01:39:03Z,790000,,,0,,substitution out Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,10,19,2020-09-12T01:39:03Z,800000,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,out,[],202689,,,1610612761,10,19,2020-09-12T01:39:03Z,810000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612761,10,19,2020-09-12T01:39:03Z,820000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,in,[],1626181,,,1610612761,10,19,2020-09-12T01:39:03Z,830000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,in,[],201586,,,1610612761,10,19,2020-09-12T01:39:03Z,840000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,in,[],1628464,,,1610612761,10,19,2020-09-12T01:39:03Z,850000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M34.00S,2020-09-12T01:38:50.0Z,1,REGULAR,substitution,in,[],202954,,,1610612761,10,19,2020-09-12T01:39:03Z,860000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M17.00S,2020-09-12T01:39:29.0Z,1,REGULAR,2pt,hook,"['pointsinthepaint', 'fromturnover']",201586,8.360709592641262,50.80422794117647,1610612761,12,19,2020-09-12T01:39:40Z,870000,-4.0,26.0,1,left,S. Ibaka hook (2 PTS) (K. Lowry 1 AST),"[201586, 200768]",1610612761.0,TOR,turnaround,,,Ibaka,S. Ibaka,,,,,3.19,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,
89,PT04M00.00S,2020-09-12T01:39:45.8Z,1,REGULAR,2pt,jumpshot,[],1628369,72.09264126149803,52.27481617647059,1610612738,12,21,2020-09-12T01:39:49Z,890000,11.0,210.0,1,right,J. Tatum 22' jumpshot (7 PTS),[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,21.56,Made,,,,,7.0,,,,,,,,,,,,,
90,PT03M40.00S,2020-09-12T01:40:06.2Z,1,REGULAR,3pt,jumpshot,[],200768,33.590670170827856,44.43167892156863,1610612761,12,21,2020-09-12T01:40:10Z,900000,28.0,263.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,stepback,,,Lowry,K. Lowry,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,
91,PT03M37.00S,2020-09-12T01:40:09.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,21,2020-09-12T01:40:10Z,910000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,90.0,2.0,1.0,1.0,,,,,,,,,,,,,,
