actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
97,PT04M25.00S,2019-12-12T00:25:05.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612754,20,25,2019-12-12T00:25:05Z,970000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M23.00S,2019-12-12T00:25:18.1Z,1,REGULAR,turnover,badpass,[],203087,,,1610612754,20,25,2019-12-12T00:25:22Z,980000,,,0,,J. Lamb TURNOVER badpass (1 TOV) Stolen,"[203087, 202954]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,1.0,Wanamaker,202954.0,,,,,,,,
100,PT04M23.00S,2019-12-12T00:25:18.1Z,1,REGULAR,steal,,[],202954,,,1610612738,20,25,2019-12-12T00:25:21Z,990000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M06.00S,2019-12-12T00:25:35.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202954,70.51576872536137,18.696384803921568,1610612738,20,28,2019-12-12T00:25:38Z,1000000,-157.0,225.0,1,right,B. Wanamaker 28' 3PT  (3 PTS) (E. Kanter 1 AST),"[202954, 202683]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,27.84,Made,3.0,E. Kanter,202683.0,1.0,,,,,,,,,,,,,,,
103,PT03M55.00S,2019-12-12T00:25:46.3Z,1,REGULAR,3pt,jumpshot,[],1626167,33.327858081471746,47.61795343137255,1610612754,20,28,2019-12-12T00:25:51Z,1020000,12.0,261.0,1,left,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M53.00S,2019-12-12T00:25:48.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,20,28,2019-12-12T00:25:51Z,1030000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,,
105,PT03M49.00S,2019-12-12T00:25:52.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,69.07030223390277,77.51991421568627,1610612738,20,28,2019-12-12T00:26:00Z,1040000,138.0,238.0,1,right,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.99,Missed,,,,,,,,,,,,,,,,,,,
106,PT03M49.00S,2019-12-12T00:25:52.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,20,28,2019-12-12T00:26:00Z,1050000,,,0,,Team defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,
107,PT03M49.00S,2019-12-12T00:25:56.2Z,1,REGULAR,foul,personal,[],202683,,,1610612754,20,28,2019-12-12T00:26:02Z,1060000,,,0,,E. Kanter FOUL personal (1 PF),"[202683, 1626167]",1610612738.0,BOS,looseball,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Turner,1626167.0,
109,PT03M49.00S,2019-12-12T00:26:01.0Z,1,REGULAR,substitution,out,[],203087,,,1610612754,20,28,2019-12-12T00:26:08Z,1080000,,,0,,substitution out Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M49.00S,2019-12-12T00:26:01.0Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,20,28,2019-12-12T00:26:08Z,1090000,,,0,,substitution out Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M49.00S,2019-12-12T00:26:01.0Z,1,REGULAR,substitution,in,[],204456,,,1610612754,20,28,2019-12-12T00:26:08Z,1100000,,,0,,substitution in McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M49.00S,2019-12-12T00:26:01.0Z,1,REGULAR,substitution,in,[],1627734,,,1610612754,20,28,2019-12-12T00:26:08Z,1110000,,,0,,substitution in Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M35.00S,2019-12-12T00:26:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612754,20,28,2019-12-12T00:26:38Z,1120000,,,0,,J. Brown FOUL personal (1 PF) (Sabonis 2freethrow),"[1627759, 1627734]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Sabonis,1627734.0,
115,PT03M35.00S,2019-12-12T00:27:00.1Z,1,REGULAR,freethrow,1of2,[],1627734,,,1610612754,21,28,2019-12-12T00:27:17Z,1140000,,,0,,D. Sabonis freethrow 1of2 (6 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
116,PT03M35.00S,2019-12-12T00:27:00.1Z,1,REGULAR,freethrow,2of2,[],1627734,,,1610612754,21,28,2019-12-12T00:27:17Z,1150000,,,0,,MISS D. Sabonis freethrow 2of2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
117,PT03M34.00S,2019-12-12T00:27:01.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,28,2019-12-12T00:27:17Z,1160000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,116.0,2.0,2.0,0.0,,,,,,,,,,,
118,PT03M25.00S,2019-12-12T00:27:23.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.1688567674113,52.029718137254896,1610612738,21,30,2019-12-12T00:27:26Z,1170000,10.0,2.0,1,right,K. Walker layup (15 PTS) (J. Brown 5 AST),"[202689, 1627759]",1610612738.0,BOS,cuttingfingerroll,,,Walker,K. Walker,,,,,1.28,Made,15.0,J. Brown,1627759.0,5.0,,,,,,,,,,,,,,,
120,PT03M15.00S,2019-12-12T00:27:33.7Z,1,REGULAR,2pt,jumpshot,[],1627763,19.66162943495401,27.27481617647059,1610612754,21,30,2019-12-12T00:27:39Z,1190000,114.0,132.0,1,left,MISS M. Brogdon 18' jumpshot,[1627763],1610612754.0,IND,stepback,,,Brogdon,M. Brogdon,,,,,17.86,Missed,,,,,,,,,,,,,,,,,,,
121,PT03M12.00S,2019-12-12T00:27:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,21,30,2019-12-12T00:27:38Z,1200000,,,0,,Team offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,
122,PT03M12.00S,2019-12-12T00:27:40.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612754,21,30,2019-12-12T00:27:40Z,1210000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M59.00S,2019-12-12T00:28:10.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627763,8.492115637319317,50.55912990196079,1610612754,21,30,2019-12-12T00:28:14Z,1220000,-3.0,27.0,1,left,MISS M. Brogdon layup,[1627763],1610612754.0,IND,fingerroll,,,Brogdon,M. Brogdon,,,,,3.29,Missed,,,,,,,,,,,,,,,,,,,
124,PT02M57.00S,2019-12-12T00:28:12.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,30,2019-12-12T00:28:14Z,1230000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,123.0,3.0,3.0,0.0,,,,,,,,,,,
125,PT02M52.00S,2019-12-12T00:28:17.4Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,21,30,2019-12-12T00:28:19Z,1240000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 203200]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,,,,,,,
126,PT02M52.00S,2019-12-12T00:28:17.4Z,1,REGULAR,steal,,[],203200,,,1610612754,21,30,2019-12-12T00:28:18Z,1250000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M48.00S,2019-12-12T00:28:23.4Z,1,REGULAR,foul,offensive,[],203933,,,1610612754,21,30,2019-12-12T00:28:35Z,1260000,,,0,,T. Warren FOUL offensive (1 PF),"[203933, 202689]",1610612754.0,IND,charge,,,Warren,T. Warren,,,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,
129,PT02M48.00S,2019-12-12T00:28:23.4Z,1,REGULAR,turnover,offensivefoul,[],203933,,,1610612754,21,30,2019-12-12T00:28:23Z,1280000,,,0,,T. Warren TURNOVER offensivefoul (2 TOV),[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,,,,,,,,,,,2.0,,,,,1193.0,,,,,
130,PT02M48.00S,2019-12-12T00:28:36.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,30,2019-12-12T00:28:36Z,1290000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,out,[],203933,,,1610612738,21,30,2019-12-12T00:30:51Z,1300000,,,0,,substitution out Warren,[203933],1610612754.0,IND,,,,Warren,T. Warren,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,out,[],1627763,,,1610612738,21,30,2019-12-12T00:30:51Z,1310000,,,0,,substitution out Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,30,2019-12-12T00:30:51Z,1320000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,in,[],203926,,,1610612738,21,30,2019-12-12T00:30:51Z,1330000,,,0,,substitution in McDermott,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,in,[],1628988,,,1610612738,21,30,2019-12-12T00:30:51Z,1340000,,,0,,substitution in Holiday,[1628988],1610612754.0,IND,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M48.00S,2019-12-12T00:30:42.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,30,2019-12-12T00:30:51Z,1350000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M33.00S,2019-12-12T00:31:31.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,64.86530880420499,36.09834558823529,1610612738,21,30,2019-12-12T00:31:35Z,1360000,-70.0,278.0,1,right,MISS K. Walker 29' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,29.17,Missed,,,,,,,,,,,,,,,,,,,
138,PT02M31.00S,2019-12-12T00:31:33.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,21,30,2019-12-12T00:31:35Z,1370000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,137.0,4.0,3.0,1.0,,,,,,,,,,,
139,PT02M17.00S,2019-12-12T00:31:47.7Z,1,REGULAR,3pt,jumpshot,[],203200,32.53942181340342,33.64736519607843,1610612754,24,30,2019-12-12T00:31:51Z,1380000,82.0,253.0,1,left,J. Holiday 27' 3PT  (3 PTS) (T. McConnell 1 AST),"[203200, 204456]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,27.15,Made,3.0,T. McConnell,204456.0,1.0,,,,,,,,,,,,,,,
141,PT01M49.00S,2019-12-12T00:32:15.7Z,1,REGULAR,3pt,jumpshot,[],1628369,74.06373193166885,87.56893382352942,1610612738,24,30,2019-12-12T00:32:21Z,1400000,188.0,191.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.2,Missed,,,,,,,,,,,,,,,,,,,
142,PT01M44.00S,2019-12-12T00:32:20.7Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,24,30,2019-12-12T00:32:21Z,1410000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,141.0,1.0,0.0,1.0,,,,,,,,,,,
143,PT01M44.00S,2019-12-12T00:32:20.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,95.0,50.0,1610612738,24,32,2019-12-12T00:32:20Z,1420000,0.0,-6.0,1,right,E. Kanter layup (2 PTS),[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
144,PT01M27.00S,2019-12-12T00:32:37.0Z,1,REGULAR,2pt,jumpshot,[],203926,18.478975032851512,70.65716911764706,1610612754,26,32,2019-12-12T00:32:40Z,1430000,-103.0,121.0,1,left,D. McDermott 16' jumpshot (2 PTS) (D. Sabonis 3 AST),"[203926, 1627734]",1610612754.0,IND,pullup,,,McDermott,D. McDermott,,,,,16.35,Made,2.0,D. Sabonis,1627734.0,3.0,,,,,,,,,,,,,,,
146,PT01M08.00S,2019-12-12T00:32:56.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,86.02168199737189,52.51991421568627,1610612738,26,32,2019-12-12T00:33:01Z,1450000,13.0,79.0,1,right,MISS B. Wanamaker 9' jumpshot,[202954],1610612738.0,BOS,drivingfloating,,,Wanamaker,B. Wanamaker,,,,,8.53,Missed,,,,,,,,,,,,,,,,,,,
147,PT01M04.00S,2019-12-12T00:33:00.7Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,26,32,2019-12-12T00:33:01Z,1460000,,,0,,E. Kanter REBOUND (Off:2 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,146.0,2.0,0.0,2.0,,,,,,,,,,,
148,PT01M04.00S,2019-12-12T00:33:00.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,95.0,50.0,1610612738,26,32,2019-12-12T00:33:00Z,1470000,0.0,-6.0,1,right,MISS E. Kanter layup,[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
149,PT01M03.00S,2019-12-12T00:33:01.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,26,32,2019-12-12T00:33:01Z,1480000,,,0,,D. Sabonis REBOUND (Off:1 Def:4),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,148.0,5.0,4.0,1.0,,,,,,,,,,,
150,PT01M02.00S,2019-12-12T00:33:04.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202954,,,1610612754,26,32,2019-12-12T00:33:15Z,1490000,,,0,,B. Wanamaker FOUL personal (1 PF) (McConnell inpenalty),"[202954, 204456]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,McConnell,204456.0,
152,PT01M02.00S,2019-12-12T00:33:25.4Z,1,REGULAR,freethrow,1of2,[],204456,,,1610612754,27,32,2019-12-12T00:33:25Z,1510000,,,0,,T. McConnell freethrow 1of2 (1 PTS),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
153,PT01M02.00S,2019-12-12T00:33:26.0Z,1,REGULAR,substitution,out,[],202689,,,1610612754,27,32,2019-12-12T00:33:31Z,1520000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT01M02.00S,2019-12-12T00:33:26.0Z,1,REGULAR,substitution,in,[],1629035,,,1610612754,27,32,2019-12-12T00:33:31Z,1530000,,,0,,substitution in Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M02.00S,2019-12-12T00:33:41.1Z,1,REGULAR,freethrow,2of2,[],204456,,,1610612754,28,32,2019-12-12T00:33:41Z,1540000,,,0,,T. McConnell freethrow 2of2 (2 PTS),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
156,PT00M39.60S,2019-12-12T00:34:05.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,81.2910643889619,63.794424019607845,1610612738,28,32,2019-12-12T00:35:02Z,1550000,69.0,123.0,1,right,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,14.62,Missed,,,,,,,,,,,,,,,,,,,
157,PT00M36.80S,2019-12-12T00:34:08.5Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,28,32,2019-12-12T00:34:10Z,1560000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,,,
158,PT00M31.60S,2019-12-12T00:34:13.6Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",204456,7.30946123521682,50.314031862745104,1610612754,30,32,2019-12-12T00:34:22Z,1570000,-2.0,16.0,1,left,T. McConnell layup (4 PTS),[204456],1610612754.0,IND,runningfingerroll,,,McConnell,T. McConnell,,,,,2.18,Made,4.0,,,,,,,,,,,,,,,,,,
159,PT00M10.20S,2019-12-12T00:34:39.2Z,1,REGULAR,2pt,jumpshot,[],202954,77.61169513797634,24.57873774509804,1610612738,30,32,2019-12-12T00:34:42Z,1580000,-127.0,158.0,1,right,MISS B. Wanamaker 21' jumpshot,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,20.71,Missed,,,,,,,,,,,,,,,,,,,
160,PT00M07.60S,2019-12-12T00:34:41.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,30,32,2019-12-12T00:34:42Z,1590000,,,0,,D. Sabonis REBOUND (Off:1 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,159.0,6.0,5.0,1.0,,,,,,,,,,,
161,PT00M02.50S,2019-12-12T00:34:46.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203926,22.815374507227332,90.75520833333334,1610612754,30,32,2019-12-12T00:34:52Z,1600000,-204.0,162.0,1,left,MISS D. McDermott 26' 3PT,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M02.50S,2019-12-12T00:34:46.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,32,2019-12-12T00:34:52Z,1610000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,
163,PT00M00.00S,2019-12-12T00:34:51.7Z,1,REGULAR,period,end,[],0,,,1610612738,30,32,2019-12-12T00:34:51Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2019-12-12T00:36:32.9Z,2,REGULAR,substitution,out,['startperiod'],202683,,,1610612738,30,32,2019-12-12T00:37:27Z,1630000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2019-12-12T00:36:32.9Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612738,30,32,2019-12-12T00:37:27Z,1640000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2019-12-12T00:37:35.3Z,2,REGULAR,period,start,[],0,,,1610612754,30,32,2019-12-12T00:37:35Z,1650000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M47.00S,2019-12-12T00:37:48.1Z,2,REGULAR,2pt,hook,['pointsinthepaint'],1627734,10.068988173455978,50.80422794117647,1610612754,30,32,2019-12-12T00:37:51Z,1660000,-4.0,42.0,1,left,MISS D. Sabonis hook,[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M45.00S,2019-12-12T00:37:50.1Z,2,REGULAR,rebound,defensive,[],1629035,,,1610612738,30,32,2019-12-12T00:37:51Z,1670000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,
169,PT11M35.00S,2019-12-12T00:38:00.2Z,2,REGULAR,3pt,jumpshot,[],1629035,66.04796320630749,36.09834558823529,1610612738,30,35,2019-12-12T00:38:03Z,1680000,-70.0,267.0,1,right,C. Edwards 28' 3PT  (3 PTS) (S. Ojeleye 1 AST),"[1629035, 1628400]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,28.08,Made,3.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,,
171,PT11M23.00S,2019-12-12T00:38:11.8Z,2,REGULAR,2pt,jumpshot,[],203926,26.10052562417871,49.08854166666667,1610612754,30,35,2019-12-12T00:38:16Z,1700000,5.0,193.0,1,left,MISS D. McDermott 20' jumpshot,[203926],1610612754.0,IND,pullup,,,McDermott,D. McDermott,,,,,19.84,Missed,,,,,,,,,,,,,,,,,,,
172,PT11M19.00S,2019-12-12T00:38:15.8Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,30,35,2019-12-12T00:38:16Z,1710000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,,
173,PT11M14.00S,2019-12-12T00:38:21.0Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1629035,67.7562417871222,28.745404411764707,1610612738,30,35,2019-12-12T00:38:25Z,1720000,-106.0,251.0,1,right,MISS C. Edwards 28' 3PT,[1629035],1610612738.0,BOS,pullup,,,Edwards,C. Edwards,,,,,27.73,Missed,,,,,,,,,,,,,,,,,,,
174,PT11M11.00S,2019-12-12T00:38:24.0Z,2,REGULAR,rebound,defensive,[],203926,,,1610612754,30,35,2019-12-12T00:38:25Z,1730000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,,,
175,PT11M03.00S,2019-12-12T00:38:31.3Z,2,REGULAR,3pt,jumpshot,[],203200,32.013797634691194,25.314031862745097,1610612754,30,35,2019-12-12T00:38:37Z,1740000,123.0,248.0,1,left,MISS J. Holiday 28' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,28.23,Missed,,,,,,,,,,,,,,,,,,,
176,PT11M01.00S,2019-12-12T00:38:33.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,30,35,2019-12-12T00:38:37Z,1750000,,,0,,Team offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,
177,PT11M01.00S,2019-12-12T00:38:36.7Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612754,30,35,2019-12-12T00:38:36Z,1760000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M49.00S,2019-12-12T00:39:03.2Z,2,REGULAR,foul,personal,[],1629684,,,1610612754,30,35,2019-12-12T00:39:08Z,1770000,,,0,,G. Williams FOUL personal (1 PF),"[1629684, 1627734]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Sabonis,1627734.0,
180,PT10M41.00S,2019-12-12T00:39:26.8Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627734,7.046649145860711,51.53952205882353,1610612754,30,35,2019-12-12T00:39:33Z,1790000,-8.0,14.0,1,left,MISS D. Sabonis layup,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.07,Missed,,,,,,,,,,,,,,,,,,,
181,PT10M39.00S,2019-12-12T00:39:28.8Z,2,REGULAR,rebound,offensive,[],1627734,,,1610612754,30,35,2019-12-12T00:39:33Z,1800000,,,0,,D. Sabonis REBOUND (Off:2 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,180.0,7.0,5.0,2.0,,,,,,,,,,,
182,PT10M39.00S,2019-12-12T00:39:28.9Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627734,5.0,50.0,1610612754,30,35,2019-12-12T00:39:28Z,1810000,0.0,-6.0,1,left,MISS D. Sabonis layup,[1627734],1610612754.0,IND,tip,,,Sabonis,D. Sabonis,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
183,PT10M36.00S,2019-12-12T00:39:32.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,35,2019-12-12T00:39:32Z,1820000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,182.0,2.0,2.0,0.0,,,,,,,,,,,
184,PT10M28.00S,2019-12-12T00:39:39.7Z,2,REGULAR,turnover,badpass,[],202954,,,1610612738,30,35,2019-12-12T00:39:42Z,1830000,,,0,,B. Wanamaker TURNOVER badpass (1 TOV) Stolen,"[202954, 204456]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,1.0,McConnell,204456.0,,,,,,,,
185,PT10M28.00S,2019-12-12T00:39:39.7Z,2,REGULAR,steal,,[],204456,,,1610612754,30,35,2019-12-12T00:39:40Z,1840000,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
