actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
31,PT09M13.00S,2020-01-07T00:14:10.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,5,2020-01-07T00:14:10Z,310000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M05.00S,2020-01-07T00:14:31.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,92.32917214191852,38.05912990196079,1610612738,7,5,2020-01-07T00:14:35Z,320000,-60.0,20.0,1,right,MISS J. Tatum 6' layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,6.48,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M01.00S,2020-01-07T00:14:35.4Z,1,REGULAR,rebound,defensive,[],203895,,,1610612764,7,5,2020-01-07T00:14:35Z,330000,,,0,,J. McRae REBOUND (Off:0 Def:1),[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT08M58.00S,2020-01-07T00:14:37.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203895,9.411957950065702,36.833639705882355,1610612764,7,5,2020-01-07T00:14:42Z,340000,66.0,36.0,1,left,MISS J. McRae 8' layup Blocked,"[203895, 1628464]",1610612764.0,WAS,driving,,,McRae,J. McRae,,,,,7.78,Missed,Theis,1628464.0,,,,,,,,,,,,,,,,,
35,PT08M58.00S,2020-01-07T00:14:37.9Z,1,REGULAR,block,,[],1628464,,,1610612764,7,5,2020-01-07T00:14:39Z,350000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2020-01-07T00:14:39.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,7,5,2020-01-07T00:14:42Z,360000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT08M52.00S,2020-01-07T00:14:46.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,94.03745072273325,46.392463235294116,1610612738,7,5,2020-01-07T00:14:52Z,370000,-18.0,4.0,1,right,MISS D. Theis layup Blocked,"[1628464, 101133]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,2.01,Missed,Mahinmi,101133.0,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2020-01-07T00:14:46.7Z,1,REGULAR,block,,[],101133,,,1610612738,7,5,2020-01-07T00:14:50Z,380000,,,0,,I. Mahinmi BLOCK (2 BLK),[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M52.00S,2020-01-07T00:14:46.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,5,2020-01-07T00:14:52Z,390000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,
40,PT08M52.00S,2020-01-07T00:14:51.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,5,2020-01-07T00:14:51Z,400000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
