actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
179,PT10M13.00S,2019-12-22T23:41:37.9Z,2,REGULAR,substitution,out,[],1628464,,,1610612766,35,37,2019-12-22T23:41:44Z,1750000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT10M13.00S,2019-12-22T23:41:37.9Z,2,REGULAR,substitution,out,[],203469,,,1610612766,35,37,2019-12-22T23:41:44Z,1760000,,,0,,substitution out Zeller,[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT10M13.00S,2019-12-22T23:41:37.9Z,2,REGULAR,substitution,in,[],202683,,,1610612766,35,37,2019-12-22T23:41:44Z,1770000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT10M13.00S,2019-12-22T23:41:37.9Z,2,REGULAR,substitution,in,[],202687,,,1610612766,35,37,2019-12-22T23:41:44Z,1780000,,,0,,substitution in Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT10M13.00S,2019-12-22T23:41:47.6Z,2,REGULAR,substitution,out,[],1628370,,,1610612766,35,37,2019-12-22T23:41:53Z,1790000,,,0,,substitution out Monk,[1628370],1610612766.0,CHA,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M13.00S,2019-12-22T23:41:47.6Z,2,REGULAR,substitution,in,[],1626179,,,1610612766,35,37,2019-12-22T23:41:53Z,1800000,,,0,,substitution in Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M13.00S,2019-12-22T23:41:48.1Z,2,REGULAR,freethrow,1of2,[],1628998,,,1610612766,35,38,2019-12-22T23:48:02Z,1802500,,,0,,C. Martin freethrow 1of2 (5 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,Made,,,,,,,5.0,,,,,,,
185,PT10M13.00S,2019-12-22T23:41:48.1Z,2,REGULAR,freethrow,2of2,[],1628998,,,1610612766,35,39,2019-12-22T23:48:02Z,1803750,,,0,,C. Martin freethrow 2of2 (6 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,Made,,,,,,,6.0,,,,,,,
186,PT09M57.00S,2019-12-22T23:42:21.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629641,91.14651773981603,54.970894607843135,1610612738,35,39,2019-12-22T23:42:35Z,1805000,25.0,31.0,1,right,MISS R. Langford layup Blocked,"[1629641, 1626179]",1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,,,,,,4.39,Missed,Rozier,1626179.0,,,,,,,,,,,,
197,PT09M57.00S,2019-12-22T23:42:21.1Z,2,REGULAR,block,,[],1626179,,,1610612738,35,39,2019-12-22T23:43:24Z,1806250,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M56.00S,2019-12-22T23:42:22.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,35,39,2019-12-22T23:42:35Z,1807500,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,186.0,,,,,,,,,,,
188,PT09M56.00S,2019-12-22T23:42:25.4Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,35,39,2019-12-22T23:42:25Z,1840000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M52.00S,2019-12-22T23:42:38.2Z,2,REGULAR,2pt,jumpshot,['2ndchance'],1628369,90.75229960578186,82.421875,1610612738,35,39,2019-12-22T23:44:23Z,1850000,162.0,34.0,1,right,MISS J. Tatum 17' jumpshot,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,,,16.69,Missed,,,,,,,,,,,,,,
190,PT09M50.00S,2019-12-22T23:42:40.2Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,35,39,2019-12-22T23:42:49Z,1860000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,189.0,1.0,0.0,1.0,,,,,,,,
191,PT09M49.00S,2019-12-22T23:42:42.5Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629641,93.24901445466492,43.20618872549019,1610612738,35,39,2019-12-22T23:45:51Z,1870000,-34.0,11.0,1,right,MISS R. Langford layup,[1629641],1610612738.0,BOS,putback,,,Langford,R. Langford,,,,,,,,,,3.78,Missed,,,,,,,,,,,,,,
192,PT09M47.00S,2019-12-22T23:42:44.5Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,35,39,2019-12-22T23:42:58Z,1880000,,,0,,R. Langford REBOUND (Off:2 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,191.0,2.0,0.0,2.0,,,,,,,,
193,PT09M47.00S,2019-12-22T23:42:48.4Z,2,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1629641,95.0,50.0,1610612738,37,39,2019-12-22T23:46:15Z,1890000,0.0,-6.0,1,right,R. Langford layup (2 PTS),[1629641],1610612738.0,BOS,tip,,,Langford,R. Langford,,,,,,,,,,0.0,Made,,,,,,,2.0,,,,,,,
194,PT09M32.00S,2019-12-22T23:43:01.4Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612766,37,39,2019-12-22T23:43:01Z,1900000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT09M27.00S,2019-12-22T23:43:22.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202687,7.046649145860711,43.20618872549019,1610612766,37,41,2019-12-22T23:43:28Z,1910000,34.0,14.0,1,left,B. Biyombo layup (2 PTS) (D. Graham 5 AST),"[202687, 1628984]",1610612766.0,CHA,cutting,,,Biyombo,B. Biyombo,,,,,,,,,,3.9,Made,,,,,,,2.0,D. Graham,1628984.0,5.0,,,,
198,PT09M14.00S,2019-12-22T23:43:38.1Z,2,REGULAR,turnover,traveling,[],202683,,,1610612738,37,41,2019-12-22T23:43:49Z,1930000,,,0,,E. Kanter TURNOVER traveling (1 TOV),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,201639.0,,,,,,,,,,,,,,,,,1.0,,,
199,PT09M01.00S,2019-12-22T23:44:05.9Z,2,REGULAR,foul,personal,[],1629641,,,1610612766,37,41,2019-12-22T23:44:18Z,1940000,,,0,,R. Langford FOUL personal (1 PF),"[1629641, 1628998]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,204059.0,1.0,0.0,Martin,1628998.0,,,,,,,,,,,,,,,,
201,PT09M01.00S,2019-12-22T23:44:12.6Z,2,REGULAR,substitution,out,[],1628998,,,1610612766,37,41,2019-12-22T23:44:18Z,1960000,,,0,,substitution out Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M01.00S,2019-12-22T23:44:12.6Z,2,REGULAR,substitution,in,[],201587,,,1610612766,37,41,2019-12-22T23:44:18Z,1970000,,,0,,substitution in Batum,[201587],1610612766.0,CHA,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M51.00S,2019-12-22T23:44:41.5Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612766,37,41,2019-12-22T23:44:41Z,1990000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M47.00S,2019-12-22T23:44:58.1Z,2,REGULAR,foul,personal,['3freethrow'],202954,,,1610612766,37,41,2019-12-22T23:51:05Z,2000000,,,0,,B. Wanamaker FOUL personal (1 PF) (Graham 3freethrow),"[202954, 1628984]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,204059.0,1.0,0.0,Graham,1628984.0,,,,,,,,,,,,,,,,
207,PT08M47.00S,2019-12-22T23:45:25.8Z,2,REGULAR,freethrow,1of3,['fromturnover'],1628984,,,1610612766,37,42,2019-12-22T23:46:06Z,2020000,,,0,,D. Graham freethrow 1of3 (18 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,Made,,,,,,,18.0,,,,,,,
208,PT08M47.00S,2019-12-22T23:45:25.8Z,2,REGULAR,freethrow,2of3,['fromturnover'],1628984,,,1610612766,37,43,2019-12-22T23:46:06Z,2030000,,,0,,D. Graham freethrow 2of3 (19 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,Made,,,,,,,19.0,,,,,,,
209,PT08M47.00S,2019-12-22T23:45:41.6Z,2,REGULAR,substitution,out,[],101107,,,1610612766,37,43,2019-12-22T23:45:46Z,2040000,,,0,,substitution out Williams,[101107],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M47.00S,2019-12-22T23:45:41.6Z,2,REGULAR,substitution,in,[],1628970,,,1610612766,37,43,2019-12-22T23:45:46Z,2050000,,,0,,substitution in Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M47.00S,2019-12-22T23:45:25.8Z,2,REGULAR,freethrow,3of3,['fromturnover'],1628984,,,1610612766,37,43,2019-12-22T23:46:06Z,2060000,,,0,,MISS D. Graham freethrow 3of3,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,Missed,,,,,,,,,,,,,,
212,PT08M47.00S,2019-12-22T23:45:25.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,37,43,2019-12-22T23:46:06Z,2070000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,211.0,3.0,3.0,0.0,,,,,,,,
213,PT08M35.00S,2019-12-22T23:46:15.9Z,2,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,37,43,2019-12-22T23:46:25Z,2080000,,,0,,J. Tatum TURNOVER outofbounds (2 TOV),[1628369],1610612738.0,BOS,lostball,,,Tatum,J. Tatum,,,,,201639.0,,,,,,,,,,,,,,,,,2.0,,,
214,PT08M12.00S,2019-12-22T23:46:46.7Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",202687,19.71090670170828,35.15242034313725,1610612766,37,45,2019-12-22T23:46:53Z,2090000,74.0,133.0,1,left,B. Biyombo 16' jumpshot (4 PTS) (D. Graham 6 AST),"[202687, 1628984]",1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,15.69,Made,,,,,,,4.0,D. Graham,1628984.0,6.0,,,,
216,PT07M56.00S,2019-12-22T23:47:03.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202954,90.62089356110381,42.96109068627451,1610612738,37,45,2019-12-22T23:47:10Z,2110000,-35.0,36.0,1,right,MISS B. Wanamaker layup,[202954],1610612738.0,BOS,driving,,,Wanamaker,B. Wanamaker,,,,,,,,,,5.42,Missed,,,,,,,,,,,,,,
217,PT07M54.00S,2019-12-22T23:47:05.0Z,2,REGULAR,rebound,defensive,[],201587,,,1610612766,37,45,2019-12-22T23:47:10Z,2120000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612766.0,CHA,,,,Batum,N. Batum,,,,,,,,,,,,,,216.0,1.0,1.0,0.0,,,,,,,,
218,PT07M49.00S,2019-12-22T23:47:11.4Z,2,REGULAR,foul,personal,[],1629641,,,1610612766,37,45,2019-12-22T23:47:45Z,2130000,,,0,,R. Langford FOUL personal (2 PF),"[1629641, 202687]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,201639.0,2.0,0.0,Biyombo,202687.0,,,,,,,,,,,,,,,,
220,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,out,[],1628369,,,1610612766,37,45,2019-12-22T23:47:34Z,2150000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,out,[],202954,,,1610612766,37,45,2019-12-22T23:47:34Z,2160000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,out,[],1628984,,,1610612766,37,45,2019-12-22T23:47:34Z,2170000,,,0,,substitution out Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,in,[],202689,,,1610612766,37,45,2019-12-22T23:47:34Z,2180000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612766,37,45,2019-12-22T23:47:34Z,2190000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M49.00S,2019-12-22T23:47:22.5Z,2,REGULAR,substitution,in,[],203077,,,1610612766,37,45,2019-12-22T23:47:34Z,2200000,,,0,,substitution in Kidd-Gilchrist,[203077],1610612766.0,CHA,,,,Kidd-Gilchrist,M. Kidd-Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M49.00S,2019-12-22T23:47:46.9Z,2,REGULAR,turnover,5secviolation,['team'],0,,,1610612766,37,45,2019-12-22T23:47:58Z,2210000,,,0,,Team TURNOVER 5secviolation,[],1610612766.0,CHA,,,,,,,,,,201639.0,,,,,,,,,,,,,,,,,,,,
227,PT07M31.00S,2019-12-22T23:48:15.4Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1629641,74.32654402102497,85.60814950980392,1610612738,40,45,2019-12-22T23:48:19Z,2220000,178.0,189.0,1,right,R. Langford 26' 3PT  (5 PTS) (J. Brown 3 AST),"[1629641, 1627759]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,26.35,Made,,,,,,,5.0,J. Brown,1627759.0,3.0,,,,
229,PT07M07.00S,2019-12-22T23:48:39.6Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202687,6.964520367936925,59.623927696078425,1610612766,40,47,2019-12-22T23:48:46Z,2240000,-48.0,13.0,1,left,B. Biyombo hook (6 PTS) (M. Kidd-Gilchrist 1 AST),"[202687, 203077]",1610612766.0,CHA,turnaround,,,Biyombo,B. Biyombo,,,,,,,,,,5.15,Made,,,,,,,6.0,M. Kidd-Gilchrist,203077.0,1.0,,,,
234,PT06M49.00S,2019-12-22T23:49:02.9Z,2,REGULAR,foul,personal,[],203077,,,1610612738,40,47,2019-12-22T23:49:05Z,2290000,,,0,,M. Kidd-Gilchrist FOUL personal (1 PF),"[203077, 1627759]",1610612766.0,CHA,,,,Kidd-Gilchrist,M. Kidd-Gilchrist,,,,,204059.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
236,PT06M49.00S,2019-12-22T23:49:10.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,40,47,2019-12-22T23:49:10Z,2310000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M34.00S,2019-12-22T23:52:15.6Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.03745072273325,44.43167892156863,1610612738,40,47,2019-12-22T23:57:13Z,2320000,-28.0,4.0,1,right,MISS E. Kanter layup,[202683],1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,,,,,,2.92,Missed,,,,,,,,,,,,,,
238,PT06M33.00S,2019-12-22T23:52:16.6Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,40,47,2019-12-22T23:52:19Z,2330000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,237.0,2.0,2.0,0.0,,,,,,,,
239,PT06M22.00S,2019-12-22T23:52:28.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1626179,6.915243101182654,59.3826593137255,1610612766,40,47,2019-12-22T23:52:35Z,2340000,-47.0,13.0,1,left,MISS T. Rozier layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,,,,5.02,Missed,,,,,,,,,,,,,,
240,PT06M20.00S,2019-12-22T23:52:30.4Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,40,47,2019-12-22T23:52:35Z,2350000,,,0,,E. Kanter REBOUND (Off:1 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,239.0,4.0,3.0,1.0,,,,,,,,
241,PT06M18.00S,2019-12-22T23:52:33.9Z,2,REGULAR,foul,personal,[],201587,,,1610612738,40,47,2019-12-22T23:52:41Z,2360000,,,0,,N. Batum FOUL personal (1 PF),"[201587, 1627759]",1610612766.0,CHA,,,,Batum,N. Batum,,,,,204059.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
243,PT06M12.00S,2019-12-22T23:52:56.0Z,2,REGULAR,3pt,jumpshot,[],202689,66.17936925098554,51.53952205882353,1610612738,43,47,2019-12-22T23:53:01Z,2380000,8.0,265.0,1,right,K. Walker 27' 3PT  (10 PTS) (J. Brown 4 AST),"[202689, 1627759]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,27.1,Made,,,,,,,10.0,J. Brown,1627759.0,4.0,,,,
245,PT05M53.00S,2019-12-22T23:53:14.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628970,6.783837056504599,48.10814950980392,1610612766,43,47,2019-12-22T23:53:25Z,2400000,9.0,11.0,1,left,MISS M. Bridges layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,,,,1.93,Missed,,,,,,,,,,,,,,
246,PT05M51.00S,2019-12-22T23:53:15.8Z,2,REGULAR,rebound,defensive,[],1629750,,,1610612738,43,47,2019-12-22T23:53:15Z,2410000,,,0,,J. Green REBOUND (Off:0 Def:2),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,245.0,2.0,2.0,0.0,,,,,,,,
247,PT05M46.00S,2019-12-22T23:53:20.9Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1627759,77.08607095926413,10.608149509803921,1610612738,43,47,2019-12-22T23:53:34Z,2420000,-197.0,163.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,25.92,Missed,,,,,,,,,,,,,,
248,PT05M45.00S,2019-12-22T23:53:21.9Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,43,47,2019-12-22T23:53:34Z,2430000,,,0,,R. Langford REBOUND (Off:3 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,247.0,3.0,0.0,3.0,,,,,,,,
249,PT05M42.00S,2019-12-22T23:53:25.8Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1627759,89.70105124835742,43.451286764705884,1610612738,43,47,2019-12-22T23:56:05Z,2440000,-33.0,44.0,1,right,MISS J. Brown 6' jumpshot,[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,,,,,,5.96,Missed,,,,,,,,,,,,,,
250,PT05M41.00S,2019-12-22T23:53:26.8Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,43,47,2019-12-22T23:53:53Z,2450000,,,0,,E. Kanter REBOUND (Off:2 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,249.0,5.0,3.0,2.0,,,,,,,,
251,PT05M39.00S,2019-12-22T23:53:28.6Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,92.72339027595268,46.14736519607843,1610612738,45,47,2019-12-22T23:53:47Z,2460000,-19.0,16.0,1,right,E. Kanter layup (6 PTS),[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,,,,,,2.88,Made,,,,,,,6.0,,,,,,,
252,PT05M37.00S,2019-12-22T23:53:34.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,45,47,2019-12-22T23:53:34Z,2470000,,,0,,timeout full,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M37.00S,2019-12-22T23:56:00.8Z,2,REGULAR,substitution,out,[],201587,,,1610612766,45,47,2019-12-22T23:56:17Z,2480000,,,0,,substitution out Batum,[201587],1610612766.0,CHA,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M37.00S,2019-12-22T23:56:00.8Z,2,REGULAR,substitution,in,[],1628984,,,1610612766,45,47,2019-12-22T23:56:17Z,2490000,,,0,,substitution in Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M22.00S,2019-12-22T23:56:44.1Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],202687,7.35873850197109,49.43704044117647,1610612766,45,49,2019-12-22T23:56:49Z,2500000,3.0,17.0,1,left,B. Biyombo dunk (8 PTS) (D. Graham 7 AST),"[202687, 1628984]",1610612766.0,CHA,cutting,,,Biyombo,B. Biyombo,,,,,,,,,,2.24,Made,,,,,,,8.0,D. Graham,1628984.0,7.0,,,,
257,PT05M02.00S,2019-12-22T23:57:03.4Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,89.17542706964521,42.22579656862745,1610612738,47,49,2019-12-22T23:57:07Z,2520000,-39.0,49.0,1,right,J. Brown 7' jumpshot (10 PTS),[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,,,,,,6.72,Made,,,,,,,10.0,,,,,,,
258,PT04M46.00S,2019-12-22T23:57:20.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1626179,7.178055190538765,43.94148284313725,1610612766,47,51,2019-12-22T23:57:25Z,2530000,30.0,15.0,1,left,T. Rozier layup (6 PTS) (D. Graham 8 AST),"[1626179, 1628984]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,,,,3.66,Made,,,,,,,6.0,D. Graham,1628984.0,8.0,,,,
260,PT04M32.00S,2019-12-22T23:57:33.2Z,2,REGULAR,3pt,jumpshot,[],1629750,69.99014454664915,76.04932598039215,1610612738,47,51,2019-12-22T23:57:39Z,2550000,130.0,230.0,1,right,MISS J. Green 27' 3PT,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,26.87,Missed,,,,,,,,,,,,,,
261,PT04M31.00S,2019-12-22T23:57:34.2Z,2,REGULAR,rebound,defensive,[],1628984,,,1610612766,47,51,2019-12-22T23:57:39Z,2560000,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,260.0,2.0,2.0,0.0,,,,,,,,
262,PT04M16.00S,2019-12-22T23:57:49.1Z,2,REGULAR,3pt,jumpshot,[],1628984,27.91146517739816,21.660539215686274,1610612766,47,51,2019-12-22T23:57:54Z,2570000,142.0,210.0,1,left,MISS D. Graham 26' 3PT,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,25.78,Missed,,,,,,,,,,,,,,
263,PT04M14.00S,2019-12-22T23:57:51.1Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,47,51,2019-12-22T23:57:54Z,2580000,,,0,,E. Kanter REBOUND (Off:2 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,262.0,6.0,4.0,2.0,,,,,,,,
264,PT03M59.00S,2019-12-22T23:58:06.9Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,89.56964520367937,41.73560049019608,1610612738,47,51,2019-12-22T23:58:10Z,2590000,-41.0,46.0,1,right,MISS E. Kanter 7' hook,[202683],1610612738.0,BOS,turnaround,,,Kanter,E. Kanter,,,,,,,,,,6.56,Missed,,,,,,,,,,,,,,
265,PT03M57.00S,2019-12-22T23:58:08.9Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,47,51,2019-12-22T23:58:10Z,2600000,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,264.0,3.0,3.0,0.0,,,,,,,,
266,PT03M51.00S,2019-12-22T23:58:20.6Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612766,47,51,2019-12-22T23:58:20Z,2610000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,out,[],202683,,,1610612766,47,51,2019-12-22T23:58:36Z,2620000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,out,[],1629750,,,1610612766,47,51,2019-12-22T23:58:36Z,2630000,,,0,,substitution out Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,out,[],1629641,,,1610612766,47,51,2019-12-22T23:58:36Z,2640000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,in,[],1628464,,,1610612766,47,51,2019-12-22T23:58:36Z,2650000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,in,[],1628369,,,1610612766,47,51,2019-12-22T23:58:36Z,2660000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M51.00S,2019-12-22T23:58:21.3Z,2,REGULAR,substitution,in,[],1629684,,,1610612766,47,51,2019-12-22T23:58:36Z,2670000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
