actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
60,PT07M09.00S,2019-12-22T23:18:53.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,92.19776609724047,47.372855392156865,1610612738,9,14,2019-12-22T23:20:14Z,505000,-13.0,21.0,1,right,MISS E. Kanter layup,[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,,,,,,2.94,Missed,,,,,,,,,,,,,,
61,PT07M08.00S,2019-12-22T23:18:54.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,9,14,2019-12-22T23:20:14Z,507500,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,60.0,3.0,2.0,1.0,,,,,,,,
52,PT07M06.00S,2019-12-22T23:18:55.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,94.08672798948751,52.75352328431373,1610612738,11,14,2019-12-22T23:20:21Z,510000,14.0,3.0,1,right,J. Brown layup (4 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,,,,,,1.63,Made,,,,,,,4.0,,,,,,,
53,PT06M54.00S,2019-12-22T23:19:07.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628970,7.966491458607096,45.90226715686275,1610612766,11,16,2019-12-22T23:26:54Z,520000,20.0,22.0,1,left,M. Bridges layup (5 PTS) (D. Graham 2 AST),"[1628970, 1628984]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,,,,3.46,Made,,,,,,,5.0,D. Graham,1628984.0,2.0,,,,
55,PT06M31.00S,2019-12-22T23:19:30.5Z,1,REGULAR,foul,personal,['3freethrow'],1626179,,,1610612738,11,16,2019-12-22T23:20:48Z,540000,,,0,,T. Rozier FOUL personal (1 PF) (Brown 3freethrow),"[1626179, 1627759]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,204059.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
58,PT06M31.00S,2019-12-22T23:19:58.1Z,1,REGULAR,freethrow,1of3,[],1627759,,,1610612738,11,16,2019-12-22T23:20:53Z,560000,,,0,,MISS J. Brown freethrow 1of3,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,,
59,PT06M31.00S,2019-12-22T23:19:58.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,11,16,2019-12-22T23:20:53Z,570000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,
62,PT06M31.00S,2019-12-22T23:19:58.1Z,1,REGULAR,freethrow,2of3,[],1627759,,,1610612738,11,16,2019-12-22T23:20:53Z,580000,,,0,,MISS J. Brown freethrow 2of3,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,,
63,PT06M31.00S,2019-12-22T23:19:58.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,11,16,2019-12-22T23:20:53Z,590000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
64,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,11,16,2019-12-22T23:20:22Z,600000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,11,16,2019-12-22T23:20:22Z,610000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,out,[],1628984,,,1610612738,11,16,2019-12-22T23:20:22Z,620000,,,0,,substitution out Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,in,[],202954,,,1610612738,11,16,2019-12-22T23:20:22Z,630000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,11,16,2019-12-22T23:20:22Z,640000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2019-12-22T23:20:15.7Z,1,REGULAR,substitution,in,[],1628370,,,1610612738,11,16,2019-12-22T23:20:22Z,650000,,,0,,substitution in Monk,[1628370],1610612766.0,CHA,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M31.00S,2019-12-22T23:19:58.1Z,1,REGULAR,freethrow,3of3,[],1627759,,,1610612738,12,16,2019-12-22T23:20:53Z,660000,,,0,,J. Brown freethrow 3of3 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,,,,,,,5.0,,,,,,,
