actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
94,PT05M25.00S,2020-09-26T00:59:37.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,5,15,2020-09-26T00:59:42Z,920000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M25.00S,2020-09-26T00:59:37.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612748,5,15,2020-09-26T00:59:42Z,930000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M08.00S,2020-09-26T01:00:07.7Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",202710,14.273981603153747,38.549325980392155,1610612748,5,17,2020-09-26T01:01:10Z,940000,57.0,82.0,1,left,J. Butler 10' jumpshot (4 PTS),[202710],1610612748.0,MIA,drivingfloating,,,Butler,J. Butler,,,,,10.43,Made,4.0,,,,,,,,,,,,,,,,,
97,PT04M55.00S,2020-09-26T01:00:21.7Z,1,REGULAR,3pt,jumpshot,[],202689,70.12155059132719,74.33363970588235,1610612738,8,17,2020-09-26T01:00:24Z,950000,122.0,228.0,1,right,K. Walker 26' 3PT  (3 PTS) (D. Theis 1 AST),"[202689, 1628464]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.37,Made,3.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,
99,PT04M40.00S,2020-09-26T01:00:36.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203109,5.995400788436268,46.88265931372549,1610612748,8,17,2020-09-26T01:00:42Z,970000,16.0,4.0,1,left,MISS J. Crowder layup,[203109],1610612748.0,MIA,cutting,,,Crowder,J. Crowder,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,
100,PT04M39.00S,2020-09-26T01:00:37.0Z,1,REGULAR,rebound,offensive,[],2738,,,1610612748,8,17,2020-09-26T01:01:16Z,980000,,,0,,A. Iguodala REBOUND (Off:1 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,99.0,2.0,1.0,1.0,,,,,,,,,,
101,PT04M39.00S,2020-09-26T01:00:39.9Z,1,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",2738,5.0,50.0,1610612748,8,17,2020-09-26T01:01:21Z,990000,0.0,-6.0,1,left,MISS A. Iguodala dunk,[2738],1610612748.0,MIA,tip,,,Iguodala,A. Iguodala,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
102,PT04M38.00S,2020-09-26T01:00:40.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,8,17,2020-09-26T01:01:21Z,1000000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,
103,PT04M18.00S,2020-09-26T01:01:00.0Z,1,REGULAR,foul,personal,['2freethrow'],202710,,,1610612738,8,17,2020-09-26T01:01:08Z,1010000,,,0,,J. Butler FOUL personal (2 PF) (Walker 2freethrow),"[202710, 202689]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,101284.0,2.0,0.0,Walker,202689.0
105,PT04M18.00S,2020-09-26T01:01:25.4Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,9,17,2020-09-26T01:01:25Z,1030000,,,0,,K. Walker freethrow 1of2 (4 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
106,PT04M18.00S,2020-09-26T01:01:27.4Z,1,REGULAR,substitution,out,[],202710,,,1610612738,9,17,2020-09-26T01:01:34Z,1040000,,,0,,substitution out Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M18.00S,2020-09-26T01:01:27.4Z,1,REGULAR,substitution,in,[],201609,,,1610612738,9,17,2020-09-26T01:01:34Z,1050000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M18.00S,2020-09-26T01:01:47.9Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,10,17,2020-09-26T01:01:47Z,1060000,,,0,,K. Walker freethrow 2of2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
109,PT03M55.00S,2020-09-26T01:02:12.0Z,1,REGULAR,3pt,jumpshot,[],203109,27.414586070959263,78.99050245098039,1610612748,10,17,2020-09-26T01:02:15Z,1070000,-145.0,205.0,1,left,MISS J. Crowder 26' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,
110,PT03M54.00S,2020-09-26T01:02:13.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,10,17,2020-09-26T01:02:19Z,1080000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,109.0,3.0,3.0,0.0,,,,,,,,,,
111,PT03M44.00S,2020-09-26T01:02:23.4Z,1,REGULAR,2pt,jumpshot,[],202689,89.17542706964521,76.78462009803921,1610612738,10,17,2020-09-26T01:02:27Z,1090000,134.0,49.0,1,right,MISS K. Walker 14' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,14.47,Missed,,,,,,,,,,,,,,,,,,
112,PT03M43.00S,2020-09-26T01:02:24.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,10,17,2020-09-26T01:02:29Z,1100000,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,111.0,3.0,3.0,0.0,,,,,,,,,,
113,PT03M36.00S,2020-09-26T01:02:31.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629639,6.389618922470433,58.15716911764706,1610612748,10,17,2020-09-26T01:02:43Z,1110000,-41.0,8.0,1,left,MISS T. Herro jumpshot,[1629639],1610612748.0,MIA,drivingfloatingbank,,,Herro,T. Herro,,,,,4.29,Missed,,,,,,,,,,,,,,,,,,
114,PT03M34.00S,2020-09-26T01:02:33.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,10,17,2020-09-26T01:02:35Z,1120000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,
115,PT03M34.00S,2020-09-26T01:02:36.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,10,17,2020-09-26T01:02:36Z,1130000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M20.00S,2020-09-26T01:02:58.0Z,1,REGULAR,3pt,jumpshot,[],1627759,66.70499342969777,58.892463235294116,1610612738,13,17,2020-09-26T01:03:01Z,1140000,44.0,260.0,1,right,J. Brown 27' 3PT  (3 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.97,Made,3.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
118,PT03M10.00S,2020-09-26T01:03:15.0Z,1,REGULAR,foul,personal,[],202689,,,1610612748,13,17,2020-09-26T01:03:20Z,1160000,,,0,,K. Walker FOUL personal (2 PF),"[202689, 2738]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,202041.0,2.0,0.0,Iguodala,2738.0
120,PT03M10.00S,2020-09-26T01:03:36.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,13,17,2020-09-26T01:03:36Z,1180000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M10.00S,2020-09-26T01:05:25.7Z,1,REGULAR,substitution,out,[],202689,,,1610612748,13,17,2020-09-26T01:07:01Z,1190000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M10.00S,2020-09-26T01:05:25.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612748,13,17,2020-09-26T01:07:01Z,1200000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M55.00S,2020-09-26T01:07:33.7Z,1,REGULAR,foul,personal,['3freethrow'],1628369,,,1610612748,13,17,2020-09-26T01:07:41Z,1210000,,,0,,J. Tatum FOUL personal (1 PF) (Robinson 3freethrow),"[1628369, 1629130]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Robinson,1629130.0
125,PT02M55.00S,2020-09-26T01:08:02.5Z,1,REGULAR,freethrow,1of3,[],1629130,,,1610612748,13,18,2020-09-26T01:08:35Z,1230000,,,0,,D. Robinson freethrow 1of3 (8 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
126,PT02M55.00S,2020-09-26T01:08:02.5Z,1,REGULAR,freethrow,2of3,[],1629130,,,1610612748,13,19,2020-09-26T01:08:35Z,1240000,,,0,,D. Robinson freethrow 2of3 (9 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
127,PT02M55.00S,2020-09-26T01:08:02.5Z,1,REGULAR,freethrow,3of3,[],1629130,,,1610612748,13,19,2020-09-26T01:08:35Z,1250000,,,0,,MISS D. Robinson freethrow 3of3,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Missed,,,,,,,,,,,,,,,,,,
128,PT02M55.00S,2020-09-26T01:08:02.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,19,2020-09-26T01:08:36Z,1260000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,127.0,3.0,2.0,1.0,,,,,,,,,,
129,PT02M42.00S,2020-09-26T01:08:43.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,84.70762155059133,62.56893382352941,1610612738,13,19,2020-09-26T01:08:47Z,1270000,63.0,91.0,1,right,MISS J. Brown 12' jumpshot,[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,11.53,Missed,,,,,,,,,,,,,,,,,,
130,PT02M40.00S,2020-09-26T01:08:45.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,13,19,2020-09-26T01:08:50Z,1280000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,
131,PT02M31.00S,2020-09-26T01:08:53.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201609,6.652431011826544,45.65716911764706,1610612748,13,21,2020-09-26T01:08:59Z,1290000,22.0,10.0,1,left,G. Dragic layup (2 PTS),[201609],1610612748.0,MIA,drivingreverse,,,Dragic,G. Dragic,,,,,2.67,Made,2.0,,,,,,,,,,,,,,,,,
132,PT02M09.00S,2020-09-26T01:09:18.1Z,1,REGULAR,foul,personal,[],1629639,,,1610612738,13,21,2020-09-26T01:09:23Z,1300000,,,0,,T. Herro FOUL personal (2 PF),"[1629639, 202330]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,201639.0,2.0,0.0,Hayward,202330.0
135,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,out,[],1629639,,,1610612738,13,21,2020-09-26T01:09:41Z,1330000,,,0,,substitution out Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,out,[],203109,,,1610612738,13,21,2020-09-26T01:09:41Z,1340000,,,0,,substitution out Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,13,21,2020-09-26T01:09:41Z,1350000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,in,[],1628389,,,1610612738,13,21,2020-09-26T01:09:41Z,1360000,,,0,,substitution in Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,in,[],203524,,,1610612738,13,21,2020-09-26T01:09:41Z,1370000,,,0,,substitution in Hill,[203524],1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M09.00S,2020-09-26T01:09:25.4Z,1,REGULAR,substitution,out,[],203935,,,1610612738,13,21,2020-09-26T01:11:14Z,1375000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M01.00S,2020-09-26T01:09:53.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,81.94809461235218,47.86305147058824,1610612738,15,21,2020-09-26T01:11:24Z,1380000,-11.0,117.0,1,right,D. Theis 12' layup (2 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,alleyoop,,,Theis,D. Theis,,,,,12.32,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
141,PT01M50.00S,2020-09-26T01:10:06.1Z,1,REGULAR,3pt,jumpshot,[],2738,6.521024967148489,4.970894607843137,1610612748,15,21,2020-09-26T01:10:11Z,1390000,225.0,9.0,1,left,MISS A. Iguodala 23' 3PT,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,
142,PT01M48.00S,2020-09-26T01:10:08.1Z,1,REGULAR,rebound,offensive,[],2738,,,1610612748,15,21,2020-09-26T01:10:08Z,1400000,,,0,,A. Iguodala REBOUND (Off:2 Def:1),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,141.0,3.0,1.0,2.0,,,,,,,,,,
143,PT01M36.00S,2020-09-26T01:10:40.7Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,15,21,2020-09-26T01:10:40Z,1410000,,,0,,Jump Ball B. Adebayo vs. J. Brown: Tip to D. Robinson,"[1629130, 1628389, 1627759]",1610612748.0,MIA,heldball,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,
146,PT01M33.00S,2020-09-26T01:10:44.1Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",201609,19.92444152431012,34.38265931372549,1610612748,15,21,2020-09-26T01:10:49Z,1440000,78.0,135.0,1,left,MISS G. Dragic 16' jumpshot,[201609],1610612748.0,MIA,turnaround,,,Dragic,G. Dragic,,,,,16.06,Missed,,,,,,,,,,,,,,,,,,
147,PT01M28.00S,2020-09-26T01:10:48.7Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,15,21,2020-09-26T01:10:48Z,1450000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,
148,PT01M22.00S,2020-09-26T01:10:54.7Z,1,REGULAR,3pt,jumpshot,[],202330,75.50919842312747,12.323835784313726,1610612738,15,21,2020-09-26T01:10:58Z,1460000,-188.0,178.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.28,Missed,,,,,,,,,,,,,,,,,,
149,PT01M20.00S,2020-09-26T01:10:56.7Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,15,21,2020-09-26T01:10:58Z,1470000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,
150,PT01M14.00S,2020-09-26T01:11:03.1Z,1,REGULAR,3pt,jumpshot,[],1629130,23.340998685939553,85.36305147058823,1610612748,15,24,2020-09-26T01:11:07Z,1480000,-177.0,167.0,1,left,D. Robinson 25' 3PT  (12 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.69,Made,12.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
154,PT00M56.50S,2020-09-26T01:11:29.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",2738,,,1610612738,15,24,2020-09-26T01:11:36Z,1500000,,,0,,A. Iguodala FOUL personal (1 PF) (Tatum inpenalty),"[2738, 1628369]",1610612748.0,MIA,shooting,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Tatum,1628369.0
156,PT00M56.50S,2020-09-26T01:11:49.8Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,15,24,2020-09-26T01:11:49Z,1520000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT00M56.50S,2020-09-26T01:11:49.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,15,24,2020-09-26T01:11:49Z,1530000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,
158,PT00M56.50S,2020-09-26T01:12:04.6Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,16,24,2020-09-26T01:12:04Z,1540000,,,0,,J. Tatum freethrow 2of2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
159,PT00M42.20S,2020-09-26T01:12:23.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612748,16,24,2020-09-26T01:12:30Z,1550000,,,0,,D. Theis FOUL personal (1 PF) (Adebayo inpenalty),"[1628464, 1628389]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Adebayo,1628389.0
161,PT00M42.20S,2020-09-26T01:12:51.6Z,1,REGULAR,freethrow,1of2,[],1628389,,,1610612748,16,25,2020-09-26T01:12:51Z,1570000,,,0,,B. Adebayo freethrow 1of2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
162,PT00M42.20S,2020-09-26T01:13:09.2Z,1,REGULAR,freethrow,2of2,[],1628389,,,1610612748,16,26,2020-09-26T01:13:09Z,1580000,,,0,,B. Adebayo freethrow 2of2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
163,PT00M35.90S,2020-09-26T01:13:21.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.9060446780552,47.372855392156865,1610612738,18,26,2020-09-26T01:13:27Z,1590000,-13.0,5.0,1,right,J. Brown layup (5 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.67,Made,5.0,,,,,,,,,,,,,,,,,
164,PT00M35.90S,2020-09-26T01:13:25.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628389,,,1610612738,18,26,2020-09-26T01:13:31Z,1600000,,,0,,B. Adebayo FOUL personal (2 PF) (Brown inpenalty),"[1628389, 1627759]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,202041.0,2.0,0.0,Brown,1627759.0
166,PT00M35.90S,2020-09-26T01:13:42.9Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,18,26,2020-09-26T01:13:47Z,1620000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M35.90S,2020-09-26T01:13:42.9Z,1,REGULAR,substitution,in,[],203482,,,1610612738,18,26,2020-09-26T01:13:47Z,1630000,,,0,,substitution in Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M35.90S,2020-09-26T01:14:02.2Z,1,REGULAR,freethrow,1of1,[],1627759,,,1610612738,18,26,2020-09-26T01:14:05Z,1640000,,,0,,MISS J. Brown freethrow 1of1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
169,PT00M33.90S,2020-09-26T01:14:04.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,18,26,2020-09-26T01:14:05Z,1650000,,,0,,Team defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,
170,PT00M33.90S,2020-09-26T01:14:06.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612748,18,26,2020-09-26T01:14:06Z,1660000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M18.70S,2020-09-26T01:14:28.8Z,1,REGULAR,3pt,jumpshot,[],1629130,26.231931668856767,14.529718137254902,1610612748,18,26,2020-09-26T01:19:29Z,1670000,177.0,194.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,
172,PT00M17.60S,2020-09-26T01:14:29.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,18,26,2020-09-26T01:14:34Z,1680000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,
173,PT00M00.00S,2020-09-26T01:14:48.8Z,1,REGULAR,3pt,jumpshot,[],1628369,74.19513797634691,83.40226715686273,1610612738,18,26,2020-09-26T01:20:24Z,1690000,167.0,190.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,
174,PT00M00.00S,2020-09-26T01:14:48.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,18,26,2020-09-26T01:14:52Z,1700000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,
175,PT00M00.00S,2020-09-26T01:15:04.2Z,1,REGULAR,period,end,[],0,,,1610612738,18,26,2020-09-26T01:15:04Z,1710000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2020-09-26T01:17:27.1Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,18,26,2020-09-26T01:18:19Z,1720000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2020-09-26T01:17:27.1Z,2,REGULAR,substitution,in,['startperiod'],202954,,,1610612738,18,26,2020-09-26T01:18:19Z,1730000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2020-09-26T01:18:28.3Z,2,REGULAR,period,start,[],0,,,1610612738,18,26,2020-09-26T01:18:28Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT11M48.00S,2020-09-26T01:18:39.3Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,82.34231274638634,36.09834558823529,1610612738,20,26,2020-09-26T01:18:43Z,1750000,-70.0,113.0,1,right,J. Tatum 14' jumpshot (5 PTS) (G. Hayward 1 AST),"[1628369, 202330]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,13.78,Made,5.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
181,PT11M34.00S,2020-09-26T01:18:52.7Z,2,REGULAR,2pt,layup,['pointsinthepaint'],201609,5.995400788436268,54.72579656862745,1610612748,20,26,2020-09-26T01:18:57Z,1770000,-24.0,4.0,1,left,MISS G. Dragic layup Blocked,"[201609, 1628464]",1610612748.0,MIA,driving,,,Dragic,G. Dragic,,,,,2.54,Missed,,,,,,,,,Theis,1628464.0,,,,,,,,
182,PT11M34.00S,2020-09-26T01:18:52.7Z,2,REGULAR,block,,[],1628464,,,1610612748,20,26,2020-09-26T01:18:54Z,1780000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
183,PT11M33.00S,2020-09-26T01:18:53.7Z,2,REGULAR,rebound,offensive,[],203524,,,1610612748,20,26,2020-09-26T01:19:04Z,1790000,,,0,,S. Hill REBOUND (Off:1 Def:0),[203524],1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,181.0,1.0,0.0,1.0,,,,,,,,,,
184,PT11M31.00S,2020-09-26T01:18:56.4Z,2,REGULAR,3pt,jumpshot,['2ndchance'],203482,30.831143232588698,70.16697303921569,1610612748,20,29,2020-09-26T01:18:59Z,1800000,-101.0,237.0,1,left,K. Olynyk 26' 3PT  (3 PTS) (S. Hill 1 AST),"[203482, 203524]",1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,26.29,Made,3.0,S. Hill,203524.0,1.0,,,,,,,,,,,,,,
186,PT11M09.00S,2020-09-26T01:19:17.6Z,2,REGULAR,2pt,hook,['pointsinthepaint'],1628464,91.40932982917214,36.09834558823529,1610612738,20,29,2020-09-26T01:19:21Z,1820000,-70.0,28.0,1,right,MISS D. Theis 8' hook,[1628464],1610612738.0,BOS,turnaround,,,Theis,D. Theis,,,,,7.73,Missed,,,,,,,,,,,,,,,,,,
187,PT11M08.00S,2020-09-26T01:19:18.6Z,2,REGULAR,rebound,defensive,[],203524,,,1610612748,20,29,2020-09-26T01:19:23Z,1830000,,,0,,S. Hill REBOUND (Off:1 Def:1),[203524],1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,186.0,2.0,1.0,1.0,,,,,,,,,,
