actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
37,PT08M52.00S,2020-01-16T00:15:12.8Z,1,REGULAR,2pt,jumpshot,[],201565,22.158344283837057,33.892463235294116,1610612765,4,11,2020-01-16T00:15:21Z,370000,81.0,156.0,1,left,D. Rose 18' jumpshot (4 PTS),[201565],1610612765.0,DET,drivingfloating,,,Rose,D. Rose,,,,,18.03,Made,4.0,,,,,,,,,,,,,,,,,,
38,PT08M36.00S,2020-01-16T00:15:35.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203935,90.88370565045992,48.10814950980392,1610612738,4,11,2020-01-16T00:17:46Z,380000,-9.0,33.0,1,right,MISS M. Smart layup Blocked,"[203935, 201565]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,3.98,Missed,,,,,,,,,,,,,,,,,Rose,201565.0,
39,PT08M36.00S,2020-01-16T00:15:35.7Z,1,REGULAR,block,,[],201565,,,1610612738,4,11,2020-01-16T00:15:39Z,390000,,,0,,D. Rose BLOCK (1 BLK),[201565],1610612765.0,DET,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2020-01-16T00:15:37.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,4,11,2020-01-16T00:17:46Z,400000,,,0,,Team defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,
41,PT08M34.00S,2020-01-16T00:15:41.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,4,11,2020-01-16T00:17:42Z,410000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2020-01-16T00:15:54.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,4,11,2020-01-16T00:17:42Z,420000,,,0,,timeout full,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M34.00S,2020-01-16T00:16:23.5Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612765,4,11,2020-01-16T00:19:45Z,430000,,,0,,,[],1610612765.0,DET,overturned,,,,,,,,,,,,,,,2003.0,,,,,,,,,,,,,,
44,PT08M11.00S,2020-01-16T00:19:04.0Z,1,REGULAR,3pt,jumpshot,[],1628971,26.231931668856767,82.91207107843137,1610612765,4,11,2020-01-16T00:19:15Z,440000,-165.0,194.0,1,left,MISS B. Brown 26' 3PT,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M08.00S,2020-01-16T00:19:07.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,11,2020-01-16T00:19:15Z,450000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,
46,PT08M08.00S,2020-01-16T00:19:14.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,4,11,2020-01-16T00:19:14Z,460000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2020-01-16T00:19:31.1Z,1,REGULAR,2pt,jumpshot,[],202330,77.87450722733246,28.500306372549016,1610612738,6,11,2020-01-16T00:21:35Z,470000,-107.0,155.0,1,right,G. Hayward 19' jumpshot (2 PTS),[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,19.36,Made,2.0,,,,,,,,,,,,,,,,,,
48,PT07M47.00S,2020-01-16T00:19:42.3Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612765,6,11,2020-01-16T00:19:58Z,480000,,,0,,D. Theis FOUL personal (1 PF) (Drummond 2freethrow),"[1628464, 203083]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,2003.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,
50,PT07M47.00S,2020-01-16T00:20:03.2Z,1,REGULAR,freethrow,1of2,[],203083,,,1610612765,6,11,2020-01-16T00:20:25Z,500000,,,0,,MISS A. Drummond freethrow 1of2,[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M47.00S,2020-01-16T00:20:03.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,6,11,2020-01-16T00:20:25Z,510000,,,0,,Team offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,
52,PT07M47.00S,2020-01-16T00:20:03.2Z,1,REGULAR,freethrow,2of2,[],203083,,,1610612765,6,11,2020-01-16T00:20:25Z,520000,,,0,,MISS A. Drummond freethrow 2of2,[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2020-01-16T00:20:03.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,11,2020-01-16T00:20:25Z,530000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,
54,PT07M36.00S,2020-01-16T00:20:31.4Z,1,REGULAR,2pt,jumpshot,[],203935,80.15768725361366,33.39077818627451,1610612738,6,11,2020-01-16T00:20:38Z,540000,-83.0,134.0,1,right,MISS M. Smart 16' jumpshot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2020-01-16T00:20:34.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,6,11,2020-01-16T00:20:38Z,550000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,54.0,3.0,3.0,0.0,,,,,,
56,PT07M28.00S,2020-01-16T00:20:39.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203503,19.793035479632064,92.9610906862745,1610612765,6,11,2020-01-16T00:20:45Z,560000,-215.0,134.0,1,left,MISS T. Snell 26' 3PT,[203503],1610612765.0,DET,,,,Snell,T. Snell,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M26.00S,2020-01-16T00:20:41.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,6,11,2020-01-16T00:20:45Z,570000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,
