actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
44,PT09M23.00S,2020-01-12T00:14:42.2Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612740,5,7,2020-01-12T00:25:55Z,430000,,,0,,L. Ball REBOUND (Off:2 Def:0),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,43.0,2.0,0.0,2.0,,,
45,PT09M21.00S,2020-01-12T00:14:42.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627742,30.56833114323259,76.04932598039215,1610612740,5,7,2020-01-12T00:14:47Z,440000,-130.0,235.0,1,left,MISS B. Ingram 27' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,27.33,Missed,,,,,,,,,,,,,,,,
46,PT09M20.00S,2020-01-12T00:14:43.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,5,7,2020-01-12T00:18:08Z,450000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,
47,PT09M13.00S,2020-01-12T00:14:52.0Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628464,89.70105124835742,49.08854166666667,1610612738,5,7,2020-01-12T00:15:01Z,460000,-5.0,44.0,1,right,MISS D. Theis hook,[1628464],1610612738.0,BOS,turnaround,,,Theis,D. Theis,,,,,,,,5.0,Missed,,,,,,,,,,,,,,,,
49,PT09M13.00S,2020-01-12T00:14:52.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,7,2020-01-12T00:15:01Z,480000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,
50,PT09M13.00S,2020-01-12T00:14:55.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,7,2020-01-12T00:14:55Z,490000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT09M09.00S,2020-01-12T00:15:11.4Z,1,REGULAR,2pt,jumpshot,['2ndchance'],202330,77.21747700394218,36.58854166666667,1610612738,5,7,2020-01-12T00:15:18Z,500000,-67.0,162.0,1,right,MISS G. Hayward 18' jumpshot,[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,,,,18.02,Missed,,,,,,,,,,,,,,,,
52,PT09M08.00S,2020-01-12T00:15:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,7,2020-01-12T00:15:18Z,510000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,
53,PT09M08.00S,2020-01-12T00:15:19.9Z,1,REGULAR,foul,personal,[],1629637,,,1610612738,5,7,2020-01-12T00:15:33Z,520000,,,0,,J. Hayes FOUL personal (1 PF),"[1629637, 1628464]",1610612740.0,NOP,looseball,,,Hayes,J. Hayes,,,,,,,,,,,,,,1628481.0,1.0,0.0,Theis,1628464.0,,,,,,,
55,PT09M00.00S,2020-01-12T00:15:39.0Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1628369,82.07950065703022,50.06893382352941,1610612738,5,7,2020-01-12T00:15:45Z,540000,0.0,116.0,1,right,MISS J. Tatum 12' jumpshot,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,,,,12.15,Missed,,,,,,,,,,,,,,,,
