actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
325,PT10M36.00S,2020-08-17T23:55:27Z,3,REGULAR,2pt,layup,running,"['pointsinthepaint', 'fastbreak']",202689,92.85,52.77,1610612738,61,52,2020-08-17T23:55:33,3230000,14,15,right,Walker 2' Running Layup (8 PTS) (Brown 4 AST),"[202689, 1627759]",1610612738,BOS,1,Walker,K. Walker,,,,,,,8.0,Made,2.05,,,,,,Brown,1627759.0,4.0,,,,,,,,,,
327,PT10M22.00S,2020-08-17T23:55:42Z,3,REGULAR,3pt,jumpshot,,[],1626196,33.2,18.94,1610612755,61,52,2020-08-17T23:55:47,3250000,155,260,left,MISS Richardson 30' 3PT Jump Shot,[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,0.0,Missed,30.27,,,,,,,,,,,,,,,,,,
328,PT10M20.00S,2020-08-17T23:55:44Z,3,REGULAR,rebound,defensive,,[],1628464,,,1610612738,61,52,2020-08-17T23:55:51,3260000,155,260,left,Theis REBOUND (Off:0 Def:1),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,1.0,1.0,0.0,327.0,,,,,,,,,,,,,,
329,PT10M04.00S,2020-08-17T23:56:00Z,3,REGULAR,turnover,lostball,,[],202689,,,1610612738,61,52,2020-08-17T23:56:06,3270000,-62,-11,right,Walker Lost Ball Turnover (P1.T5) Stolen,"[202689, 203954]",1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,1.0,,,,Embiid,203954.0,2.0,,,,,,,
330,PT10M04.00S,2020-08-17T23:56:00Z,3,REGULAR,steal,,,[],203954,,,1610612755,61,52,0001-01-01T00:00:00,3280000,-62,-11,right, STEAL ,[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT09M56.00S,2020-08-17T23:56:08Z,3,REGULAR,2pt,dunk,drivingreverse,"['pointsinthepaint', 'fromturnover']",203954,6.26,52.52,1610612755,61,54,2020-08-17T23:56:15,3290000,-13,6,left,Embiid 1' Driving Reverse Dunk Shot (15 PTS) (Milton 3 AST),"[203954, 1629003]",1610612755,PHI,1,Embiid,J. Embiid,,,,,,,15.0,Made,1.43,,,,,,Milton,1629003.0,3.0,,,,,,,,,,
333,PT09M31.00S,2020-08-17T23:56:33Z,3,REGULAR,2pt,jumpshot,turnaroundfadeaway,[],1628369,83.0,70.41,1610612738,61,54,2020-08-17T23:56:37,3310000,102,107,right,MISS Tatum 15' Turnaround Fadeaway Shot,[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,0.0,Missed,14.78,,,,,,,,,,,,,,,,,,
334,PT09M29.00S,2020-08-17T23:56:35Z,3,REGULAR,rebound,defensive,,[],201143,,,1610612755,61,54,2020-08-17T23:56:37,3320000,102,107,right,Horford REBOUND (Off:1 Def:3),[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,4.0,3.0,1.0,333.0,,,,,,,,,,,,,,
335,PT09M24.00S,2020-08-17T23:56:41Z,3,REGULAR,3pt,jumpshot,,['fastbreak'],203954,33.98,49.09,1610612755,61,54,2020-08-17T23:56:53,3330000,5,267,left,MISS Embiid 27' 3PT Jump Shot,[203954],1610612755,PHI,1,Embiid,J. Embiid,,,,,,,0.0,Missed,26.7,,,,,,,,,,,,,,,,,,
336,PT09M22.00S,2020-08-17T23:56:43Z,3,REGULAR,rebound,defensive,,[],1628369,,,1610612738,61,54,2020-08-17T23:56:53,3340000,5,267,left,Tatum REBOUND (Off:2 Def:7),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,9.0,7.0,2.0,335.0,,,,,,,,,,,,,,
