actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
42,PT08M11.00S,2020-01-19T00:15:42.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,10,2020-01-19T00:15:45Z,420000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M59.00S,2020-01-19T00:15:59.1Z,1,REGULAR,turnover,outofbounds,[],1629684,,,1610612738,3,10,2020-01-19T00:16:05Z,430000,,,0,,G. Williams TURNOVER outofbounds (1 TOV),[1629684],1610612738.0,BOS,step,,,Williams,G. Williams,,,,,,,,,,,,1.0,,,1627529.0,,,,,,,,,,
44,PT07M59.00S,2020-01-19T00:16:03.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612756,3,10,2020-01-19T00:16:07Z,440000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M59.00S,2020-01-19T00:16:03.7Z,1,REGULAR,substitution,in,[],202683,,,1610612756,3,10,2020-01-19T00:16:07Z,450000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M49.00S,2020-01-19T00:16:23.3Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1626164,76.5604467805519,38.30422794117647,1610612756,3,10,2020-01-19T00:16:29Z,460000,-58.0,168.0,1,right,MISS D. Booker 18' jumpshot,[1626164],1610612756.0,PHX,turnaround,,,Booker,D. Booker,,,,,18.29,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M47.00S,2020-01-19T00:16:25.3Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,3,10,2020-01-19T00:16:29Z,470000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M40.00S,2020-01-19T00:16:31.7Z,1,REGULAR,turnover,lostball,[],202330,,,1610612738,3,10,2020-01-19T00:16:39Z,480000,,,0,,G. Hayward TURNOVER lostball (1 TOV) Stolen,"[202330, 1628969]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,
49,PT07M40.00S,2020-01-19T00:16:31.7Z,1,REGULAR,steal,,[],1628969,,,1610612756,3,10,2020-01-19T00:16:34Z,490000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M38.00S,2020-01-19T00:16:34.8Z,1,REGULAR,2pt,dunk,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628969,94.03745072273325,49.57873774509804,1610612756,3,12,2020-01-19T00:16:58Z,500000,-2.0,4.0,1,right,M. Bridges dunk (2 PTS),[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,0.92,Made,2.0,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2020-01-19T00:16:42.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,3,12,2020-01-19T00:16:42Z,510000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2020-01-19T00:19:05.1Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,3,12,2020-01-19T00:19:14Z,520000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2020-01-19T00:19:05.1Z,1,REGULAR,substitution,in,[],1629750,,,1610612738,3,12,2020-01-19T00:19:14Z,530000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M22.00S,2020-01-19T00:19:40.9Z,1,REGULAR,3pt,jumpshot,[],203935,14.799605781865965,3.7454044117647056,1610612738,3,12,2020-01-19T00:19:48Z,540000,231.0,87.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M20.00S,2020-01-19T00:19:42.9Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,3,12,2020-01-19T00:19:48Z,550000,,,0,,D. Saric REBOUND (Off:0 Def:3),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT07M14.00S,2020-01-19T00:19:48.8Z,1,REGULAR,turnover,badpass,[],201937,,,1610612756,3,12,2020-01-19T00:19:52Z,560000,,,0,,R. Rubio TURNOVER badpass (1 TOV) Stolen,"[201937, 1629750]",1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,1.0,Green,1629750.0,,,,,,,,,,,
57,PT07M14.00S,2020-01-19T00:19:48.8Z,1,REGULAR,steal,,[],1629750,,,1610612738,3,12,2020-01-19T00:19:50Z,570000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2020-01-19T00:19:53.8Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202330,6.258212877792378,50.314031862745104,1610612738,5,12,2020-01-19T00:19:58Z,580000,-2.0,6.0,1,left,G. Hayward dunk (2 PTS) (J. Green 1 AST),"[202330, 1629750]",1610612738.0,BOS,cutting,,,Hayward,G. Hayward,,,,,1.19,Made,2.0,,,,,,,,,J. Green,1629750.0,1.0,,,,,,,
60,PT06M55.00S,2020-01-19T00:20:08.1Z,1,REGULAR,turnover,badpass,[],201937,,,1610612756,5,12,2020-01-19T00:20:12Z,600000,,,0,,R. Rubio TURNOVER badpass (2 TOV) Stolen,"[201937, 202330]",1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,2.0,Hayward,202330.0,,,,,,,,,,,
61,PT06M55.00S,2020-01-19T00:20:08.1Z,1,REGULAR,steal,,[],202330,,,1610612738,5,12,2020-01-19T00:20:09Z,610000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2020-01-19T00:20:13.2Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629750,6.258212877792378,53.990502450980394,1610612738,5,12,2020-01-19T00:20:24Z,620000,-20.0,6.0,1,left,MISS J. Green dunk,[1629750],1610612738.0,BOS,running,,,Green,J. Green,,,,,2.32,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2020-01-19T00:20:17.2Z,1,REGULAR,rebound,defensive,[],201937,,,1610612756,5,12,2020-01-19T00:20:24Z,630000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT06M44.00S,2020-01-19T00:20:23.9Z,1,REGULAR,foul,personal,[],203935,,,1610612756,5,12,2020-01-19T00:20:34Z,640000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 1626164]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1627529.0,,,,,,1.0,0.0,Booker,1626164.0,
66,PT06M36.00S,2020-01-19T00:20:49.9Z,1,REGULAR,3pt,jumpshot,[],201937,89.56964520367937,4.725796568627451,1610612756,5,15,2020-01-19T00:20:56Z,660000,-226.0,46.0,1,right,R. Rubio 23' 3PT  (5 PTS) (D. Booker 2 AST),"[201937, 1626164]",1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,23.21,Made,5.0,,,,,,,,,D. Booker,1626164.0,2.0,,,,,,,
68,PT06M17.00S,2020-01-19T00:21:09.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,5.995400788436268,49.57873774509804,1610612738,7,15,2020-01-19T00:21:17Z,680000,2.0,4.0,1,left,E. Kanter layup (2 PTS) (G. Hayward 1 AST),"[202683, 202330]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,0.96,Made,2.0,,,,,,,,,G. Hayward,202330.0,1.0,,,,,,,
70,PT06M12.00S,2020-01-19T00:21:16.2Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",201937,94.03745072273325,50.80422794117647,1610612756,7,15,2020-01-19T00:21:24Z,700000,4.0,4.0,1,right,MISS R. Rubio layup,[201937],1610612756.0,PHX,driving,,,Rubio,R. Rubio,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,,
