actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
220,PT05M24.00S,2020-08-19T23:29:41Z,2,REGULAR,substitution,out,,[],202954,,,1610612738,48,41,0001-01-01T00:00:00,2130000,0,-80,,SUB: Walker FOR Wanamaker,[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT05M08.00S,2020-08-19T23:30:09Z,2,REGULAR,3pt,jumpshot,pullup,['fromturnover'],202689,33.85,46.15,1610612738,48,41,2020-08-19T23:30:14,2150000,19,266,left,MISS Walker 27' 3PT Pullup Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,26.67,,,,,,,,,,,,,,,,,,
223,PT05M07.00S,2020-08-19T23:30:10Z,2,REGULAR,rebound,offensive,,[],202689,,,1610612738,48,41,2020-08-19T23:30:17,2160000,19,266,left,Walker REBOUND (Off:1 Def:1),[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,2.0,1.0,1.0,222.0,,,,,,,,,,,,,,
224,PT05M05.00S,2020-08-19T23:30:12Z,2,REGULAR,2pt,layup,driving,"['pointsinthepaint', 'fromturnover', '2ndchance']",202689,7.18,54.73,1610612738,50,41,2020-08-19T23:30:16,2170000,-24,15,left,Walker 3' Driving Layup (4 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,4.0,Made,2.83,,,,,,,,,,,,,,,,,,
225,PT04M48.00S,2020-08-19T23:30:28Z,2,REGULAR,2pt,hook,driving,['pointsinthepaint'],1626196,90.62,55.95,1610612755,50,41,2020-08-19T23:30:35,2180000,30,36,right,MISS Richardson 5' Driving Hook Shot,[1626196],1610612755,PHI,1,Richardson,J. Richardson,,,,,,,0.0,Missed,4.69,,,,,,,,,,,,,,,,,,
226,PT04M47.00S,2020-08-19T23:30:29Z,2,REGULAR,rebound,defensive,,[],202689,,,1610612738,50,41,2020-08-19T23:31:02,2190000,30,36,right,Walker REBOUND (Off:1 Def:2),[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,3.0,2.0,1.0,225.0,,,,,,,,,,,,,,
227,PT04M41.00S,2020-08-19T23:30:35Z,2,REGULAR,3pt,jumpshot,,['fastbreak'],203935,21.63,5.46,1610612738,50,41,2020-08-19T23:30:40,2200000,223,151,left,MISS Smart 27' 3PT Jump Shot,[203935],1610612738,BOS,1,Smart,M. Smart,,,,,,,0.0,Missed,26.93,,,,,,,,,,,,,,,,,,
228,PT04M40.00S,2020-08-19T23:30:36Z,2,REGULAR,rebound,offensive,,[],202683,,,1610612738,50,41,2020-08-19T23:30:48,2210000,223,151,left,Kanter REBOUND (Off:2 Def:4),[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,6.0,4.0,2.0,227.0,,,,,,,,,,,,,,
229,PT04M40.00S,2020-08-19T23:30:39Z,2,REGULAR,2pt,layup,putback,"['pointsinthepaint', '2ndchance']",202683,6.78,47.86,1610612738,50,41,2020-08-19T23:30:54,2220000,11,11,left,MISS Kanter 2' Putback Layup,[202683],1610612738,BOS,1,Kanter,E. Kanter,,,,,,,0.0,Missed,1.56,,,,,,,,,,,,,,,,,,
230,PT04M39.00S,2020-08-19T23:30:40Z,2,REGULAR,rebound,defensive,,[],203954,,,1610612755,50,41,2020-08-19T23:30:54,2230000,11,11,left,Embiid REBOUND (Off:0 Def:6),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,6.0,6.0,0.0,229.0,,,,,,,,,,,,,,
231,PT04M21.00S,2020-08-19T23:30:55Z,2,REGULAR,3pt,jumpshot,,[],202692,78.14,92.96,1610612755,50,41,2020-08-19T23:31:00,2240000,215,153,right,MISS Burks 26' 3PT Jump Shot,[202692],1610612755,PHI,1,Burks,A. Burks,,,,,,,0.0,Missed,26.39,,,,,,,,,,,,,,,,,,
232,PT04M19.00S,2020-08-19T23:30:57Z,2,REGULAR,rebound,defensive,,[],202683,,,1610612738,50,41,2020-08-19T23:31:00,2250000,215,153,right,Kanter REBOUND (Off:2 Def:5),[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,7.0,5.0,2.0,231.0,,,,,,,,,,,,,,
233,PT04M10.00S,2020-08-19T23:31:06Z,2,REGULAR,2pt,jumpshot,pullup,[],202689,24.79,63.3,1610612738,52,41,2020-08-19T23:31:10,2260000,-66,181,left,Walker 19' Pullup Jump Shot (6 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,6.0,Made,19.27,,,,,,,,,,,,,,,,,,
