actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
181,PT11M09.00S,2020-09-20T01:16:39.7Z,2,REGULAR,rebound,defensive,[],203482,,,1610612748,22,31,2020-09-20T01:16:42Z,1800000,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,180.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
182,PT10M59.00S,2020-09-20T01:16:49.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1629639,7.046649145860711,53.74540441176471,1610612748,22,31,2020-09-20T01:16:53Z,1810000,-19.0,14.0,1,left,MISS T. Herro layup,[1629639],1610612748.0,MIA,drivingfingerroll,,,Herro,T. Herro,,,,,2.68,Missed,,,,,,,,,,,,,,,,,,,
183,PT10M57.00S,2020-09-20T01:16:51.9Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,22,31,2020-09-20T01:16:53Z,1820000,,,0,,E. Kanter REBOUND (Off:2 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,182.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
184,PT10M47.00S,2020-09-20T01:17:03.1Z,2,REGULAR,foul,personal,['2freethrow'],203482,,,1610612738,22,31,2020-09-20T01:17:15Z,1830000,,,0,,K. Olynyk FOUL personal (2 PF) (Wanamaker 2freethrow),"[203482, 202954]",1610612748.0,MIA,shooting,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,2534.0,2.0,0.0,Wanamaker,202954.0,,,,,,
186,PT10M47.00S,2020-09-20T01:17:31.3Z,2,REGULAR,freethrow,1of2,[],202954,,,1610612738,22,32,2020-09-20T01:17:31Z,1850000,,,0,,B. Wanamaker freethrow 1of2 (1 PTS),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
187,PT10M47.00S,2020-09-20T01:17:32.0Z,2,REGULAR,substitution,out,[],203482,,,1610612738,22,32,2020-09-20T01:17:37Z,1860000,,,0,,substitution out Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M47.00S,2020-09-20T01:17:32.0Z,2,REGULAR,substitution,in,[],1628389,,,1610612738,22,32,2020-09-20T01:17:37Z,1870000,,,0,,substitution in Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M47.00S,2020-09-20T01:17:51.3Z,2,REGULAR,freethrow,2of2,[],202954,,,1610612738,22,33,2020-09-20T01:17:51Z,1880000,,,0,,B. Wanamaker freethrow 2of2 (2 PTS),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
190,PT10M29.00S,2020-09-20T01:18:14.5Z,2,REGULAR,2pt,jumpshot,[],1629639,22.158344283837057,75.55912990196079,1610612748,24,33,2020-09-20T01:18:20Z,1890000,-128.0,156.0,1,left,T. Herro 21' jumpshot (4 PTS),[1629639],1610612748.0,MIA,stepback,,,Herro,T. Herro,,,,,20.58,Made,,,,,4.0,,,,,,,,,,,,,,
191,PT10M14.00S,2020-09-20T01:18:30.0Z,2,REGULAR,3pt,jumpshot,[],202689,64.73390275952694,42.470894607843135,1610612738,24,36,2020-09-20T01:18:33Z,1900000,-38.0,279.0,1,right,K. Walker 29' 3PT  (8 PTS) (G. Hayward 2 AST),"[202689, 202330]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,28.7,Made,,,,,8.0,G. Hayward,202330.0,2.0,,,,,,,,,,,
193,PT10M00.00S,2020-09-20T01:18:43.4Z,2,REGULAR,3pt,jumpshot,[],1629639,23.73521681997372,86.34344362745098,1610612748,27,36,2020-09-20T01:18:47Z,1920000,-182.0,171.0,1,left,T. Herro 25' 3PT  (7 PTS) (G. Dragic 3 AST),"[1629639, 201609]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.3,Made,,,,,7.0,G. Dragic,201609.0,3.0,,,,,,,,,,,
195,PT09M44.00S,2020-09-20T01:18:59.7Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,86.81011826544021,43.451286764705884,1610612738,27,36,2020-09-20T01:19:04Z,1940000,-33.0,71.0,1,right,MISS E. Kanter 8' hook,[202683],1610612738.0,BOS,turnaround,,,Kanter,E. Kanter,,,,,8.37,Missed,,,,,,,,,,,,,,,,,,,
196,PT09M42.00S,2020-09-20T01:19:01.7Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,27,36,2020-09-20T01:19:04Z,1950000,,,0,,B. Adebayo REBOUND (Off:0 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,195.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
197,PT09M32.00S,2020-09-20T01:19:12.1Z,2,REGULAR,3pt,jumpshot,[],1627884,8.360709592641262,3.990502450980392,1610612748,30,36,2020-09-20T01:19:16Z,1960000,230.0,26.0,1,left,D. Jones Jr. 23' 3PT  (3 PTS) (G. Dragic 4 AST),"[1627884, 201609]",1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,23.22,Made,,,,,3.0,G. Dragic,201609.0,4.0,,,,,,,,,,,
198,PT09M14.00S,2020-09-20T01:19:36.4Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,30,36,2020-09-20T01:19:36Z,1970000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M14.00S,2020-09-20T01:19:38.1Z,2,REGULAR,substitution,out,[],2738,,,1610612738,30,36,2020-09-20T01:19:44Z,1980000,,,0,,substitution out Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M14.00S,2020-09-20T01:19:38.1Z,2,REGULAR,substitution,in,[],203109,,,1610612738,30,36,2020-09-20T01:19:44Z,1990000,,,0,,substitution in Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M09.00S,2020-09-20T01:19:57.5Z,2,REGULAR,violation,kickedball,[],1628389,,,1610612738,30,36,2020-09-20T01:20:03Z,2000000,,,0,,B. Adebayo violation kickedball,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2715.0,,,,,,,,,,
202,PT09M09.00S,2020-09-20T01:19:59.8Z,2,REGULAR,substitution,out,[],202954,,,1610612738,30,36,2020-09-20T01:20:08Z,2010000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT09M09.00S,2020-09-20T01:19:59.8Z,2,REGULAR,substitution,out,[],202683,,,1610612738,30,36,2020-09-20T01:20:08Z,2020000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M09.00S,2020-09-20T01:19:59.8Z,2,REGULAR,substitution,in,[],1628464,,,1610612738,30,36,2020-09-20T01:20:08Z,2030000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M09.00S,2020-09-20T01:19:59.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,30,36,2020-09-20T01:20:08Z,2040000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M57.00S,2020-09-20T01:20:28.0Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,93.11760840998686,65.26501225490196,1610612738,30,38,2020-09-20T01:20:32Z,2050000,76.0,12.0,1,right,J. Tatum 8' jumpshot (7 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,7.83,Made,,,,,7.0,M. Smart,203935.0,3.0,,,,,,,,,,,
208,PT08M45.00S,2020-09-20T01:20:39.4Z,2,REGULAR,2pt,jumpshot,[],201609,23.209592641261498,35.853247549019606,1610612748,30,38,2020-09-20T01:20:42Z,2070000,71.0,166.0,1,left,MISS G. Dragic 19' jumpshot,[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,18.52,Missed,,,,,,,,,,,,,,,,,,,
209,PT08M43.00S,2020-09-20T01:20:41.4Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,30,38,2020-09-20T01:20:42Z,2080000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,208.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
210,PT08M39.00S,2020-09-20T01:20:45.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202689,93.38042049934296,49.57873774509804,1610612738,30,40,2020-09-20T01:20:50Z,2090000,-2.0,10.0,1,right,K. Walker layup (10 PTS),[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,1.53,Made,,,,,10.0,,,,,,,,,,,,,,
211,PT08M30.00S,2020-09-20T01:20:54.5Z,2,REGULAR,3pt,jumpshot,[],1629639,22.158344283837057,88.30422794117648,1610612748,33,40,2020-09-20T01:20:58Z,2100000,-192.0,156.0,1,left,T. Herro 25' 3PT  (10 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.04,Made,,,,,10.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,
213,PT08M15.00S,2020-09-20T01:21:10.7Z,2,REGULAR,turnover,lostball,[],1628369,,,1610612738,33,40,2020-09-20T01:21:16Z,2120000,,,0,,J. Tatum TURNOVER lostball (1 TOV) Stolen,"[1628369, 203109]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,,,Crowder,203109.0,
214,PT08M15.00S,2020-09-20T01:21:10.7Z,2,REGULAR,steal,,[],203109,,,1610612748,33,40,2020-09-20T01:21:12Z,2130000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M12.00S,2020-09-20T01:21:13.5Z,2,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",1629639,32.933639947437584,50.06893382352941,1610612748,36,40,2020-09-20T01:21:19Z,2140000,0.0,257.0,1,left,T. Herro 26' 3PT  (13 PTS) (J. Crowder 3 AST),"[1629639, 203109]",1610612748.0,MIA,runningpullup,,,Herro,T. Herro,,,,,26.26,Made,,,,,13.0,J. Crowder,203109.0,3.0,,,,,,,,,,,
217,PT08M10.00S,2020-09-20T01:21:22.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,36,40,2020-09-20T01:21:22Z,2160000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M10.00S,2020-09-20T01:21:27.6Z,2,REGULAR,foul,technical,['1freethrow'],1628369,,,1610612738,36,40,2020-09-20T01:24:07Z,2170000,,,0,,J. Tatum FOUL technical (1 Tech),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2534.0,1.0,1.0,,,,,,,,
219,PT08M10.00S,2020-09-20T01:25:08.7Z,2,REGULAR,freethrow,1of1,[],201609,,,1610612738,37,40,2020-09-20T01:25:08Z,2180000,,,0,,G. Dragic technical freethrow 1of1 (4 PTS),[201609],1610612748.0,MIA,technical,,,Dragic,G. Dragic,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
220,PT07M51.00S,2020-09-20T01:25:40.0Z,2,REGULAR,3pt,jumpshot,[],202689,73.80091984231275,15.755208333333334,1610612738,37,40,2020-09-20T01:25:45Z,2190000,-171.0,194.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
221,PT07M48.00S,2020-09-20T01:25:43.0Z,2,REGULAR,rebound,defensive,[],201609,,,1610612748,37,40,2020-09-20T01:25:45Z,2200000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,220.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
222,PT07M40.00S,2020-09-20T01:25:53.9Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612748,37,40,2020-09-20T01:25:53Z,2210000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M40.00S,2020-09-20T01:25:56.0Z,2,REGULAR,substitution,out,[],202689,,,1610612748,37,40,2020-09-20T01:26:05Z,2220000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M40.00S,2020-09-20T01:25:56.0Z,2,REGULAR,substitution,in,[],1627759,,,1610612748,37,40,2020-09-20T01:26:05Z,2230000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M33.00S,2020-09-20T01:26:22.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],201609,15.456636005256241,49.82383578431372,1610612748,37,40,2020-09-20T01:26:26Z,2240000,1.0,93.0,1,left,MISS G. Dragic 10' jumpshot Blocked,"[201609, 1627759]",1610612748.0,MIA,turnaround,,,Dragic,G. Dragic,,,,,9.83,Missed,,,,,,,,,,,,,,,Brown,1627759.0,,,
226,PT07M33.00S,2020-09-20T01:26:22.7Z,2,REGULAR,block,,[],1627759,,,1610612748,37,40,2020-09-20T01:26:24Z,2250000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M30.00S,2020-09-20T01:26:25.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,37,40,2020-09-20T01:26:26Z,2260000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,225.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
228,PT07M29.00S,2020-09-20T01:26:27.2Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1628369,94.30026281208936,50.06893382352941,1610612738,37,42,2020-09-20T01:26:32Z,2270000,0.0,1.0,1,right,J. Tatum dunk (9 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,0.66,Made,,,,,9.0,,,,,,,,,,,,,,
229,PT07M01.00S,2020-09-20T01:26:54.6Z,2,REGULAR,turnover,badpass,[],201609,,,1610612748,37,42,2020-09-20T01:27:04Z,2280000,,,0,,G. Dragic TURNOVER badpass (4 TOV) Stolen,"[201609, 202330]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,4.0,,,Hayward,202330.0,
230,PT07M01.00S,2020-09-20T01:26:54.6Z,2,REGULAR,steal,,[],202330,,,1610612738,37,42,2020-09-20T01:26:56Z,2290000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M55.00S,2020-09-20T01:27:00.1Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1627759,92.72339027595268,3.7454044117647056,1610612738,37,45,2020-09-20T01:27:06Z,2300000,-231.0,16.0,1,right,J. Brown 23' 3PT  (11 PTS) (J. Tatum 5 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.23,Made,,,,,11.0,J. Tatum,1628369.0,5.0,,,,,,,,,,,
233,PT06M48.00S,2020-09-20T01:27:11.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,37,45,2020-09-20T01:27:11Z,2320000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M48.00S,2020-09-20T01:29:51.3Z,2,REGULAR,substitution,out,[],1627884,,,1610612748,37,45,2020-09-20T01:30:34Z,2330000,,,0,,substitution out Jones Jr.,[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M48.00S,2020-09-20T01:29:51.3Z,2,REGULAR,substitution,out,[],201609,,,1610612748,37,45,2020-09-20T01:30:34Z,2340000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M48.00S,2020-09-20T01:29:51.3Z,2,REGULAR,substitution,in,[],202710,,,1610612748,37,45,2020-09-20T01:30:34Z,2350000,,,0,,substitution in Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M48.00S,2020-09-20T01:29:51.3Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,37,45,2020-09-20T01:30:34Z,2360000,,,0,,substitution in Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M27.00S,2020-09-20T01:31:10.2Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1628389,6.258212877792378,48.59834558823529,1610612748,39,45,2020-09-20T01:31:14Z,2370000,7.0,6.0,1,left,B. Adebayo dunk (6 PTS) (J. Crowder 4 AST),"[1628389, 203109]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,1.37,Made,,,,,6.0,J. Crowder,203109.0,4.0,,,,,,,,,,,
241,PT06M09.00S,2020-09-20T01:31:34.4Z,2,REGULAR,foul,offensive,[],1628464,,,1610612738,39,45,2020-09-20T01:31:47Z,2390000,,,0,,D. Theis FOUL offensive (3 PF),"[1628464, 1629130]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2003.0,3.0,0.0,Robinson,1629130.0,,,,,,
243,PT06M09.00S,2020-09-20T01:31:34.4Z,2,REGULAR,turnover,offensivefoul,[],1628464,,,1610612738,39,45,2020-09-20T01:31:47Z,2410000,,,0,,D. Theis TURNOVER offensivefoul (1 TOV),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2003.0,,,,,1.0,,,,,
244,PT05M56.00S,2020-09-20T01:31:59.6Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202710,9.280551905387648,41.00030637254902,1610612748,39,45,2020-09-20T01:32:04Z,2420000,45.0,35.0,1,left,MISS J. Butler 6' layup Blocked,"[202710, 202330]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,6.03,Missed,,,,,,,,,,,,,,,Hayward,202330.0,,,
245,PT05M56.00S,2020-09-20T01:31:59.6Z,2,REGULAR,block,,[],202330,,,1610612748,39,45,2020-09-20T01:32:01Z,2430000,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M53.00S,2020-09-20T01:32:02.6Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,39,45,2020-09-20T01:32:04Z,2440000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,244.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
247,PT05M44.00S,2020-09-20T01:32:14.2Z,2,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612738,39,45,2020-09-20T01:32:24Z,2450000,,,0,,D. Robinson FOUL personal (3 PF) (Tatum 2freethrow),"[1629130, 1628369]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,2534.0,3.0,0.0,Tatum,1628369.0,,,,,,
249,PT05M44.00S,2020-09-20T01:32:40.2Z,2,REGULAR,freethrow,1of2,[],1628369,,,1610612738,39,46,2020-09-20T01:32:40Z,2470000,,,0,,J. Tatum freethrow 1of2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,10.0,,,,,,,,,,,,,,
250,PT05M44.00S,2020-09-20T01:32:40.8Z,2,REGULAR,substitution,out,[],202330,,,1610612738,39,46,2020-09-20T01:32:45Z,2480000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M44.00S,2020-09-20T01:32:40.8Z,2,REGULAR,substitution,in,[],202689,,,1610612738,39,46,2020-09-20T01:32:45Z,2490000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M44.00S,2020-09-20T01:32:59.8Z,2,REGULAR,freethrow,2of2,[],1628369,,,1610612738,39,47,2020-09-20T01:32:59Z,2500000,,,0,,J. Tatum freethrow 2of2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,11.0,,,,,,,,,,,,,,
253,PT05M20.00S,2020-09-20T01:33:24.4Z,2,REGULAR,2pt,jumpshot,[],1629639,4.5499342969776615,77.76501225490196,1610612748,41,47,2020-09-20T01:33:29Z,2510000,-139.0,-10.0,1,left,T. Herro 14' jumpshot (15 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,13.89,Made,,,,,15.0,,,,,,,,,,,,,,
254,PT05M06.00S,2020-09-20T01:33:40.5Z,2,REGULAR,foul,personal,['2freethrow'],203109,,,1610612738,41,47,2020-09-20T01:33:47Z,2520000,,,0,,J. Crowder FOUL personal (2 PF) (Theis 2freethrow),"[203109, 1628464]",1610612748.0,MIA,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,2003.0,2.0,0.0,Theis,1628464.0,,,,,,
256,PT05M06.00S,2020-09-20T01:34:05.4Z,2,REGULAR,freethrow,1of2,[],1628464,,,1610612738,41,48,2020-09-20T01:34:05Z,2540000,,,0,,D. Theis freethrow 1of2 (5 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
257,PT05M06.00S,2020-09-20T01:34:06.2Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,41,48,2020-09-20T01:34:11Z,2550000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT05M06.00S,2020-09-20T01:34:06.2Z,2,REGULAR,substitution,in,[],202330,,,1610612738,41,48,2020-09-20T01:34:11Z,2560000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT05M06.00S,2020-09-20T01:34:21.1Z,2,REGULAR,freethrow,2of2,[],1628464,,,1610612738,41,49,2020-09-20T01:34:21Z,2570000,,,0,,D. Theis freethrow 2of2 (6 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
260,PT04M54.00S,2020-09-20T01:34:40.1Z,2,REGULAR,violation,kickedball,[],1628464,,,1610612748,41,49,2020-09-20T01:34:45Z,2580000,,,0,,D. Theis violation kickedball,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2534.0,,,,,,,,,,
261,PT04M45.00S,2020-09-20T01:35:02.1Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628389,13.748357424441524,45.65716911764706,1610612748,43,49,2020-09-20T01:35:06Z,2590000,22.0,77.0,1,left,B. Adebayo 8' jumpshot (8 PTS) (J. Butler 2 AST),"[1628389, 202710]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,8.5,Made,,,,,8.0,J. Butler,202710.0,2.0,,,,,,,,,,,
263,PT04M18.00S,2020-09-20T01:35:28.9Z,2,REGULAR,turnover,badpass,[],202689,,,1610612738,43,49,2020-09-20T01:35:32Z,2610000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 1628389]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,,,Adebayo,1628389.0,
264,PT04M18.00S,2020-09-20T01:35:28.9Z,2,REGULAR,steal,,[],1628389,,,1610612748,43,49,2020-09-20T01:35:30Z,2620000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT04M02.00S,2020-09-20T01:35:44.4Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202710,5.732588699080158,62.07873774509803,1610612748,43,49,2020-09-20T01:35:48Z,2630000,-60.0,1.0,1,left,MISS J. Butler 6' layup Blocked,"[202710, 1628464]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,6.08,Missed,,,,,,,,,,,,,,,Theis,1628464.0,,,
331,PT04M02.00S,2020-09-20T01:35:44.4Z,2,REGULAR,block,,[],1628464,,,1610612748,43,49,2020-09-20T01:49:08Z,2635000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT04M00.00S,2020-09-20T01:35:46.4Z,2,REGULAR,rebound,offensive,[],202710,,,1610612748,43,49,2020-09-20T01:35:48Z,2640000,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,265.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
267,PT03M58.00S,2020-09-20T01:35:48.5Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202710,6.521024967148489,50.314031862745104,1610612748,45,49,2020-09-20T01:35:52Z,2650000,-2.0,9.0,1,left,J. Butler layup (6 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,1.44,Made,,,,,6.0,,,,,,,,,,,,,,
268,PT03M41.00S,2020-09-20T01:36:06.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,83.919185282523,43.94148284313725,1610612738,45,49,2020-09-20T01:36:13Z,2660000,-30.0,99.0,1,right,MISS M. Smart 11' jumpshot,[203935],1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,10.85,Missed,,,,,,,,,,,,,,,,,,,
269,PT03M36.00S,2020-09-20T01:36:11.7Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,45,49,2020-09-20T01:36:13Z,2670000,,,0,,J. Brown REBOUND (Off:2 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,268.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
