actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
34,PT08M55.00S,2020-09-20T00:49:22.8Z,1,REGULAR,block,,[],203109,,,1610612738,5,9,2020-09-20T00:49:25Z,340000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2020-09-20T00:49:25.8Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,5,9,2020-09-20T00:49:32Z,350000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M51.00S,2020-09-20T00:49:28.2Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612748,5,9,2020-09-20T00:49:37Z,360000,,,0,,K. Walker FOUL personal (1 PF) (Crowder 2freethrow),"[202689, 203109]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,2534.0,1.0,0.0,Crowder,203109.0,,,,,,
38,PT08M51.00S,2020-09-20T00:49:54.6Z,1,REGULAR,freethrow,1of2,['fastbreak'],203109,,,1610612748,6,9,2020-09-20T00:49:54Z,380000,,,0,,J. Crowder freethrow 1of2 (1 PTS),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
39,PT08M51.00S,2020-09-20T00:50:11.9Z,1,REGULAR,freethrow,2of2,['fastbreak'],203109,,,1610612748,7,9,2020-09-20T00:50:11Z,390000,,,0,,J. Crowder freethrow 2of2 (2 PTS),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
40,PT08M37.00S,2020-09-20T00:50:56.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,7,9,2020-09-20T00:50:56Z,400000,,,0,,Jump Ball J. Brown vs. J. Crowder: Tip to M. Smart,"[203935, 1627759, 203109]",1610612738.0,BOS,heldball,M. Smart,203935.0,Smart,M. Smart,Brown,1627759.0,Crowder,203109.0,,,,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2020-09-20T00:50:57.8Z,1,REGULAR,foul,personal,[],1629130,,,1610612738,7,9,2020-09-20T00:51:04Z,430000,,,0,,D. Robinson FOUL personal (1 PF),"[1629130, 203935]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,2715.0,1.0,0.0,Smart,203935.0,,,,,,
45,PT08M34.00S,2020-09-20T00:51:13.7Z,1,REGULAR,3pt,jumpshot,[],202689,70.12155059132719,20.657169117647058,1610612738,7,12,2020-09-20T00:51:18Z,450000,-147.0,228.0,1,right,K. Walker 28' 3PT  (3 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.61,Made,,,,,3.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
47,PT08M08.00S,2020-09-20T00:51:39.2Z,1,REGULAR,2pt,jumpshot,[],201609,6.389618922470433,77.76501225490196,1610612748,7,12,2020-09-20T00:51:43Z,470000,-139.0,8.0,1,left,MISS G. Dragic 14' jumpshot,[201609],1610612748.0,MIA,stepback,,,Dragic,G. Dragic,,,,,13.94,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M05.00S,2020-09-20T00:51:42.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,12,2020-09-20T00:51:43Z,480000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT07M59.00S,2020-09-20T00:51:47.8Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",202689,94.69448094612353,47.127757352941174,1610612738,7,14,2020-09-20T00:52:12Z,490000,-14.0,-3.0,1,right,K. Walker layup (5 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.47,Made,,,,,5.0,,,,,,,,,,,,,,
50,PT07M47.00S,2020-09-20T00:51:59.8Z,1,REGULAR,2pt,jumpshot,[],202710,6.783837056504599,30.215992647058826,1610612748,9,14,2020-09-20T00:52:08Z,500000,99.0,11.0,1,left,J. Butler 10' jumpshot (2 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,10.03,Made,,,,,2.0,,,,,,,,,,,,,,
51,PT07M25.00S,2020-09-20T00:52:21.3Z,1,REGULAR,2pt,jumpshot,[],1627759,94.30026281208936,88.30422794117648,1610612738,9,16,2020-09-20T00:53:08Z,510000,192.0,1.0,1,right,J. Brown 19' jumpshot (6 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,19.16,Made,,,,,6.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,
53,PT07M15.00S,2020-09-20T00:52:34.4Z,1,REGULAR,foul,personal,[],1628464,,,1610612748,9,16,2020-09-20T00:52:41Z,530000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 1628389]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2534.0,1.0,0.0,Adebayo,1628389.0,,,,,,
