actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
43,PT08M45.00S,2020-09-05T22:52:15.7Z,1,REGULAR,freethrow,2of2,['fastbreak'],200768,,,1610612761,4,11,2020-09-05T22:52:15Z,430000,,,0,,K. Lowry freethrow 2of2 (8 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
44,PT08M30.00S,2020-09-05T22:52:33.9Z,1,REGULAR,3pt,jumpshot,[],1627759,94.82588699080158,3.010110294117647,1610612738,4,11,2020-09-05T22:52:36Z,440000,-235.0,-4.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.49,Missed,,,,,,,,,,,,,,,,,
45,PT08M29.00S,2020-09-05T22:52:34.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,11,2020-09-06T00:09:21Z,450000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT08M22.00S,2020-09-05T22:52:42.0Z,1,REGULAR,turnover,badpass,[],1628384,,,1610612761,4,11,2020-09-05T22:52:48Z,460000,,,0,,O. Anunoby TURNOVER badpass (1 TOV) Stolen,"[1628384, 203935]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,1.0,,,,,,,,,,,,,,,Smart,203935.0,,,
47,PT08M22.00S,2020-09-05T22:52:42.0Z,1,REGULAR,steal,,[],203935,,,1610612738,4,11,2020-09-05T22:52:43Z,470000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2020-09-05T22:52:46.4Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",203935,66.70499342969777,53.74540441176471,1610612738,7,11,2020-09-05T22:54:39Z,480000,19.0,260.0,1,right,M. Smart 27' 3PT  (3 PTS),[203935],1610612738.0,BOS,runningpullup,,,Smart,M. Smart,,,,,,,26.67,Made,,,,,3.0,,,,,,,,,,,,
49,PT08M04.00S,2020-09-05T22:52:59.8Z,1,REGULAR,3pt,jumpshot,[],1627783,21.23850197109067,91.98069852941177,1610612761,7,11,2020-09-05T22:53:02Z,490000,-210.0,147.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,25.95,Missed,,,,,,,,,,,,,,,,,
50,PT08M03.00S,2020-09-05T22:53:00.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,11,2020-09-05T22:53:05Z,500000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M54.00S,2020-09-05T22:53:09.6Z,1,REGULAR,3pt,jumpshot,[],202689,64.86530880420499,54.72579656862745,1610612738,10,11,2020-09-05T22:53:13Z,510000,24.0,278.0,1,right,K. Walker 28' 3PT  (5 PTS) (R. Williams III 1 AST),"[202689, 1629057]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,28.43,Made,,,,,5.0,,,,,R. Williams III,1629057.0,1.0,,,,,
53,PT07M39.00S,2020-09-05T22:53:24.4Z,1,REGULAR,3pt,jumpshot,[],200768,32.670827858081466,36.09834558823529,1610612761,10,14,2020-09-05T22:53:28Z,530000,70.0,255.0,1,left,K. Lowry 27' 3PT  (11 PTS),[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,,,26.92,Made,,,,,11.0,,,,,,,,,,,,
54,PT07M25.00S,2020-09-05T22:53:38.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629057,94.69448094612353,52.76501225490197,1610612738,12,14,2020-09-05T22:53:45Z,540000,14.0,-3.0,1,right,R. Williams III layup (2 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,,,1.41,Made,,,,,2.0,,,,,K. Walker,202689.0,1.0,,,,,
56,PT07M14.00S,2020-09-05T22:53:50.5Z,1,REGULAR,3pt,jumpshot,[],200768,26.62614980289093,80.95128676470588,1610612761,12,14,2020-09-05T22:53:53Z,560000,-155.0,198.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,25.55,Missed,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2020-09-05T22:53:51.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,12,14,2020-09-05T22:53:55Z,570000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,
58,PT07M00.00S,2020-09-05T22:54:03.4Z,1,REGULAR,2pt,jumpshot,[],1628369,92.46057818659659,67.47089460784314,1610612738,14,14,2020-09-05T22:54:13Z,580000,87.0,18.0,1,right,J. Tatum 9' jumpshot (2 PTS),[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,,,9.06,Made,,,,,2.0,,,,,,,,,,,,
59,PT06M48.00S,2020-09-05T22:54:16.0Z,1,REGULAR,3pt,jumpshot,[],1627832,30.305519053876477,21.88265931372549,1610612761,14,17,2020-09-05T22:54:24Z,590000,141.0,232.0,1,left,F. VanVleet 28' 3PT  (3 PTS) (M. Gasol 1 AST),"[1627832, 201188]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,27.63,Made,,,,,3.0,,,,,M. Gasol,201188.0,1.0,,,,,
61,PT06M46.00S,2020-09-05T22:54:22.4Z,1,REGULAR,stoppage,other,[],0,,,1610612738,14,17,2020-09-05T22:54:22Z,610000,,,0,,stoppage other,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M43.00S,2020-09-05T22:54:51.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,17,2020-09-05T22:54:51Z,620000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M43.00S,2020-09-05T22:57:09.1Z,1,REGULAR,substitution,out,[],202689,,,1610612738,14,17,2020-09-05T22:57:54Z,630000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2020-09-05T22:57:09.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,14,17,2020-09-05T22:57:54Z,640000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2020-09-05T22:58:25.6Z,1,REGULAR,3pt,jumpshot,[],203935,89.43823915900131,4.235600490196079,1610612738,14,17,2020-09-05T22:58:30Z,650000,-229.0,47.0,1,right,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,,,23.47,Missed,,,,,,,,,,,,,,,,,
66,PT06M30.00S,2020-09-05T22:58:26.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,14,17,2020-09-05T22:58:33Z,660000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT06M17.00S,2020-09-05T22:58:39.1Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201188,15.193823915900131,45.166973039215684,1610612761,14,17,2020-09-05T22:58:42Z,670000,24.0,90.0,1,left,MISS M. Gasol 10' hook,[201188],1610612761.0,TOR,driving,,,Gasol,M. Gasol,,,,,,,9.88,Missed,,,,,,,,,,,,,,,,,
