actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
171,PT10M32.00S,2020-09-05T23:18:20.6Z,2,REGULAR,rebound,defensive,[],1627832,,,1610612761,27,35,2020-09-05T23:18:23Z,1690000,,,0,,F. VanVleet REBOUND (Off:1 Def:5),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,170.0,6.0,5.0,1.0,,,,,,,,,,,,,
172,PT10M21.00S,2020-09-05T23:18:32.1Z,2,REGULAR,3pt,jumpshot,[],1627783,31.09395532194481,67.9610906862745,1610612761,27,35,2020-09-05T23:18:36Z,1700000,-90.0,240.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,stepback,,,Siakam,P. Siakam,,,,,,,26.12,Missed,,,,,,,,,,,,,,,,,
173,PT10M20.00S,2020-09-05T23:18:33.1Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,27,35,2020-09-05T23:18:39Z,1710000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,172.0,3.0,3.0,0.0,,,,,,,,,,,,,
174,PT10M09.00S,2020-09-05T23:18:43.9Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,92.46057818659659,53.74540441176471,1610612738,27,35,2020-09-05T23:18:56Z,1720000,19.0,18.0,1,right,MISS B. Wanamaker jumpshot,[202954],1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,,,3.03,Missed,,,,,,,,,,,,,,,,,
175,PT10M08.00S,2020-09-05T23:18:44.9Z,2,REGULAR,rebound,offensive,[],1628464,,,1610612738,27,35,2020-09-05T23:18:54Z,1730000,,,0,,D. Theis REBOUND (Off:1 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,174.0,4.0,3.0,1.0,,,,,,,,,,,,,
176,PT10M08.00S,2020-09-05T23:18:49.4Z,2,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",1628464,95.0,50.0,1610612738,29,35,2020-09-05T23:18:58Z,1740000,0.0,-6.0,1,right,D. Theis dunk (6 PTS),[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,
177,PT09M45.00S,2020-09-05T23:19:08.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627832,7.30946123521682,46.88265931372549,1610612761,29,35,2020-09-05T23:19:12Z,1750000,16.0,16.0,1,left,MISS F. VanVleet layup,[1627832],1610612761.0,TOR,drivingreverse,,,VanVleet,F. VanVleet,,,,,,,2.67,Missed,,,,,,,,,,,,,,,,,
178,PT09M44.00S,2020-09-05T23:19:09.4Z,2,REGULAR,rebound,defensive,[],202954,,,1610612738,29,35,2020-09-05T23:19:18Z,1760000,,,0,,B. Wanamaker REBOUND (Off:0 Def:2),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,177.0,2.0,2.0,0.0,,,,,,,,,,,,,
179,PT09M39.00S,2020-09-05T23:19:14.4Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1627759,92.59198423127464,51.78462009803921,1610612738,31,35,2020-09-05T23:19:19Z,1770000,9.0,17.0,1,right,J. Brown dunk (4 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,2.43,Made,,,,,4.0,,,,,K. Walker,202689.0,3.0,,,,,
181,PT09M24.00S,2020-09-05T23:19:29.5Z,2,REGULAR,3pt,jumpshot,[],1627783,33.85348226018397,47.86305147058824,1610612761,31,35,2020-09-05T23:20:35Z,1790000,11.0,266.0,1,left,MISS P. Siakam 27' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,27.14,Missed,,,,,,,,,,,,,,,,,
182,PT09M23.00S,2020-09-05T23:19:30.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,35,2020-09-05T23:20:35Z,1800000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,181.0,1.0,1.0,0.0,,,,,,,,,,,,,
183,PT09M18.00S,2020-09-05T23:19:38.7Z,2,REGULAR,foul,personal,['2freethrow'],201586,,,1610612738,31,35,2020-09-05T23:19:45Z,1810000,,,0,,S. Ibaka FOUL personal (1 PF) (Tatum 2freethrow),"[201586, 1628369]",1610612761.0,TOR,shooting,,,Ibaka,S. Ibaka,,,,,1830.0,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,,,
185,PT09M18.00S,2020-09-05T23:20:01.9Z,2,REGULAR,freethrow,1of2,['fastbreak'],1628369,,,1610612738,32,35,2020-09-05T23:20:01Z,1830000,,,0,,J. Tatum freethrow 1of2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
186,PT09M18.00S,2020-09-05T23:20:03.1Z,2,REGULAR,substitution,out,[],1627783,,,1610612738,32,35,2020-09-05T23:20:07Z,1840000,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M18.00S,2020-09-05T23:20:03.1Z,2,REGULAR,substitution,in,[],200768,,,1610612738,32,35,2020-09-05T23:20:07Z,1850000,,,0,,substitution in Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M18.00S,2020-09-05T23:20:30.4Z,2,REGULAR,freethrow,2of2,['fastbreak'],1628369,,,1610612738,33,35,2020-09-05T23:20:30Z,1860000,,,0,,J. Tatum freethrow 2of2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
189,PT08M58.00S,2020-09-05T23:20:52.5Z,2,REGULAR,3pt,jumpshot,[],1627832,30.699737187910642,24.088541666666664,1610612761,33,35,2020-09-05T23:20:56Z,1870000,130.0,236.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,,27.42,Missed,,,,,,,,,,,,,,,,,
190,PT08M57.00S,2020-09-05T23:20:53.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,33,35,2020-09-05T23:20:59Z,1880000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,189.0,4.0,4.0,0.0,,,,,,,,,,,,,
191,PT08M45.00S,2020-09-05T23:21:04.9Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,82.07950065703022,37.8140318627451,1610612738,33,35,2020-09-05T23:21:07Z,1890000,-61.0,116.0,1,right,MISS J. Brown 14' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,13.59,Missed,,,,,,,,,,,,,,,,,
192,PT08M44.00S,2020-09-05T23:21:05.9Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,33,35,2020-09-05T23:21:10Z,1900000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,191.0,2.0,2.0,0.0,,,,,,,,,,,,,
193,PT08M26.00S,2020-09-05T23:21:23.9Z,2,REGULAR,3pt,jumpshot,[],200768,22.421156373193167,89.77481617647058,1610612761,33,35,2020-09-05T23:21:26Z,1910000,-199.0,158.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612761.0,TOR,stepback,,,Lowry,K. Lowry,,,,,,,25.77,Missed,,,,,,,,,,,,,,,,,
194,PT08M25.00S,2020-09-05T23:21:24.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,33,35,2020-09-05T23:21:31Z,1920000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,193.0,2.0,2.0,0.0,,,,,,,,,,,,,
195,PT08M10.00S,2020-09-05T23:21:40.2Z,2,REGULAR,3pt,jumpshot,[],1627759,94.43166885676742,3.010110294117647,1610612738,33,35,2020-09-05T23:21:43Z,1930000,-235.0,0.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.5,Missed,,,,,,,,,,,,,,,,,
196,PT08M09.00S,2020-09-05T23:21:41.2Z,2,REGULAR,rebound,defensive,[],200768,,,1610612761,33,35,2020-09-05T23:21:46Z,1940000,,,0,,K. Lowry REBOUND (Off:1 Def:5),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,195.0,6.0,5.0,1.0,,,,,,,,,,,,,
197,PT08M01.00S,2020-09-05T23:21:49.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628384,6.783837056504599,54.23560049019608,1610612761,33,35,2020-09-05T23:21:57Z,1950000,-21.0,11.0,1,left,MISS O. Anunoby layup,[1628384],1610612761.0,TOR,drivingreverse,,,Anunoby,O. Anunoby,,,,,,,2.7,Missed,,,,,,,,,,,,,,,,,
198,PT08M00.00S,2020-09-05T23:21:50.1Z,2,REGULAR,rebound,offensive,[],201586,,,1610612761,33,35,2020-09-05T23:21:58Z,1960000,,,0,,S. Ibaka REBOUND (Off:1 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,197.0,3.0,2.0,1.0,,,,,,,,,,,,,
199,PT07M58.00S,2020-09-05T23:21:51.4Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",201586,6.915243101182654,49.333639705882355,1610612761,33,37,2020-09-05T23:22:08Z,1970000,3.0,13.0,1,left,S. Ibaka dunk (8 PTS),[201586],1610612761.0,TOR,putback,,,Ibaka,S. Ibaka,,,,,,,1.83,Made,,,,,8.0,,,,,,,,,,,,
200,PT07M54.00S,2020-09-05T23:22:02.2Z,2,REGULAR,stoppage,other,[],0,,,1610612738,33,37,2020-09-05T23:22:02Z,1980000,,,0,,stoppage other,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT07M39.00S,2020-09-05T23:22:16.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,91.67214191852825,47.61795343137255,1610612738,35,37,2020-09-05T23:22:19Z,1990000,-12.0,26.0,1,right,J. Tatum layup (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,3.35,Made,,,,,10.0,,,,,,,,,,,,
202,PT07M29.00S,2020-09-05T23:22:25.5Z,2,REGULAR,3pt,jumpshot,[],201586,33.065045992115635,38.30422794117647,1610612761,35,40,2020-09-05T23:22:28Z,2000000,58.0,258.0,1,left,S. Ibaka 27' 3PT  (11 PTS) (K. Lowry 1 AST),"[201586, 200768]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,27.02,Made,,,,,11.0,,,,,K. Lowry,200768.0,1.0,,,,,
204,PT07M15.00S,2020-09-05T23:22:39.3Z,2,REGULAR,3pt,jumpshot,[],1628369,78.79434954007884,5.215992647058823,1610612738,35,40,2020-09-05T23:22:44Z,2020000,-224.0,147.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,27.08,Missed,,,,,,,,,,,,,,,,,
205,PT07M14.00S,2020-09-05T23:22:40.3Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,35,40,2020-09-05T23:22:44Z,2030000,,,0,,S. Ibaka REBOUND (Off:1 Def:3),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,204.0,4.0,3.0,1.0,,,,,,,,,,,,,
207,PT07M08.00S,2020-09-05T23:22:50.6Z,2,REGULAR,foul,personal,[],202954,,,1610612761,35,40,2020-09-05T23:23:08Z,2040000,,,0,,B. Wanamaker FOUL personal (2 PF),"[202954, 200768]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,1662.0,,,,,,,,,2.0,0.0,Lowry,200768.0,,,,,,,,
209,PT07M08.00S,2020-09-05T23:23:08.7Z,2,REGULAR,substitution,out,[],202689,,,1610612761,35,40,2020-09-05T23:23:14Z,2060000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M08.00S,2020-09-05T23:23:08.7Z,2,REGULAR,substitution,out,[],1628464,,,1610612761,35,40,2020-09-05T23:23:14Z,2070000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M08.00S,2020-09-05T23:23:08.7Z,2,REGULAR,substitution,in,[],203935,,,1610612761,35,40,2020-09-05T23:23:14Z,2080000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M08.00S,2020-09-05T23:23:08.7Z,2,REGULAR,substitution,in,[],1629057,,,1610612761,35,40,2020-09-05T23:23:14Z,2090000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M03.00S,2020-09-05T23:23:30.5Z,2,REGULAR,turnover,backcourt,[],1626181,,,1610612761,35,40,2020-09-05T23:23:37Z,2100000,,,0,,N. Powell TURNOVER backcourt (1 TOV),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,1662.0,1.0,,,,,,,,,,,,,,,,,,,
214,PT06M52.00S,2020-09-05T23:24:09.5Z,2,REGULAR,foul,offensive,[],203935,,,1610612738,35,40,2020-09-05T23:24:16Z,2110000,,,0,,M. Smart FOUL offensive (1 PF),"[203935, 201586]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1662.0,,,,,,,,,1.0,0.0,Ibaka,201586.0,,,,,,,,
216,PT06M52.00S,2020-09-05T23:24:09.5Z,2,REGULAR,turnover,offensivefoul,[],203935,,,1610612738,35,40,2020-09-05T23:24:09Z,2130000,,,0,,M. Smart TURNOVER offensivefoul (2 TOV),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,1662.0,2.0,,,,,,,,,,,,,,,,,,,
217,PT06M52.00S,2020-09-05T23:24:17.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,35,40,2020-09-05T23:24:17Z,2140000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,out,[],1627759,,,1610612761,35,40,2020-09-05T23:27:44Z,2150000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,out,[],202954,,,1610612761,35,40,2020-09-05T23:27:44Z,2160000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,out,[],1628384,,,1610612761,35,40,2020-09-05T23:27:44Z,2170000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,out,[],1627832,,,1610612761,35,40,2020-09-05T23:27:44Z,2180000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,in,[],1628400,,,1610612761,35,40,2020-09-05T23:27:44Z,2190000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,in,[],202689,,,1610612761,35,40,2020-09-05T23:27:44Z,2200000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,in,[],1629744,,,1610612761,35,40,2020-09-05T23:27:44Z,2210000,,,0,,substitution in Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M52.00S,2020-09-05T23:27:20.0Z,2,REGULAR,substitution,in,[],1627783,,,1610612761,35,40,2020-09-05T23:27:44Z,2220000,,,0,,substitution in Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M37.00S,2020-09-05T23:28:09.9Z,2,REGULAR,2pt,hook,"['pointsinthepaint', 'fromturnover']",201586,13.485545335085414,51.78462009803921,1610612761,35,40,2020-09-05T23:29:21Z,2230000,-9.0,74.0,1,left,MISS S. Ibaka 8' hook,[201586],1610612761.0,TOR,turnaround,,,Ibaka,S. Ibaka,,,,,,,8.03,Missed,,,,,,,,,,,,,,,,,
227,PT06M36.00S,2020-09-05T23:28:10.9Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,35,40,2020-09-05T23:28:39Z,2240000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,226.0,1.0,1.0,0.0,,,,,,,,,,,,,
228,PT06M13.00S,2020-09-05T23:28:34.0Z,2,REGULAR,3pt,jumpshot,[],202689,70.17082785808148,75.58210784313727,1610612738,35,40,2020-09-05T23:29:30Z,2250000,128.0,228.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,26.61,Missed,,,,,,,,,,,,,,,,,
229,PT06M12.00S,2020-09-05T23:28:35.0Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,35,40,2020-09-05T23:28:42Z,2260000,,,0,,S. Ibaka REBOUND (Off:1 Def:4),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,228.0,5.0,4.0,1.0,,,,,,,,,,,,,
230,PT05M56.00S,2020-09-05T23:28:50.6Z,2,REGULAR,2pt,jumpshot,[],201586,26.363337713534822,44.676776960784316,1610612761,35,40,2020-09-05T23:28:55Z,2270000,27.0,195.0,1,left,MISS S. Ibaka 20' jumpshot,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,20.26,Missed,,,,,,,,,,,,,,,,,
231,PT05M55.00S,2020-09-05T23:28:51.6Z,2,REGULAR,rebound,offensive,[],1629744,,,1610612761,35,40,2020-09-05T23:28:58Z,2280000,,,0,,M. Thomas REBOUND (Off:1 Def:0),[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,230.0,1.0,0.0,1.0,,,,,,,,,,,,,
232,PT05M42.00S,2020-09-05T23:29:04.5Z,2,REGULAR,turnover,badpass,[],200768,,,1610612761,35,40,2020-09-05T23:31:11Z,2290000,,,0,,K. Lowry TURNOVER badpass (1 TOV) Stolen,"[200768, 1628400]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,1.0,,,,,,,,,,,,,,,Ojeleye,1628400.0,,,
233,PT05M42.00S,2020-09-05T23:29:04.5Z,2,REGULAR,steal,,[],1628400,,,1610612738,35,40,2020-09-05T23:29:09Z,2300000,,,0,,S. Ojeleye STEAL (1 STL),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT05M39.00S,2020-09-05T23:29:13.2Z,2,REGULAR,foul,personal,[],1626181,,,1610612738,35,40,2020-09-05T23:29:23Z,2310000,,,0,,N. Powell FOUL personal (1 PF),"[1626181, 1628369]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,1830.0,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,,,
236,PT05M39.00S,2020-09-05T23:29:28.2Z,2,REGULAR,substitution,out,[],201586,,,1610612738,35,40,2020-09-05T23:29:31Z,2330000,,,0,,substitution out Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M39.00S,2020-09-05T23:29:28.2Z,2,REGULAR,substitution,in,[],201188,,,1610612738,35,40,2020-09-05T23:29:31Z,2340000,,,0,,substitution in Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M29.00S,2020-09-05T23:29:48.0Z,2,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,35,40,2020-09-05T23:29:53Z,2350000,,,0,,J. Tatum TURNOVER outofbounds (2 TOV),[1628369],1610612738.0,BOS,badpass,,,Tatum,J. Tatum,,,,,202041.0,2.0,,,,,,,,,,,,,,,,,,,
239,PT05M15.00S,2020-09-05T23:30:11.9Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1626181,18.873193166885677,36.833639705882355,1610612761,35,40,2020-09-05T23:37:18Z,2360000,66.0,125.0,1,left,MISS N. Powell 15' jumpshot,[1626181],1610612761.0,TOR,drivingfloating,,,Powell,N. Powell,,,,,,,14.61,Missed,,,,,,,,,,,,,,,,,
240,PT05M14.00S,2020-09-05T23:30:12.9Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,35,40,2020-09-05T23:30:19Z,2370000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,239.0,3.0,3.0,0.0,,,,,,,,,,,,,
241,PT05M05.00S,2020-09-05T23:30:22.1Z,2,REGULAR,2pt,jumpshot,[],202689,76.42904073587385,35.36305147058824,1610612738,37,40,2020-09-05T23:30:25Z,2380000,-73.0,169.0,1,right,K. Walker 19' jumpshot (7 PTS),[202689],1610612738.0,BOS,drivingfloating,,,Walker,K. Walker,,,,,,,18.93,Made,,,,,7.0,,,,,,,,,,,,
242,PT04M49.00S,2020-09-05T23:30:37.6Z,2,REGULAR,3pt,jumpshot,[],1627783,7.046649145860711,94.921875,1610612761,37,40,2020-09-05T23:30:41Z,2390000,-225.0,14.0,1,left,MISS P. Siakam 23' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,22.54,Missed,,,,,,,,,,,,,,,,,
243,PT04M48.00S,2020-09-05T23:30:38.6Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,37,40,2020-09-05T23:30:44Z,2400000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,242.0,2.0,2.0,0.0,,,,,,,,,,,,,
244,PT04M39.00S,2020-09-05T23:30:48.0Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,79.71419185282524,48.353247549019606,1610612738,37,40,2020-09-05T23:30:51Z,2410000,-8.0,138.0,1,right,MISS J. Tatum 14' jumpshot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,,14.39,Missed,,,,,,,,,,,,,,,,,
245,PT04M38.00S,2020-09-05T23:30:49.0Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,37,40,2020-09-05T23:30:56Z,2420000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,244.0,3.0,3.0,0.0,,,,,,,,,,,,,
246,PT04M22.00S,2020-09-05T23:31:04.4Z,2,REGULAR,3pt,jumpshot,[],1629744,5.995400788436268,3.990502450980392,1610612761,37,40,2020-09-05T23:31:07Z,2430000,230.0,4.0,1,left,MISS M. Thomas 23' 3PT,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,23.02,Missed,,,,,,,,,,,,,,,,,
247,PT04M21.00S,2020-09-05T23:31:05.4Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,37,40,2020-09-05T23:31:07Z,2440000,,,0,,R. Williams III REBOUND (Off:0 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,246.0,4.0,4.0,0.0,,,,,,,,,,,,,
248,PT04M13.00S,2020-09-05T23:31:16.9Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,82.47371879106439,36.34344362745098,1610612738,39,40,2020-09-05T23:31:22Z,2450000,-68.0,112.0,1,right,M. Smart 14' jumpshot (5 PTS) (K. Walker 4 AST),"[203935, 202689]",1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,,,13.61,Made,,,,,5.0,,,,,K. Walker,202689.0,4.0,,,,,
250,PT04M13.00S,2020-09-05T23:31:21.2Z,2,REGULAR,foul,personal,['1freethrow'],1629744,,,1610612738,39,40,2020-09-05T23:31:30Z,2470000,,,0,,M. Thomas FOUL personal (1 PF) (Smart 1freethrow),"[1629744, 203935]",1610612761.0,TOR,shooting,,,Thomas,M. Thomas,,,,,1662.0,,,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,,
252,PT04M13.00S,2020-09-05T23:31:31.6Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,39,40,2020-09-05T23:33:43Z,2490000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT04M13.00S,2020-09-05T23:31:31.6Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,39,40,2020-09-05T23:33:43Z,2500000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT04M13.00S,2020-09-05T23:31:52.8Z,2,REGULAR,freethrow,1of1,[],203935,,,1610612738,40,40,2020-09-05T23:31:52Z,2510000,,,0,,M. Smart freethrow 1of1 (6 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
255,PT03M52.00S,2020-09-05T23:32:16.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627783,6.652431011826544,53.255208333333336,1610612761,40,42,2020-09-05T23:36:11Z,2520000,-16.0,10.0,1,left,P. Siakam layup (5 PTS) (M. Gasol 4 AST),"[1627783, 201188]",1610612761.0,TOR,drivingfingerroll,,,Siakam,P. Siakam,,,,,,,2.25,Made,,,,,5.0,,,,,M. Gasol,201188.0,4.0,,,,,
257,PT03M41.00S,2020-09-05T23:32:30.7Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,40,42,2020-09-05T23:32:30Z,2540000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
