actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
66,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,in,[],201588,,,1610612738,20,9,2020-07-31T22:58:26Z,660000,,,0,,substitution in Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,in,[],101141,,,1610612738,20,9,2020-07-31T22:58:26Z,670000,,,0,,substitution in Ilyasova,[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,in,[],203935,,,1610612738,20,9,2020-07-31T22:58:26Z,680000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M55.00S,2020-07-31T22:58:11.7Z,1,REGULAR,substitution,in,[],202954,,,1610612738,20,9,2020-07-31T22:58:26Z,690000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M52.00S,2020-07-31T22:58:40.7Z,1,REGULAR,3pt,jumpshot,[],1628464,65.25952693823915,41.73560049019608,1610612738,20,12,2020-07-31T22:58:45Z,700000,-41.0,274.0,1,right,D. Theis 28' 3PT  (3 PTS) (G. Hayward 2 AST),"[1628464, 202330]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,28.26,Made,,,,,3.0,G. Hayward,202330.0,2.0,,,,,,,,,,,
72,PT06M41.00S,2020-07-31T22:58:56.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612749,20,12,2020-07-31T22:58:56Z,720000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M35.00S,2020-07-31T22:59:15.8Z,1,REGULAR,2pt,jumpshot,[],203114,4.5499342969776615,74.57873774509804,1610612749,22,12,2020-07-31T22:59:21Z,730000,-123.0,-10.0,1,left,K. Middleton 12' jumpshot (8 PTS),[203114],1610612749.0,MIL,turnaroundfadeaway,,,Middleton,K. Middleton,,,,,12.3,Made,,,,,8.0,,,,,,,,,,,,,,
74,PT06M22.00S,2020-07-31T22:59:28.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,92.9862023653088,53.74540441176471,1610612738,22,14,2020-07-31T22:59:32Z,740000,19.0,13.0,1,right,G. Hayward layup (4 PTS) (D. Theis 1 AST),"[202330, 1628464]",1610612738.0,BOS,alleyoop,,,Hayward,G. Hayward,,,,,2.66,Made,,,,,4.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
76,PT05M59.00S,2020-07-31T22:59:51.5Z,1,REGULAR,3pt,jumpshot,[],202083,33.85348226018397,39.28462009803921,1610612749,22,14,2020-07-31T22:59:59Z,760000,54.0,266.0,1,left,MISS W. Matthews 28' 3PT,[202083],1610612749.0,MIL,stepback,,,Matthews,W. Matthews,,,,,27.64,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M58.00S,2020-07-31T22:59:52.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,22,14,2020-07-31T22:59:59Z,770000,,,0,,Team offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,
78,PT05M58.00S,2020-07-31T22:59:56.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612749,22,14,2020-07-31T22:59:56Z,780000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M58.00S,2020-07-31T22:59:57.0Z,1,REGULAR,substitution,out,[],202083,,,1610612749,22,14,2020-07-31T23:00:14Z,790000,,,0,,substitution out Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M58.00S,2020-07-31T22:59:57.0Z,1,REGULAR,substitution,out,[],201572,,,1610612749,22,14,2020-07-31T23:00:14Z,800000,,,0,,substitution out Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M58.00S,2020-07-31T22:59:57.0Z,1,REGULAR,substitution,in,[],1628425,,,1610612749,22,14,2020-07-31T23:00:14Z,810000,,,0,,substitution in Brown,[1628425],1610612749.0,MIL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2020-07-31T22:59:57.0Z,1,REGULAR,substitution,in,[],201577,,,1610612749,22,14,2020-07-31T23:00:14Z,820000,,,0,,substitution in Lopez,[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
