actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
91,PT04M40.00S,2019-12-25T17:31:48.1Z,1,REGULAR,turnover,offensivefoul,[],1628384,,,1610612761,14,13,2019-12-25T17:31:48Z,910000,,,0,,O. Anunoby TURNOVER offensivefoul (2 TOV),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,1198.0,,,,,2.0,,,
92,PT04M25.00S,2019-12-25T17:32:17.1Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1628369,87.33574244415243,71.6375612745098,1610612738,14,13,2019-12-25T17:32:23Z,920000,108.0,67.0,1,right,MISS J. Tatum 13' jumpshot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,13.0,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M22.00S,2019-12-25T17:32:20.1Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,14,13,2019-12-25T17:32:23Z,930000,,,0,,J. Tatum REBOUND (Off:4 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,92.0,4.0,0.0,4.0,,,,,,,,,,,
94,PT04M22.00S,2019-12-25T17:32:20.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,95.0,50.0,1610612738,14,15,2019-12-25T17:32:20Z,940000,0.0,-6.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
95,PT04M00.00S,2019-12-25T17:32:41.4Z,1,REGULAR,3pt,jumpshot,[],201586,32.14520367936925,68.94148284313727,1610612761,14,15,2019-12-25T17:32:46Z,950000,-95.0,250.0,1,left,MISS S. Ibaka 27' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M58.00S,2019-12-25T17:32:43.4Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,14,15,2019-12-25T17:32:46Z,960000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,
97,PT03M47.00S,2019-12-25T17:32:55.3Z,1,REGULAR,2pt,jumpshot,[],1628369,77.34888304862024,61.83363970588235,1610612738,14,15,2019-12-25T17:32:58Z,970000,59.0,160.0,1,right,MISS J. Tatum 18' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,17.61,Missed,,,,,,,,,,,,,,,,,,,
98,PT03M44.00S,2019-12-25T17:32:58.3Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,14,15,2019-12-25T17:32:58Z,980000,,,0,,S. Ibaka REBOUND (Off:1 Def:4),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,97.0,5.0,4.0,1.0,,,,,,,,,,,
99,PT03M38.00S,2019-12-25T17:33:06.3Z,1,REGULAR,turnover,outofbounds,[],1627832,,,1610612761,14,15,2019-12-25T17:33:13Z,990000,,,0,,F. VanVleet TURNOVER outofbounds (1 TOV),[1627832],1610612761.0,TOR,lostball,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,
100,PT03M38.00S,2019-12-25T17:33:09.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612738,14,15,2019-12-25T17:33:17Z,1000000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M38.00S,2019-12-25T17:33:09.5Z,1,REGULAR,substitution,out,[],200768,,,1610612738,14,15,2019-12-25T17:33:17Z,1010000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M38.00S,2019-12-25T17:33:09.5Z,1,REGULAR,substitution,in,[],1626178,,,1610612738,14,15,2019-12-25T17:33:17Z,1020000,,,0,,substitution in Hollis-Jefferson,[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M38.00S,2019-12-25T17:33:09.5Z,1,REGULAR,substitution,in,[],1629056,,,1610612738,14,15,2019-12-25T17:33:17Z,1030000,,,0,,substitution in Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M24.00S,2019-12-25T17:33:36.5Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629684,72.09264126149803,17.96109068627451,1610612738,14,15,2019-12-25T17:33:41Z,1040000,-160.0,210.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,pullup,,,Williams,G. Williams,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M20.00S,2019-12-25T17:33:40.5Z,1,REGULAR,rebound,defensive,[],1629056,,,1610612761,14,15,2019-12-25T17:33:41Z,1050000,,,0,,T. Davis REBOUND (Off:0 Def:1),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,
106,PT03M09.00S,2019-12-25T17:33:50.7Z,1,REGULAR,3pt,jumpshot,[],1627832,31.09395532194481,72.12775735294117,1610612761,14,15,2019-12-25T17:33:54Z,1060000,-111.0,240.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,26.91,Missed,,,,,,,,,,,,,,,,,,,
107,PT03M07.00S,2019-12-25T17:33:52.7Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,14,15,2019-12-25T17:33:54Z,1070000,,,0,,E. Kanter REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,106.0,2.0,2.0,0.0,,,,,,,,,,,
108,PT02M56.00S,2019-12-25T17:34:08.5Z,1,REGULAR,foul,personal,['2freethrow'],1627775,,,1610612738,14,15,2019-12-25T17:34:20Z,1080000,,,0,,P. McCaw FOUL personal (1 PF) (Kanter 2freethrow),"[1627775, 202683]",1610612761.0,TOR,shooting,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Kanter,202683.0,,,,
110,PT02M56.00S,2019-12-25T17:34:31.5Z,1,REGULAR,freethrow,1of2,[],202683,,,1610612738,14,16,2019-12-25T17:34:31Z,1100000,,,0,,E. Kanter freethrow 1of2 (1 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
111,PT02M56.00S,2019-12-25T17:34:51.0Z,1,REGULAR,freethrow,2of2,[],202683,,,1610612738,14,17,2019-12-25T17:34:51Z,1110000,,,0,,E. Kanter freethrow 2of2 (2 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
112,PT02M38.00S,2019-12-25T17:35:14.0Z,1,REGULAR,2pt,jumpshot,[],1627775,16.113666228646515,71.14736519607843,1610612761,14,17,2019-12-25T17:35:18Z,1120000,-106.0,99.0,1,left,MISS P. McCaw 15' jumpshot,[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,14.86,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M35.00S,2019-12-25T17:35:17.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,14,17,2019-12-25T17:35:18Z,1130000,,,0,,E. Kanter REBOUND (Off:0 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,112.0,3.0,3.0,0.0,,,,,,,,,,,
114,PT02M28.00S,2019-12-25T17:35:24.2Z,1,REGULAR,3pt,jumpshot,[],202689,67.88764783180025,53.74540441176471,1610612738,14,20,2019-12-25T17:35:28Z,1140000,19.0,249.0,1,right,K. Walker 26' 3PT  (8 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.56,Made,8.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
116,PT02M12.00S,2019-12-25T17:35:41.4Z,1,REGULAR,turnover,3secviolation,[],201586,,,1610612761,14,20,2019-12-25T17:35:49Z,1160000,,,0,,S. Ibaka TURNOVER 3secviolation (2 TOV),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,2004.0,,,,,2.0,,,
117,PT02M12.00S,2019-12-25T17:35:46.8Z,1,REGULAR,substitution,out,[],201586,,,1610612738,14,20,2019-12-25T17:35:53Z,1170000,,,0,,substitution out Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M12.00S,2019-12-25T17:35:46.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,14,20,2019-12-25T17:35:53Z,1180000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M12.00S,2019-12-25T17:35:46.8Z,1,REGULAR,substitution,in,[],1628449,,,1610612738,14,20,2019-12-25T17:35:53Z,1190000,,,0,,substitution in Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M12.00S,2019-12-25T17:35:46.8Z,1,REGULAR,substitution,in,[],202954,,,1610612738,14,20,2019-12-25T17:35:53Z,1200000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M53.00S,2019-12-25T17:36:22.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1629684,93.51182654402102,50.55912990196079,1610612738,14,22,2019-12-25T17:36:26Z,1210000,3.0,8.0,1,right,G. Williams layup (2 PTS) (E. Kanter 1 AST),"[1629684, 202683]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,1.43,Made,2.0,E. Kanter,202683.0,1.0,,,,,,,,,,,,,,,
123,PT01M45.00S,2019-12-25T17:36:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612761,14,22,2019-12-25T17:36:40Z,1230000,,,0,,G. Williams FOUL personal (1 PF) (Davis 2freethrow),"[1629684, 1629056]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Davis,1629056.0,,,,
125,PT01M45.00S,2019-12-25T17:36:57.0Z,1,REGULAR,freethrow,1of2,[],1629056,,,1610612761,15,22,2019-12-25T17:36:57Z,1250000,,,0,,T. Davis freethrow 1of2 (1 PTS),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
126,PT01M45.00S,2019-12-25T17:37:00.5Z,1,REGULAR,substitution,out,[],1627832,,,1610612761,15,22,2019-12-25T17:37:03Z,1260000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M45.00S,2019-12-25T17:37:00.5Z,1,REGULAR,substitution,in,[],200768,,,1610612761,15,22,2019-12-25T17:37:03Z,1270000,,,0,,substitution in Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M45.00S,2019-12-25T17:37:16.9Z,1,REGULAR,freethrow,2of2,[],1629056,,,1610612761,16,22,2019-12-25T17:37:16Z,1280000,,,0,,T. Davis freethrow 2of2 (2 PTS),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
129,PT01M32.00S,2019-12-25T17:37:32.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.95729303547962,48.59834558823529,1610612738,16,24,2019-12-25T17:37:37Z,1290000,-7.0,-5.0,1,right,E. Kanter layup (4 PTS) (B. Wanamaker 1 AST),"[202683, 202954]",1610612738.0,BOS,reverse,,,Kanter,E. Kanter,,,,,0.7,Made,4.0,B. Wanamaker,202954.0,1.0,,,,,,,,,,,,,,,
131,PT01M22.00S,2019-12-25T17:37:43.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612761,16,24,2019-12-25T17:37:52Z,1310000,,,0,,G. Williams FOUL personal (2 PF) (Boucher inpenalty),"[1629684, 1628449]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,101284.0,2.0,0.0,Boucher,1628449.0,,,,
133,PT01M22.00S,2019-12-25T17:38:23.1Z,1,REGULAR,freethrow,1of2,[],1628449,,,1610612761,16,24,2019-12-25T17:38:23Z,1330000,,,0,,MISS C. Boucher freethrow 1of2,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Missed,,,,,,,,,,,,,,,,,,,
134,PT01M22.00S,2019-12-25T17:38:23.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,16,24,2019-12-25T17:38:23Z,1340000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,
135,PT01M22.00S,2019-12-25T17:38:24.1Z,1,REGULAR,substitution,out,[],202689,,,1610612761,16,24,2019-12-25T17:38:33Z,1350000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M22.00S,2019-12-25T17:38:24.1Z,1,REGULAR,substitution,out,[],1629641,,,1610612761,16,24,2019-12-25T17:38:33Z,1360000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M22.00S,2019-12-25T17:38:24.1Z,1,REGULAR,substitution,in,[],1627759,,,1610612761,16,24,2019-12-25T17:38:33Z,1370000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M22.00S,2019-12-25T17:38:24.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612761,16,24,2019-12-25T17:38:33Z,1380000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M22.00S,2019-12-25T17:38:45.3Z,1,REGULAR,freethrow,2of2,[],1628449,,,1610612761,17,24,2019-12-25T17:38:45Z,1390000,,,0,,C. Boucher freethrow 2of2 (1 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
140,PT01M04.00S,2019-12-25T17:39:07.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,85.75886990801577,43.94148284313725,1610612738,17,26,2019-12-25T17:39:42Z,1400000,-30.0,81.0,1,right,J. Brown 9' jumpshot (4 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,9.2,Made,4.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
142,PT00M52.10S,2019-12-25T17:39:21.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628449,7.30946123521682,48.84344362745098,1610612761,19,26,2019-12-25T17:39:24Z,1420000,6.0,16.0,1,left,C. Boucher layup (3 PTS) (K. Lowry 2 AST),"[1628449, 200768]",1610612761.0,TOR,cutting,,,Boucher,C. Boucher,,,,,2.25,Made,3.0,K. Lowry,200768.0,2.0,,,,,,,,,,,,,,,
144,PT00M39.00S,2019-12-25T17:39:39.2Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,89.04402102496715,49.333639705882355,1610612738,19,28,2019-12-25T17:39:43Z,1440000,-3.0,50.0,1,right,E. Kanter 6' hook (6 PTS) (J. Brown 2 AST),"[202683, 1627759]",1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,5.61,Made,6.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
146,PT00M23.40S,2019-12-25T17:39:57.8Z,1,REGULAR,turnover,traveling,[],1627775,,,1610612761,19,28,2019-12-25T17:40:03Z,1460000,,,0,,P. McCaw TURNOVER traveling (1 TOV),[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,1198.0,,,,,1.0,,,
147,PT00M07.80S,2019-12-25T17:40:29.3Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,77.7431011826544,88.30422794117648,1610612738,19,28,2019-12-25T17:40:33Z,1470000,192.0,157.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,,
148,PT00M05.40S,2019-12-25T17:40:31.7Z,1,REGULAR,rebound,defensive,[],1629056,,,1610612761,19,28,2019-12-25T17:40:31Z,1480000,,,0,,T. Davis REBOUND (Off:0 Def:2),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,
149,PT00M02.20S,2019-12-25T17:40:34.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1629056,31.488173455978973,26.784620098039213,1610612761,19,28,2019-12-25T17:41:37Z,1490000,116.0,243.0,1,left,MISS T. Davis 27' 3PT,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M02.20S,2019-12-25T17:40:34.9Z,1,REGULAR,rebound,offensive,[],1626178,,,1610612761,19,28,2019-12-25T17:40:45Z,1500000,,,0,,R. Hollis-Jefferson REBOUND (Off:1 Def:0),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,,
151,PT00M00.00S,2019-12-25T17:40:39.7Z,1,REGULAR,2pt,layup,['2ndchance'],1626178,5.075558475689881,77.0297181372549,1610612761,19,28,2019-12-25T17:41:55Z,1510000,-135.0,-5.0,1,left,MISS R. Hollis-Jefferson 14' layup,[1626178],1610612761.0,TOR,tip,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,13.51,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M00.00S,2019-12-25T17:40:39.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,19,28,2019-12-25T17:40:49Z,1520000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,
153,PT00M00.00S,2019-12-25T17:40:44.9Z,1,REGULAR,period,end,[],0,,,1610612761,19,28,2019-12-25T17:40:44Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2019-12-25T17:42:53.7Z,2,REGULAR,substitution,out,['startperiod'],1627775,,,1610612761,19,28,2019-12-25T17:43:52Z,1540000,,,0,,substitution out McCaw,[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2019-12-25T17:42:53.7Z,2,REGULAR,substitution,in,['startperiod'],1626259,,,1610612761,19,28,2019-12-25T17:43:52Z,1550000,,,0,,substitution in Miller,[1626259],1610612761.0,TOR,,,,Miller,M. Miller,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2019-12-25T17:44:13.9Z,2,REGULAR,period,start,[],0,,,1610612738,19,28,2019-12-25T17:44:13Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M44.00S,2019-12-25T17:44:28.8Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,91.80354796320631,48.59834558823529,1610612738,19,28,2019-12-25T17:44:32Z,1570000,-7.0,25.0,1,right,MISS E. Kanter hook Blocked,"[202683, 1626178]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,3.08,Missed,,,,,,,,,Hollis-Jefferson,1626178.0,,,,,,,,,
158,PT11M44.00S,2019-12-25T17:44:28.8Z,2,REGULAR,block,,[],1626178,,,1610612738,19,28,2019-12-25T17:45:27Z,1580000,,,0,,R. Hollis-Jefferson BLOCK (1 BLK),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M42.00S,2019-12-25T17:44:30.8Z,2,REGULAR,rebound,defensive,[],1629056,,,1610612761,19,28,2019-12-25T17:44:32Z,1590000,,,0,,T. Davis REBOUND (Off:0 Def:3),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,157.0,3.0,3.0,0.0,,,,,,,,,,,
160,PT11M38.00S,2019-12-25T17:44:37.5Z,2,REGULAR,turnover,doubledribble,[],1629056,,,1610612761,19,28,2019-12-25T17:44:45Z,1600000,,,0,,T. Davis TURNOVER doubledribble (1 TOV),[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,
161,PT11M28.00S,2019-12-25T17:45:03.5Z,2,REGULAR,violation,kickedball,[],1626178,,,1610612738,19,28,2019-12-25T17:45:14Z,1610000,,,0,,R. Hollis-Jefferson violation kickedball,[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,2004.0,,,,,,,,
162,PT11M28.00S,2019-12-25T17:45:16.2Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,19,28,2019-12-25T17:45:26Z,1620000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M28.00S,2019-12-25T17:45:16.2Z,2,REGULAR,substitution,in,[],1628400,,,1610612738,19,28,2019-12-25T17:45:26Z,1630000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M16.00S,2019-12-25T17:45:39.3Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202683,95.0886990801577,47.127757352941174,1610612738,19,30,2019-12-25T17:45:42Z,1640000,-14.0,-6.0,1,right,E. Kanter layup (8 PTS) (S. Ojeleye 1 AST),"[202683, 1628400]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.44,Made,8.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,,
166,PT10M58.00S,2019-12-25T17:45:57.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628449,10.200394218134035,47.86305147058824,1610612761,21,30,2019-12-25T17:46:39Z,1660000,11.0,43.0,1,left,C. Boucher layup (5 PTS) (K. Lowry 3 AST),"[1628449, 200768]",1610612761.0,TOR,cutting,,,Boucher,C. Boucher,,,,,5.01,Made,5.0,K. Lowry,200768.0,3.0,,,,,,,,,,,,,,,
168,PT10M45.00S,2019-12-25T17:46:11.0Z,2,REGULAR,2pt,jumpshot,[],1628369,78.79434954007884,45.90226715686275,1610612738,21,30,2019-12-25T17:46:18Z,1680000,-20.0,147.0,1,right,MISS J. Tatum 15' jumpshot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,15.37,Missed,,,,,,,,,,,,,,,,,,,
169,PT10M43.00S,2019-12-25T17:46:13.0Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,21,30,2019-12-25T17:46:18Z,1690000,,,0,,E. Kanter REBOUND (Off:1 Def:3),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,168.0,4.0,3.0,1.0,,,,,,,,,,,
170,PT10M41.00S,2019-12-25T17:46:14.9Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,94.03745072273325,51.049325980392155,1610612738,21,32,2019-12-25T17:46:23Z,1700000,5.0,4.0,1,right,E. Kanter layup (10 PTS),[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,1.04,Made,10.0,,,,,,,,,,,,,,,,,,
171,PT10M30.00S,2019-12-25T17:46:26.0Z,2,REGULAR,3pt,jumpshot,[],1628449,27.151773981603156,16.980698529411764,1610612761,24,32,2019-12-25T17:46:30Z,1710000,165.0,203.0,1,left,C. Boucher 27' 3PT  (8 PTS) (K. Lowry 4 AST),"[1628449, 200768]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,26.57,Made,8.0,K. Lowry,200768.0,4.0,,,,,,,,,,,,,,,
173,PT10M07.00S,2019-12-25T17:46:49.0Z,2,REGULAR,turnover,badpass,[],202683,,,1610612738,24,32,2019-12-25T17:46:52Z,1730000,,,0,,E. Kanter TURNOVER badpass (1 TOV) Stolen,"[202683, 1626178]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,1.0,Hollis-Jefferson,1626178.0,
174,PT10M07.00S,2019-12-25T17:46:49.0Z,2,REGULAR,steal,,[],1626178,,,1610612761,24,32,2019-12-25T17:46:50Z,1740000,,,0,,R. Hollis-Jefferson STEAL (1 STL),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M00.00S,2019-12-25T17:46:55.9Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1626178,6.783837056504599,50.314031862745104,1610612761,26,32,2019-12-25T17:46:58Z,1750000,-2.0,11.0,1,left,R. Hollis-Jefferson layup (2 PTS) (K. Lowry 5 AST),"[1626178, 200768]",1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,1.69,Made,2.0,K. Lowry,200768.0,5.0,,,,,,,,,,,,,,,
177,PT09M48.00S,2019-12-25T17:47:11.6Z,2,REGULAR,foul,personal,[],1626259,,,1610612738,26,32,2019-12-25T17:47:18Z,1770000,,,0,,M. Miller FOUL personal (1 PF),"[1626259, 1628369]",1610612761.0,TOR,,,,Miller,M. Miller,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Tatum,1628369.0,,,,
179,PT09M36.00S,2019-12-25T17:47:37.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.38042049934296,46.63756127450981,1610612738,26,32,2019-12-25T17:47:41Z,1790000,-17.0,10.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,,
180,PT09M34.00S,2019-12-25T17:47:39.4Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,26,32,2019-12-25T17:47:41Z,1800000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,179.0,1.0,1.0,0.0,,,,,,,,,,,
