actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
475,PT09M39.00S,2020-03-05T01:52:18.4Z,4,REGULAR,foul,personal,[],203521,,,1610612738,82,84,2020-03-05T01:52:21Z,4740000,,[CLE] Dellavedova foul personal (2 PF),"[203521, 1629682]",1610612739.0,CLE,,,,Dellavedova,M. Dellavedova,,,,,,,,,,,,,,,1198.0,2.0,0.0,Waters,1629682.0,,,,,,,,,,
477,PT09M33.00S,2020-03-05T01:52:43.1Z,4,REGULAR,turnover,outofbounds,[],1629682,,,1610612738,82,84,2020-03-05T01:52:56Z,4760000,,[BOS] Waters outofbounds turnover (1 TO),[1629682],1610612738.0,BOS,lostball,,,Waters,T. Waters,,,,,,,,,,,,,,,1162.0,,,,,,,1.0,,,,,,,
478,PT09M13.00S,2020-03-05T01:53:11.3Z,4,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1629012,84.05059132720105,51.049325980392155,1610612739,84,84,2020-03-05T01:54:45Z,4770000,right,[CLE] Sexton jumpshot: Made (32 PTS),[1629012],1610612739.0,CLE,drivingfloatingbank,,,Sexton,C. Sexton,,,,,10.3,: Made,,,,,32.0,,,,,,,,,,,,,,,,,,
479,PT08M57.00S,2020-03-05T01:53:26.6Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,9.411957950065702,36.09834558823529,1610612738,84,84,2020-03-05T01:53:37Z,4780000,left,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,bank,,,Tatum,J. Tatum,,,,,8.09,: Missed,,,,,,,,,,,,,,,,,,,,,,,
480,PT08M57.00S,2020-03-05T01:53:26.6Z,4,REGULAR,rebound,offensive,[],202683,,,1610612738,84,84,2020-03-05T01:53:37Z,4790000,,[BOS] Kanter offensive rebound (Off:5 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,479.0,9.0,4.0,5.0,,,,,,,,,,,,,,,,,,,
481,PT08M51.00S,2020-03-05T01:53:31.7Z,4,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,5.0,50.0,1610612738,84,86,2020-03-05T01:53:31Z,4800000,left,[BOS] Kanter layup: Made (10 PTS),[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,0.0,: Made,,,,,10.0,,,,,,,,,,,,,,,,,,
482,PT08M45.00S,2020-03-05T01:53:42.2Z,4,REGULAR,foul,personal,[],1629682,,,1610612739,84,86,2020-03-05T01:54:22Z,4810000,,[BOS] Waters foul personal (1 PF),"[1629682, 1626204]",1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,1198.0,1.0,0.0,Nance Jr.,1626204.0,,,,,,,,,,
484,PT08M36.00S,2020-03-05T01:54:10.7Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629012,89.70105124835742,43.451286764705884,1610612739,86,86,2020-03-05T01:54:26Z,4830000,right,[CLE] Sexton jumpshot: Made (34 PTS) assist: Nance Jr. (3 AST),"[1629012, 1626204]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,5.96,: Made,,,,,34.0,Nance Jr.,1626204.0,3.0,,,,,,,,,,,,,,,
486,PT08M16.00S,2020-03-05T01:54:30.8Z,4,REGULAR,3pt,jumpshot,[],1628400,7.966491458607096,2.5199142156862746,1610612738,86,86,2020-03-05T01:54:36Z,4850000,left,[BOS] Ojeleye 3pt jumpshot: Missed,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.9,: Missed,,,,,,,,,,,,,,,,,,,,,,,
487,PT08M12.00S,2020-03-05T01:54:34.8Z,4,REGULAR,rebound,defensive,[],203521,,,1610612739,86,86,2020-03-05T01:54:36Z,4860000,,[CLE] Dellavedova defensive rebound (Off:0 Def:4),[203521],1610612739.0,CLE,,,,Dellavedova,M. Dellavedova,,,,,,,486.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
488,PT08M08.00S,2020-03-05T01:54:38.1Z,4,REGULAR,3pt,jumpshot,[],1626224,91.5407358738502,95.65716911764706,1610612739,86,86,2020-03-05T01:54:46Z,4870000,right,[CLE] Osman 3pt jumpshot: Missed,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,23.06,: Missed,,,,,,,,,,,,,,,,,,,,,,,
489,PT08M06.00S,2020-03-05T01:54:40.1Z,4,REGULAR,rebound,defensive,[],202683,,,1610612738,86,86,2020-03-05T01:54:46Z,4880000,,[BOS] Kanter defensive rebound (Off:5 Def:5),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,488.0,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
490,PT08M01.00S,2020-03-05T01:54:47.2Z,4,REGULAR,turnover,outofbounds,[],1629682,,,1610612738,86,86,2020-03-05T01:54:55Z,4890000,,[BOS] Waters outofbounds turnover (2 TO),[1629682],1610612738.0,BOS,badpass,,,Waters,T. Waters,,,,,,,,,,,,,,,1198.0,,,,,,,2.0,,,,,,,
491,PT07M47.00S,2020-03-05T01:55:11.7Z,4,REGULAR,3pt,jumpshot,['fromturnover'],203521,67.49342969776609,17.22579656862745,1610612739,86,86,2020-03-05T01:55:29Z,4900000,right,[CLE] Dellavedova 3pt jumpshot: Missed,[203521],1610612739.0,CLE,,,,Dellavedova,M. Dellavedova,,,,,30.62,: Missed,,,,,,,,,,,,,,,,,,,,,,,
492,PT07M44.00S,2020-03-05T01:55:14.7Z,4,REGULAR,rebound,defensive,[],1628400,,,1610612738,86,86,2020-03-05T01:55:29Z,4910000,,[BOS] Ojeleye defensive rebound (Off:0 Def:4),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,491.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
493,PT07M36.00S,2020-03-05T01:55:22.6Z,4,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628400,14.536793692509855,40.510110294117645,1610612738,86,88,2020-03-05T01:55:33Z,4920000,left,[BOS] Ojeleye jumpshot: Made (17 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,10.14,: Made,,,,,17.0,,,,,,,,,,,,,,,,,,
494,PT07M14.00S,2020-03-05T01:55:44.3Z,4,REGULAR,3pt,jumpshot,[],1626224,76.82325886990802,86.83363970588235,1610612739,89,88,2020-03-05T01:55:49Z,4930000,right,[CLE] Osman 3pt shot: Made (10 PTS) assist: Sexton (6 AST),"[1626224, 1629012]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,25.13,: Made,,,,,10.0,Sexton,1629012.0,6.0,,,,,,,,,,,,,,,
496,PT07M02.00S,2020-03-05T01:55:55.4Z,4,REGULAR,3pt,jumpshot,[],1629682,36.35019710906702,66.24540441176471,1610612738,89,88,2020-03-05T01:56:00Z,4950000,left,[BOS] Waters 3pt jumpshot: Missed,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,30.57,: Missed,,,,,,,,,,,,,,,,,,,,,,,
497,PT07M00.00S,2020-03-05T01:55:57.4Z,4,REGULAR,rebound,defensive,[],1629012,,,1610612739,89,88,2020-03-05T01:56:00Z,4960000,,[CLE] Sexton defensive rebound (Off:0 Def:3),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,496.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
