actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
166,PT11M16.00S,2019-12-19T03:14:12.9Z,2,REGULAR,substitution,out,[],1628382,,,1610612742,29,31,2019-12-19T03:14:16Z,1650000,,,0,,substitution out Jackson,[1628382],1610612742.0,DAL,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M16.00S,2019-12-19T03:14:12.9Z,2,REGULAR,substitution,in,[],1627827,,,1610612742,29,31,2019-12-19T03:14:16Z,1660000,,,0,,substitution in Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M01.00S,2019-12-19T03:14:31.9Z,2,REGULAR,2pt,jumpshot,['fromturnover'],203552,25.57490144546649,42.96109068627451,1610612742,29,31,2019-12-19T03:14:36Z,1670000,35.0,188.0,1,left,MISS S. Curry 20' jumpshot,[203552],1610612742.0,DAL,pullup,,,Curry,S. Curry,,,,,19.66,Missed,,,,,,,,,,,,,,,,,,,
169,PT10M59.00S,2019-12-19T03:14:33.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,31,2019-12-19T03:14:36Z,1680000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,168.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
170,PT10M52.00S,2019-12-19T03:14:41.7Z,2,REGULAR,3pt,jumpshot,[],1629750,69.59592641261499,26.294424019607842,1610612738,29,31,2019-12-19T03:14:45Z,1690000,-119.0,233.0,1,right,MISS J. Green 27' 3PT,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M48.00S,2019-12-19T03:14:45.7Z,2,REGULAR,rebound,defensive,[],1627827,,,1610612742,29,31,2019-12-19T03:14:45Z,1700000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,170.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
172,PT10M39.00S,2019-12-19T03:14:54.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],203939,9.937582128777924,46.14736519607843,1610612742,29,31,2019-12-19T03:15:03Z,1710000,19.0,41.0,1,left,MISS D. Powell layup,[203939],1610612742.0,DAL,driving,,,Powell,D. Powell,,,,,5.03,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M39.00S,2019-12-19T03:14:54.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,29,31,2019-12-19T03:15:03Z,1720000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,
174,PT10M39.00S,2019-12-19T03:14:59.1Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,29,31,2019-12-19T03:14:59Z,1730000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M28.00S,2019-12-19T03:15:16.8Z,2,REGULAR,foul,personal,['2freethrow'],203552,,,1610612738,29,31,2019-12-19T03:15:26Z,1740000,,,0,,S. Curry FOUL personal (1 PF) (Tatum 2freethrow),"[203552, 1628369]",1610612742.0,DAL,shooting,,,Curry,S. Curry,,,,,,,,,,,202056.0,,,,,,,,1.0,0.0,Tatum,1628369.0,,,
177,PT10M28.00S,2019-12-19T03:15:37.7Z,2,REGULAR,freethrow,1of2,[],1628369,,,1610612738,29,32,2019-12-19T03:16:01Z,1760000,,,0,,J. Tatum freethrow 1of2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
178,PT10M28.00S,2019-12-19T03:15:38.7Z,2,REGULAR,substitution,out,[],1628467,,,1610612738,29,32,2019-12-19T03:15:49Z,1770000,,,0,,substitution out Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M28.00S,2019-12-19T03:15:38.7Z,2,REGULAR,substitution,out,[],1629750,,,1610612738,29,32,2019-12-19T03:15:49Z,1780000,,,0,,substitution out Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT10M28.00S,2019-12-19T03:15:38.7Z,2,REGULAR,substitution,in,[],204001,,,1610612738,29,32,2019-12-19T03:15:49Z,1790000,,,0,,substitution in Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT10M28.00S,2019-12-19T03:15:38.7Z,2,REGULAR,substitution,in,[],1629641,,,1610612738,29,32,2019-12-19T03:15:49Z,1800000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT10M28.00S,2019-12-19T03:15:37.7Z,2,REGULAR,freethrow,2of2,[],1628369,,,1610612738,29,32,2019-12-19T03:16:01Z,1810000,,,0,,MISS J. Tatum freethrow 2of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
183,PT10M26.00S,2019-12-19T03:15:39.7Z,2,REGULAR,rebound,defensive,[],204001,,,1610612742,29,32,2019-12-19T03:16:01Z,1820000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,182.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
184,PT10M18.00S,2019-12-19T03:16:09.2Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612742,29,32,2019-12-19T03:16:09Z,1830000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M11.00S,2019-12-19T03:16:29.7Z,2,REGULAR,foul,personal,['2freethrow'],202683,,,1610612742,29,32,2019-12-19T03:16:34Z,1840000,,,0,,E. Kanter FOUL personal (3 PF) (Powell 2freethrow),"[202683, 203939]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,202056.0,,,,,,,,3.0,0.0,Powell,203939.0,,,
187,PT10M11.00S,2019-12-19T03:16:53.4Z,2,REGULAR,freethrow,1of2,[],203939,,,1610612742,29,32,2019-12-19T03:16:53Z,1860000,,,0,,MISS D. Powell freethrow 1of2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
188,PT10M11.00S,2019-12-19T03:16:53.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,29,32,2019-12-19T03:16:53Z,1870000,,,0,,Team offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,,
189,PT10M11.00S,2019-12-19T03:17:04.6Z,2,REGULAR,freethrow,2of2,[],203939,,,1610612742,30,32,2019-12-19T03:17:04Z,1880000,,,0,,D. Powell freethrow 2of2 (3 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
190,PT09M59.00S,2019-12-19T03:17:20.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,90.22667542706965,51.049325980392155,1610612738,30,32,2019-12-19T03:32:52Z,1890000,5.0,39.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.52,Missed,,,,,,,,,,,,,,,,,,,
191,PT09M58.00S,2019-12-19T03:17:21.3Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,30,32,2019-12-19T03:32:52Z,1900000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,190.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
192,PT09M57.00S,2019-12-19T03:17:22.8Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,91.67214191852825,51.049325980392155,1610612738,30,32,2019-12-19T03:33:05Z,1910000,5.0,26.0,1,right,MISS E. Kanter layup Blocked,"[202683, 203939]",1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,3.17,Missed,,,,,,,,,,,,,,,,,Powell,203939.0,
193,PT09M57.00S,2019-12-19T03:17:22.8Z,2,REGULAR,block,,[],203939,,,1610612738,30,32,2019-12-19T03:24:17Z,1920000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT09M56.00S,2019-12-19T03:17:23.8Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,30,32,2019-12-19T03:33:05Z,1930000,,,0,,E. Kanter REBOUND (Off:2 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,192.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
195,PT09M55.00S,2019-12-19T03:17:26.7Z,2,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",202683,95.0,50.0,1610612738,30,32,2019-12-19T03:33:34Z,1940000,0.0,-6.0,1,right,MISS E. Kanter layup Blocked,"[202683, 204001]",1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,0.0,Missed,,,,,,,,,,,,,,,,,Porzingis,204001.0,
233,PT09M55.00S,2019-12-19T03:17:26.7Z,2,REGULAR,block,,[],204001,,,1610612738,30,32,2019-12-19T03:24:27Z,1945000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M54.00S,2019-12-19T03:17:27.7Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,30,32,2019-12-19T03:33:34Z,1950000,,,0,,E. Kanter REBOUND (Off:3 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,195.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
197,PT09M53.00S,2019-12-19T03:17:27.9Z,2,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",202683,95.0,50.0,1610612738,30,32,2019-12-19T03:33:54Z,1960000,0.0,-6.0,1,right,MISS E. Kanter layup Blocked,"[202683, 203939]",1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,0.0,Missed,,,,,,,,,,,,,,,,,Powell,203939.0,
283,PT09M53.00S,2019-12-19T03:17:27.9Z,2,REGULAR,block,,[],203939,,,1610612738,30,32,2019-12-19T03:30:48Z,1965000,,,0,,D. Powell BLOCK (2 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M52.00S,2019-12-19T03:17:28.9Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,30,32,2019-12-19T03:33:54Z,1970000,,,0,,E. Kanter REBOUND (Off:4 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,197.0,5.0,1.0,4.0,,,,,,,,,,,,,,,
199,PT09M45.00S,2019-12-19T03:17:31.9Z,2,REGULAR,3pt,jumpshot,['2ndchance'],1628400,72.61826544021025,17.22579656862745,1610612738,30,32,2019-12-19T03:17:36Z,1980000,-164.0,205.0,1,right,MISS S. Ojeleye 27' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
200,PT09M43.00S,2019-12-19T03:17:33.8Z,2,REGULAR,rebound,defensive,[],204001,,,1610612742,30,32,2019-12-19T03:17:33Z,1990000,,,0,,K. Porzingis REBOUND (Off:1 Def:3),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,199.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
201,PT09M40.00S,2019-12-19T03:17:37.4Z,2,REGULAR,3pt,jumpshot,['fastbreak'],204001,33.590670170827856,42.470894607843135,1610612742,30,32,2019-12-19T03:17:49Z,2000000,38.0,263.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,27.14,Missed,,,,,,,,,,,,,,,,,,,
202,PT09M37.00S,2019-12-19T03:17:40.4Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,30,32,2019-12-19T03:17:49Z,2010000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,201.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
203,PT09M32.00S,2019-12-19T03:17:45.4Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1628369,78.66294349540078,7.421875,1610612738,30,32,2019-12-19T03:17:53Z,2020000,-213.0,148.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
204,PT09M28.00S,2019-12-19T03:17:49.4Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,30,32,2019-12-19T03:17:53Z,2030000,,,0,,D. Powell REBOUND (Off:2 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,203.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
205,PT09M13.00S,2019-12-19T03:18:04.1Z,2,REGULAR,3pt,jumpshot,[],203552,11.777266754270697,94.18658088235294,1610612742,33,32,2019-12-19T03:26:32Z,2040000,-221.0,58.0,1,left,S. Curry 23' 3PT  (8 PTS) (D. Wright 2 AST),"[203552, 1626153]",1610612742.0,DAL,,,,Curry,S. Curry,,,,,22.99,Made,,,,,,,8.0,D. Wright,1626153.0,2.0,,,,,,,,,
207,PT08M54.00S,2019-12-19T03:18:23.1Z,2,REGULAR,3pt,jumpshot,[],202954,70.90998685939553,25.06893382352941,1610612738,33,32,2019-12-19T03:18:26Z,2060000,-125.0,221.0,1,right,MISS B. Wanamaker 26' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
208,PT08M51.00S,2019-12-19T03:18:26.1Z,2,REGULAR,rebound,defensive,[],204001,,,1610612742,33,32,2019-12-19T03:18:26Z,2070000,,,0,,K. Porzingis REBOUND (Off:1 Def:4),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,207.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
209,PT08M42.00S,2019-12-19T03:18:34.5Z,2,REGULAR,2pt,jumpshot,[],203552,11.514454664914586,73.59834558823529,1610612742,35,32,2019-12-19T03:18:41Z,2080000,-118.0,56.0,1,left,S. Curry 13' jumpshot (10 PTS),[203552],1610612742.0,DAL,pullupbank,,,Curry,S. Curry,,,,,13.29,Made,,,,,,,10.0,,,,,,,,,,,,
210,PT08M26.00S,2019-12-19T03:18:50.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.43166885676742,47.127757352941174,1610612738,35,34,2019-12-19T03:27:35Z,2090000,-14.0,0.0,1,right,E. Kanter layup (6 PTS) (B. Wanamaker 1 AST),"[202683, 202954]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.53,Made,,,,,,,6.0,B. Wanamaker,202954.0,1.0,,,,,,,,,
212,PT08M14.00S,2019-12-19T03:19:02.8Z,2,REGULAR,3pt,jumpshot,[],1627827,31.09395532194481,62.07873774509803,1610612742,35,34,2019-12-19T03:19:08Z,2110000,-60.0,240.0,1,left,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
213,PT08M11.00S,2019-12-19T03:19:05.8Z,2,REGULAR,rebound,offensive,[],204001,,,1610612742,35,34,2019-12-19T03:19:08Z,2120000,,,0,,K. Porzingis REBOUND (Off:2 Def:4),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,212.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
214,PT08M10.00S,2019-12-19T03:19:07.0Z,2,REGULAR,2pt,jumpshot,['2ndchance'],204001,5.206964520367937,17.715992647058822,1610612742,37,34,2019-12-19T03:19:12Z,2130000,161.0,-4.0,1,left,K. Porzingis 16' jumpshot (7 PTS),[204001],1610612742.0,DAL,fadeaway,,,Porzingis,K. Porzingis,,,,,16.14,Made,,,,,,,7.0,,,,,,,,,,,,
215,PT07M53.00S,2019-12-19T03:19:27.6Z,2,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,37,34,2019-12-19T03:19:32Z,2140000,,,0,,J. Tatum TURNOVER outofbounds (3 TOV),[1628369],1610612738.0,BOS,badpass,,,Tatum,J. Tatum,,,,,,,,,,,1146.0,3.0,,,,,,,,,,,,,
216,PT07M53.00S,2019-12-19T03:19:32.3Z,2,REGULAR,substitution,out,[],202683,,,1610612742,37,34,2019-12-19T03:19:43Z,2150000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M53.00S,2019-12-19T03:19:32.3Z,2,REGULAR,substitution,out,[],1629641,,,1610612742,37,34,2019-12-19T03:19:43Z,2160000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M53.00S,2019-12-19T03:19:32.3Z,2,REGULAR,substitution,in,[],1628464,,,1610612742,37,34,2019-12-19T03:19:43Z,2170000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M53.00S,2019-12-19T03:19:32.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612742,37,34,2019-12-19T03:19:43Z,2180000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M34.00S,2019-12-19T03:20:02.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203552,6.1268068331143235,59.3826593137255,1610612742,39,34,2019-12-19T03:20:07Z,2190000,-47.0,5.0,1,left,S. Curry layup (12 PTS) (D. Wright 3 AST),"[203552, 1626153]",1610612742.0,DAL,driving,,,Curry,S. Curry,,,,,4.81,Made,,,,,,,12.0,D. Wright,1626153.0,3.0,,,,,,,,,
221,PT07M19.00S,2019-12-19T03:20:17.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,91.5407358738502,42.715992647058826,1610612738,39,34,2019-12-19T03:20:29Z,2200000,-36.0,27.0,1,right,MISS B. Wanamaker jumpshot,[202954],1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,4.88,Missed,,,,,,,,,,,,,,,,,,,
222,PT07M18.00S,2019-12-19T03:20:18.2Z,2,REGULAR,rebound,defensive,[],204001,,,1610612742,39,34,2019-12-19T03:20:29Z,2210000,,,0,,K. Porzingis REBOUND (Off:2 Def:5),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,221.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
223,PT07M13.00S,2019-12-19T03:20:24.2Z,2,REGULAR,3pt,jumpshot,['fastbreak'],204001,29.38567674113009,27.76501225490196,1610612742,39,34,2019-12-19T03:20:38Z,2220000,111.0,224.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
224,PT07M10.00S,2019-12-19T03:20:27.1Z,2,REGULAR,rebound,offensive,[],1626153,,,1610612742,39,34,2019-12-19T03:20:27Z,2230000,,,0,,D. Wright REBOUND (Off:1 Def:0),[1626153],1610612742.0,DAL,,,,Wright,D. Wright,,,,,,,223.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
225,PT06M58.00S,2019-12-19T03:20:45.0Z,2,REGULAR,turnover,shotclock,['team'],0,,,1610612742,39,34,2019-12-19T03:21:00Z,2240000,,,0,,Team TURNOVER shotclock,[],1610612742.0,DAL,,,,,,,,,,,,,,,,202056.0,,,,,,,,,,,,,,
226,PT06M58.00S,2019-12-19T03:21:13.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,39,34,2019-12-19T03:21:13Z,2250000,,,0,,timeout full,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2019-12-19T03:22:23.5Z,2,REGULAR,substitution,out,[],203939,,,1610612738,39,34,2019-12-19T03:24:11Z,2260000,,,0,,substitution out Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M58.00S,2019-12-19T03:22:23.5Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,39,34,2019-12-19T03:24:11Z,2270000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M58.00S,2019-12-19T03:22:23.5Z,2,REGULAR,substitution,in,[],1628467,,,1610612738,39,34,2019-12-19T03:24:11Z,2280000,,,0,,substitution in Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M58.00S,2019-12-19T03:22:23.5Z,2,REGULAR,substitution,in,[],202689,,,1610612738,39,34,2019-12-19T03:24:11Z,2290000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M42.00S,2019-12-19T03:24:24.5Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1627759,92.85479632063075,59.13756127450981,1610612738,39,36,2019-12-19T03:24:40Z,2300000,46.0,15.0,1,right,J. Brown layup (4 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,5.0,Made,,,,,,,4.0,K. Walker,202689.0,3.0,,,,,,,,,
234,PT06M30.00S,2019-12-19T03:24:36.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627827,6.1268068331143235,53.74540441176471,1610612742,39,36,2019-12-19T03:24:42Z,2320000,-19.0,5.0,1,left,MISS D. Finney-Smith layup,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,2.15,Missed,,,,,,,,,,,,,,,,,,,
235,PT06M30.00S,2019-12-19T03:24:36.3Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,39,36,2019-12-19T03:24:42Z,2330000,,,0,,D. Theis REBOUND (Off:1 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,234.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
236,PT06M25.00S,2019-12-19T03:24:43.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,91.40932982917214,56.196384803921575,1610612738,39,36,2019-12-19T03:24:52Z,2340000,31.0,28.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1627827]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,4.59,Missed,,,,,,,,,,,,,,,,,Finney-Smith,1627827.0,
237,PT06M25.00S,2019-12-19T03:24:43.2Z,2,REGULAR,block,,[],1627827,,,1610612738,39,36,2019-12-19T03:24:45Z,2350000,,,0,,D. Finney-Smith BLOCK (2 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M25.00S,2019-12-19T03:24:43.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,39,36,2019-12-19T03:24:52Z,2360000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,236.0,,,,,,,,,,,,,,,,,,
239,PT06M25.00S,2019-12-19T03:24:47.1Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,39,36,2019-12-19T03:24:47Z,2370000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M25.00S,2019-12-19T03:24:47.9Z,2,REGULAR,substitution,out,[],203552,,,1610612738,39,36,2019-12-19T03:24:51Z,2380000,,,0,,substitution out Curry,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M25.00S,2019-12-19T03:24:47.9Z,2,REGULAR,substitution,in,[],203501,,,1610612738,39,36,2019-12-19T03:24:51Z,2390000,,,0,,substitution in Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M25.00S,2019-12-19T03:24:47.9Z,2,REGULAR,substitution,out,[],1626153,,,1610612738,39,36,2019-12-19T03:25:06Z,2400000,,,0,,substitution out Wright,[1626153],1610612742.0,DAL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M25.00S,2019-12-19T03:24:47.9Z,2,REGULAR,substitution,in,[],1628973,,,1610612738,39,36,2019-12-19T03:25:06Z,2410000,,,0,,substitution in Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M11.00S,2019-12-19T03:25:23.4Z,2,REGULAR,turnover,lostball,[],1627759,,,1610612738,39,36,2019-12-19T03:25:27Z,2420000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1627827]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,,,,,Finney-Smith,1627827.0,,,,,,,
245,PT06M11.00S,2019-12-19T03:25:23.4Z,2,REGULAR,steal,,[],1627827,,,1610612742,39,36,2019-12-19T03:25:25Z,2430000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M58.00S,2019-12-19T03:25:36.3Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1627827,10.33180026281209,95.90226715686273,1610612742,39,36,2019-12-19T03:25:40Z,2440000,-230.0,45.0,1,left,MISS D. Finney-Smith 23' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
247,PT05M55.00S,2019-12-19T03:25:39.3Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,39,36,2019-12-19T03:25:40Z,2450000,,,0,,D. Theis REBOUND (Off:1 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,246.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
248,PT05M49.00S,2019-12-19T03:25:45.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.9060446780552,53.74540441176471,1610612738,39,36,2019-12-19T03:25:56Z,2460000,19.0,5.0,1,right,MISS K. Walker layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.13,Missed,,,,,,,,,,,,,,,,,,,
