actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
34,PT09M10.00S,2019-12-19T02:45:11.9Z,1,REGULAR,foul,personal,[],203501,,,1610612738,3,3,2019-12-19T02:45:33Z,340000,,,0,,T. Hardaway Jr. FOUL personal (1 PF),"[203501, 1628464]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,202026.0,,,,,,,,1.0,0.0,Theis,1628464.0,,,
36,PT09M07.00S,2019-12-19T02:45:29.1Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628464,68.67608409986859,65.26501225490196,1610612738,3,3,2019-12-19T02:45:35Z,360000,76.0,242.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M04.00S,2019-12-19T02:45:31.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,3,3,2019-12-19T02:45:31Z,370000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT08M51.00S,2019-12-19T02:45:44.5Z,1,REGULAR,3pt,jumpshot,[],203501,19.66162943495401,8.892463235294118,1610612742,6,3,2019-12-19T02:45:53Z,380000,206.0,132.0,1,left,T. Hardaway Jr. 25' 3PT  (3 PTS) (K. Porzingis 2 AST),"[203501, 204001]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,24.74,Made,,,,,,,3.0,K. Porzingis,204001.0,2.0,,,,,,,,,
40,PT08M34.00S,2019-12-19T02:46:01.9Z,1,REGULAR,3pt,jumpshot,[],1627759,69.59592641261499,24.823835784313726,1610612738,6,3,2019-12-19T02:46:10Z,400000,-126.0,233.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M32.00S,2019-12-19T02:46:03.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,6,3,2019-12-19T02:46:10Z,410000,,,0,,Team defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2019-12-19T02:46:09.7Z,1,REGULAR,foul,personal,[],1628400,,,1610612742,6,3,2019-12-19T02:46:30Z,420000,,,0,,S. Ojeleye FOUL personal (2 PF),"[1628400, 1628973]",1610612738.0,BOS,looseball,,,Ojeleye,S. Ojeleye,,,,,,,,,,,1146.0,,,,,,,,2.0,0.0,Brunson,1628973.0,,,
44,PT08M32.00S,2019-12-19T02:46:19.6Z,1,REGULAR,substitution,out,[],203939,,,1610612742,6,3,2019-12-19T02:46:22Z,440000,,,0,,substitution out Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M32.00S,2019-12-19T02:46:19.6Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,6,3,2019-12-19T02:46:22Z,450000,,,0,,substitution in Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M19.00S,2019-12-19T02:46:35.7Z,1,REGULAR,2pt,jumpshot,[],203501,23.73521681997372,66.49050245098039,1610612742,6,3,2019-12-19T02:46:41Z,460000,-82.0,171.0,1,left,MISS T. Hardaway Jr. 19' jumpshot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,19.45,Missed,,,,,,,,,,,,,,,,,,,
