actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
41,PT07M18.00S,2020-01-09T00:18:14.7Z,1,REGULAR,turnover,lostball,[],201942,,,1610612759,3,14,2020-01-09T00:18:19Z,410000,,,0,,D. DeRozan TURNOVER lostball (1 TOV) Stolen,"[201942, 1627759]",1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,,,
42,PT07M18.00S,2020-01-09T00:18:14.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,3,14,2020-01-09T00:18:16Z,420000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M14.00S,2020-01-09T00:18:20.4Z,1,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,3,14,2020-01-09T00:18:27Z,430000,,,0,,J. Brown TURNOVER outofbounds (2 TOV),[1627759],1610612738.0,BOS,badpass,,,Brown,J. Brown,,,,,,,,,,,,,,,2.0,,,1628172.0,,,,,,,
44,PT06M52.00S,2020-01-09T00:18:46.2Z,1,REGULAR,2pt,hook,"['pointsinthepaint', 'fromturnover']",200746,88.43626806833115,53.89093137254902,1610612759,3,16,2020-01-09T00:18:53Z,440000,19.0,56.0,1,right,L. Aldridge 6' hook (4 PTS),[200746],1610612759.0,SAS,turnaround,,,Aldridge,L. Aldridge,,,,,6.47,Made,4.0,,,,,,,,,,,,,,,,,,
73,PT06M36.00S,2020-01-09T00:18:58.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,6.915243101182654,46.14736519607843,1610612738,3,16,2020-01-09T00:23:07Z,450000,19.0,13.0,1,left,MISS J. Brown layup,[1627759],1610612738.0,BOS,drivingfingerroll,,,Brown,J. Brown,,,,,2.64,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M35.00S,2020-01-09T00:18:59.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,16,2020-01-09T00:23:07Z,455000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,
46,PT06M35.00S,2020-01-09T00:19:10.9Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,3,16,2020-01-09T00:19:21Z,460000,,,0,,J. Brown TURNOVER traveling (3 TOV),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,3.0,,,1179.0,,,,,,,
47,PT06M35.00S,2020-01-09T00:19:14.1Z,1,REGULAR,substitution,out,[],202689,,,1610612759,3,16,2020-01-09T00:19:25Z,470000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M35.00S,2020-01-09T00:19:14.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612759,3,16,2020-01-09T00:19:25Z,480000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M35.00S,2020-01-09T00:19:14.1Z,1,REGULAR,substitution,in,[],202683,,,1610612759,3,16,2020-01-09T00:19:25Z,490000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
