actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
89,PT05M42.00S,2020-09-03T23:04:18.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,16,2020-09-03T23:04:20Z,890000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,87.0,4.0,4.0,0.0,,,,,,,,,
90,PT05M27.00S,2020-09-03T23:04:36.1Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612738,16,16,2020-09-03T23:04:45Z,900000,,,0,,F. VanVleet FOUL personal (1 PF) (Theis 2freethrow),"[1627832, 1628464]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,,,,1179.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,,,,
92,PT05M27.00S,2020-09-03T23:05:04.6Z,1,REGULAR,freethrow,1of2,[],1628464,,,1610612738,17,16,2020-09-03T23:05:35Z,920000,,,0,,D. Theis freethrow 1of2 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
93,PT05M27.00S,2020-09-03T23:05:05.5Z,1,REGULAR,substitution,out,[],201188,,,1610612738,17,16,2020-09-03T23:05:21Z,930000,,,0,,substitution out Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M27.00S,2020-09-03T23:05:05.5Z,1,REGULAR,substitution,in,[],201586,,,1610612738,17,16,2020-09-03T23:05:21Z,940000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M27.00S,2020-09-03T23:05:04.6Z,1,REGULAR,freethrow,2of2,[],1628464,,,1610612738,17,16,2020-09-03T23:05:35Z,950000,,,0,,MISS D. Theis freethrow 2of2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
96,PT05M25.00S,2020-09-03T23:05:06.6Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,17,16,2020-09-03T23:05:35Z,960000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,
97,PT05M10.00S,2020-09-03T23:05:45.3Z,1,REGULAR,2pt,jumpshot,[],1627832,11.645860709592641,14.774816176470587,1610612761,17,18,2020-09-03T23:05:55Z,970000,176.0,57.0,1,left,F. VanVleet 19' jumpshot (2 PTS),[1627832],1610612761.0,TOR,stepback,,,VanVleet,F. VanVleet,,,,,18.69,Made,2.0,,,,,,,,,,,,,,,,,,
98,PT04M59.00S,2020-09-03T23:05:59.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626181,,,1610612738,17,18,2020-09-03T23:06:11Z,980000,,,0,,N. Powell FOUL personal (1 PF) (Walker inpenalty),"[1626181, 202689]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,1179.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,
100,PT04M59.00S,2020-09-03T23:06:28.0Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,18,18,2020-09-03T23:06:28Z,1000000,,,0,,K. Walker freethrow 1of2 (8 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
101,PT04M59.00S,2020-09-03T23:06:45.5Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,19,18,2020-09-03T23:06:45Z,1010000,,,0,,K. Walker freethrow 2of2 (9 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
102,PT04M51.00S,2020-09-03T23:07:04.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612761,19,18,2020-09-03T23:07:13Z,1020000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 1626181]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,1148.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,
104,PT04M42.00S,2020-09-03T23:07:32.2Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612761,19,18,2020-09-03T23:10:07Z,1040000,,,0,,D. Theis FOUL personal (2 PF) (Lowry 2freethrow),"[1628464, 200768]",1610612738.0,BOS,flagranttype1,,,Theis,D. Theis,,,,,,,,1179.0,2.0,0.0,Lowry,200768.0,,,,,,,,,,,,,
106,PT04M42.00S,2020-09-03T23:08:01.0Z,1,REGULAR,instantreplay,request,[],0,,,1610612761,19,18,2020-09-03T23:09:41Z,1060000,,,0,,,[],,,overturned,,,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,Common Foul to Flagrant 1
107,PT04M42.00S,2020-09-03T23:10:08.8Z,1,REGULAR,freethrow,1of2,[],200768,,,1610612761,19,19,2020-09-03T23:10:18Z,1070000,,,0,,K. Lowry flagrant freethrow 1of2 (11 PTS),[200768],1610612761.0,TOR,flagrant,,,Lowry,K. Lowry,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
108,PT04M42.00S,2020-09-03T23:10:08.8Z,1,REGULAR,freethrow,2of2,[],200768,,,1610612761,19,19,2020-09-03T23:10:18Z,1080000,,,0,,MISS K. Lowry flagrant freethrow 2of2,[200768],1610612761.0,TOR,flagrant,,,Lowry,K. Lowry,,,,,,Missed,,,,,,,,,,,,,,,,,,,
109,PT04M42.00S,2020-09-03T23:10:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,19,19,2020-09-03T23:10:18Z,1090000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,
110,PT04M42.00S,2020-09-03T23:10:22.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,19,19,2020-09-03T23:10:22Z,1100000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M33.00S,2020-09-03T23:10:33.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",201586,8.360709592641262,50.314031862745104,1610612761,19,19,2020-09-03T23:10:41Z,1110000,-2.0,26.0,1,left,MISS S. Ibaka layup Blocked,"[201586, 1628464]",1610612761.0,TOR,cutting,,,Ibaka,S. Ibaka,,,,,3.16,Missed,,,,,,,,,,,,,,Theis,1628464.0,,,,
112,PT04M33.00S,2020-09-03T23:10:33.6Z,1,REGULAR,block,,[],1628464,,,1610612761,19,19,2020-09-03T23:10:35Z,1120000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M33.00S,2020-09-03T23:10:33.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,19,19,2020-09-03T23:10:41Z,1130000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,
114,PT04M33.00S,2020-09-03T23:10:41.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,19,19,2020-09-03T23:10:41Z,1140000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M26.00S,2020-09-03T23:11:04.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202689,,,1610612761,19,19,2020-09-03T23:11:14Z,1150000,,,0,,K. Walker FOUL personal (1 PF) (Powell inpenalty),"[202689, 1626181]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,1148.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,
117,PT04M26.00S,2020-09-03T23:11:29.9Z,1,REGULAR,freethrow,1of2,['2ndchance'],1626181,,,1610612761,19,19,2020-09-03T23:11:48Z,1170000,,,0,,MISS N. Powell freethrow 1of2,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
118,PT04M26.00S,2020-09-03T23:11:29.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612761,19,19,2020-09-03T23:11:48Z,1180000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,
119,PT04M26.00S,2020-09-03T23:11:29.9Z,1,REGULAR,freethrow,2of2,['2ndchance'],1626181,,,1610612761,19,19,2020-09-03T23:11:48Z,1190000,,,0,,MISS N. Powell freethrow 2of2,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
120,PT04M24.00S,2020-09-03T23:11:31.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,19,19,2020-09-03T23:11:48Z,1200000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,119.0,5.0,5.0,0.0,,,,,,,,,
121,PT04M13.00S,2020-09-03T23:11:56.4Z,1,REGULAR,turnover,lostball,[],203935,,,1610612738,19,19,2020-09-03T23:12:00Z,1210000,,,0,,M. Smart TURNOVER lostball (1 TOV) Stolen,"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,
122,PT04M13.00S,2020-09-03T23:11:56.4Z,1,REGULAR,steal,,[],200768,,,1610612761,19,19,2020-09-03T23:11:58Z,1220000,,,0,,K. Lowry STEAL (2 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT04M12.00S,2020-09-03T23:12:00.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628400,,,1610612761,19,19,2020-09-03T23:12:12Z,1230000,,,0,,S. Ojeleye FOUL personal (1 PF) (Anunoby inpenalty),"[1628400, 1628384]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,201639.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,
125,PT04M12.00S,2020-09-03T23:12:30.8Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1628384,,,1610612761,19,20,2020-09-03T23:12:57Z,1250000,,,0,,O. Anunoby freethrow 1of2 (1 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
126,PT04M12.00S,2020-09-03T23:12:32.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612761,19,20,2020-09-03T23:12:44Z,1260000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT04M12.00S,2020-09-03T23:12:32.1Z,1,REGULAR,substitution,out,[],203935,,,1610612761,19,20,2020-09-03T23:12:44Z,1270000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT04M12.00S,2020-09-03T23:12:32.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612761,19,20,2020-09-03T23:12:44Z,1280000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT04M12.00S,2020-09-03T23:12:32.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612761,19,20,2020-09-03T23:12:44Z,1290000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT04M12.00S,2020-09-03T23:12:30.8Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1628384,,,1610612761,19,20,2020-09-03T23:12:57Z,1300000,,,0,,MISS O. Anunoby freethrow 2of2,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Missed,,,,,,,,,,,,,,,,,,,
131,PT04M10.00S,2020-09-03T23:12:32.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,20,2020-09-03T23:12:57Z,1310000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,130.0,4.0,3.0,1.0,,,,,,,,,
132,PT03M52.00S,2020-09-03T23:13:09.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.1688567674113,52.27481617647059,1610612738,21,20,2020-09-03T23:13:12Z,1320000,11.0,2.0,1,right,K. Walker layup (11 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,1.38,Made,11.0,,,,,,,,,,,,,,,,,,
133,PT03M38.00S,2020-09-03T23:13:22.3Z,1,REGULAR,3pt,jumpshot,[],1626181,33.85348226018397,57.666973039215684,1610612761,21,23,2020-09-03T23:13:26Z,1330000,-38.0,266.0,1,left,N. Powell 27' 3PT  (3 PTS) (F. VanVleet 2 AST),"[1626181, 1627832]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,27.39,Made,3.0,,,,,,,,,,F. VanVleet,1627832.0,2.0,,,,,,
135,PT03M22.00S,2020-09-03T23:13:38.3Z,1,REGULAR,3pt,jumpshot,[],1628400,68.15045992115637,61.09834558823529,1610612738,24,23,2020-09-03T23:13:42Z,1350000,55.0,247.0,1,right,S. Ojeleye 26' 3PT  (3 PTS) (R. Williams III 1 AST),"[1628400, 1629057]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.84,Made,3.0,,,,,,,,,,R. Williams III,1629057.0,1.0,,,,,,
137,PT03M10.00S,2020-09-03T23:13:50.3Z,1,REGULAR,2pt,jumpshot,[],200768,13.87976346911958,11.833639705882353,1610612761,24,23,2020-09-03T23:13:54Z,1370000,191.0,78.0,1,left,MISS K. Lowry 21' jumpshot,[200768],1610612761.0,TOR,stepback,,,Lowry,K. Lowry,,,,,20.83,Missed,,,,,,,,,,,,,,,,,,,
138,PT03M08.00S,2020-09-03T23:13:53.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,24,23,2020-09-03T23:13:53Z,1380000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,
139,PT03M00.00S,2020-09-03T23:14:03.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626181,,,1610612738,24,23,2020-09-03T23:14:11Z,1390000,,,0,,N. Powell FOUL personal (2 PF) (Tatum inpenalty),"[1626181, 1628369]",1610612761.0,TOR,shooting,,,Powell,N. Powell,,,,,,,,201639.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,
141,PT03M00.00S,2020-09-03T23:14:27.1Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,24,23,2020-09-03T23:14:27Z,1410000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
142,PT03M00.00S,2020-09-03T23:14:27.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,24,23,2020-09-03T23:14:27Z,1420000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,
143,PT03M00.00S,2020-09-03T23:14:28.0Z,1,REGULAR,substitution,out,[],200768,,,1610612738,24,23,2020-09-03T23:14:35Z,1430000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT03M00.00S,2020-09-03T23:14:28.0Z,1,REGULAR,substitution,in,[],1627783,,,1610612738,24,23,2020-09-03T23:14:35Z,1440000,,,0,,substitution in Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT03M00.00S,2020-09-03T23:14:48.8Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,25,23,2020-09-03T23:14:48Z,1450000,,,0,,J. Tatum freethrow 2of2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
146,PT02M47.00S,2020-09-03T23:15:06.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201586,19.053876478318003,44.037224264705884,1610612761,25,25,2020-09-03T23:15:55Z,1460000,30.0,127.0,1,left,S. Ibaka 14' jumpshot (2 PTS) (N. Powell 1 AST),"[201586, 1626181]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,13.54,Made,2.0,,,,,,,,,,N. Powell,1626181.0,1.0,,,,,,
148,PT02M38.00S,2020-09-03T23:15:18.6Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,25,25,2020-09-03T23:15:22Z,1480000,,,0,,J. Brown TURNOVER traveling (2 TOV),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,1179.0,,,,,,,,,,,,,,2.0,,,
149,PT02M38.00S,2020-09-03T23:15:24.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,25,25,2020-09-03T23:15:24Z,1490000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT02M38.00S,2020-09-03T23:18:24.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612761,25,25,2020-09-03T23:18:52Z,1500000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT02M38.00S,2020-09-03T23:18:24.0Z,1,REGULAR,substitution,out,[],1628400,,,1610612761,25,25,2020-09-03T23:18:52Z,1510000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M38.00S,2020-09-03T23:18:24.0Z,1,REGULAR,substitution,in,[],202954,,,1610612761,25,25,2020-09-03T23:18:52Z,1520000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M38.00S,2020-09-03T23:18:24.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612761,25,25,2020-09-03T23:18:52Z,1530000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT02M19.00S,2020-09-03T23:19:20.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628384,7.30946123521682,46.392463235294116,1610612761,25,25,2020-09-03T23:19:25Z,1540000,18.0,16.0,1,left,MISS O. Anunoby layup Blocked,"[1628384, 1629057]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,2.82,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,,
155,PT02M19.00S,2020-09-03T23:19:20.0Z,1,REGULAR,block,,[],1629057,,,1610612761,25,25,2020-09-03T23:19:33Z,1550000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT02M15.00S,2020-09-03T23:19:24.0Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,25,25,2020-09-03T23:19:25Z,1560000,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,154.0,1.0,0.0,1.0,,,,,,,,,
157,PT02M12.00S,2020-09-03T23:19:26.5Z,1,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",1627783,28.728646517739815,82.66697303921569,1610612761,25,25,2020-09-03T23:19:38Z,1570000,-163.0,218.0,1,left,MISS P. Siakam 28' 3PT,[1627783],1610612761.0,TOR,bank,,,Siakam,P. Siakam,,,,,27.64,Missed,,,,,,,,,,,,,,,,,,,
158,PT02M11.00S,2020-09-03T23:19:27.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,25,25,2020-09-03T23:19:31Z,1580000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,157.0,2.0,2.0,0.0,,,,,,,,,
159,PT01M52.00S,2020-09-03T23:19:46.5Z,1,REGULAR,3pt,jumpshot,[],1629684,94.95729303547962,95.16697303921569,1610612738,25,25,2020-09-03T23:19:52Z,1590000,226.0,-5.0,1,right,MISS G. Williams 23' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,,
160,PT01M48.00S,2020-09-03T23:19:50.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,25,25,2020-09-03T23:19:52Z,1600000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,159.0,3.0,2.0,1.0,,,,,,,,,
161,PT01M43.00S,2020-09-03T23:19:57.2Z,1,REGULAR,2pt,jumpshot,['2ndchance'],202689,75.90341655716163,49.57873774509804,1610612738,27,25,2020-09-03T23:20:05Z,1610000,-2.0,174.0,1,right,K. Walker 18' jumpshot (13 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,17.95,Made,13.0,,,,,,,,,,,,,,,,,,
162,PT01M43.00S,2020-09-03T23:20:00.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626181,,,1610612738,27,25,2020-09-03T23:20:18Z,1620000,,,0,,N. Powell FOUL personal (3 PF) (Walker inpenalty),"[1626181, 202689]",1610612761.0,TOR,shooting,,,Powell,N. Powell,,,,,,,,1179.0,3.0,0.0,Walker,202689.0,,,,,,,,,,,,,
164,PT01M43.00S,2020-09-03T23:20:25.3Z,1,REGULAR,freethrow,1of1,['2ndchance'],202689,,,1610612738,28,25,2020-09-03T23:20:25Z,1640000,,,0,,K. Walker freethrow 1of1 (14 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
165,PT01M29.00S,2020-09-03T23:20:46.9Z,1,REGULAR,turnover,outofbounds,[],1628384,,,1610612761,28,25,2020-09-03T23:21:01Z,1650000,,,0,,O. Anunoby TURNOVER outofbounds (1 TOV),[1628384],1610612761.0,TOR,badpass,,,Anunoby,O. Anunoby,,,,,,,,1179.0,,,,,,,,,,,,,,1.0,,,
166,PT01M29.00S,2020-09-03T23:20:50.0Z,1,REGULAR,substitution,out,[],1626181,,,1610612738,28,25,2020-09-03T23:20:54Z,1660000,,,0,,substitution out Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT01M29.00S,2020-09-03T23:20:50.0Z,1,REGULAR,substitution,in,[],200768,,,1610612738,28,25,2020-09-03T23:20:54Z,1670000,,,0,,substitution in Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT01M14.00S,2020-09-03T23:21:16.5Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,81.02825229960578,48.59834558823529,1610612738,28,25,2020-09-03T23:21:20Z,1680000,-7.0,126.0,1,right,MISS J. Tatum 13' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,13.15,Missed,,,,,,,,,,,,,,,,,,,
169,PT01M12.00S,2020-09-03T23:21:18.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,28,25,2020-09-03T23:21:20Z,1690000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,
170,PT01M05.00S,2020-09-03T23:21:26.5Z,1,REGULAR,3pt,jumpshot,[],201586,29.6484888304862,20.657169117647058,1610612761,28,25,2020-09-03T23:21:30Z,1700000,147.0,226.0,1,left,MISS S. Ibaka 27' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,27.42,Missed,,,,,,,,,,,,,,,,,,,
171,PT01M02.00S,2020-09-03T23:21:29.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,28,25,2020-09-03T23:21:30Z,1710000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,170.0,5.0,4.0,1.0,,,,,,,,,
172,PT00M50.20S,2020-09-03T23:21:42.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,91.93495400788436,37.8140318627451,1610612738,30,25,2020-09-03T23:21:45Z,1720000,-61.0,23.0,1,right,B. Wanamaker 7' jumpshot (2 PTS) (J. Tatum 1 AST),"[202954, 1628369]",1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,6.74,Made,2.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,,
174,PT00M33.90S,2020-09-03T23:22:04.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627832,11.383048620236531,60.11795343137255,1610612761,30,25,2020-09-03T23:22:42Z,1740000,-51.0,55.0,1,left,MISS F. VanVleet 8' jumpshot,[1627832],1610612761.0,TOR,drivingfloating,,,VanVleet,F. VanVleet,,,,,7.85,Missed,,,,,,,,,,,,,,,,,,,
175,PT00M32.70S,2020-09-03T23:22:05.6Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,30,25,2020-09-03T23:22:42Z,1750000,,,0,,F. VanVleet REBOUND (Off:2 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,174.0,2.0,0.0,2.0,,,,,,,,,
176,PT00M30.70S,2020-09-03T23:22:07.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628384,11.908672798948752,93.94148284313727,1610612761,30,28,2020-09-03T23:22:13Z,1760000,-220.0,59.0,1,left,O. Anunoby 23' 3PT  (4 PTS) (F. VanVleet 3 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.91,Made,4.0,,,,,,,,,,F. VanVleet,1627832.0,3.0,,,,,,
178,PT00M10.70S,2020-09-03T23:22:32.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.77463863337714,48.353247549019606,1610612738,30,28,2020-09-03T23:22:37Z,1780000,-8.0,6.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.41,Missed,,,,,,,,,,,,,,,,,,,
