actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
43,PT08M37.00S,2020-09-07T22:50:49.4Z,1,REGULAR,turnover,lostball,[],1628384,,,1610612761,3,7,2020-09-07T22:50:49Z,430000,,,0,,O. Anunoby TURNOVER lostball (1 TOV) Stolen,"[1628384, 1627759]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,1.0,,,,,,,Brown,1627759.0,
44,PT08M37.00S,2020-09-07T22:50:49.4Z,1,REGULAR,steal,,[],1627759,,,1610612738,3,7,2020-09-07T22:50:49Z,440000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M29.00S,2020-09-07T22:50:57.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,93.64323258869908,3.2552083333333335,1610612738,3,7,2020-09-07T22:51:00Z,450000,-234.0,7.0,1,right,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M26.00S,2020-09-07T22:51:00.2Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,3,7,2020-09-07T22:51:00Z,460000,,,0,,M. Gasol REBOUND (Off:0 Def:2),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,
47,PT08M17.00S,2020-09-07T22:51:08.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201188,7.178055190538765,50.80422794117647,1610612761,3,7,2020-09-07T22:51:11Z,470000,-4.0,15.0,1,left,MISS M. Gasol layup,[201188],1610612761.0,TOR,cuttingfingerroll,,,Gasol,M. Gasol,,,,,2.09,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M15.00S,2020-09-07T22:51:10.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,7,2020-09-07T22:51:11Z,480000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT08M10.00S,2020-09-07T22:51:15.3Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1628464,93.64323258869908,50.06893382352941,1610612738,3,9,2020-09-07T22:51:18Z,490000,0.0,7.0,1,right,D. Theis dunk (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,1.28,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
51,PT08M08.00S,2020-09-07T22:51:20.9Z,1,REGULAR,stoppage,other,[],0,,,1610612761,3,9,2020-09-07T22:51:41Z,510000,,,0,,stoppage other,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M46.00S,2020-09-07T22:51:47.3Z,1,REGULAR,3pt,jumpshot,[],1628384,4.812746386333772,3.010110294117647,1610612761,3,9,2020-09-07T22:51:51Z,520000,235.0,-7.0,1,left,MISS O. Anunoby 23' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M42.00S,2020-09-07T22:51:51.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,9,2020-09-07T22:51:51Z,530000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,
