actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
71,PT06M06.00S,2020-08-08T01:22:52.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,12,2020-08-08T01:22:54Z,710000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
72,PT05M55.00S,2020-08-08T01:23:03.1Z,1,REGULAR,2pt,jumpshot,[],1627759,74.32654402102497,36.34344362745098,1610612738,2,12,2020-08-08T01:42:22Z,720000,-68.0,189.0,1,right,MISS J. Brown 21' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.6,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M51.00S,2020-08-08T01:23:07.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,12,2020-08-08T01:31:07Z,730000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
74,PT05M41.00S,2020-08-08T01:23:16.5Z,1,REGULAR,3pt,jumpshot,[],1627783,5.206964520367937,94.43167892156863,1610612761,5,12,2020-08-08T01:23:21Z,740000,-222.0,-4.0,1,left,P. Siakam 22' 3PT  (3 PTS) (M. Gasol 1 AST),"[1627783, 201188]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,22.22,Made,,,,,,,,,,3.0,M. Gasol,201188.0,1.0,,,,,,
76,PT05M31.00S,2020-08-08T01:23:31.1Z,1,REGULAR,foul,personal,[],201188,,,1610612738,5,12,2020-08-08T01:23:40Z,760000,,,0,,M. Gasol FOUL personal (2 PF),"[201188, 1628464]",1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,201640.0,2.0,0.0,Theis,1628464.0,,,,,,,,,,
78,PT05M20.00S,2020-08-08T01:24:02.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,91.5407358738502,40.26501225490196,1610612738,5,14,2020-08-08T01:24:07Z,780000,-49.0,27.0,1,right,J. Brown 6' jumpshot (7 PTS),[1627759],1610612738.0,BOS,drivingbank,,,Brown,J. Brown,,,,,5.85,Made,,,,,,,,,,7.0,,,,,,,,,
79,PT05M09.00S,2020-08-08T01:24:13.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626181,9.543363994743759,35.11795343137255,1610612761,5,14,2020-08-08T01:24:19Z,790000,74.0,37.0,1,left,MISS N. Powell 9' jumpshot,[1626181],1610612761.0,TOR,drivingbank,,,Powell,N. Powell,,,,,8.58,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M07.00S,2020-08-08T01:24:15.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,14,2020-08-08T01:24:19Z,800000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
81,PT05M01.00S,2020-08-08T01:24:22.7Z,1,REGULAR,3pt,jumpshot,[],202689,70.51576872536137,26.049325980392158,1610612738,5,14,2020-08-08T01:24:28Z,810000,-120.0,225.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M58.00S,2020-08-08T01:24:25.7Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,5,14,2020-08-08T01:24:28Z,820000,,,0,,M. Gasol REBOUND (Off:0 Def:3),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,81.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
