actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
89,PT05M01.00S,2020-07-26T17:49:32.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,89.83245729303549,50.06893382352941,1610612738,13,17,2020-07-26T17:49:39Z,890000,0.0,43.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1628969]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,4.86,Missed,,,,,,,,,,,,,,Bridges,1628969.0,
90,PT05M01.00S,2020-07-26T17:49:32.4Z,1,REGULAR,block,,[],1628969,,,1610612738,13,17,2020-07-26T17:49:35Z,900000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M01.00S,2020-07-26T17:49:32.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,13,17,2020-07-26T17:49:39Z,910000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,
92,PT05M01.00S,2020-07-26T17:49:37.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,13,17,2020-07-26T17:49:37Z,920000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M01.00S,2020-07-26T17:49:44.3Z,1,REGULAR,foul,technical,['1freethrow'],1627759,,,1610612738,13,17,2020-07-26T17:50:05Z,930000,,,0,,J. Brown FOUL technical (1 Tech),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,202007.0,0.0,1.0,,,,,,,,
94,PT05M01.00S,2020-07-26T17:50:09.5Z,1,REGULAR,freethrow,1of1,[],1626164,,,1610612738,13,18,2020-07-26T17:50:09Z,940000,,,0,,D. Booker technical freethrow 1of1 (3 PTS),[1626164],1610612756.0,PHX,technical,,,Booker,D. Booker,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
95,PT05M01.00S,2020-07-26T17:50:10.7Z,1,REGULAR,substitution,out,[],201937,,,1610612738,13,18,2020-07-26T17:50:23Z,950000,,,0,,substitution out Rubio,[201937],1610612756.0,PHX,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M01.00S,2020-07-26T17:50:10.7Z,1,REGULAR,substitution,out,[],1628969,,,1610612738,13,18,2020-07-26T17:50:23Z,960000,,,0,,substitution out Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M01.00S,2020-07-26T17:50:10.7Z,1,REGULAR,substitution,in,[],1629660,,,1610612738,13,18,2020-07-26T17:50:23Z,970000,,,0,,substitution in Jerome,[1629660],1610612756.0,PHX,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M01.00S,2020-07-26T17:50:10.7Z,1,REGULAR,substitution,in,[],1629661,,,1610612738,13,18,2020-07-26T17:50:23Z,980000,,,0,,substitution in Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M57.00S,2020-07-26T17:50:27.2Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,13,18,2020-07-26T17:59:05Z,990000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1629661]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.0,Johnson,1629661.0,,,,,,,,,,,,,,,,,,
100,PT04M57.00S,2020-07-26T17:50:27.2Z,1,REGULAR,steal,,[],1629661,,,1610612756,13,18,2020-07-26T17:50:30Z,1000000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M52.00S,2020-07-26T17:50:32.4Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629660,7.966491458607096,49.57873774509804,1610612756,13,18,2020-07-26T17:50:49Z,1010000,2.0,22.0,1,left,MISS T. Jerome layup,[1629660],1610612756.0,PHX,running,,,Jerome,T. Jerome,,,,,,,,2.8,Missed,,,,,,,,,,,,,,,,
102,PT04M47.00S,2020-07-26T17:50:37.4Z,1,REGULAR,rebound,offensive,[],203967,,,1610612756,13,18,2020-07-26T17:50:49Z,1020000,,,0,,D. Saric REBOUND (Off:1 Def:3),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,101.0,4.0,3.0,1.0,,,,,,,,,,,
103,PT04M47.00S,2020-07-26T17:50:37.9Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203967,5.0,50.0,1610612756,13,20,2020-07-26T17:50:45Z,1030000,0.0,-6.0,1,left,D. Saric layup (6 PTS),[203967],1610612756.0,PHX,tip,,,Saric,D. Saric,,,,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,
104,PT04M38.00S,2020-07-26T17:50:50.2Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612738,13,20,2020-07-26T17:50:59Z,1040000,,,0,,D. Booker FOUL personal (1 PF) (Kanter 2freethrow),"[1626164, 202683]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,,,,,,,,,,,202007.0,1.0,0.0,Kanter,202683.0,,,,,,
106,PT04M38.00S,2020-07-26T17:51:11.3Z,1,REGULAR,freethrow,1of2,[],202683,,,1610612738,14,20,2020-07-26T17:51:31Z,1060000,,,0,,E. Kanter freethrow 1of2 (1 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
107,PT04M38.00S,2020-07-26T17:51:12.2Z,1,REGULAR,substitution,out,[],202330,,,1610612738,14,20,2020-07-26T17:51:18Z,1070000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M38.00S,2020-07-26T17:51:12.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,14,20,2020-07-26T17:51:18Z,1080000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M38.00S,2020-07-26T17:51:11.3Z,1,REGULAR,freethrow,2of2,[],202683,,,1610612738,14,20,2020-07-26T17:51:31Z,1090000,,,0,,MISS E. Kanter freethrow 2of2,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,Missed,,,,,,,,,,,,,,,,
110,PT04M35.00S,2020-07-26T17:51:14.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,14,20,2020-07-26T17:51:31Z,1100000,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,109.0,4.0,3.0,1.0,,,,,,,,,,,
111,PT04M25.00S,2020-07-26T17:51:40.6Z,1,REGULAR,3pt,jumpshot,[],1629661,9.017739816031538,95.16697303921569,1610612756,14,20,2020-07-26T17:51:46Z,1110000,-226.0,32.0,1,left,MISS C. Johnson 23' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,22.89,Missed,,,,,,,,,,,,,,,,
112,PT04M24.00S,2020-07-26T17:51:41.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,14,20,2020-07-26T17:51:46Z,1120000,,,0,,Team offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,
113,PT04M24.00S,2020-07-26T17:51:46.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612756,14,20,2020-07-26T17:51:46Z,1130000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M16.00S,2020-07-26T17:52:05.0Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203967,29.122864651773984,75.55912990196079,1610612756,14,23,2020-07-26T17:52:10Z,1140000,-128.0,221.0,1,left,D. Saric 26' 3PT  (9 PTS) (D. Booker 3 AST),"[203967, 1626164]",1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,26.03,Made,9.0,,,,,,,,,,D. Booker,1626164.0,3.0,,,
116,PT03M56.00S,2020-07-26T17:52:25.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202683,91.67214191852825,48.84344362745098,1610612738,16,23,2020-07-26T17:52:29Z,1160000,-6.0,26.0,1,right,E. Kanter layup (3 PTS) (M. Smart 1 AST),"[202683, 203935]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,3.18,Made,3.0,,,,,,,,,,M. Smart,203935.0,1.0,,,
118,PT03M55.00S,2020-07-26T17:52:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,16,23,2020-07-26T17:52:32Z,1180000,,,0,,timeout full,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,16,23,2020-07-26T17:55:13Z,1190000,,,0,,substitution out Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,out,[],203967,,,1610612756,16,23,2020-07-26T17:55:13Z,1200000,,,0,,substitution out Saric,[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,16,23,2020-07-26T17:55:13Z,1210000,,,0,,substitution out Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,in,[],1628975,,,1610612756,16,23,2020-07-26T17:55:13Z,1220000,,,0,,substitution in Carter,[1628975],1610612756.0,PHX,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,in,[],1626163,,,1610612756,16,23,2020-07-26T17:55:13Z,1230000,,,0,,substitution in Kaminsky,[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M55.00S,2020-07-26T17:54:25.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,16,23,2020-07-26T17:55:13Z,1240000,,,0,,substitution in Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M43.00S,2020-07-26T17:55:34.6Z,1,REGULAR,3pt,jumpshot,[],1628975,6.389618922470433,94.18658088235294,1610612756,16,23,2020-07-26T17:55:39Z,1250000,-221.0,8.0,1,left,MISS J. Carter 22' 3PT,[1628975],1610612756.0,PHX,,,,Carter,J. Carter,,,,,,,,22.13,Missed,,,,,,,,,,,,,,,,
126,PT03M42.00S,2020-07-26T17:55:35.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,16,23,2020-07-26T17:55:39Z,1260000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,
127,PT03M42.00S,2020-07-26T17:55:40.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,16,23,2020-07-26T17:55:40Z,1270000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M29.00S,2020-07-26T17:56:11.4Z,1,REGULAR,foul,personal,[],1629661,,,1610612738,16,23,2020-07-26T17:56:20Z,1290000,,,0,,C. Johnson FOUL personal (1 PF),"[1629661, 1628369]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,202026.0,1.0,0.0,Tatum,1628369.0,,,,,,
131,PT03M16.00S,2020-07-26T17:56:29.8Z,1,REGULAR,3pt,jumpshot,[],1627759,66.17936925098554,47.86305147058824,1610612738,19,23,2020-07-26T17:56:35Z,1310000,-11.0,265.0,1,right,J. Brown 27' 3PT  (10 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,27.11,Made,10.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,
133,PT03M03.00S,2020-07-26T17:56:44.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626163,7.703679369250986,50.06893382352941,1610612756,19,25,2020-07-26T17:56:51Z,1330000,0.0,20.0,1,left,F. Kaminsky jumpshot (2 PTS),[1626163],1610612756.0,PHX,turnaroundfadeaway,,,Kaminsky,F. Kaminsky,,,,,,,,2.54,Made,2.0,,,,,,,,,,,,,,,
134,PT03M03.00S,2020-07-26T17:56:51.2Z,1,REGULAR,foul,personal,['1freethrow'],202683,,,1610612756,19,25,2020-07-26T17:57:01Z,1340000,,,0,,E. Kanter FOUL personal (1 PF) (Kaminsky 1freethrow),"[202683, 1626163]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,,,1146.0,1.0,0.0,Kaminsky,1626163.0,,,,,,
136,PT03M03.00S,2020-07-26T17:57:07.3Z,1,REGULAR,freethrow,1of1,[],1626163,,,1610612756,19,26,2020-07-26T17:57:07Z,1360000,,,0,,F. Kaminsky freethrow 1of1 (3 PTS),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
137,PT02M54.00S,2020-07-26T17:57:21.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629661,,,1610612738,19,26,2020-07-26T17:57:30Z,1370000,,,0,,C. Johnson FOUL personal (2 PF) (Tatum inpenalty),"[1629661, 1628369]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,202007.0,2.0,0.0,Tatum,1628369.0,,,,,,
139,PT02M54.00S,2020-07-26T17:57:46.2Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,20,26,2020-07-26T17:58:08Z,1390000,,,0,,J. Tatum freethrow 1of2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
140,PT02M54.00S,2020-07-26T17:57:46.2Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,20,26,2020-07-26T17:58:08Z,1400000,,,0,,MISS J. Tatum freethrow 2of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,,
141,PT02M53.00S,2020-07-26T17:57:47.2Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,20,26,2020-07-26T18:01:15Z,1410000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,140.0,1.0,0.0,1.0,,,,,,,,,,,
146,PT02M52.00S,2020-07-26T17:57:59.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,93.69250985545335,47.83241421568628,1610612738,20,26,2020-07-26T18:01:15Z,1415000,-11.0,7.0,1,right,MISS E. Kanter layup,[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,,,,1.64,Missed,,,,,,,,,,,,,,,,
147,PT02M51.00S,2020-07-26T17:58:00.0Z,1,REGULAR,rebound,defensive,[],1626163,,,1610612756,20,26,2020-07-26T18:00:22Z,1417500,,,0,,F. Kaminsky REBOUND (Off:0 Def:1),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,
142,PT02M47.00S,2020-07-26T17:58:11.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612756,20,26,2020-07-26T17:59:08Z,1420000,,,0,,J. Brown FOUL personal (1 PF) (Payne inpenalty),"[1627759, 1626166]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1146.0,1.0,1.0,Payne,1626166.0,,,,,,
144,PT02M47.00S,2020-07-26T17:58:34.4Z,1,REGULAR,freethrow,1of2,[],1626166,,,1610612756,20,27,2020-07-26T17:58:34Z,1440000,,,0,,C. Payne freethrow 1of2 (1 PTS),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
145,PT02M47.00S,2020-07-26T17:58:49.6Z,1,REGULAR,freethrow,2of2,[],1626166,,,1610612756,20,28,2020-07-26T17:58:49Z,1450000,,,0,,C. Payne freethrow 2of2 (2 PTS),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
148,PT02M30.00S,2020-07-26T17:59:07.7Z,1,REGULAR,3pt,jumpshot,[],1628369,72.35545335085413,18.696384803921568,1610612738,23,28,2020-07-26T18:01:42Z,1460000,-157.0,207.0,1,right,J. Tatum 26' 3PT  (4 PTS) (B. Wanamaker 1 AST),"[1628369, 202954]",1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,26.42,Made,4.0,,,,,,,,,,B. Wanamaker,202954.0,1.0,,,
150,PT02M14.00S,2020-07-26T17:59:23.2Z,1,REGULAR,3pt,jumpshot,[],1626163,29.122864651773984,74.82383578431373,1610612756,23,28,2020-07-26T17:59:28Z,1480000,-124.0,221.0,1,left,MISS F. Kaminsky 26' 3PT,[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,25.85,Missed,,,,,,,,,,,,,,,,
151,PT02M12.00S,2020-07-26T17:59:25.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,28,2020-07-26T17:59:28Z,1490000,,,0,,J. Tatum REBOUND (Off:2 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,150.0,5.0,3.0,2.0,,,,,,,,,,,
152,PT02M02.00S,2020-07-26T17:59:35.6Z,1,REGULAR,2pt,jumpshot,[],1628369,76.69185282522996,26.294424019607842,1610612738,25,28,2020-07-26T17:59:42Z,1500000,-119.0,167.0,1,right,J. Tatum 21' jumpshot (6 PTS),[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,20.9,Made,6.0,,,,,,,,,,,,,,,
153,PT01M47.00S,2020-07-26T17:59:54.3Z,1,REGULAR,turnover,traveling,[],1629660,,,1610612756,25,28,2020-07-26T18:00:07Z,1510000,,,0,,T. Jerome TURNOVER traveling (1 TOV),[1629660],1610612756.0,PHX,,,,Jerome,T. Jerome,,,,,1.0,,,,,,,,,,202007.0,,,,,,,,,,
154,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,25,28,2020-07-26T18:00:16Z,1520000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,out,[],202954,,,1610612738,25,28,2020-07-26T18:00:16Z,1530000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,out,[],202683,,,1610612738,25,28,2020-07-26T18:00:16Z,1540000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,out,[],1629660,,,1610612738,25,28,2020-07-26T18:00:16Z,1550000,,,0,,substitution out Jerome,[1629660],1610612756.0,PHX,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,in,[],202689,,,1610612738,25,28,2020-07-26T18:00:16Z,1560000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,25,28,2020-07-26T18:00:16Z,1570000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,25,28,2020-07-26T18:00:16Z,1580000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT01M47.00S,2020-07-26T17:59:59.9Z,1,REGULAR,substitution,in,[],1628969,,,1610612738,25,28,2020-07-26T18:00:16Z,1590000,,,0,,substitution in Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT01M26.00S,2020-07-26T18:00:38.0Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1628369,91.14651773981603,75.80422794117648,1610612738,27,28,2020-07-26T18:03:17Z,1600000,129.0,31.0,1,right,J. Tatum 13' jumpshot (8 PTS),[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,13.4,Made,8.0,,,,,,,,,,,,,,,
163,PT01M17.00S,2020-07-26T18:00:49.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612756,27,28,2020-07-26T18:00:57Z,1610000,,,0,,D. Theis FOUL personal (2 PF) (Kaminsky inpenalty),"[1628464, 1626163]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,1146.0,2.0,0.0,Kaminsky,1626163.0,,,,,,
165,PT01M17.00S,2020-07-26T18:01:13.5Z,1,REGULAR,freethrow,1of2,[],1626163,,,1610612756,27,29,2020-07-26T18:01:13Z,1630000,,,0,,F. Kaminsky freethrow 1of2 (4 PTS),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
166,PT01M17.00S,2020-07-26T18:01:29.3Z,1,REGULAR,freethrow,2of2,[],1626163,,,1610612756,27,30,2020-07-26T18:01:29Z,1640000,,,0,,F. Kaminsky freethrow 2of2 (5 PTS),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
167,PT00M59.00S,2020-07-26T18:01:50.2Z,1,REGULAR,3pt,jumpshot,[],1628369,66.83639947437582,36.34344362745098,1610612738,27,30,2020-07-26T18:01:59Z,1650000,-68.0,259.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,,,,27.34,Missed,,,,,,,,,,,,,,,,
168,PT00M55.50S,2020-07-26T18:01:53.7Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,27,30,2020-07-26T18:01:59Z,1660000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,
169,PT00M49.60S,2020-07-26T18:02:00.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626166,7.30946123521682,46.14736519607843,1610612756,27,32,2020-07-26T18:02:05Z,1670000,19.0,16.0,1,left,C. Payne layup (4 PTS),[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,,,,2.9,Made,4.0,,,,,,,,,,,,,,,
170,PT00M46.60S,2020-07-26T18:02:07.6Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,27,32,2020-07-26T18:03:42Z,1680000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 1628975]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,1.0,Carter,1628975.0,,,,,,,,,,,,,,,,,,
171,PT00M46.60S,2020-07-26T18:02:07.6Z,1,REGULAR,steal,,[],1628975,,,1610612756,27,32,2020-07-26T18:03:42Z,1690000,,,0,,J. Carter STEAL (1 STL),[1628975],1610612756.0,PHX,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M40.90S,2020-07-26T18:02:13.2Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1626166,11.645860709592641,47.86305147058824,1610612756,27,32,2020-07-26T18:04:17Z,1700000,11.0,57.0,1,left,MISS C. Payne 6' jumpshot,[1626166],1610612756.0,PHX,floating,,,Payne,C. Payne,,,,,,,,6.34,Missed,,,,,,,,,,,,,,,,
173,PT00M37.70S,2020-07-26T18:02:16.5Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,27,32,2020-07-26T18:02:16Z,1710000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,
174,PT00M30.30S,2020-07-26T18:02:23.9Z,1,REGULAR,2pt,jumpshot,[],1628400,82.3915900131406,13.32720588235294,1610612738,29,32,2020-07-26T18:02:46Z,1720000,-183.0,113.0,1,right,S. Ojeleye 22' jumpshot (2 PTS) (M. Smart 2 AST),"[1628400, 203935]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,21.84,Made,2.0,,,,,,,,,,M. Smart,203935.0,2.0,,,
176,PT00M07.90S,2020-07-26T18:02:48.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626166,9.937582128777924,49.82383578431372,1610612756,29,32,2020-07-26T18:04:57Z,1740000,1.0,41.0,1,left,MISS C. Payne layup,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,,,,4.64,Missed,,,,,,,,,,,,,,,,
177,PT00M07.90S,2020-07-26T18:02:48.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,29,32,2020-07-26T18:02:53Z,1750000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,
178,PT00M00.00S,2020-07-26T18:02:59.9Z,1,REGULAR,2pt,jumpshot,[],1628369,79.84559789750328,78.99050245098039,1610612738,29,32,2020-07-26T18:03:05Z,1760000,145.0,137.0,1,right,MISS J. Tatum 20' jumpshot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,20.33,Missed,,,,,,,,,,,,,,,,
179,PT00M00.00S,2020-07-26T18:03:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,29,32,2020-07-26T18:03:02Z,1770000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,
