actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
578,PT03M37.00S,2020-03-11T01:02:51.2Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203935,6.915243101182654,51.53952205882353,1610612738,98,104,2020-03-11T01:02:54Z,5720000,left,[BOS] Smart layup: Missed,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,1.96,: Missed,,,,,,,,,,,,,,,,,,,,,,,
579,PT03M35.00S,2020-03-11T01:02:53.2Z,4,REGULAR,rebound,defensive,[],1628988,,,1610612754,98,104,2020-03-11T01:02:54Z,5730000,,[IND] Holiday defensive rebound (Off:0 Def:2),[1628988],1610612754.0,IND,,,,Holiday,A. Holiday,,,,,,,578.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
580,PT03M32.00S,2020-03-11T01:02:56.0Z,4,REGULAR,3pt,jumpshot,['fastbreak'],203506,65.52233902759527,52.27481617647059,1610612754,101,104,2020-03-11T01:03:00Z,5740000,right,[IND] Oladipo 3pt shot: Made (25 PTS),[203506],1610612754.0,IND,pullup,,,Oladipo,V. Oladipo,,,,,27.73,: Made,,,,,25.0,,,,,,,,,,,,,,,,,,
581,PT03M30.00S,2020-03-11T01:03:02.2Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,101,104,2020-03-11T01:03:02Z,5750000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT03M15.00S,2020-03-11T01:04:52.9Z,4,REGULAR,3pt,jumpshot,[],202330,33.196452036793694,78.25520833333334,1610612738,101,104,2020-03-11T01:04:57Z,5760000,left,[BOS] Hayward pullup 3pt jumpshot: Missed,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,30.03,: Missed,,,,,,,,,,,,,,,,,,,,,,,
583,PT03M13.00S,2020-03-11T01:04:54.9Z,4,REGULAR,rebound,defensive,[],1626167,,,1610612754,101,104,2020-03-11T01:04:57Z,5770000,,[IND] Turner defensive rebound (Off:1 Def:7),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,582.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,
584,PT03M00.00S,2020-03-11T01:05:07.9Z,4,REGULAR,3pt,jumpshot,[],203933,93.77463863337714,2.7650122549019605,1610612754,104,104,2020-03-11T01:05:19Z,5780000,right,[IND] Warren 3pt shot: Made (22 PTS) assist: Sabonis (8 AST),"[203933, 1627734]",1610612754.0,IND,,,,Warren,T. Warren,,,,,23.65,: Made,,,,,22.0,Sabonis,1627734.0,8.0,,,,,,,,,,,,,,,
586,PT02M31.00S,2020-03-11T01:05:37.9Z,4,REGULAR,2pt,jumpshot,[],202689,20.318659658344284,26.784620098039213,1610612738,104,104,2020-03-11T01:05:57Z,5800000,left,[BOS] Walker jumpshot: Missed,[202689],1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,18.5,: Missed,,,,,,,,,,,,,,,,,,,,,,,
587,PT02M31.00S,2020-03-11T01:05:37.9Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612738,104,104,2020-03-11T01:05:57Z,5810000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,586.0,,,,,,,,,,,,,,,,,,,,,,
588,PT02M31.00S,2020-03-11T01:05:41.6Z,4,REGULAR,turnover,shotclock,['team'],0,,,1610612738,104,104,2020-03-11T01:05:47Z,5820000,,[BOS] Team shotclock turnover,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,
589,PT02M14.00S,2020-03-11T01:06:07.3Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1627734,90.09526938239159,47.61795343137255,1610612754,106,104,2020-03-11T01:06:43Z,5830000,right,[IND] Sabonis layup: Made (25 PTS) assist: Oladipo (4 AST),"[1627734, 203506]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,4.76,: Made,,,,,25.0,Oladipo,203506.0,4.0,,,,,,,,,,,,,,,
590,PT02M14.00S,2020-03-11T01:06:10.8Z,4,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612754,106,104,2020-03-11T01:06:18Z,5840000,,[BOS] Theis foul personal (4 PF) (Sabonis 1freethrow),"[1628464, 1627734]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,1626302.0,4.0,0.0,Sabonis,1627734.0,,,,,,
592,PT02M14.00S,2020-03-11T01:06:38.0Z,4,REGULAR,freethrow,1of1,['fromturnover'],1627734,,,1610612754,107,104,2020-03-11T01:06:38Z,5860000,,[IND] Sabonis freethrow 1of1: Made (26 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,: Made,,,,,26.0,,,,,,,,,,,,,,,,,,
594,PT01M58.00S,2020-03-11T01:06:56.4Z,4,REGULAR,2pt,jumpshot,[],1628369,8.09789750328515,27.76501225490196,1610612738,107,104,2020-03-11T01:07:01Z,5870000,left,[BOS] Tatum jumpshot: Missed Block: Turner (4 BLK),"[1628369, 1626167]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,11.49,: Missed,,,,,,,,,,,,,,,,,,Turner,1626167.0,4.0,,,
596,PT01M54.00S,2020-03-11T01:07:00.4Z,4,REGULAR,rebound,defensive,[],203506,,,1610612754,107,104,2020-03-11T01:07:01Z,5890000,,[IND] Oladipo defensive rebound (Off:0 Def:7),[203506],1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,,594.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
597,PT01M53.00S,2020-03-11T01:07:01.3Z,4,REGULAR,3pt,jumpshot,['fastbreak'],203506,64.73390275952694,20.412071078431374,1610612754,107,104,2020-03-11T01:07:08Z,5900000,right,[IND] Oladipo pullup 3pt jumpshot: Missed,[203506],1610612754.0,IND,pullup,,,Oladipo,V. Oladipo,,,,,32.06,: Missed,,,,,,,,,,,,,,,,,,,,,,,
