actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
37,PT09M19.00S,2020-01-05T01:15:24.3Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,5,2,2020-01-05T01:15:24Z,370000,,,0,,J. Tatum freethrow 2of2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
38,PT09M05.00S,2020-01-05T01:15:39.3Z,1,REGULAR,3pt,jumpshot,[],203897,74.06373193166885,82.421875,1610612741,8,2,2020-01-05T01:15:44Z,380000,162.0,191.0,1,right,Z. LaVine 26' 3PT  (8 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,25.5,Made,8.0,,,,,,,,,,,,,,
39,PT08M52.00S,2020-01-05T01:15:52.1Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,8,2,2020-01-05T01:15:57Z,390000,,,0,,G. Hayward TURNOVER badpass (2 TOV) Stolen,"[202330, 1628976]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,2.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,
40,PT08M52.00S,2020-01-05T01:15:52.1Z,1,REGULAR,steal,,[],1628976,,,1610612741,8,2,2020-01-05T01:15:53Z,400000,,,0,,W. Carter Jr. STEAL (2 STL),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M51.00S,2020-01-05T01:15:56.3Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612741,8,2,2020-01-05T01:16:07Z,410000,,,0,,G. Hayward FOUL personal (1 PF) (Carter Jr. 2freethrow),"[202330, 1628976]",1610612738.0,BOS,shooting,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Carter Jr.,1628976.0,,
43,PT08M51.00S,2020-01-05T01:16:28.3Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1628976,,,1610612741,9,2,2020-01-05T01:16:28Z,430000,,,0,,W. Carter Jr. freethrow 1of2 (1 PTS),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
44,PT08M51.00S,2020-01-05T01:16:43.3Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1628976,,,1610612741,10,2,2020-01-05T01:16:43Z,440000,,,0,,W. Carter Jr. freethrow 2of2 (2 PTS),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
45,PT08M36.00S,2020-01-05T01:17:04.4Z,1,REGULAR,turnover,outofbounds,[],203935,,,1610612738,10,2,2020-01-05T01:17:10Z,450000,,,0,,M. Smart TURNOVER outofbounds (2 TOV),[203935],1610612738.0,BOS,step,,,Smart,M. Smart,,,,,2.0,,,,,,,,,,,,,1626302.0,,,,,,
46,PT08M13.00S,2020-01-05T01:17:36.3Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628976,96.40275952693824,3.7454044117647056,1610612741,10,2,2020-01-05T01:17:44Z,460000,-231.0,-19.0,1,right,MISS W. Carter Jr. 23' 3PT,[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,23.17,Missed,,,,,,,,,,,,,,,
47,PT08M06.00S,2020-01-05T01:17:43.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,10,2,2020-01-05T01:17:44Z,470000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,
