actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
481,PT01M57.00S,2020-08-05T00:30:54Z,3,REGULAR,3pt,jumpshot,,[],1627884,6.52,94.92,1610612748,86,75,2020-08-05T00:31:00,4780000,-225,9,left,Jones Jr. 3PT Jump Shot (5 PTS) (Herro 3 AST),"[1627884, 1629639]",1610612748,MIA,1,Jones Jr.,D. Jones Jr.,,,,,,,5.0,Made,22.52,,,,,,,,,Herro,1629639.0,3.0,,,,,,,
483,PT01M39.00S,2020-08-05T00:31:13Z,3,REGULAR,2pt,layup,driving,['pointsinthepaint'],1628369,92.72,54.48,1610612738,86,77,2020-08-05T00:31:19,4800000,22,16,right,Tatum 3' Driving Layup (21 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,21.0,Made,2.72,,,,,,,,,,,,,,,,,,
484,PT01M17.00S,2020-08-05T00:31:38Z,3,REGULAR,turnover,outofbounds,badpass,[],201609,,,1610612748,86,77,2020-08-05T00:31:50,4810000,14,239,left,Dragic Out of Bounds - Bad Pass Turnover Turnover (P2.T9),[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
485,PT01M10.00S,2020-08-05T00:31:58Z,3,REGULAR,foul,offensive,charge,['inpenalty'],1628369,,,1610612738,86,77,2020-08-05T00:32:06,4820000,171,189,right,Tatum Offensive Charge Foul (P5.PN),"[1628369, 203482]",1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,Olynyk,203482.0,5.0,0.0,1146.0
488,PT01M10.00S,2020-08-05T00:32:16Z,3,REGULAR,substitution,out,,[],1628369,,,1610612748,86,77,0001-01-01T00:00:00,4850000,0,-80,,SUB: Walker FOR Tatum,[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,PT01M04.00S,2020-08-05T00:32:37Z,3,REGULAR,foul,personal,,"['inpenalty', '2freethrow']",1628400,,,1610612748,86,77,2020-08-05T00:32:42,4870000,18,306,left,Ojeleye P.FOUL (P2.PN),"[1628400, 203482]",1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,Olynyk,203482.0,2.0,0.0,202026.0
492,PT01M04.00S,2020-08-05T00:32:55Z,3,REGULAR,freethrow,1of2,,['fromturnover'],203482,,,1610612748,87,77,0001-01-01T00:00:00,4890000,250,-52,left,Olynyk Free Throw 1 of 2 (14 PTS),[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,14.0,Made,,,,,,,,,,,,,,,,,,,
493,PT01M04.00S,2020-08-05T00:33:10Z,3,REGULAR,freethrow,2of2,,['fromturnover'],203482,,,1610612748,88,77,0001-01-01T00:00:00,4900000,250,-52,left,Olynyk Free Throw 2 of 2 (15 PTS),[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,15.0,Made,,,,,,,,,,,,,,,,,,,
494,PT00M48.00S,2020-08-05T00:33:29Z,3,REGULAR,2pt,jumpshot,turnaroundbank,['pointsinthepaint'],1628400,87.86,61.34,1610612738,88,77,2020-08-05T00:33:35,4910000,57,62,right,MISS Ojeleye 8' Turnaround Fadeaway Bank Jump Shot,[1628400],1610612738,BOS,1,Ojeleye,S. Ojeleye,,,,,,,0.0,Missed,8.42,,,,,,,,,,,,,,,,,,
495,PT00M46.10S,2020-08-05T00:33:31Z,3,REGULAR,rebound,defensive,,[],203482,,,1610612748,88,77,2020-08-05T00:33:35,4920000,57,62,right,Olynyk REBOUND (Off:1 Def:5),[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,,,,6.0,5.0,1.0,494.0,,,,,,,,,,,,,,
