actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
37,PT07M19.00S,2019-12-13T01:21:11.6Z,1,REGULAR,3pt,jumpshot,[],203118,68.9388961892247,28.990502450980394,1610612755,11,12,2019-12-13T01:21:16Z,370000,-105.0,239.0,1,right,M. Scott 27' 3PT  (6 PTS) (J. Embiid 2 AST),"[203118, 203954]",1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,26.66,Made,,,,,6.0,J. Embiid,203954.0,2.0,,,,,,,,,
39,PT07M03.00S,2019-12-13T01:21:30.7Z,1,REGULAR,foul,personal,[],202699,,,1610612738,11,12,2019-12-13T01:21:40Z,390000,,,0,,T. Harris FOUL personal (1 PF),"[202699, 1628464]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,2534.0,,,,,,,,,,,,1.0,0.0,Theis,1628464.0,,,,,
41,PT06M57.00S,2019-12-13T01:21:56.8Z,1,REGULAR,3pt,jumpshot,[],202330,32.14520367936925,49.57873774509804,1610612738,11,12,2019-12-13T01:23:17Z,410000,2.0,250.0,1,left,MISS G. Hayward 26' 3PT,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,,,25.52,Missed,,,,,,,,,,,,,,,,,
42,PT06M55.00S,2019-12-13T01:21:58.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,11,12,2019-12-13T01:22:03Z,420000,,,0,,Team defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,
43,PT06M55.00S,2019-12-13T01:22:02.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612755,11,12,2019-12-13T01:22:02Z,430000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT06M55.00S,2019-12-13T01:22:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,12,2019-12-13T01:22:06Z,440000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,out,[],203118,,,1610612755,11,12,2019-12-13T01:25:12Z,450000,,,0,,substitution out Scott,[203118],1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,out,[],203954,,,1610612755,11,12,2019-12-13T01:25:12Z,460000,,,0,,substitution out Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,out,[],1626196,,,1610612755,11,12,2019-12-13T01:25:12Z,470000,,,0,,substitution out Richardson,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,in,[],203124,,,1610612755,11,12,2019-12-13T01:25:12Z,480000,,,0,,substitution in O'Quinn,[203124],1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,,,,,,,,,,,,,,,,,,,,,
