actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
383,PT05M53.00S,2020-09-28T01:10:03.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203109,94.03745072273325,46.63756127450981,1610612748,76,72,2020-09-28T01:10:07Z,3760000,-17.0,4.0,1,right,J. Crowder Layup (9 PTS) (J. Butler 5 AST),"[203109, 202710]",1610612748.0,MIA,running,,,Crowder,J. Crowder,,,,,1.91,Made,,,,,,,,,,9.0,,,,,,J. Butler,202710.0,5.0
385,PT05M33.00S,2020-09-28T01:10:23.2Z,3,REGULAR,3pt,jumpshot,[],1627759,9.280551905387648,95.41207107843137,1610612738,76,72,2020-09-28T01:10:26Z,3780000,-227.0,35.0,1,left,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.06,Missed,,,,,,,,,,,,,,,,,,
386,PT05M32.00S,2020-09-28T01:10:24.2Z,3,REGULAR,rebound,defensive,[],1629130,,,1610612748,76,72,2020-09-28T01:10:26Z,3790000,,,0,,D. Robinson REBOUND (Off:1 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,385.0,3.0,2.0,1.0,,,,,,,,,,,,,,
387,PT05M18.00S,2020-09-28T01:10:39.3Z,3,REGULAR,3pt,jumpshot,[],2738,66.3107752956636,56.93167892156863,1610612748,79,72,2020-09-28T01:10:43Z,3800000,35.0,264.0,1,right,A. Iguodala 27' 3PT  (11 PTS) (G. Dragic 7 AST),"[2738, 201609]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,27.19,Made,,,,,,,,,,11.0,,,,,,G. Dragic,201609.0,7.0
389,PT05M00.00S,2020-09-28T01:10:56.8Z,3,REGULAR,2pt,Jump Shot,[],202330,23.99802890932983,57.176776960784316,1610612738,79,72,2020-09-28T01:12:12Z,3820000,-36.0,173.0,1,left,MISS G. Hayward 18' Jump Shot,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,18.22,Missed,,,,,,,,,,,,,,,,,,
390,PT04M59.00S,2020-09-28T01:10:57.8Z,3,REGULAR,rebound,offensive,[],1628464,,,1610612738,79,72,2020-09-28T01:11:03Z,3830000,,,0,,D. Theis REBOUND (Off:3 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,389.0,6.0,3.0,3.0,,,,,,,,,,,,,,
391,PT04M59.00S,2020-09-28T01:11:01.8Z,3,REGULAR,foul,personal,['2freethrow'],201609,,,1610612738,79,72,2020-09-28T01:11:09Z,3840000,,,0,,G. Dragic personal FOUL (2 PF) (Theis 2 FT),"[201609, 1628464]",1610612748.0,MIA,shooting,,,Dragic,G. Dragic,,,,,,,,,,,1830.0,2.0,0.0,Theis,1628464.0,,,,,,,,,
393,PT04M59.00S,2020-09-28T01:11:23.0Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1628464,,,1610612738,79,73,2020-09-28T01:11:23Z,3860000,,,0,,D. Theis Free Throw 1 of 2 (5 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
394,PT04M59.00S,2020-09-28T01:11:23.5Z,3,REGULAR,substitution,out,[],201609,,,1610612738,79,73,2020-09-28T01:11:30Z,3870000,,,0,,SUB out: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
395,PT04M59.00S,2020-09-28T01:11:23.5Z,3,REGULAR,substitution,in,[],1629639,,,1610612738,79,73,2020-09-28T01:11:30Z,3880000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
396,PT04M59.00S,2020-09-28T01:11:40.4Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1628464,,,1610612738,79,74,2020-09-28T01:11:40Z,3890000,,,0,,D. Theis Free Throw 2 of 2 (6 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
