actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
37,PT09M28.00S,2020-08-21T22:50:10.1Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612755,6,9,2020-08-21T22:50:17Z,370000,,,0,,D. Theis FOUL personal (1 PF) (Embiid 1freethrow),"[1628464, 203954]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,2004.0,,1.0,0.0,Embiid,203954.0,,,,,
39,PT09M28.00S,2020-08-21T22:50:42.0Z,1,REGULAR,freethrow,1of1,['2ndchance'],203954,,,1610612755,7,9,2020-08-21T22:50:42Z,390000,,,0,,J. Embiid freethrow 1of1 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
40,PT09M20.00S,2020-08-21T22:50:53.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,86.28449408672799,51.294424019607845,1610612738,7,9,2020-08-21T22:50:57Z,400000,6.0,76.0,1,right,MISS J. Tatum 8' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,8.22,Missed,,,,,,,,,,,,,,,,,,,
41,PT09M17.00S,2020-08-21T22:50:55.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,7,9,2020-08-21T22:50:55Z,410000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT09M05.00S,2020-08-21T22:51:07.3Z,1,REGULAR,3pt,jumpshot,[],1629003,13.61695137976347,95.90226715686273,1610612755,7,9,2020-08-21T22:51:11Z,420000,-230.0,75.0,1,left,MISS S. Milton 24' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,24.34,Missed,,,,,,,,,,,,,,,,,,,
43,PT09M02.00S,2020-08-21T22:51:10.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,9,2020-08-21T22:51:11Z,430000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
44,PT08M54.00S,2020-08-21T22:51:18.5Z,1,REGULAR,3pt,jumpshot,[],1628369,67.23061760840999,69.67677696078431,1610612738,7,9,2020-08-21T22:52:22Z,440000,98.0,256.0,1,right,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.89,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M51.00S,2020-08-21T22:51:21.5Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,7,9,2020-08-21T22:52:22Z,450000,,,0,,K. Walker REBOUND (Off:1 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,
46,PT08M49.00S,2020-08-21T22:51:24.0Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628369,64.86530880420499,44.921875,1610612738,7,12,2020-08-21T22:51:34Z,460000,-25.0,278.0,1,right,J. Tatum 28' 3PT  (3 PTS) (K. Walker 3 AST),"[1628369, 202689]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.44,Made,3.0,K. Walker,202689.0,3.0,,,,,,,,,,,,,,,
48,PT08M25.00S,2020-08-21T22:51:47.4Z,1,REGULAR,3pt,jumpshot,[],1626196,32.53942181340342,25.80422794117647,1610612755,7,12,2020-08-21T22:51:57Z,480000,121.0,253.0,1,left,MISS J. Richardson 29' 3PT,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,28.58,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M23.00S,2020-08-21T22:51:49.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,7,12,2020-08-21T22:51:57Z,490000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,
50,PT08M23.00S,2020-08-21T22:51:56.1Z,1,REGULAR,foul,personal,[],202689,,,1610612755,7,12,2020-08-21T22:52:17Z,500000,,,0,,K. Walker FOUL personal (1 PF),"[202689, 201143]",1610612738.0,BOS,looseball,,,Walker,K. Walker,,,,,,,,,,,,,,,2004.0,,1.0,0.0,Horford,201143.0,,,,,
52,PT08M15.00S,2020-08-21T22:52:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,7,12,2020-08-21T22:52:36Z,520000,,,0,,J. Tatum FOUL personal (2 PF) (Embiid 2freethrow),"[1628369, 203954]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1162.0,,2.0,0.0,Embiid,203954.0,,,,,
54,PT08M15.00S,2020-08-21T22:52:54.1Z,1,REGULAR,freethrow,1of2,['2ndchance'],203954,,,1610612755,7,12,2020-08-21T22:52:54Z,540000,,,0,,MISS J. Embiid freethrow 1of2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
55,PT08M15.00S,2020-08-21T22:52:54.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,7,12,2020-08-21T22:52:54Z,550000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,
56,PT08M15.00S,2020-08-21T22:53:13.7Z,1,REGULAR,freethrow,2of2,['2ndchance'],203954,,,1610612755,8,12,2020-08-21T22:53:13Z,560000,,,0,,J. Embiid freethrow 2of2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
57,PT08M04.00S,2020-08-21T22:53:26.9Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,8,12,2020-08-21T22:53:30Z,570000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 202699]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,1.0,,,,,,,Harris,202699.0,
58,PT08M04.00S,2020-08-21T22:53:26.9Z,1,REGULAR,steal,,[],202699,,,1610612755,8,12,2020-08-21T22:53:28Z,580000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M59.00S,2020-08-21T22:53:31.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,8.754927726675426,47.61795343137255,1610612755,10,12,2020-08-21T22:53:37Z,590000,12.0,30.0,1,left,T. Harris layup (4 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,3.73,Made,4.0,,,,,,,,,,,,,,,,,,
60,PT07M39.00S,2020-08-21T22:53:50.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,86.67871222076215,52.029718137254896,1610612738,10,12,2020-08-21T22:53:55Z,600000,10.0,73.0,1,right,MISS J. Tatum 8' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,7.88,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M37.00S,2020-08-21T22:53:52.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,12,2020-08-21T22:53:55Z,610000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,
62,PT07M35.00S,2020-08-21T22:53:55.8Z,1,REGULAR,turnover,lostball,[],203954,,,1610612755,10,12,2020-08-21T22:54:00Z,620000,,,0,,J. Embiid TURNOVER lostball (1 TOV) Stolen,"[203954, 1628369]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,1.0,,,,,,,Tatum,1628369.0,
63,PT07M35.00S,2020-08-21T22:53:55.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,10,12,2020-08-21T22:53:59Z,630000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M33.00S,2020-08-21T22:54:00.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1628369,92.46057818659659,44.921875,1610612738,10,14,2020-08-21T22:54:24Z,640000,-25.0,18.0,1,right,J. Tatum layup (5 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,3.49,Made,5.0,,,,,,,,,,,,,,,,,,
65,PT07M33.00S,2020-08-21T22:54:12.6Z,1,REGULAR,violation,defensivegoaltending,[],201143,,,1610612738,10,14,2020-08-21T22:56:50Z,650000,,,0,,A. Horford violation defensivegoaltending,[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,2004.0,,,,,,,,,,
66,PT07M11.00S,2020-08-21T22:54:40.3Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1629003,13.485545335085414,49.08854166666667,1610612755,10,14,2020-08-21T22:55:49Z,660000,5.0,74.0,1,left,MISS S. Milton 8' hook,[1629003],1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,7.99,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M10.00S,2020-08-21T22:54:41.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,10,14,2020-08-21T22:55:49Z,670000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,
68,PT07M09.00S,2020-08-21T22:54:46.0Z,1,REGULAR,turnover,shotclock,['team'],0,,,1610612755,10,14,2020-08-21T22:54:54Z,680000,,,0,,Team TURNOVER shotclock,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,1162.0,,,,,,,,,,
69,PT06M59.00S,2020-08-21T22:55:03.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,67.62483574244416,63.549325980392155,1610612738,10,17,2020-08-21T22:55:08Z,690000,68.0,252.0,1,right,K. Walker 27' 3PT  (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.61,Made,5.0,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2020-08-21T22:55:10.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,10,17,2020-08-21T22:55:10Z,700000,,,0,,timeout full,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2020-08-21T22:57:56.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,10,17,2020-08-21T22:58:48Z,710000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M59.00S,2020-08-21T22:57:56.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612755,10,17,2020-08-21T22:58:48Z,720000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2020-08-21T22:59:11.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612755,10,17,2020-08-21T22:59:11Z,730000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M35.00S,2020-08-21T22:59:36.7Z,1,REGULAR,2pt,jumpshot,[],1629003,22.815374507227332,52.76501225490197,1610612755,10,17,2020-08-21T22:59:41Z,740000,-14.0,162.0,1,left,MISS S. Milton 17' jumpshot,[1629003],1610612755.0,PHI,stepback,,,Milton,S. Milton,,,,,16.81,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M33.00S,2020-08-21T22:59:38.7Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,10,17,2020-08-21T22:59:41Z,750000,,,0,,J. Embiid REBOUND (Off:2 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,74.0,3.0,1.0,2.0,,,,,,,,,,,
76,PT06M33.00S,2020-08-21T22:59:40.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612755,10,17,2020-08-21T22:59:50Z,760000,,,0,,J. Brown FOUL personal (1 PF) (Embiid inpenalty),"[1627759, 203954]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,2882.0,,1.0,0.0,Embiid,203954.0,,,,,
78,PT06M33.00S,2020-08-21T23:00:15.4Z,1,REGULAR,freethrow,1of2,['2ndchance'],203954,,,1610612755,10,17,2020-08-21T23:00:15Z,780000,,,0,,MISS J. Embiid freethrow 1of2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M33.00S,2020-08-21T23:00:15.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,10,17,2020-08-21T23:00:15Z,790000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,
80,PT06M33.00S,2020-08-21T23:00:16.2Z,1,REGULAR,substitution,out,[],201143,,,1610612755,10,17,2020-08-21T23:00:28Z,800000,,,0,,substitution out Horford,[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M33.00S,2020-08-21T23:00:16.2Z,1,REGULAR,substitution,out,[],1629684,,,1610612755,10,17,2020-08-21T23:00:28Z,810000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M33.00S,2020-08-21T23:00:16.2Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,10,17,2020-08-21T23:00:28Z,820000,,,0,,substitution in Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M33.00S,2020-08-21T23:00:16.2Z,1,REGULAR,substitution,in,[],1629641,,,1610612755,10,17,2020-08-21T23:00:28Z,830000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M33.00S,2020-08-21T23:00:45.5Z,1,REGULAR,freethrow,2of2,['2ndchance'],203954,,,1610612755,11,17,2020-08-21T23:00:45Z,840000,,,0,,J. Embiid freethrow 2of2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
85,PT06M17.00S,2020-08-21T23:01:04.1Z,1,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,11,17,2020-08-21T23:01:10Z,850000,,,0,,J. Brown TURNOVER outofbounds (2 TOV),[1627759],1610612738.0,BOS,step,,,Brown,J. Brown,,,,,,,,,,,,,,,1162.0,2.0,,,,,,,,,
86,PT06M03.00S,2020-08-21T23:01:27.2Z,1,REGULAR,2pt,jumpshot,['fromturnover'],202699,10.726018396846255,67.9610906862745,1610612755,13,17,2020-08-21T23:01:31Z,860000,-90.0,48.0,1,left,T. Harris 10' jumpshot (6 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,10.47,Made,6.0,,,,,,,,,,,,,,,,,,
87,PT05M39.00S,2020-08-21T23:01:51.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629641,91.80354796320631,49.08854166666667,1610612738,13,19,2020-08-21T23:01:56Z,870000,-5.0,25.0,1,right,R. Langford dunk (2 PTS) (D. Theis 1 AST),"[1629641, 1628464]",1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,3.04,Made,2.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
89,PT05M19.00S,2020-08-21T23:02:10.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203954,17.296320630749015,63.549325980392155,1610612755,13,19,2020-08-21T23:02:14Z,890000,-68.0,110.0,1,left,MISS J. Embiid 13' jumpshot,[203954],1610612755.0,PHI,turnaroundfadeaway,,,Embiid,J. Embiid,,,,,13.4,Missed,,,,,,,,,,,,,,,,,,,
90,PT05M17.00S,2020-08-21T23:02:12.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,13,19,2020-08-21T23:02:14Z,900000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,,,,,,
