actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
15,PT10M52.00S,2020-08-11T21:11:38.4Z,1,REGULAR,3pt,jumpshot,[],1628369,83.13074901445466,94.43167892156863,1610612738,2,3,2020-08-11T21:11:44Z,150000,222.0,106.0,1,right,J. Tatum 25' 3PT  (3 PTS) (D. Theis 1 AST),"[1628369, 1628464]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,24.87,Made,,,,,3.0,,,,D. Theis,1628464.0,1.0,,,,,,,,
17,PT10M36.00S,2020-08-11T21:11:54.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202685,6.915243101182654,43.69638480392157,1610612763,2,3,2020-08-11T21:11:59Z,170000,32.0,13.0,1,left,MISS J. Valanciunas layup,[202685],1610612763.0,MEM,driving,,,Valanciunas,J. Valanciunas,,,,,3.63,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2020-08-11T21:11:54.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,3,2020-08-11T21:11:59Z,180000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2020-08-11T21:11:59.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,2,3,2020-08-11T21:11:59Z,190000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2020-08-11T21:12:14.0Z,1,REGULAR,3pt,jumpshot,[],1627759,73.80091984231275,15.265012254901961,1610612738,2,3,2020-08-11T21:14:50Z,200000,-174.0,194.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2020-08-11T21:12:19.0Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,2,3,2020-08-11T21:12:19Z,210000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M17.00S,2020-08-11T21:12:26.8Z,1,REGULAR,foul,personal,[],1628464,,,1610612763,2,3,2020-08-11T21:12:49Z,220000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 202685]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Valanciunas,202685.0,,,
24,PT10M12.00S,2020-08-11T21:12:45.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628415,17.296320630749015,40.510110294117645,1610612763,2,3,2020-08-11T21:12:51Z,240000,47.0,110.0,1,left,MISS D. Brooks 12' jumpshot,[1628415],1610612763.0,MEM,fadeaway,,,Brooks,D. Brooks,,,,,12.49,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2020-08-11T21:12:48.9Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,2,3,2020-08-11T21:12:48Z,250000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M02.00S,2020-08-11T21:12:55.9Z,1,REGULAR,2pt,jumpshot,[],202689,77.08607095926413,47.127757352941174,1610612738,2,5,2020-08-11T21:12:59Z,260000,-14.0,163.0,1,right,K. Walker 17' jumpshot (2 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,16.9,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M51.00S,2020-08-11T21:13:09.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203937,15.982260183968464,46.63756127450981,1610612763,2,5,2020-08-11T21:13:39Z,270000,17.0,98.0,1,left,MISS K. Anderson 10' jumpshot Blocked,"[203937, 1628464]",1610612763.0,MEM,drivingfloating,,,Anderson,K. Anderson,,,,,10.46,Missed,,,,,,,,,,,,,,,,,Theis,1628464.0,
28,PT09M51.00S,2020-08-11T21:13:09.6Z,1,REGULAR,block,,[],1628464,,,1610612763,2,5,2020-08-11T21:13:12Z,280000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M51.00S,2020-08-11T21:13:09.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,5,2020-08-11T21:13:39Z,290000,,,0,,Team offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2020-08-11T21:13:25.1Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,2,5,2020-08-11T21:14:18Z,300000,,,0,,Jump Ball K. Anderson vs. D. Theis: Tip to J. Morant,"[1629630, 203937, 1628464]",1610612763.0,MEM,heldball,J. Morant,1629630.0,Morant,J. Morant,Anderson,203937.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
33,PT09M44.00S,2020-08-11T21:13:44.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612763,2,5,2020-08-11T21:13:44Z,330000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M36.00S,2020-08-11T21:13:57.3Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1629630,9.280551905387648,50.06893382352941,1610612763,2,5,2020-08-11T21:14:01Z,340000,0.0,35.0,1,left,MISS J. Morant jumpshot,[1629630],1610612763.0,MEM,drivingfloating,,,Morant,J. Morant,,,,,4.02,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M33.00S,2020-08-11T21:14:00.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,5,2020-08-11T21:14:01Z,350000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT09M24.00S,2020-08-11T21:14:08.8Z,1,REGULAR,2pt,jumpshot,[],202689,77.87450722733246,30.46109068627451,1610612738,2,7,2020-08-11T21:14:23Z,360000,-98.0,155.0,1,right,K. Walker 19' jumpshot (4 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.83,Made,,,,,4.0,,,,,,,,,,,,,,
37,PT09M08.00S,2020-08-11T21:14:24.3Z,1,REGULAR,3pt,jumpshot,[],1628415,4.944152431011826,94.43167892156863,1610612763,2,7,2020-08-11T21:14:29Z,370000,-222.0,-6.0,1,left,MISS D. Brooks 22' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,22.22,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M06.00S,2020-08-11T21:14:26.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,7,2020-08-11T21:14:29Z,380000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M58.00S,2020-08-11T21:14:35.5Z,1,REGULAR,3pt,jumpshot,[],1628464,72.22404730617609,19.431678921568626,1610612738,2,7,2020-08-11T21:14:41Z,390000,-153.0,209.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2020-08-11T21:14:39.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612763,2,7,2020-08-11T21:14:41Z,400000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
41,PT08M46.00S,2020-08-11T21:14:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612763,2,7,2020-08-11T21:15:08Z,410000,,,0,,J. Brown FOUL personal (1 PF) (Morant 2freethrow),"[1627759, 1629630]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Morant,1629630.0,,,
43,PT08M46.00S,2020-08-11T21:15:18.2Z,1,REGULAR,freethrow,1of2,[],1629630,,,1610612763,3,7,2020-08-11T21:15:35Z,430000,,,0,,J. Morant freethrow 1of2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
44,PT08M46.00S,2020-08-11T21:15:18.2Z,1,REGULAR,freethrow,2of2,[],1629630,,,1610612763,3,7,2020-08-11T21:15:35Z,440000,,,0,,MISS J. Morant freethrow 2of2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M43.00S,2020-08-11T21:15:21.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,7,2020-08-11T21:15:35Z,450000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT08M24.00S,2020-08-11T21:15:53.5Z,1,REGULAR,3pt,jumpshot,[],1627759,94.69448094612353,3.2552083333333335,1610612738,3,7,2020-08-11T21:15:59Z,460000,-234.0,-3.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,23.37,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M19.00S,2020-08-11T21:15:58.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,3,7,2020-08-11T21:15:59Z,470000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT08M13.00S,2020-08-11T21:16:04.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202685,8.09789750328515,47.86305147058824,1610612763,5,7,2020-08-11T21:16:09Z,480000,11.0,24.0,1,left,J. Valanciunas dunk (4 PTS) (J. Morant 1 AST),"[202685, 1629630]",1610612763.0,MEM,cutting,,,Valanciunas,J. Valanciunas,,,,,3.1,Made,,,,,4.0,,,,J. Morant,1629630.0,1.0,,,,,,,,
50,PT07M59.00S,2020-08-11T21:16:21.3Z,1,REGULAR,foul,personal,[],203937,,,1610612738,5,7,2020-08-11T21:16:26Z,500000,,,0,,K. Anderson FOUL personal (1 PF),"[203937, 202330]",1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Hayward,202330.0,,,
52,PT07M47.00S,2020-08-11T21:16:52.6Z,1,REGULAR,3pt,jumpshot,[],202330,72.88107752956637,16.00030637254902,1610612738,5,7,2020-08-11T21:17:23Z,520000,-170.0,202.0,1,right,MISS G. Hayward 27' 3PT Blocked,"[202330, 203937]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.86,Missed,,,,,,,,,,,,,,,,,Anderson,203937.0,
53,PT07M47.00S,2020-08-11T21:16:52.6Z,1,REGULAR,block,,[],203937,,,1610612738,5,7,2020-08-11T21:16:56Z,530000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M46.00S,2020-08-11T21:16:53.6Z,1,REGULAR,rebound,offensive,[],202330,,,1610612738,5,7,2020-08-11T21:17:23Z,540000,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
55,PT07M45.00S,2020-08-11T21:16:59.5Z,1,REGULAR,turnover,shotclock,['team'],0,,,1610612738,5,7,2020-08-11T21:17:17Z,550000,,,0,,Team TURNOVER shotclock,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M28.00S,2020-08-11T21:17:28.4Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",203937,16.63929040735874,58.15716911764706,1610612763,5,7,2020-08-11T21:17:33Z,560000,-41.0,104.0,1,left,MISS K. Anderson 12' jumpshot Blocked,"[203937, 1627759]",1610612763.0,MEM,drivingfloating,,,Anderson,K. Anderson,,,,,11.68,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0,
57,PT07M28.00S,2020-08-11T21:17:28.4Z,1,REGULAR,block,,[],1627759,,,1610612763,5,7,2020-08-11T21:17:30Z,570000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2020-08-11T21:17:32.4Z,1,REGULAR,rebound,offensive,[],202685,,,1610612763,5,7,2020-08-11T21:21:40Z,580000,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
59,PT07M23.00S,2020-08-11T21:17:33.6Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203937,7.30946123521682,52.76501225490197,1610612763,5,7,2020-08-11T21:17:38Z,590000,-14.0,16.0,1,left,MISS K. Anderson jumpshot,[203937],1610612763.0,MEM,floating,,,Anderson,K. Anderson,,,,,2.57,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M21.00S,2020-08-11T21:17:35.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,7,2020-08-11T21:17:35Z,600000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT07M14.00S,2020-08-11T21:17:43.9Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,93.38042049934296,52.76501225490197,1610612738,5,9,2020-08-11T21:18:21Z,610000,14.0,10.0,1,right,J. Brown dunk (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.05,Made,,,,,2.0,,,,J. Tatum,1628369.0,1.0,,,,,,,,
63,PT07M13.00S,2020-08-11T21:17:49.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,5,9,2020-08-11T21:17:49Z,630000,,,0,,timeout full,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2020-08-11T21:21:49.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628415,7.5722733245729295,44.676776960784316,1610612763,5,9,2020-08-11T21:22:00Z,640000,27.0,19.0,1,left,MISS D. Brooks layup,[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,3.6,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M51.00S,2020-08-11T21:21:50.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,5,9,2020-08-11T21:22:00Z,660000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2020-08-11T21:21:56.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,9,2020-08-11T21:21:56Z,670000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M50.00S,2020-08-11T21:21:56.7Z,1,REGULAR,substitution,out,[],201229,,,1610612738,5,9,2020-08-11T21:22:01Z,680000,,,0,,substitution out Tolliver,[201229],1610612763.0,MEM,,,,Tolliver,A. Tolliver,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M50.00S,2020-08-11T21:21:56.7Z,1,REGULAR,substitution,in,[],1629634,,,1610612738,5,9,2020-08-11T21:22:01Z,690000,,,0,,substitution in Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M36.00S,2020-08-11T21:22:17.2Z,1,REGULAR,2pt,jumpshot,[],1628464,76.42904073587385,47.61795343137255,1610612738,5,9,2020-08-11T21:22:22Z,700000,-12.0,169.0,1,right,MISS D. Theis 18' jumpshot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,17.5,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M32.00S,2020-08-11T21:22:21.2Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,5,9,2020-08-11T21:22:22Z,710000,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
72,PT06M28.00S,2020-08-11T21:22:29.9Z,1,REGULAR,foul,personal,[],202330,,,1610612763,5,9,2020-08-11T21:22:42Z,720000,,,0,,G. Hayward FOUL personal (1 PF),"[202330, 1629630]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Morant,1629630.0,,,
74,PT06M28.00S,2020-08-11T21:22:36.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612763,5,9,2020-08-11T21:22:44Z,740000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M28.00S,2020-08-11T21:22:36.6Z,1,REGULAR,substitution,out,[],1627759,,,1610612763,5,9,2020-08-11T21:22:44Z,750000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M28.00S,2020-08-11T21:22:36.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612763,5,9,2020-08-11T21:22:44Z,760000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M28.00S,2020-08-11T21:22:36.6Z,1,REGULAR,substitution,in,[],203935,,,1610612763,5,9,2020-08-11T21:22:44Z,770000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2020-08-11T21:23:01.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612763,5,9,2020-08-11T21:23:08Z,780000,,,0,,G. Williams FOUL personal (1 PF),"[1629684, 202685]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Valanciunas,202685.0,,,
80,PT06M21.00S,2020-08-11T21:23:16.9Z,1,REGULAR,substitution,out,[],1628464,,,1610612763,5,9,2020-08-11T21:23:21Z,800000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M21.00S,2020-08-11T21:23:16.9Z,1,REGULAR,substitution,in,[],202683,,,1610612763,5,9,2020-08-11T21:23:21Z,810000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M18.00S,2020-08-11T21:23:31.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629630,6.652431011826544,53.255208333333336,1610612763,7,9,2020-08-11T21:23:36Z,820000,-16.0,10.0,1,left,J. Morant layup (3 PTS) (K. Anderson 1 AST),"[1629630, 203937]",1610612763.0,MEM,alleyoop,,,Morant,J. Morant,,,,,2.25,Made,,,,,3.0,,,,K. Anderson,203937.0,1.0,,,,,,,,
84,PT06M06.00S,2020-08-11T21:23:44.9Z,1,REGULAR,2pt,jumpshot,[],202689,76.5604467805519,41.00030637254902,1610612738,7,11,2020-08-11T21:23:51Z,840000,-45.0,168.0,1,right,K. Walker 18' jumpshot (6 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,17.9,Made,,,,,6.0,,,,,,,,,,,,,,
85,PT05M53.00S,2020-08-11T21:23:57.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629630,8.623521681997373,55.4610906862745,1610612763,9,11,2020-08-11T21:24:01Z,850000,-27.0,29.0,1,left,J. Morant jumpshot (5 PTS),[1629630],1610612763.0,MEM,drivingfloating,,,Morant,J. Morant,,,,,4.37,Made,,,,,5.0,,,,,,,,,,,,,,
86,PT05M32.00S,2020-08-11T21:24:17.7Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,87.20433639947439,48.353247549019606,1610612738,9,13,2020-08-11T21:24:21Z,860000,-8.0,68.0,1,right,E. Kanter 7' hook (2 PTS),[202683],1610612738.0,BOS,turnaround,,,Kanter,E. Kanter,,,,,7.38,Made,,,,,2.0,,,,,,,,,,,,,,
87,PT05M24.00S,2020-08-11T21:24:29.8Z,1,REGULAR,turnover,backcourt,[],203937,,,1610612763,9,13,2020-08-11T21:24:35Z,870000,,,0,,K. Anderson TURNOVER backcourt (1 TOV),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,1.0,,,,,,200832.0,,,,,,,
88,PT05M24.00S,2020-08-11T21:24:32.9Z,1,REGULAR,substitution,out,[],203937,,,1610612738,9,13,2020-08-11T21:24:44Z,880000,,,0,,substitution out Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M24.00S,2020-08-11T21:24:32.9Z,1,REGULAR,substitution,out,[],202685,,,1610612738,9,13,2020-08-11T21:24:44Z,890000,,,0,,substitution out Valanciunas,[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M24.00S,2020-08-11T21:24:32.9Z,1,REGULAR,substitution,in,[],203476,,,1610612738,9,13,2020-08-11T21:24:44Z,900000,,,0,,substitution in Dieng,[203476],1610612763.0,MEM,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M24.00S,2020-08-11T21:24:32.9Z,1,REGULAR,substitution,in,[],1628960,,,1610612738,9,13,2020-08-11T21:24:44Z,910000,,,0,,substitution in Allen,[1628960],1610612763.0,MEM,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M13.00S,2020-08-11T21:25:01.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,67.09921156373193,48.10814950980392,1610612738,9,13,2020-08-11T21:25:08Z,920000,-9.0,257.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
