actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
29,PT09M29.00S,2020-01-23T00:43:36.8Z,1,REGULAR,2pt,jumpshot,[],1628415,85.89027595269383,66.73560049019608,1610612763,5,2,2020-01-23T00:43:42Z,290000,84.0,80.0,1,right,MISS D. Brooks 12' jumpshot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,11.97,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2020-01-23T00:43:39.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,2,2020-01-23T00:43:42Z,300000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M18.00S,2020-01-23T00:43:48.4Z,1,REGULAR,3pt,jumpshot,[],203935,5.469776609724048,94.43167892156863,1610612738,5,2,2020-01-23T00:43:53Z,310000,-222.0,-1.0,1,left,MISS M. Smart 22' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.22,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2020-01-23T00:43:51.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612763,5,2,2020-01-23T00:43:53Z,320000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
33,PT09M01.00S,2020-01-23T00:44:06.3Z,1,REGULAR,3pt,jumpshot,[],1628415,68.54467805519053,71.39246323529412,1610612763,5,2,2020-01-23T00:44:35Z,330000,107.0,243.0,1,right,MISS D. Brooks 27' 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2020-01-23T00:44:10.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612763,5,2,2020-01-23T00:44:10Z,340000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
35,PT08M53.00S,2020-01-23T00:44:13.4Z,1,REGULAR,turnover,badpass,[],203109,,,1610612763,5,2,2020-01-23T00:44:17Z,350000,,,0,,J. Crowder TURNOVER badpass (1 TOV) Stolen,"[203109, 203935]",1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
36,PT08M53.00S,2020-01-23T00:44:13.4Z,1,REGULAR,steal,,[],203935,,,1610612738,5,2,2020-01-23T00:44:15Z,360000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2020-01-23T00:44:24.0Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,12.697109067017081,47.372855392156865,1610612738,7,2,2020-01-23T00:44:33Z,370000,13.0,67.0,1,left,J. Tatum 7' jumpshot (2 PTS) (G. Hayward 1 AST),"[1628369, 202330]",1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,7.36,Made,,,,,2.0,,,,,,G. Hayward,202330.0,1.0,,,,,,
40,PT08M22.00S,2020-01-23T00:44:49.5Z,1,REGULAR,turnover,lostball,[],1628415,,,1610612763,7,2,2020-01-23T00:45:04Z,400000,,,0,,D. Brooks TURNOVER lostball (1 TOV),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,1.0,,,,,
41,PT08M22.00S,2020-01-23T00:44:53.7Z,1,REGULAR,foul,personal,[],1628415,,,1610612738,7,2,2020-01-23T00:44:57Z,410000,,,0,,D. Brooks FOUL personal (1 PF),"[1628415, 203935]",1610612763.0,MEM,looseball,,,Brooks,D. Brooks,,,,,,,,,,,,203593.0,1.0,0.0,Smart,203935.0,,,,,,,,,
43,PT08M03.00S,2020-01-23T00:45:22.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,25.706307490144546,15.510110294117647,1610612738,7,2,2020-01-23T00:45:28Z,430000,172.0,189.0,1,left,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M59.00S,2020-01-23T00:45:26.7Z,1,REGULAR,rebound,defensive,[],203109,,,1610612763,7,2,2020-01-23T00:45:28Z,440000,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
45,PT07M51.00S,2020-01-23T00:45:33.6Z,1,REGULAR,turnover,badpass,[],1628991,,,1610612763,7,2,2020-01-23T00:45:37Z,450000,,,0,,J. Jackson Jr. TURNOVER badpass (1 TOV) Stolen,"[1628991, 1628464]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,1.0,Theis,1628464.0,,,
46,PT07M51.00S,2020-01-23T00:45:33.6Z,1,REGULAR,steal,,[],1628464,,,1610612738,7,2,2020-01-23T00:48:07Z,460000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M43.00S,2020-01-23T00:45:42.1Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,9.280551905387648,95.65716911764706,1610612738,7,2,2020-01-23T00:47:49Z,470000,-228.0,35.0,1,left,MISS J. Tatum 23' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M39.00S,2020-01-23T00:45:46.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,7,2,2020-01-23T00:45:47Z,480000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT07M29.00S,2020-01-23T00:45:58.2Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612763,7,2,2020-01-23T00:46:09Z,490000,,,0,,G. Hayward FOUL personal (1 PF) (Brooks 2freethrow),"[202330, 1628415]",1610612738.0,BOS,shooting,,,Hayward,G. Hayward,,,,,,,,,,,,2715.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,
51,PT07M29.00S,2020-01-23T00:46:24.5Z,1,REGULAR,freethrow,1of2,[],1628415,,,1610612763,7,3,2020-01-23T00:46:49Z,510000,,,0,,D. Brooks freethrow 1of2 (1 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
52,PT07M29.00S,2020-01-23T00:46:24.5Z,1,REGULAR,freethrow,2of2,[],1628415,,,1610612763,7,3,2020-01-23T00:46:49Z,520000,,,0,,MISS D. Brooks freethrow 2of2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2020-01-23T00:46:27.5Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612763,7,3,2020-01-23T00:46:49Z,530000,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
54,PT07M18.00S,2020-01-23T00:46:48.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202685,93.11760840998686,44.43167892156863,1610612763,7,3,2020-01-23T00:46:55Z,540000,-28.0,12.0,1,right,MISS J. Valanciunas layup,[202685],1610612763.0,MEM,driving,,,Valanciunas,J. Valanciunas,,,,,3.3,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2020-01-23T00:46:49.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,3,2020-01-23T00:46:55Z,550000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT07M14.00S,2020-01-23T00:46:52.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202330,31.09395532194481,68.45128676470588,1610612738,7,3,2020-01-23T00:49:25Z,560000,-92.0,240.0,1,left,MISS G. Hayward 26' 3PT Blocked,"[202330, 1628991]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.21,Missed,,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,
57,PT07M14.00S,2020-01-23T00:46:52.9Z,1,REGULAR,block,,[],1628991,,,1610612738,7,3,2020-01-23T00:46:55Z,570000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M14.00S,2020-01-23T00:46:52.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,7,3,2020-01-23T00:47:03Z,580000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
59,PT06M54.00S,2020-01-23T00:47:13.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629630,92.32917214191852,42.22579656862745,1610612763,7,3,2020-01-23T00:47:18Z,590000,-39.0,20.0,1,right,MISS J. Morant layup,[1629630],1610612763.0,MEM,drivingfingerroll,,,Morant,J. Morant,,,,,4.63,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2020-01-23T00:47:16.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,7,3,2020-01-23T00:47:18Z,600000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT06M48.00S,2020-01-23T00:47:19.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202689,6.652431011826544,54.970894607843135,1610612738,7,3,2020-01-23T00:47:30Z,610000,-25.0,10.0,1,left,MISS K. Walker layup Blocked,"[202689, 1628991]",1610612738.0,BOS,fingerroll,,,Walker,K. Walker,,,,,2.93,Missed,,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,
62,PT06M48.00S,2020-01-23T00:47:19.5Z,1,REGULAR,block,,[],1628991,,,1610612738,7,3,2020-01-23T00:47:21Z,620000,,,0,,J. Jackson Jr. BLOCK (2 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2020-01-23T00:47:21.5Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,7,3,2020-01-23T00:47:30Z,630000,,,0,,D. Brooks REBOUND (Off:1 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
64,PT06M34.00S,2020-01-23T00:47:33.7Z,1,REGULAR,3pt,jumpshot,[],203109,89.30683311432325,3.7454044117647056,1610612763,7,6,2020-01-23T00:47:38Z,640000,-231.0,48.0,1,right,J. Crowder 24' 3PT  (3 PTS) (J. Morant 1 AST),"[203109, 1629630]",1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,23.74,Made,,,,,3.0,,,,,,J. Morant,1629630.0,1.0,,,,,,
66,PT06M25.00S,2020-01-23T00:47:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,7,6,2020-01-23T00:47:46Z,660000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M25.00S,2020-01-23T00:49:19.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,7,6,2020-01-23T00:50:20Z,670000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M25.00S,2020-01-23T00:49:19.9Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,7,6,2020-01-23T00:50:20Z,680000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M25.00S,2020-01-23T00:49:19.9Z,1,REGULAR,substitution,in,[],202683,,,1610612738,7,6,2020-01-23T00:50:20Z,690000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M25.00S,2020-01-23T00:49:19.9Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,7,6,2020-01-23T00:50:20Z,700000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M13.00S,2020-01-23T00:50:50.5Z,1,REGULAR,3pt,jumpshot,[],1628400,12.434296977660972,4.235600490196079,1610612738,7,6,2020-01-23T00:50:56Z,710000,229.0,64.0,1,left,MISS S. Ojeleye 24' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.92,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M08.00S,2020-01-23T00:50:55.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,7,6,2020-01-23T00:51:27Z,720000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
73,PT06M02.00S,2020-01-23T00:50:59.8Z,1,REGULAR,3pt,jumpshot,[],203109,72.61826544021025,17.715992647058822,1610612763,7,6,2020-01-23T00:51:06Z,730000,-161.0,205.0,1,right,MISS J. Crowder 27' 3PT,[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2020-01-23T00:51:00.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,7,6,2020-01-23T00:51:06Z,740000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT05M56.00S,2020-01-23T00:51:07.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202683,6.521024967148489,46.14736519607843,1610612738,9,6,2020-01-23T00:51:12Z,750000,19.0,9.0,1,left,E. Kanter layup (2 PTS) (G. Hayward 2 AST),"[202683, 202330]",1610612738.0,BOS,cutting,,,Kanter,E. Kanter,,,,,2.4,Made,,,,,2.0,,,,,,G. Hayward,202330.0,2.0,,,,,,
77,PT05M37.00S,2020-01-23T00:51:25.2Z,1,REGULAR,3pt,jumpshot,[],1628991,88.12417871222075,3.2552083333333335,1610612763,9,9,2020-01-23T00:51:32Z,770000,-234.0,59.0,1,right,J. Jackson Jr. 24' 3PT  (3 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.25,Made,,,,,3.0,,,,,,J. Morant,1629630.0,2.0,,,,,,
79,PT05M19.00S,2020-01-23T00:51:43.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,18.873193166885677,48.84344362745098,1610612738,9,9,2020-01-23T00:52:58Z,790000,6.0,125.0,1,left,MISS M. Smart 13' jumpshot,[203935],1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,13.05,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2020-01-23T00:51:46.6Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,9,9,2020-01-23T00:51:53Z,800000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
81,PT05M12.00S,2020-01-23T00:51:51.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,27.283180026281208,80.21599264705883,1610612738,9,9,2020-01-23T00:53:20Z,810000,-151.0,204.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2020-01-23T00:51:54.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612763,9,9,2020-01-23T00:51:56Z,820000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,81.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
83,PT05M01.00S,2020-01-23T00:52:01.6Z,1,REGULAR,3pt,jumpshot,[],202685,66.96780551905388,45.90226715686275,1610612763,9,12,2020-01-23T00:52:07Z,830000,-20.0,258.0,1,right,J. Valanciunas 26' 3PT  (5 PTS) (J. Jackson Jr. 1 AST),"[202685, 1628991]",1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,26.43,Made,,,,,5.0,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,,
85,PT04M36.00S,2020-01-23T00:52:26.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,6.783837056504599,44.43167892156863,1610612738,9,12,2020-01-23T00:57:30Z,850000,28.0,11.0,1,left,MISS K. Walker layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,3.25,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M32.00S,2020-01-23T00:52:30.5Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,9,12,2020-01-23T00:52:32Z,870000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
88,PT04M32.00S,2020-01-23T00:52:30.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,6.258212877792378,48.84344362745098,1610612738,9,12,2020-01-23T00:52:36Z,880000,6.0,6.0,1,left,MISS E. Kanter layup,[202683],1610612738.0,BOS,putback,,,Kanter,E. Kanter,,,,,1.31,Missed,,,,,,,,,,,,,,,,,,,
89,PT04M30.00S,2020-01-23T00:52:32.7Z,1,REGULAR,rebound,defensive,[],203109,,,1610612763,9,12,2020-01-23T00:52:32Z,890000,,,0,,J. Crowder REBOUND (Off:0 Def:4),[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
