actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
620,PT05M19.00S,2020-02-12T04:56:14.5Z,4,REGULAR,freethrow,1of2,['fromturnover'],200782,,,1610612745,100,94,2020-02-12T04:56:14Z,6120000,,[HOU] Tucker freethrow 1of2: Made (3 PTS),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,: Made,3.0,,,,,,,,,,,,,,,,,,,,,,
621,PT05M19.00S,2020-02-12T04:56:17.3Z,4,REGULAR,substitution,out,[],1628464,,,1610612745,100,94,2020-02-12T04:56:19Z,6130000,,[BOS] substitution Theis replaced by Smart,"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart,203935.0,
623,PT05M19.00S,2020-02-12T04:56:33.9Z,4,REGULAR,freethrow,2of2,['fromturnover'],200782,,,1610612745,101,94,2020-02-12T04:56:33Z,6150000,,[HOU] Tucker freethrow 2of2: Made (4 PTS),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,: Made,4.0,,,,,,,,,,,,,,,,,,,,,,
624,PT04M58.00S,2020-02-12T04:56:56.7Z,4,REGULAR,2pt,layup,['pointsinthepaint'],202330,5.469776609724048,50.314031862745104,1610612738,101,96,2020-02-12T04:57:01Z,6160000,left,[BOS] Hayward layup: Made (18 PTS),[202330],1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,0.47,: Made,18.0,,,,,,,,,,,,,,,,,,,,,,
625,PT04M41.00S,2020-02-12T04:57:13.4Z,4,REGULAR,3pt,jumpshot,[],1627863,93.77463863337714,96.8826593137255,1610612745,104,96,2020-02-12T04:57:18Z,6170000,right,[HOU] House Jr. 3pt shot: Made (15 PTS) assist: Westbrook (4 AST),"[1627863, 201566]",1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,23.47,: Made,15.0,Westbrook,201566.0,4.0,,,,,,,,,,,,,,,,,,,
627,PT04M24.00S,2020-02-12T04:57:33.7Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627863,,,1610612738,104,96,2020-02-12T04:57:38Z,6190000,,[HOU] House Jr. foul personal (1 PF) (Hayward inpenalty),"[1627863, 202330]",1610612745.0,HOU,shooting,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Hayward,202330.0,,,,,,
629,PT04M24.00S,2020-02-12T04:58:06.9Z,4,REGULAR,freethrow,1of2,[],202330,,,1610612738,104,97,2020-02-12T04:58:06Z,6210000,,[BOS] Hayward freethrow 1of2: Made (19 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,: Made,19.0,,,,,,,,,,,,,,,,,,,,,,
630,PT04M24.00S,2020-02-12T04:58:21.2Z,4,REGULAR,freethrow,2of2,[],202330,,,1610612738,104,98,2020-02-12T04:58:21Z,6220000,,[BOS] Hayward freethrow 2of2: Made (20 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,: Made,20.0,,,,,,,,,,,,,,,,,,,,,,
631,PT04M15.00S,2020-02-12T04:58:30.8Z,4,REGULAR,2pt,layup,['pointsinthepaint'],201566,94.43166885676742,49.333639705882355,1610612745,106,98,2020-02-12T04:58:36Z,6230000,right,[HOU] Westbrook layup: Made (34 PTS),[201566],1610612745.0,HOU,drivingreverse,,,Westbrook,R. Westbrook,,,,,0.62,: Made,34.0,,,,,,,,,,,,,,,,,,,,,,
632,PT03M54.00S,2020-02-12T04:58:51.6Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203935,7.30946123521682,57.421875,1610612738,106,98,2020-02-12T04:58:55Z,6240000,left,[BOS] Smart layup: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,4.3,: Missed,,,,,,,,,,,,,,,,,,,,,,,
633,PT03M52.00S,2020-02-12T04:58:53.6Z,4,REGULAR,rebound,defensive,[],203496,,,1610612745,106,98,2020-02-12T04:58:55Z,6250000,,[HOU] Covington defensive rebound (Off:0 Def:7),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,632.0,,,,,7.0,7.0,0.0,,,,,,,,,,,
634,PT03M40.00S,2020-02-12T04:59:05.1Z,4,REGULAR,3pt,jumpshot,[],203496,74.85216819973719,16.00030637254902,1610612745,106,98,2020-02-12T04:59:10Z,6260000,right,[HOU] Covington 3pt jumpshot: Missed,[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,25.45,: Missed,,,,,,,,,,,,,,,,,,,,,,,
635,PT03M37.00S,2020-02-12T04:59:08.1Z,4,REGULAR,rebound,offensive,[],201566,,,1610612745,106,98,2020-02-12T04:59:10Z,6270000,,[HOU] Westbrook offensive rebound (Off:1 Def:9),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,634.0,,,,,10.0,9.0,1.0,,,,,,,,,,,
636,PT03M33.00S,2020-02-12T04:59:13.5Z,4,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627863,94.56307490144546,48.84344362745098,1610612745,108,98,2020-02-12T04:59:23Z,6280000,right,[HOU] House Jr. layup: Made (17 PTS) assist: Westbrook (5 AST),"[1627863, 201566]",1610612745.0,HOU,cuttingfingerroll,,,House Jr.,D. House Jr.,,,,,0.71,: Made,17.0,Westbrook,201566.0,5.0,,,,,,,,,,,,,,,,,,,
638,PT03M33.00S,2020-02-12T04:59:20.1Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,108,98,2020-02-12T04:59:20Z,6300000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,PT03M33.00S,2020-02-12T05:00:16.3Z,4,REGULAR,substitution,out,[],1627759,,,1610612738,108,98,2020-02-12T05:00:37Z,6310000,,[BOS] substitution Brown replaced by Theis,"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,
641,PT03M25.00S,2020-02-12T05:01:02.4Z,4,REGULAR,turnover,outofbounds,[],203935,,,1610612738,108,98,2020-02-12T05:01:11Z,6330000,,[BOS] Smart outofbounds turnover (3 TO),[203935],1610612738.0,BOS,badpass,,,Smart,M. Smart,,,,,,,,,,,,3.0,,,,,,,204059.0,,,,,,,,,,
642,PT03M09.00S,2020-02-12T05:01:38.5Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",202689,,,1610612745,108,98,2020-02-12T05:01:42Z,6340000,,[BOS] Walker foul personal (3 PF) (Harden inpenalty),"[202689, 201935]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,201639.0,3.0,1.0,Harden,201935.0,,,,,,
644,PT03M09.00S,2020-02-12T05:02:01.1Z,4,REGULAR,freethrow,1of3,['fromturnover'],201935,,,1610612745,109,98,2020-02-12T05:02:01Z,6360000,,[HOU] Harden freethrow 1of3: Made (37 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,37.0,,,,,,,,,,,,,,,,,,,,,,
