actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,stealPlayerName,stealPersonId
38,PT08M49.00S,2022-05-09T23:40:04.6Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612749,6,2,2022-05-09T23:40:04Z,380000,,,0,,Jump Ball G. Antetokounmpo vs. J. Tatum: Tip to G. Allen,"[1628960, 203507, 1628369]",1610612749.0,MIL,heldball,G. Allen,1628960.0,Allen,G. Allen,Antetokounmpo,203507.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,,,,
41,PT08M43.00S,2022-05-09T23:40:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.32917214191852,53.67647058823529,1610612749,8,2,2022-05-09T23:40:13Z,410000,18.0,20.0,1,right,J. Holiday driving finger roll Layup (2 PTS) (G. Allen 1 AST),"[201950, 1628960]",1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,2.69,Made,2.0,,,,,,,,,,,,,G. Allen,1628960.0,1.0,,,
43,PT08M29.00S,2022-05-09T23:40:24.0Z,1,REGULAR,3pt,Jump Shot,[],203935,32.14520367936925,69.11764705882352,1610612738,8,2,2022-05-09T23:40:31Z,430000,-96.0,250.0,1,left,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M26.00S,2022-05-09T23:40:27.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,2,2022-05-09T23:40:31Z,440000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT08M16.00S,2022-05-09T23:40:37.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,94.82588699080158,95.09803921568627,1610612749,8,2,2022-05-09T23:40:45Z,450000,225.0,-4.0,1,right,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2022-05-09T23:40:40.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,2,2022-05-09T23:40:45Z,460000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M03.00S,2022-05-09T23:40:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,7.966491458607096,49.01960784313725,1610612738,8,2,2022-05-09T23:40:58Z,470000,5.0,22.0,1,left,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,2.29,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M00.00S,2022-05-09T23:40:53.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,8,2,2022-05-09T23:40:58Z,480000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT07M55.00S,2022-05-09T23:40:58.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202083,96.27135348226018,3.431372549019608,1610612749,8,2,2022-05-09T23:41:05Z,490000,-233.0,-17.0,1,right,MISS W. Matthews running 3PT,[202083],1610612749.0,MIL,running,,,Matthews,W. Matthews,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M52.00S,2022-05-09T23:41:01.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,8,2,2022-05-09T23:41:01Z,500000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M48.00S,2022-05-09T23:41:05.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628369,6.389618922470433,53.18627450980392,1610612738,8,4,2022-05-09T23:41:12Z,510000,-16.0,8.0,1,left,J. Tatum running DUNK (2 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.76,Made,2.0,,,,,,,,,,,,,M. Smart,203935.0,2.0,,,
53,PT07M35.00S,2022-05-09T23:41:22.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612749,8,4,2022-05-09T23:41:32Z,530000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 201572]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,1146.0,,1.0,0.0,Lopez,201572.0,,,,,,
55,PT07M35.00S,2022-05-09T23:41:33.3Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,8,4,2022-05-09T23:41:48Z,550000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M35.00S,2022-05-09T23:41:33.3Z,1,REGULAR,substitution,out,[],201572,,,1610612749,8,4,2022-05-09T23:41:48Z,560000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M35.00S,2022-05-09T23:41:33.3Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,8,4,2022-05-09T23:41:48Z,570000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M35.00S,2022-05-09T23:41:33.3Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,8,4,2022-05-09T23:41:48Z,580000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M25.00S,2022-05-09T23:42:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,86.67871222076215,53.92156862745098,1610612749,8,4,2022-05-09T23:42:09Z,590000,20.0,73.0,1,right,MISS G. Antetokounmpo 7' driving Layup - blocked,"[203507, 201143]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,7.53,Missed,,,,,,Horford,201143.0,,,,,,,,,,,,
60,PT07M25.00S,2022-05-09T23:42:04.5Z,1,REGULAR,block,,[],201143,,,1610612749,8,4,2022-05-09T23:42:08Z,600000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M25.00S,2022-05-09T23:42:04.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,8,4,2022-05-09T23:42:09Z,610000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
62,PT07M25.00S,2022-05-09T23:42:10.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,8,4,2022-05-09T23:42:10Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2022-05-09T23:42:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,10.988830486202366,42.15686274509804,1610612738,8,6,2022-05-09T23:42:33Z,630000,39.0,51.0,1,left,M. Smart 6' driving floating bank Jump Shot (2 PTS),[203935],1610612738.0,BOS,driving floating bank,,,Smart,M. Smart,,,,,6.42,Made,2.0,,,,,,,,,,,,,,,,,,
64,PT06M54.00S,2022-05-09T23:42:42.2Z,1,REGULAR,3pt,Jump Shot,[],203507,66.83639947437582,43.13725490196079,1610612749,8,6,2022-05-09T23:42:52Z,640000,-34.0,259.0,1,right,MISS G. Antetokounmpo 26' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,26.15,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M52.00S,2022-05-09T23:42:44.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,8,6,2022-05-09T23:42:44Z,650000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,64.0,4.0,3.0,1.0,,,,,,,,,,,,,,
66,PT06M44.00S,2022-05-09T23:42:51.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626171,84.83902759526939,46.81372549019608,1610612749,10,6,2022-05-09T23:42:55Z,660000,-16.0,90.0,1,right,B. Portis 9' pullup Jump Shot (2 PTS),[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,9.14,Made,2.0,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2022-05-09T23:43:12.1Z,1,REGULAR,foul,offensive,[],201143,,,1610612738,10,6,2022-05-09T23:43:28Z,670000,,,0,,A. Horford offensive FOUL (1 PF),"[201143, 202083]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,1146.0,,1.0,0.0,Matthews,202083.0,,,,,,
