actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
32,PT08M06.00S,2022-05-11T23:11:24.1Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,8,11,2022-05-11T23:11:28Z,320000,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 201143]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,1.0,Horford,201143.0,,,,,,,
33,PT08M06.00S,2022-05-11T23:11:24.1Z,1,REGULAR,steal,,[],201143,,,1610612738,8,11,2022-05-11T23:11:26Z,330000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT07M57.00S,2022-05-11T23:11:33.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,32.276609724047304,43.38235294117647,1610612738,8,11,2022-05-11T23:13:21Z,340000,33.0,251.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
35,PT07M54.00S,2022-05-11T23:11:36.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,11,2022-05-11T23:11:37Z,350000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,34.0,5.0,5.0,0.0,,,,,,,,,,,
36,PT07M42.00S,2022-05-11T23:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],201572,68.54467805519053,74.50980392156863,1610612749,8,11,2022-05-11T23:11:52Z,360000,123.0,243.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
37,PT07M40.00S,2022-05-11T23:11:49.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,11,2022-05-11T23:11:52Z,370000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT07M32.00S,2022-05-11T23:12:01.1Z,1,REGULAR,foul,personal,[],1628960,,,1610612738,8,11,2022-05-11T23:12:07Z,380000,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1629684]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,201639.0,,,,1.0,0.0,Williams,1629684.0,,,
40,PT07M32.00S,2022-05-11T23:12:11.9Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,8,11,2022-05-11T23:12:24Z,400000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M32.00S,2022-05-11T23:12:11.9Z,1,REGULAR,substitution,out,[],201572,,,1610612738,8,11,2022-05-11T23:12:24Z,410000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M32.00S,2022-05-11T23:12:11.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612738,8,11,2022-05-11T23:12:24Z,420000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M32.00S,2022-05-11T23:12:11.9Z,1,REGULAR,substitution,in,[],1626192,,,1610612738,8,11,2022-05-11T23:12:24Z,430000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M32.00S,2022-05-11T23:12:43.3Z,1,REGULAR,violation,kicked ball,[],201950,,,1610612738,8,11,2022-05-11T23:12:48Z,440000,,,0,,J. Holiday kicked ball VIOLATION,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,201639.0,,,,,,,,,,
45,PT07M24.00S,2022-05-11T23:13:04.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,6.389618922470433,48.28431372549019,1610612738,10,11,2022-05-11T23:13:08Z,450000,9.0,8.0,1,left,J. Brown driving DUNK (5 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.15,Made,5.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
47,PT07M15.00S,2022-05-11T23:13:13.0Z,1,REGULAR,2pt,Jump Shot,[],203507,75.24638633377135,62.99019607843137,1610612749,10,11,2022-05-11T23:13:16Z,470000,65.0,180.0,1,right,MISS G. Antetokounmpo 19' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,19.16,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M13.00S,2022-05-11T23:13:15.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,11,2022-05-11T23:13:16Z,480000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT07M08.00S,2022-05-11T23:13:19.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,30.56833114323259,73.0392156862745,1610612738,10,11,2022-05-11T23:13:29Z,490000,-115.0,235.0,1,left,MISS J. Brown 26' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,26.15,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M05.00S,2022-05-11T23:13:22.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,11,2022-05-11T23:13:29Z,500000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
51,PT06M57.00S,2022-05-11T23:13:34.7Z,1,REGULAR,foul,personal,[],1628369,,,1610612749,10,11,2022-05-11T23:13:40Z,510000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 203507]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1830.0,,,,1.0,0.0,Antetokounmpo,203507.0,,,
53,PT06M57.00S,2022-05-11T23:13:41.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,11,2022-05-11T23:13:41Z,530000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M49.00S,2022-05-11T23:17:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612749,10,11,2022-05-11T23:17:42Z,540000,,,0,,J. Brown shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1627759, 203507]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,200834.0,,,,1.0,0.0,Antetokounmpo,203507.0,,,
56,PT06M49.00S,2022-05-11T23:18:11.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,10,12,2022-05-11T23:18:11Z,560000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
57,PT06M49.00S,2022-05-11T23:18:34.4Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,10,13,2022-05-11T23:18:34Z,570000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
58,PT06M35.00S,2022-05-11T23:18:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,19.66162943495401,63.970588235294116,1610612738,10,13,2022-05-11T23:18:55Z,580000,-70.0,132.0,1,left,MISS M. Smart 14' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,14.96,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M32.00S,2022-05-11T23:18:54.2Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,10,13,2022-05-11T23:18:55Z,590000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,
60,PT06M24.00S,2022-05-11T23:19:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,81.2910643889619,41.17647058823529,1610612749,10,13,2022-05-11T23:19:09Z,600000,-44.0,123.0,1,right,MISS G. Antetokounmpo 13' driving floating Shot,[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,13.1,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M21.00S,2022-05-11T23:19:05.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,10,13,2022-05-11T23:19:09Z,610000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,
62,PT06M07.00S,2022-05-11T23:19:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,7.5722733245729295,46.32352941176471,1610612738,12,13,2022-05-11T23:19:23Z,620000,18.0,19.0,1,left,A. Horford cutting Layup (4 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,2.62,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
64,PT05M50.00S,2022-05-11T23:19:35.5Z,1,REGULAR,2pt,Jump Shot,[],1626171,79.31997371879106,58.57843137254902,1610612749,12,13,2022-05-11T23:19:41Z,640000,43.0,142.0,1,right,MISS B. Portis 14' turnaround fadeaway Shot,[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,14.82,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M47.00S,2022-05-11T23:19:38.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,13,2022-05-11T23:19:41Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,
66,PT05M41.00S,2022-05-11T23:19:44.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,24.392247043363994,36.029411764705884,1610612738,14,13,2022-05-11T23:19:48Z,660000,70.0,177.0,1,left,J. Tatum 19' pullup Jump Shot (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,19.01,Made,5.0,,,,,,,,,,,,,,,,,,
67,PT05M28.00S,2022-05-11T23:19:59.0Z,1,REGULAR,2pt,Jump Shot,[],201950,73.27529566360053,34.31372549019608,1610612749,14,15,2022-05-11T23:20:03Z,670000,-78.0,199.0,1,right,J. Holiday 21' fadeaway Jump Shot (5 PTS),[201950],1610612749.0,MIL,fadeaway,,,Holiday,J. Holiday,,,,,21.36,Made,5.0,,,,,,,,,,,,,,,,,,
68,PT05M16.00S,2022-05-11T23:20:09.7Z,1,REGULAR,3pt,Jump Shot,[],201143,31.09395532194481,26.47058823529412,1610612738,14,15,2022-05-11T23:20:14Z,680000,118.0,240.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,,
