actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
161,PT11M38.00S,2022-05-14T00:18:56.2Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612738,26,28,2022-05-14T00:19:03Z,1600000,,,0,,TEAM delay-of-game VIOLATION,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,
162,PT11M22.00S,2022-05-14T00:19:31.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.229303547963205,50.245098039215684,1610612738,26,30,2022-05-14T00:19:38Z,1610000,-1.0,25.0,1,left,J. Tatum driving Layup (11 PTS) (J. Brown 3 AST),"[1628369, 1627759]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.49,Made,11.0,,,,,,,,,,J. Brown,1627759.0,3.0,,,,,,
164,PT11M13.00S,2022-05-14T00:19:41.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,91.67214191852825,54.65686274509803,1610612749,28,30,2022-05-14T00:19:45Z,1630000,23.0,26.0,1,right,B. Lopez cutting DUNK (6 PTS) (G. Allen 1 AST),"[201572, 1628960]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,3.48,Made,6.0,,,,,,,,,,G. Allen,1628960.0,1.0,,,,,,
166,PT10M52.00S,2022-05-14T00:20:01.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,8.886333771353483,37.99019607843137,1610612738,28,32,2022-05-14T00:20:06Z,1650000,60.0,31.0,1,left,D. Theis 6' driving floating Jump Shot (2 PTS) (J. Tatum 2 AST),"[1628464, 1628369]",1610612738.0,BOS,driving floating,,,Theis,D. Theis,,,,,6.75,Made,2.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,,
168,PT10M45.00S,2022-05-14T00:20:13.5Z,2,REGULAR,foul,offensive,[],201572,,,1610612749,28,32,2022-05-14T00:20:23Z,1670000,,,0,,B. Lopez offensive FOUL (1 PF),"[201572, 1629684]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,202049.0,1.0,0.0,Williams,1629684.0,,,,,,,,,
170,PT10M45.00S,2022-05-14T00:20:13.5Z,2,REGULAR,turnover,offensive foul,[],201572,,,1610612749,28,32,2022-05-14T00:20:13Z,1690000,,,0,,B. Lopez offensive foul TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,202049.0,,,,,,,,1.0,,,,,
171,PT10M45.00S,2022-05-14T00:20:25.6Z,2,REGULAR,substitution,out,[],1626192,,,1610612738,28,32,2022-05-14T00:20:29Z,1700000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M45.00S,2022-05-14T00:20:25.6Z,2,REGULAR,substitution,in,[],202083,,,1610612738,28,32,2022-05-14T00:20:29Z,1710000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M32.00S,2022-05-14T00:20:44.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,8.886333771353483,51.9607843137255,1610612738,28,32,2022-05-14T00:20:49Z,1720000,-10.0,31.0,1,left,MISS J. Brown cutting Layup,[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.25,Missed,,,,,,,,,,,,,,,,,,,
174,PT10M30.00S,2022-05-14T00:20:46.5Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,28,32,2022-05-14T00:20:49Z,1730000,,,0,,B. Lopez REBOUND (Off:0 Def:3),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,173.0,3.0,3.0,0.0,,,,,,,,,,,,,,
175,PT10M16.00S,2022-05-14T00:21:00.4Z,2,REGULAR,2pt,Jump Shot,[],201950,87.33574244415243,16.666666666666664,1610612749,30,32,2022-05-14T00:21:04Z,1740000,-167.0,67.0,1,right,J. Holiday 17' pullup Jump Shot (5 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,17.95,Made,5.0,,,,,,,,,,,,,,,,,,
177,PT10M04.00S,2022-05-14T00:21:11.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,33.722076215505915,46.568627450980394,1610612738,30,35,2022-05-14T00:21:19Z,1760000,17.0,264.0,1,left,J. Tatum 26' 3PT pullup (14 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.51,Made,14.0,,,,,,,,,,,,,,,,,,
178,PT09M50.00S,2022-05-14T00:21:26.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,89.83245729303549,54.65686274509803,1610612749,30,35,2022-05-14T00:21:31Z,1770000,23.0,43.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,4.9,Missed,,,,,,,,,,,,,,,,,,,
179,PT09M46.00S,2022-05-14T00:21:30.5Z,2,REGULAR,rebound,offensive,[],203507,,,1610612749,30,35,2022-05-14T00:21:31Z,1780000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,178.0,4.0,2.0,2.0,,,,,,,,,,,,,,
180,PT09M46.00S,2022-05-14T00:21:30.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,94.40999984741211,50.0,1610612749,30,35,2022-05-14T00:21:30Z,1790000,0.0,0.0,1,right,MISS G. Antetokounmpo tip Layup,[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M45.00S,2022-05-14T00:21:31.3Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,30,35,2022-05-14T00:21:31Z,1800000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,180.0,1.0,1.0,0.0,,,,,,,,,,,,,,
182,PT09M34.00S,2022-05-14T00:21:42.3Z,2,REGULAR,3pt,Jump Shot,[],1627759,10.068988173455978,96.81372549019608,1610612738,30,38,2022-05-14T00:21:47Z,1810000,-234.0,42.0,1,left,J. Brown 3PT  (6 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.79,Made,6.0,,,,,,,,,,J. Tatum,1628369.0,3.0,,,,,,
184,PT09M26.00S,2022-05-14T00:21:55.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,30,38,2022-05-14T00:21:55Z,1830000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M10.00S,2022-05-14T00:25:51.1Z,2,REGULAR,2pt,Jump Shot,[],201950,93.9060446780552,79.16666666666666,1610612749,30,38,2022-05-14T00:25:57Z,1840000,146.0,5.0,1,right,MISS J. Holiday 14' fadeaway Shot,[201950],1610612749.0,MIL,fadeaway,,,Holiday,J. Holiday,,,,,14.59,Missed,,,,,,,,,,,,,,,,,,,
186,PT09M07.00S,2022-05-14T00:25:54.1Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,30,38,2022-05-14T00:25:57Z,1850000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,185.0,2.0,2.0,0.0,,,,,,,,,,,,,,
187,PT08M53.00S,2022-05-14T00:26:08.2Z,2,REGULAR,3pt,Jump Shot,[],1628464,14.011169513797633,3.1862745098039214,1610612738,30,38,2022-05-14T00:26:13Z,1860000,234.0,79.0,1,left,MISS D. Theis 24' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.71,Missed,,,,,,,,,,,,,,,,,,,
188,PT08M50.00S,2022-05-14T00:26:11.2Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,30,38,2022-05-14T00:26:13Z,1870000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,187.0,5.0,3.0,2.0,,,,,,,,,,,,,,
189,PT08M41.00S,2022-05-14T00:26:19.9Z,2,REGULAR,2pt,Jump Shot,[],203507,78.40013140604468,62.00980392156863,1610612749,30,38,2022-05-14T00:56:34Z,1880000,60.0,151.0,1,right,MISS G. Antetokounmpo 16' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,16.2,Missed,,,,,,,,,,,,,,,,,,,
190,PT08M39.00S,2022-05-14T00:26:21.9Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,30,38,2022-05-14T00:26:24Z,1890000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,189.0,1.0,1.0,0.0,,,,,,,,,,,,,,
191,PT08M32.00S,2022-05-14T00:26:29.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628369,9.149145860709593,37.99019607843137,1610612738,30,40,2022-05-14T00:26:37Z,1900000,60.0,34.0,1,left,J. Tatum 6' driving bank Hook (16 PTS),[1628369],1610612738.0,BOS,driving bank,,,Tatum,J. Tatum,,,,,6.87,Made,16.0,,,,,,,,,,,,,,,,,,
192,PT08M17.00S,2022-05-14T00:26:43.8Z,2,REGULAR,3pt,Jump Shot,[],201572,69.85873850197109,77.20588235294117,1610612749,30,40,2022-05-14T00:26:48Z,1910000,136.0,231.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
193,PT08M15.00S,2022-05-14T00:26:45.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,40,2022-05-14T00:26:48Z,1920000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,192.0,4.0,4.0,0.0,,,,,,,,,,,,,,
194,PT08M03.00S,2022-05-14T00:26:58.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,33.722076215505915,45.09803921568628,1610612738,30,40,2022-05-14T00:27:07Z,1930000,25.0,264.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,,
195,PT08M01.00S,2022-05-14T00:27:00.6Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,30,40,2022-05-14T00:27:54Z,1940000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,194.0,6.0,4.0,2.0,,,,,,,,,,,,,,
196,PT08M01.00S,2022-05-14T00:27:05.8Z,2,REGULAR,foul,personal,[],1628464,,,1610612749,30,40,2022-05-14T00:27:18Z,1950000,,,0,,D. Theis take personal FOUL (1 PF),"[1628464, 203507]",1610612738.0,BOS,take,,,Theis,D. Theis,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
198,PT07M59.00S,2022-05-14T00:27:30.7Z,2,REGULAR,turnover,bad pass,[],1628960,,,1610612749,30,40,2022-05-14T00:27:38Z,1970000,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1629684]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,,,
199,PT07M59.00S,2022-05-14T00:27:30.7Z,2,REGULAR,steal,,[],1629684,,,1610612738,30,40,2022-05-14T00:27:32Z,1980000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT07M59.00S,2022-05-14T00:27:35.4Z,2,REGULAR,foul,personal,[],203507,,,1610612738,30,40,2022-05-14T00:28:49Z,1990000,,,0,,G. Antetokounmpo take personal FOUL (2 PF),"[203507, 1629684]",1610612749.0,MIL,take,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,2715.0,2.0,0.0,Williams,1629684.0,,,,,,,,,
202,PT07M59.00S,2022-05-14T00:27:50.3Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,30,40,2022-05-14T00:28:39Z,2010000,,,0,,,[],,,support,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,Common Foul Upheld
203,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,out,[],1628960,,,1610612738,30,40,2022-05-14T00:29:03Z,2020000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,out,[],201572,,,1610612738,30,40,2022-05-14T00:29:03Z,2030000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,30,40,2022-05-14T00:29:03Z,2040000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,in,[],1626171,,,1610612738,30,40,2022-05-14T00:29:03Z,2050000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,in,[],1626192,,,1610612738,30,40,2022-05-14T00:29:03Z,2060000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M59.00S,2022-05-14T00:28:43.2Z,2,REGULAR,substitution,in,[],203935,,,1610612738,30,40,2022-05-14T00:29:03Z,2070000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M44.00S,2022-05-14T00:29:13.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,28.33442838370565,18.627450980392158,1610612738,30,40,2022-05-14T00:29:57Z,2080000,157.0,214.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
210,PT07M42.00S,2022-05-14T00:29:15.2Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,30,40,2022-05-14T00:29:17Z,2090000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,209.0,2.0,2.0,0.0,,,,,,,,,,,,,,
211,PT07M31.00S,2022-05-14T00:29:26.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202083,89.17542706964521,58.333333333333336,1610612749,30,40,2022-05-14T00:29:35Z,2100000,42.0,49.0,1,right,MISS W. Matthews 6' driving Layup - blocked,"[202083, 1627759]",1610612749.0,MIL,driving,,,Matthews,W. Matthews,,,,,6.46,Missed,,,,,,,,,,,,,,,,,Brown,1627759.0,
212,PT07M31.00S,2022-05-14T00:29:26.1Z,2,REGULAR,block,,[],1627759,,,1610612749,30,40,2022-05-14T00:29:29Z,2110000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M26.00S,2022-05-14T00:29:31.1Z,2,REGULAR,rebound,offensive,[],1626171,,,1610612749,30,40,2022-05-14T00:29:35Z,2120000,,,0,,B. Portis REBOUND (Off:1 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,211.0,3.0,2.0,1.0,,,,,,,,,,,,,,
214,PT07M25.00S,2022-05-14T00:29:32.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201950,69.72733245729303,20.588235294117645,1610612749,33,40,2022-05-14T00:29:38Z,2130000,-147.0,232.0,1,right,J. Holiday 27' 3PT  (8 PTS) (P. Connaughton 1 AST),"[201950, 1626192]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,27.48,Made,8.0,,,,,,,,,,P. Connaughton,1626192.0,1.0,,,,,,
216,PT07M06.00S,2022-05-14T00:29:52.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,10.988830486202366,39.950980392156865,1610612738,33,40,2022-05-14T00:30:05Z,2150000,50.0,51.0,1,left,MISS J. Tatum 7' driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,7.14,Missed,,,,,,,,,,,,,,,,,,,
217,PT07M03.00S,2022-05-14T00:29:55.0Z,2,REGULAR,rebound,defensive,[],202083,,,1610612749,33,40,2022-05-14T00:35:01Z,2160000,,,0,,W. Matthews REBOUND (Off:0 Def:3),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,216.0,3.0,3.0,0.0,,,,,,,,,,,,,,
218,PT07M02.00S,2022-05-14T00:29:57.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,92.59198423127464,52.20588235294118,1610612749,35,40,2022-05-14T00:30:10Z,2170000,11.0,17.0,1,right,G. Antetokounmpo running Layup (19 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,2.03,Made,19.0,,,,,,,,,,,,,,,,,,
219,PT07M02.00S,2022-05-14T00:30:01.1Z,2,REGULAR,foul,personal,['1freethrow'],203935,,,1610612749,35,40,2022-05-14T00:30:22Z,2180000,,,0,,M. Smart shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[203935, 203507]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,202049.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
221,PT07M02.00S,2022-05-14T00:30:33.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,35,40,2022-05-14T00:30:33Z,2200000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M02.00S,2022-05-14T00:30:37.2Z,2,REGULAR,instantreplay,challenge,[],0,,,1610612749,35,40,2022-05-14T00:35:20Z,2210000,,,0,,,[],1610612738.0,BOS,stands,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,
223,PT07M02.00S,2022-05-14T00:33:14.3Z,2,REGULAR,substitution,out,[],1628464,,,1610612749,35,40,2022-05-14T00:33:52Z,2220000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M02.00S,2022-05-14T00:33:14.3Z,2,REGULAR,substitution,in,[],201143,,,1610612749,35,40,2022-05-14T00:33:52Z,2230000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M02.00S,2022-05-14T00:34:20.1Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,35,40,2022-05-14T00:34:22Z,2240000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
226,PT06M59.00S,2022-05-14T00:34:23.1Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,35,40,2022-05-14T00:34:22Z,2250000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,225.0,4.0,4.0,0.0,,,,,,,,,,,,,,
227,PT06M45.00S,2022-05-14T00:34:39.5Z,2,REGULAR,foul,personal,[],202083,,,1610612738,35,40,2022-05-14T00:34:52Z,2260000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 1627759]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,202049.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
229,PT06M39.00S,2022-05-14T00:35:08.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,35,40,2022-05-14T00:35:08Z,2280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M37.00S,2022-05-14T00:35:33.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.521024967148489,51.71568627450981,1610612738,35,42,2022-05-14T00:35:57Z,2290000,-9.0,9.0,1,left,J. Tatum driving Layup (18 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.23,Made,18.0,,,,,,,,,,M. Smart,203935.0,2.0,,,,,,
232,PT06M37.00S,2022-05-14T00:35:38.2Z,2,REGULAR,foul,personal,['1freethrow'],202083,,,1610612738,35,42,2022-05-14T00:36:06Z,2310000,,,0,,W. Matthews shooting personal FOUL (2 PF) (Tatum 1 FT),"[202083, 1628369]",1610612749.0,MIL,shooting,,,Matthews,W. Matthews,,,,,,,,,,,,202049.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,
234,PT06M37.00S,2022-05-14T00:36:07.2Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,35,42,2022-05-14T00:36:09Z,2330000,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
235,PT06M32.00S,2022-05-14T00:36:12.2Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,35,42,2022-05-14T00:36:09Z,2340000,,,0,,B. Portis REBOUND (Off:1 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,234.0,4.0,3.0,1.0,,,,,,,,,,,,,,
236,PT06M24.00S,2022-05-14T00:36:16.5Z,2,REGULAR,3pt,Jump Shot,[],201950,92.32917214191852,95.34313725490196,1610612749,35,42,2022-05-14T00:36:23Z,2350000,227.0,20.0,1,right,MISS J. Holiday 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,22.75,Missed,,,,,,,,,,,,,,,,,,,
237,PT06M20.00S,2022-05-14T00:36:20.5Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,35,42,2022-05-14T00:36:23Z,2360000,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,236.0,3.0,2.0,1.0,,,,,,,,,,,,,,
238,PT06M16.00S,2022-05-14T00:36:24.9Z,2,REGULAR,3pt,Jump Shot,[],203935,23.47240473061761,9.803921568627452,1610612738,35,42,2022-05-14T00:37:18Z,2370000,201.0,168.0,1,left,MISS M. Smart 26' step back 3PT,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
239,PT06M13.00S,2022-05-14T00:36:27.9Z,2,REGULAR,rebound,defensive,[],201950,,,1610612749,35,42,2022-05-14T00:36:33Z,2380000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,238.0,1.0,1.0,0.0,,,,,,,,,,,,,,
240,PT06M07.00S,2022-05-14T00:36:34.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,92.19776609724047,51.71568627450981,1610612749,37,42,2022-05-14T00:36:40Z,2390000,9.0,21.0,1,right,G. Antetokounmpo cutting DUNK (21 PTS) (W. Matthews 1 AST),"[203507, 202083]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,2.25,Made,21.0,,,,,,,,,,W. Matthews,202083.0,1.0,,,,,,
242,PT05M50.00S,2022-05-14T00:36:51.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,16.63929040735874,37.99019607843137,1610612738,37,42,2022-05-14T00:37:00Z,2410000,60.0,104.0,1,left,MISS J. Tatum 12' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.0,Missed,,,,,,,,,,,,,,,,,,,
243,PT05M47.00S,2022-05-14T00:36:54.3Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,37,42,2022-05-14T00:37:00Z,2420000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,242.0,7.0,5.0,2.0,,,,,,,,,,,,,,
244,PT05M41.00S,2022-05-14T00:36:59.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202083,95.3515111695138,2.2058823529411766,1610612749,37,42,2022-05-14T00:37:06Z,2430000,-239.0,-9.0,1,right,MISS W. Matthews running 3PT,[202083],1610612749.0,MIL,running,,,Matthews,W. Matthews,,,,,23.92,Missed,,,,,,,,,,,,,,,,,,,
245,PT05M37.00S,2022-05-14T00:37:03.5Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,37,42,2022-05-14T00:37:03Z,2440000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,244.0,3.0,3.0,0.0,,,,,,,,,,,,,,
246,PT05M25.00S,2022-05-14T00:37:16.0Z,2,REGULAR,2pt,Jump Shot,[],1627759,20.97568988173456,65.68627450980392,1610612738,37,42,2022-05-14T00:37:19Z,2450000,-78.0,145.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.46,Missed,,,,,,,,,,,,,,,,,,,
247,PT05M23.00S,2022-05-14T00:37:18.0Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,37,42,2022-05-14T00:37:19Z,2460000,,,0,,B. Portis REBOUND (Off:1 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,246.0,5.0,4.0,1.0,,,,,,,,,,,,,,
248,PT05M15.00S,2022-05-14T00:37:25.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.9060446780552,51.225490196078425,1610612749,39,42,2022-05-14T00:37:31Z,2470000,6.0,5.0,1,right,J. Holiday cutting finger roll Layup (10 PTS) (G. Antetokounmpo 2 AST),"[201950, 203507]",1610612749.0,MIL,cutting finger roll,,,Holiday,J. Holiday,,,,,0.78,Made,10.0,,,,,,,,,,G. Antetokounmpo,203507.0,2.0,,,,,,
