actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
35,PT09M53.00S,2022-05-13T23:52:32.7Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,4,6,2022-05-13T23:52:32Z,350000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,202027.0,,,,,,,,1.0,,,,,
36,PT09M40.00S,2022-05-13T23:52:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,17.16491458607096,2.941176470588235,1610612738,4,6,2022-05-13T23:53:04Z,360000,235.0,109.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M37.00S,2022-05-13T23:53:02.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,6,2022-05-13T23:53:04Z,370000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M28.00S,2022-05-13T23:53:11.6Z,1,REGULAR,3pt,Jump Shot,[],201950,65.91655716162943,35.294117647058826,1610612749,4,6,2022-05-13T23:58:11Z,380000,-74.0,268.0,1,right,MISS J. Holiday 27' pullup 3PT,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,27.78,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M26.00S,2022-05-13T23:53:13.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,6,2022-05-13T23:53:17Z,390000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT09M12.00S,2022-05-13T23:53:28.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,16.507884362680684,3.431372549019608,1610612738,4,9,2022-05-13T23:53:33Z,400000,233.0,103.0,1,left,J. Tatum 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.44,Made,3.0,,,,,,,,,,M. Smart,203935.0,1.0,,,,,,
42,PT08M53.00S,2022-05-13T23:53:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612749,4,9,2022-05-13T23:53:59Z,420000,,,0,,J. Brown shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1627759, 203507]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,202027.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
44,PT08M53.00S,2022-05-13T23:54:31.6Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,9,2022-05-13T23:54:31Z,440000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
45,PT08M53.00S,2022-05-13T23:54:57.4Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,6,9,2022-05-13T23:54:57Z,450000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (6 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
46,PT08M36.00S,2022-05-13T23:55:15.3Z,1,REGULAR,3pt,Jump Shot,[],203935,34.247700394218136,58.333333333333336,1610612738,6,12,2022-05-13T23:55:22Z,460000,-42.0,269.0,1,left,M. Smart 27' 3PT  (6 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.26,Made,6.0,,,,,,,,,,J. Brown,1627759.0,1.0,,,,,,
