actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
91,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,17,1,2022-05-24T00:55:44Z,910000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,17,1,2022-05-24T00:55:44Z,920000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,17,1,2022-05-24T00:55:44Z,930000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,in,[],203506,,,1610612738,17,1,2022-05-24T00:55:44Z,940000,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,in,[],203473,,,1610612738,17,1,2022-05-24T00:55:44Z,950000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M14.00S,2022-05-24T00:55:59.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,18,1,2022-05-24T00:55:59Z,960000,,,0,,J. Tatum Free Throw 2 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
97,PT04M59.00S,2022-05-24T00:56:17.3Z,1,REGULAR,2pt,Jump Shot,[],1629216,23.99802890932983,64.2156862745098,1610612748,18,1,2022-05-24T01:02:55Z,970000,-71.0,173.0,1,left,MISS G. Vincent 18' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,,,,18.71,Missed,,,,,,,,,,,,,,,,
98,PT04M55.00S,2022-05-24T00:56:20.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,18,1,2022-05-24T00:56:20Z,980000,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,97.0,4.0,3.0,1.0,,,,,,
102,PT04M46.00S,2022-05-24T00:56:29.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,90.22667542706965,95.58823529411765,1610612738,18,1,2022-05-24T00:56:42Z,990000,228.0,39.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,23.13,Missed,,,,,,,,,,,,,,,,
103,PT04M44.00S,2022-05-24T00:56:31.4Z,1,REGULAR,rebound,defensive,[],203506,,,1610612748,18,1,2022-05-24T00:57:23Z,1000000,,,0,,V. Oladipo REBOUND (Off:0 Def:1),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,,,,
106,PT04M34.00S,2022-05-24T00:56:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203473,12.828515111695138,42.8921568627451,1610612748,18,1,2022-05-24T01:00:19Z,1030000,36.0,68.0,1,left,MISS D. Dedmon 7' floating Shot,[203473],1610612748.0,MIA,floating,,,Dedmon,D. Dedmon,,,,,,,,7.68,Missed,,,,,,,,,,,,,,,,
107,PT04M32.00S,2022-05-24T00:56:43.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,18,1,2022-05-24T00:56:54Z,1040000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,106.0,4.0,3.0,1.0,,,,,,
108,PT04M26.00S,2022-05-24T00:56:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.15045992115637,24.264705882352942,1610612738,18,1,2022-05-24T01:01:55Z,1050000,-129.0,247.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,27.84,Missed,,,,,,,,,,,,,,,,
109,PT04M25.00S,2022-05-24T00:56:51.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,18,1,2022-05-24T00:57:06Z,1060000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,
110,PT04M24.00S,2022-05-24T00:56:56.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,18,1,2022-05-24T00:56:56Z,1070000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M03.00S,2022-05-24T00:57:20.5Z,1,REGULAR,2pt,Jump Shot,[],1629216,7.490144546649145,90.95435049019608,1610612748,18,1,2022-05-24T01:02:23Z,1080000,-205.0,18.0,1,left,MISS G. Vincent 20' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,,,,20.56,Missed,,,,,,,,,,,,,,,,
112,PT04M01.00S,2022-05-24T00:57:22.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,18,1,2022-05-24T00:57:28Z,1090000,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,111.0,5.0,4.0,1.0,,,,,,
113,PT03M44.00S,2022-05-24T00:57:39.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,90.48948751642575,94.11764705882352,1610612738,18,1,2022-05-24T00:57:49Z,1100000,221.0,37.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,22.37,Missed,,,,,,,,,,,,,,,,
114,PT03M42.00S,2022-05-24T00:57:41.8Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,18,1,2022-05-24T00:57:49Z,1110000,,,0,,A. Horford REBOUND (Off:2 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,113.0,6.0,4.0,2.0,,,,,,
115,PT03M33.00S,2022-05-24T00:57:50.6Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,18,1,2022-05-24T00:57:54Z,1120000,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 200782]",1610612738.0,BOS,,,,White,D. White,,,,,1.0,Tucker,200782.0,,,,,,,,,,,,,,,,,,
116,PT03M33.00S,2022-05-24T00:57:50.6Z,1,REGULAR,steal,,[],200782,,,1610612748,18,1,2022-05-24T00:57:52Z,1130000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M22.00S,2022-05-24T00:58:01.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203506,28.86005256241787,74.50980392156863,1610612748,18,4,2022-05-24T00:58:06Z,1140000,-123.0,219.0,1,left,V. Oladipo 25' 3PT  (3 PTS) (P. Tucker 1 AST),"[203506, 200782]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,25.08,Made,3.0,,,,,,,,,,P. Tucker,200782.0,1.0,,,
119,PT02M59.00S,2022-05-24T00:58:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,67.09921156373193,72.30392156862744,1610612738,21,4,2022-05-24T00:58:28Z,1160000,112.0,257.0,1,right,P. Pritchard 28' 3PT  (3 PTS) (J. Tatum 1 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,28.0,Made,3.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,
121,PT02M48.00S,2022-05-24T00:58:38.9Z,1,REGULAR,foul,offensive,[],203473,,,1610612748,21,4,2022-05-24T00:58:54Z,1180000,,,0,,D. Dedmon offensive FOUL (1 PF),"[203473, 1628401]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,201640.0,1.0,0.0,White,1628401.0,,,,,,,,,,
123,PT02M48.00S,2022-05-24T00:58:38.9Z,1,REGULAR,turnover,offensive foul,[],203473,,,1610612748,21,4,2022-05-24T00:58:54Z,1200000,,,0,,D. Dedmon offensive foul TURNOVER (1 TO),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,1.0,,,,,,201640.0,,,,,,,,,,,,,,
124,PT02M48.00S,2022-05-24T00:58:51.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,4,2022-05-24T00:58:51Z,1210000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M48.00S,2022-05-24T01:01:34.4Z,1,REGULAR,substitution,out,[],201143,,,1610612738,21,4,2022-05-24T01:02:27Z,1220000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M48.00S,2022-05-24T01:01:34.4Z,1,REGULAR,substitution,out,[],200782,,,1610612738,21,4,2022-05-24T01:02:27Z,1230000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M48.00S,2022-05-24T01:01:34.4Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,21,4,2022-05-24T01:02:27Z,1240000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M48.00S,2022-05-24T01:01:34.4Z,1,REGULAR,substitution,in,[],1629130,,,1610612738,21,4,2022-05-24T01:02:27Z,1250000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M35.00S,2022-05-24T01:02:40.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,92.19776609724047,40.19607843137255,1610612738,23,4,2022-05-24T01:02:44Z,1260000,-49.0,21.0,1,right,D. White driving floating Jump Shot (9 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,,5.32,Made,9.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,
131,PT02M12.00S,2022-05-24T01:03:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,10.5946123521682,58.333333333333336,1610612748,23,4,2022-05-24T01:04:41Z,1280000,-42.0,47.0,1,left,MISS G. Vincent 6' turnaround fadeaway Shot,[1629216],1610612748.0,MIA,turnaround fadeaway,,,Vincent,G. Vincent,,,,,,,,6.29,Missed,,,,,,,,,,,,,,,,
132,PT02M10.00S,2022-05-24T01:03:04.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,4,2022-05-24T01:03:07Z,1290000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,131.0,5.0,4.0,1.0,,,,,,
133,PT02M02.00S,2022-05-24T01:03:13.1Z,1,REGULAR,foul,personal,['3freethrow'],1629130,,,1610612738,23,4,2022-05-24T01:03:26Z,1300000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Tatum 3 FT),"[1629130, 1628369]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
135,PT02M02.00S,2022-05-24T01:03:47.6Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,24,4,2022-05-24T01:03:47Z,1320000,,,0,,J. Tatum Free Throw 1 of 3 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
136,PT02M02.00S,2022-05-24T01:04:05.9Z,1,REGULAR,freethrow,2 of 3,[],1628369,,,1610612738,25,4,2022-05-24T01:04:05Z,1330000,,,0,,J. Tatum Free Throw 2 of 3 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,
137,PT02M02.00S,2022-05-24T01:04:24.0Z,1,REGULAR,freethrow,3 of 3,[],1628369,,,1610612738,26,4,2022-05-24T01:04:24Z,1340000,,,0,,J. Tatum Free Throw 3 of 3 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,12.0,,,,,,,,,,,,,,,
138,PT01M50.00S,2022-05-24T01:04:39.4Z,1,REGULAR,2pt,Jump Shot,[],202710,16.90210249671485,29.65686274509804,1610612748,26,6,2022-05-24T01:05:13Z,1350000,102.0,106.0,1,left,J. Butler 14' step back Jump Shot (2 PTS),[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,,,,14.72,Made,2.0,,,,,,,,,,,,,,,
139,PT01M33.00S,2022-05-24T01:04:57.6Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,26,6,2022-05-24T01:05:50Z,1360000,,,0,,D. White lost ball TURNOVER (2 TO),"[1628401, 1629216]",1610612738.0,BOS,,,,White,D. White,,,,,2.0,Vincent,1629216.0,,,,,,,,,,,,,,,,,,
140,PT01M33.00S,2022-05-24T01:04:57.6Z,1,REGULAR,steal,,[],1629216,,,1610612748,26,6,2022-05-24T01:05:03Z,1370000,,,0,,G. Vincent STEAL (1 STL),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M29.00S,2022-05-24T01:05:04.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612748,26,6,2022-05-24T01:05:21Z,1380000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Oladipo 2 FT),"[1630202, 203506]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,2003.0,1.0,0.0,Oladipo,203506.0,,,,,,,,,,
143,PT01M29.00S,2022-05-24T01:05:31.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203506,,,1610612748,26,7,2022-05-24T01:05:31Z,1400000,,,0,,V. Oladipo Free Throw 1 of 2 (4 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
144,PT01M29.00S,2022-05-24T01:05:49.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203506,,,1610612748,26,8,2022-05-24T01:05:49Z,1410000,,,0,,V. Oladipo Free Throw 2 of 2 (5 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
145,PT01M18.00S,2022-05-24T01:06:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,90.62089356110381,54.90196078431373,1610612738,26,8,2022-05-24T01:07:09Z,1420000,25.0,36.0,1,right,MISS D. White driving floating bank Shot,[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,,,,4.33,Missed,,,,,,,,,,,,,,,,
146,PT01M16.00S,2022-05-24T01:06:03.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,26,8,2022-05-24T01:06:06Z,1430000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,145.0,1.0,1.0,0.0,,,,,,
147,PT01M12.00S,2022-05-24T01:06:10.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612748,26,8,2022-05-24T01:06:18Z,1440000,,,0,,P. Pritchard shooting personal FOUL (2 PF) (Oladipo 2 FT),"[1630202, 203506]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,201640.0,2.0,0.0,Oladipo,203506.0,,,,,,,,,,
149,PT01M12.00S,2022-05-24T01:06:37.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203506,,,1610612748,26,9,2022-05-24T01:07:02Z,1460000,,,0,,V. Oladipo Free Throw 1 of 2 (6 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
150,PT01M12.00S,2022-05-24T01:06:37.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203506,,,1610612748,26,9,2022-05-24T01:07:02Z,1470000,,,0,,MISS V. Oladipo Free Throw 2 of 2,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
151,PT01M12.00S,2022-05-24T01:06:37.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,26,9,2022-05-24T01:07:02Z,1480000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,150.0,4.0,3.0,1.0,,,,,,
152,PT01M00.00S,2022-05-24T01:07:11.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,26,9,2022-05-24T01:07:11Z,1490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M51.50S,2022-05-24T01:07:34.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,73.14388961892247,14.705882352941178,1610612738,26,9,2022-05-24T01:07:39Z,1500000,-176.0,200.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,26.67,Missed,,,,,,,,,,,,,,,,
154,PT00M48.60S,2022-05-24T01:07:36.9Z,1,REGULAR,rebound,defensive,[],203506,,,1610612748,26,9,2022-05-24T01:07:39Z,1510000,,,0,,V. Oladipo REBOUND (Off:0 Def:2),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,153.0,2.0,2.0,0.0,,,,,,
155,PT00M45.20S,2022-05-24T01:07:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,7.966491458607096,49.26470588235294,1610612748,26,11,2022-05-24T01:07:46Z,1520000,4.0,22.0,1,left,J. Butler running Layup (4 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,,,,2.27,Made,4.0,,,,,,,,,,G. Vincent,1629216.0,1.0,,,
157,PT00M34.30S,2022-05-24T01:07:55.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.1281208935611,52.450980392156865,1610612738,26,11,2022-05-24T01:08:27Z,1540000,12.0,275.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,27.56,Missed,,,,,,,,,,,,,,,,
158,PT00M31.10S,2022-05-24T01:07:58.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,26,11,2022-05-24T01:08:06Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,
159,PT00M31.10S,2022-05-24T01:08:06.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612738,26,11,2022-05-24T01:08:14Z,1560000,,,0,,D. Robinson loose ball personal FOUL (2 PF) (Williams 2 FT),"[1629130, 1629684]",1610612748.0,MIA,loose ball,,,Robinson,D. Robinson,,,,,,,,,,,201640.0,2.0,0.0,Williams,1629684.0,,,,,,,,,,
161,PT00M31.10S,2022-05-24T01:08:26.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629684,,,1610612738,27,11,2022-05-24T01:08:26Z,1580000,,,0,,G. Williams Free Throw 1 of 2 (1 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
162,PT00M31.10S,2022-05-24T01:08:45.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629684,,,1610612738,28,11,2022-05-24T01:08:45Z,1590000,,,0,,G. Williams Free Throw 2 of 2 (2 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
163,PT00M25.10S,2022-05-24T01:08:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,7.703679369250986,61.274509803921575,1610612748,28,11,2022-05-24T01:10:23Z,1600000,-56.0,20.0,1,left,MISS G. Vincent driving floating Shot - blocked,"[1629216, 1630202]",1610612748.0,MIA,driving floating,,,Vincent,G. Vincent,,,,,,,,5.98,Missed,,,,,,,,,,,,,,Pritchard,1630202.0,
164,PT00M25.10S,2022-05-24T01:08:53.0Z,1,REGULAR,block,,[],1630202,,,1610612748,28,11,2022-05-24T01:08:55Z,1610000,,,0,,P. Pritchard BLOCK (1 BLK),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M22.90S,2022-05-24T01:08:55.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,28,11,2022-05-24T01:09:53Z,1620000,,,0,,R. Williams III REBOUND (Off:1 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,163.0,5.0,4.0,1.0,,,,,,
166,PT00M22.90S,2022-05-24T01:08:59.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203473,,,1610612738,28,11,2022-05-24T01:09:11Z,1630000,,,0,,D. Dedmon personal FOUL (2 PF) (White 2 FT),"[203473, 1628401]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,1162.0,2.0,0.0,White,1628401.0,,,,,,,,,,
168,PT00M22.90S,2022-05-24T01:09:36.2Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,29,11,2022-05-24T01:10:12Z,1650000,,,0,,D. White Free Throw 1 of 2 (10 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
169,PT00M22.90S,2022-05-24T01:09:38.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,29,11,2022-05-24T01:09:45Z,1660000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M22.90S,2022-05-24T01:09:38.5Z,1,REGULAR,substitution,out,[],203473,,,1610612738,29,11,2022-05-24T01:09:45Z,1670000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M22.90S,2022-05-24T01:09:38.5Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,29,11,2022-05-24T01:09:45Z,1680000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M22.90S,2022-05-24T01:09:38.5Z,1,REGULAR,substitution,in,[],1628389,,,1610612738,29,11,2022-05-24T01:09:45Z,1690000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M22.90S,2022-05-24T01:09:36.2Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,29,11,2022-05-24T01:10:12Z,1700000,,,0,,MISS D. White Free Throw 2 of 2,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,Missed,,,,,,,,,,,,,,,,
174,PT00M22.90S,2022-05-24T01:09:36.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,29,11,2022-05-24T01:10:12Z,1710000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,173.0,2.0,2.0,0.0,,,,,,
175,PT00M05.80S,2022-05-24T01:10:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.884362680683312,41.517310049019606,1610612748,29,11,2022-05-24T01:11:17Z,1720000,42.0,22.0,1,left,MISS J. Butler Layup,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,4.76,Missed,,,,,,,,,,,,,,,,
176,PT00M03.30S,2022-05-24T01:10:25.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,29,11,2022-05-24T01:10:36Z,1730000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,175.0,2.0,2.0,0.0,,,,,,
177,PT00M00.50S,2022-05-24T01:10:29.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,69.33311432325887,77.45098039215686,1610612738,29,11,2022-05-24T01:11:34Z,1740000,137.0,236.0,1,right,MISS P. Pritchard 27' running pullup 3PT,[1630202],1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,,,,27.29,Missed,,,,,,,,,,,,,,,,
178,PT00M00.10S,2022-05-24T01:10:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,29,11,2022-05-24T01:10:48Z,1750000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,177.0,,,,,,,,,
179,PT00M00.00S,2022-05-24T01:10:32.9Z,1,REGULAR,period,end,[],0,,,1610612738,29,11,2022-05-24T01:10:32Z,1760000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2022-05-24T01:13:42.4Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612738,29,11,2022-05-24T01:14:08Z,1770000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2022-05-24T01:13:42.4Z,2,REGULAR,substitution,out,['startperiod'],1630174,,,1610612738,29,11,2022-05-24T01:14:08Z,1780000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2022-05-24T01:13:42.4Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,29,11,2022-05-24T01:14:08Z,1790000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2022-05-24T01:13:42.4Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,29,11,2022-05-24T01:14:08Z,1800000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
