actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
90,PT04M35.00S,2022-05-22T01:00:06.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,7.30946123521682,95.83333333333334,1610612748,7,24,2022-05-22T01:00:14Z,890000,-229.0,16.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,22.98,Missed,,,,,,,,,,,,,,,,,,,
91,PT04M31.00S,2022-05-22T01:00:10.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,7,24,2022-05-22T01:00:14Z,900000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
93,PT04M20.00S,2022-05-22T01:00:21.4Z,1,REGULAR,3pt,Jump Shot,[],201143,69.59592641261499,24.019607843137255,1610612738,10,24,2022-05-22T01:00:25Z,910000,-130.0,233.0,1,right,A. Horford 26' 3PT  (5 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.7,Made,,,,,5.0,M. Smart,203935.0,1.0,,,,,,,,,,,
95,PT03M56.00S,2022-05-22T01:00:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,17.95335085413929,36.27450980392157,1610612748,10,24,2022-05-22T01:00:49Z,930000,69.0,116.0,1,left,MISS M. Strus 13' driving Layup - blocked,"[1629622, 201143]",1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,13.5,Missed,,,,,,,,,,,,,,,,,Horford,201143.0,
96,PT03M56.00S,2022-05-22T01:00:44.7Z,1,REGULAR,block,,[],201143,,,1610612748,10,24,2022-05-22T01:00:46Z,940000,,,0,,A. Horford BLOCK (3 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M54.00S,2022-05-22T01:00:46.7Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,10,24,2022-05-22T01:00:49Z,950000,,,0,,M. Strus REBOUND (Off:1 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,95.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
98,PT03M54.00S,2022-05-22T01:00:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,20.18725361366623,5.147058823529411,1610612748,10,27,2022-05-22T01:04:07Z,960000,224.0,137.0,1,left,M. Strus 26' 3PT step back (8 PTS),[1629622],1610612748.0,MIA,step back,,,Strus,M. Strus,,,,,26.3,Made,,,,,8.0,,,,,,,,,,,,,,
99,PT03M34.00S,2022-05-22T01:01:07.0Z,1,REGULAR,3pt,Jump Shot,[],203935,74.32654402102497,13.480392156862745,1610612738,10,27,2022-05-22T01:01:15Z,970000,-183.0,189.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
100,PT03M33.00S,2022-05-22T01:01:08.0Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,10,27,2022-05-22T01:01:15Z,980000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,99.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
101,PT03M23.00S,2022-05-22T01:01:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,14.060446780551905,53.91007965686274,1610612748,10,29,2022-05-22T01:01:24Z,990000,-20.0,80.0,1,left,P. Tucker 8' driving floating Jump Shot (5 PTS),[200782],1610612748.0,MIA,driving floating,,,Tucker,P. Tucker,,,,,8.21,Made,,,,,5.0,,,,,,,,,,,,,,
102,PT03M04.00S,2022-05-22T01:01:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,92.9862023653088,60.5392156862745,1610612738,10,29,2022-05-22T01:05:20Z,1000000,53.0,13.0,1,right,MISS D. White driving floating bank Shot,[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,5.44,Missed,,,,,,,,,,,,,,,,,,,
103,PT03M03.00S,2022-05-22T01:01:38.6Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,10,29,2022-05-22T01:01:50Z,1010000,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,102.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
104,PT03M01.00S,2022-05-22T01:01:41.6Z,1,REGULAR,foul,personal,['3freethrow'],203473,,,1610612738,10,29,2022-05-22T01:01:49Z,1020000,,,0,,D. Dedmon shooting personal FOUL (1 PF) (Brown 3 FT),"[203473, 1627759]",1610612748.0,MIA,shooting,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,
106,PT03M01.00S,2022-05-22T01:02:13.4Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1627759,,,1610612738,11,29,2022-05-22T01:02:13Z,1040000,,,0,,J. Brown Free Throw 1 of 3 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
107,PT03M01.00S,2022-05-22T01:02:27.8Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1627759,,,1610612738,12,29,2022-05-22T01:02:27Z,1050000,,,0,,J. Brown Free Throw 2 of 3 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
108,PT03M01.00S,2022-05-22T01:02:29.9Z,1,REGULAR,substitution,out,[],200782,,,1610612738,12,29,2022-05-22T01:02:38Z,1060000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M01.00S,2022-05-22T01:02:29.9Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,12,29,2022-05-22T01:02:38Z,1070000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M01.00S,2022-05-22T01:02:29.9Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,12,29,2022-05-22T01:02:38Z,1080000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M01.00S,2022-05-22T01:02:29.9Z,1,REGULAR,substitution,in,[],1628997,,,1610612738,12,29,2022-05-22T01:02:38Z,1090000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M01.00S,2022-05-22T01:02:52.5Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1627759,,,1610612738,13,29,2022-05-22T01:02:52Z,1100000,,,0,,J. Brown Free Throw 3 of 3 (7 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
113,PT02M49.00S,2022-05-22T01:03:06.8Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,13,29,2022-05-22T01:03:09Z,1110000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1627759]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,,,
114,PT02M49.00S,2022-05-22T01:03:06.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,13,29,2022-05-22T01:03:08Z,1120000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M43.00S,2022-05-22T01:03:14.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203473,,,1610612738,13,29,2022-05-22T01:03:30Z,1130000,,,0,,D. Dedmon personal FOUL (2 PF) (Smart 2 FT),"[203473, 203935]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,202058.0,2.0,0.0,Smart,203935.0,,,
117,PT02M43.00S,2022-05-22T01:03:46.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,14,29,2022-05-22T01:04:17Z,1150000,,,0,,M. Smart Free Throw 1 of 2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
118,PT02M43.00S,2022-05-22T01:03:46.5Z,1,REGULAR,substitution,out,[],201143,,,1610612738,14,29,2022-05-22T01:03:56Z,1160000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M43.00S,2022-05-22T01:03:46.5Z,1,REGULAR,substitution,out,[],203473,,,1610612738,14,29,2022-05-22T01:03:56Z,1170000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M43.00S,2022-05-22T01:03:46.5Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,14,29,2022-05-22T01:03:56Z,1180000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M43.00S,2022-05-22T01:03:46.5Z,1,REGULAR,substitution,in,[],1628389,,,1610612738,14,29,2022-05-22T01:03:56Z,1190000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M43.00S,2022-05-22T01:03:46.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,14,29,2022-05-22T01:04:17Z,1200000,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
123,PT02M43.00S,2022-05-22T01:03:46.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,14,29,2022-05-22T01:04:22Z,1210000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
124,PT02M31.00S,2022-05-22T01:04:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.844283837056505,53.67647058823529,1610612748,14,29,2022-05-22T01:04:27Z,1220000,-18.0,143.0,1,left,MISS B. Adebayo 14' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,14.46,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M29.00S,2022-05-22T01:04:23.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,14,29,2022-05-22T01:04:27Z,1230000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
126,PT02M17.00S,2022-05-22T01:04:35.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,14,29,2022-05-22T01:04:40Z,1240000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1628389]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,,,,,
127,PT02M17.00S,2022-05-22T01:04:35.3Z,1,REGULAR,steal,,[],1628389,,,1610612748,14,29,2022-05-22T01:04:37Z,1250000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M07.00S,2022-05-22T01:04:45.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,29.25427069645204,73.2843137254902,1610612748,14,32,2022-05-22T01:04:49Z,1260000,-116.0,222.0,1,left,G. Vincent 25' 3PT  (3 PTS) (T. Herro 1 AST),"[1629216, 1629639]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,25.11,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,,
130,PT01M47.00S,2022-05-22T01:05:05.9Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,14,32,2022-05-22T01:05:08Z,1280000,,,0,,D. Theis bad pass TURNOVER (2 TO),"[1628464, 1629216]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,2.0,Vincent,1629216.0,,,,,,,,
131,PT01M47.00S,2022-05-22T01:05:05.9Z,1,REGULAR,steal,,[],1629216,,,1610612748,14,32,2022-05-22T01:05:07Z,1290000,,,0,,G. Vincent STEAL (1 STL),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M44.00S,2022-05-22T01:05:08.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629639,22.815374507227332,12.009803921568627,1610612748,14,32,2022-05-22T01:06:28Z,1300000,190.0,162.0,1,left,MISS T. Herro 24' running 3PT,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M41.00S,2022-05-22T01:05:11.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,14,32,2022-05-22T01:05:14Z,1310000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,132.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
134,PT01M34.00S,2022-05-22T01:05:18.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,73.53810775295663,69.11764705882352,1610612738,16,32,2022-05-22T01:09:34Z,1320000,96.0,196.0,1,right,J. Brown 21' pullup Jump Shot (9 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,21.83,Made,,,,,9.0,,,,,,,,,,,,,,
135,PT01M12.00S,2022-05-22T01:05:39.8Z,1,REGULAR,2pt,Jump Shot,[],1629639,6.389618922470433,76.47058823529412,1610612748,16,34,2022-05-22T01:11:24Z,1330000,-132.0,8.0,1,left,T. Herro 13' driving floating Jump Shot (2 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,13.26,Made,,,,,2.0,,,,,,,,,,,,,,
136,PT00M57.40S,2022-05-22T01:05:56.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.82325886990802,45.09803921568628,1610612738,18,34,2022-05-22T01:06:00Z,1340000,-25.0,165.0,1,right,J. Brown 16' turnaround Jump Shot (11 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,16.72,Made,,,,,11.0,D. White,1628401.0,1.0,,,,,,,,,,,
138,PT00M56.00S,2022-05-22T01:06:05.2Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612748,18,34,2022-05-22T01:06:16Z,1360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M47.60S,2022-05-22T01:06:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,10.5946123521682,46.568627450980394,1610612748,18,36,2022-05-22T01:08:25Z,1370000,17.0,47.0,1,left,B. Adebayo finger roll Layup (12 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,finger roll,,,Adebayo,B. Adebayo,,,,,5.01,Made,,,,,12.0,T. Herro,1629639.0,2.0,,,,,,,,,,,
141,PT00M32.50S,2022-05-22T01:06:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.85479632063075,57.35294117647059,1610612738,18,36,2022-05-22T01:06:51Z,1390000,37.0,15.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,3.96,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M30.20S,2022-05-22T01:06:50.2Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,18,36,2022-05-22T01:09:36Z,1400000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
143,PT00M16.90S,2022-05-22T01:07:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.2161629434954,37.00980392156863,1610612748,18,36,2022-05-22T01:07:13Z,1410000,65.0,119.0,1,left,MISS B. Adebayo 13' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,13.53,Missed,,,,,,,,,,,,,,,,,,,
144,PT00M15.90S,2022-05-22T01:07:04.4Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,18,36,2022-05-22T01:07:22Z,1420000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,143.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
145,PT00M14.90S,2022-05-22T01:07:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,7.835085413929041,49.01960784313725,1610612748,18,38,2022-05-22T01:07:17Z,1430000,5.0,21.0,1,left,C. Martin putback Layup (2 PTS),[1628997],1610612748.0,MIA,putback,,,Martin,C. Martin,,,,,2.17,Made,,,,,2.0,,,,,,,,,,,,,,
146,PT00M14.90S,2022-05-22T01:07:12.2Z,1,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612748,18,38,2022-05-22T01:07:17Z,1440000,,,0,,D. White shooting personal FOUL (1 PF) (Martin 1 FT),"[1628401, 1628997]",1610612738.0,BOS,shooting,,,White,D. White,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Martin,1628997.0,,,
148,PT00M14.90S,2022-05-22T01:07:25.5Z,1,REGULAR,substitution,out,[],1628464,,,1610612748,18,38,2022-05-22T01:07:37Z,1460000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M14.90S,2022-05-22T01:07:25.5Z,1,REGULAR,substitution,out,[],202710,,,1610612748,18,38,2022-05-22T01:07:37Z,1470000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M14.90S,2022-05-22T01:07:25.5Z,1,REGULAR,substitution,in,[],1628369,,,1610612748,18,38,2022-05-22T01:07:37Z,1480000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M14.90S,2022-05-22T01:07:25.5Z,1,REGULAR,substitution,in,[],200782,,,1610612748,18,38,2022-05-22T01:07:37Z,1490000,,,0,,SUB in: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M14.90S,2022-05-22T01:07:59.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628997,,,1610612748,18,39,2022-05-22T01:07:59Z,1500000,,,0,,C. Martin Free Throw 1 of 1 (3 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
153,PT00M05.90S,2022-05-22T01:08:11.0Z,1,REGULAR,3pt,Jump Shot,[],203935,81.68528252299606,96.32352941176471,1610612738,18,39,2022-05-22T01:08:18Z,1510000,232.0,120.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
154,PT00M03.70S,2022-05-22T01:08:13.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,18,39,2022-05-22T01:08:18Z,1520000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
156,PT00M00.00S,2022-05-22T01:08:18.0Z,1,REGULAR,instantreplay,request,[],0,,,1610612748,18,39,2022-05-22T01:08:50Z,1525000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,End Period - No Basket
155,PT00M00.00S,2022-05-22T01:08:25.0Z,1,REGULAR,period,end,[],0,,,1610612748,18,39,2022-05-22T01:08:25Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612748,18,39,2022-05-22T01:11:56Z,1540000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612748,18,39,2022-05-22T01:11:56Z,1550000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,out,['startperiod'],200782,,,1610612748,18,39,2022-05-22T01:11:56Z,1560000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612748,18,39,2022-05-22T01:11:56Z,1570000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612748,18,39,2022-05-22T01:11:56Z,1580000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-05-22T01:11:28.3Z,2,REGULAR,substitution,in,['startperiod'],1629130,,,1610612748,18,39,2022-05-22T01:11:56Z,1590000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-05-22T01:12:03.5Z,2,REGULAR,period,start,[],0,,,1610612748,18,39,2022-05-22T01:12:03Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M48.00S,2022-05-22T01:12:14.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628997,8.229303547963205,43.627450980392155,1610612748,18,41,2022-05-22T01:12:20Z,1610000,32.0,25.0,1,left,C. Martin cutting DUNK (5 PTS) (B. Adebayo 2 AST),"[1628997, 1628389]",1610612748.0,MIA,cutting,,,Martin,C. Martin,,,,,4.05,Made,,,,,5.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,,
166,PT11M24.00S,2022-05-22T01:12:37.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,80.76544021024968,46.81372549019608,1610612738,20,41,2022-05-22T01:12:41Z,1630000,-16.0,128.0,1,right,A. Horford 12' floating Jump Shot (7 PTS) (P. Pritchard 1 AST),"[201143, 1630202]",1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,12.93,Made,,,,,7.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,
168,PT11M13.00S,2022-05-22T01:12:49.5Z,2,REGULAR,2pt,Jump Shot,[],1628389,17.95335085413929,66.17647058823529,1610612748,20,41,2022-05-22T01:12:54Z,1650000,-81.0,116.0,1,left,MISS B. Adebayo 14' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,14.17,Missed,,,,,,,,,,,,,,,,,,,
169,PT11M12.00S,2022-05-22T01:12:50.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,20,41,2022-05-22T01:13:12Z,1660000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
170,PT11M03.00S,2022-05-22T01:12:59.1Z,2,REGULAR,3pt,Jump Shot,[],1628369,76.42904073587385,8.57843137254902,1610612738,20,41,2022-05-22T01:13:03Z,1670000,-207.0,169.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
171,PT11M01.00S,2022-05-22T01:13:01.1Z,2,REGULAR,rebound,defensive,[],1629130,,,1610612748,20,41,2022-05-22T01:13:03Z,1680000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
172,PT10M50.00S,2022-05-22T01:13:12.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,13.354139290407357,60.5392156862745,1610612748,20,41,2022-05-22T01:13:18Z,1690000,-53.0,73.0,1,left,MISS T. Herro 9' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,9.0,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M48.00S,2022-05-22T01:13:14.3Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,20,41,2022-05-22T01:13:22Z,1700000,,,0,,A. Horford REBOUND (Off:2 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,172.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
177,PT10M32.00S,2022-05-22T01:14:04.0Z,2,REGULAR,jumpball,recovered,[],1628997,,,1610612738,20,41,2022-05-22T01:14:04Z,1740000,,,0,,Jump Ball B. Adebayo vs. J. Tatum: Tip to C. Martin,"[1628997, 1628389, 1628369]",1610612748.0,MIA,heldball,C. Martin,1628997.0,Martin,C. Martin,Adebayo,1628389.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,,,,
180,PT10M32.00S,2022-05-22T01:14:04.0Z,2,REGULAR,turnover,lost ball,[],1628369,,,1610612738,20,41,2022-05-22T01:14:04Z,1770000,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1628389]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2.0,Adebayo,1628389.0,,,,,,,,
181,PT10M32.00S,2022-05-22T01:14:04.0Z,2,REGULAR,steal,,[],1628389,,,1610612748,20,41,2022-05-22T01:14:04Z,1780000,,,0,,B. Adebayo STEAL (2 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
