actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT11M03.00S,2022-06-03T01:10:17.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2022-06-03T01:10:17Z,150000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT11M02.00S,2022-06-03T01:10:18.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,32.933639947437584,42.40196078431372,1610612744,3,0,2022-06-03T01:10:20Z,160000,38.0,257.0,1,left,S. Curry 25' 3PT  (3 PTS) (K. Looney 1 AST),"[201939, 1626172]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.99,Made,,,,,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,
18,PT10M44.00S,2022-06-03T01:10:37.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,0,2022-06-03T01:10:37Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2022-06-03T01:11:04.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,81.2910643889619,72.54901960784314,1610612738,3,0,2022-06-03T01:11:07Z,190000,113.0,123.0,1,right,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.71,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2022-06-03T01:11:08.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,0,2022-06-03T01:11:08Z,200000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2022-06-03T01:11:09.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,0,2022-06-03T01:11:09Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2022-06-03T01:11:33.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,69.59592641261499,19.852941176470587,1610612738,3,3,2022-06-03T01:11:35Z,220000,-151.0,233.0,1,right,J. Tatum 27' 3PT  (3 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.77,Made,,,,,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,
24,PT10M01.00S,2022-06-03T01:11:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,8.886333771353483,40.931372549019606,1610612744,5,3,2022-06-03T01:11:51Z,240000,45.0,31.0,1,left,A. Wiggins cutting Layup (2 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,5.49,Made,,,,,2.0,K. Looney,1626172.0,2.0,,,,,,,,,,,
26,PT09M50.00S,2022-06-03T01:12:00.8Z,1,REGULAR,3pt,Jump Shot,[],203935,71.96123521681997,80.3921568627451,1610612738,5,6,2022-06-03T01:12:03Z,260000,152.0,211.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.01,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
28,PT09M35.00S,2022-06-03T01:12:15.7Z,1,REGULAR,2pt,Jump Shot,[],1626172,4.28712220762155,17.401960784313726,1610612744,5,6,2022-06-03T01:12:18Z,280000,163.0,-12.0,1,left,MISS K. Looney 16' Jump Shot,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,16.35,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2022-06-03T01:12:19.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,6,2022-06-03T01:12:19Z,290000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M23.00S,2022-06-03T01:12:28.4Z,1,REGULAR,3pt,Jump Shot,[],203935,96.5341655716163,95.58823529411765,1610612738,5,6,2022-06-03T01:12:30Z,300000,228.0,-20.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M21.00S,2022-06-03T01:12:30.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,6,2022-06-03T01:12:46Z,310000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M17.00S,2022-06-03T01:12:36.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,10.726018396846255,95.58823529411765,1610612744,8,6,2022-06-03T01:13:45Z,320000,-228.0,48.0,1,left,K. Thompson 3PT running (3 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,23.3,Made,,,,,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,
34,PT09M00.00S,2022-06-03T01:12:54.0Z,1,REGULAR,foul,personal,[],203952,,,1610612738,8,6,2022-06-03T01:12:58Z,340000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1628369]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1830.0,1.0,0.0,Tatum,1628369.0,,,,,,
36,PT08M51.00S,2022-06-03T01:13:21.5Z,1,REGULAR,3pt,Jump Shot,[],203935,70.51576872536137,80.88235294117648,1610612738,8,9,2022-06-03T01:13:24Z,360000,154.0,225.0,1,right,M. Smart 27' 3PT  (6 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.26,Made,,,,,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
38,PT08M35.00S,2022-06-03T01:13:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,5.206964520367937,44.6078431372549,1610612744,10,9,2022-06-03T01:13:40Z,380000,27.0,-4.0,1,left,S. Curry cutting Layup (5 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,2.72,Made,,,,,5.0,D. Green,203110.0,1.0,,,,,,,,,,,
40,PT08M17.00S,2022-06-03T01:13:55.5Z,1,REGULAR,3pt,Jump Shot,[],203935,73.66951379763469,13.725490196078432,1610612738,10,9,2022-06-03T01:13:57Z,400000,-181.0,195.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M15.00S,2022-06-03T01:13:57.5Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,10,9,2022-06-03T01:14:42Z,410000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M11.00S,2022-06-03T01:14:03.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203952,8.886333771353483,39.21568627450981,1610612744,10,9,2022-06-03T01:16:02Z,420000,54.0,31.0,1,left,MISS A. Wiggins 6' running Shot - blocked,"[203952, 1629057]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,6.22,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,,
44,PT08M11.00S,2022-06-03T01:14:03.3Z,1,REGULAR,block,,[],1629057,,,1610612744,10,9,2022-06-03T01:14:15Z,425000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M10.00S,2022-06-03T01:14:04.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,10,9,2022-06-03T01:15:38Z,430000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT08M10.00S,2022-06-03T01:14:18.3Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,10,9,2022-06-03T01:16:19Z,435000,,,0,,R. Williams III step out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,step,,,Williams III,R. Williams III,,,,,,,,,,,,,,,202058.0,,,,,,,1.0,,,
45,PT08M08.00S,2022-06-03T01:14:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,7.966491458607096,59.80392156862745,1610612744,12,9,2022-06-03T01:16:19Z,440000,-49.0,22.0,1,left,A. Wiggins cutting Layup (4 PTS) (S. Curry 2 AST),"[203952, 201939]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,5.39,Made,,,,,4.0,S. Curry,201939.0,2.0,,,,,,,,,,,
47,PT07M53.00S,2022-06-03T01:14:50.6Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612738,12,9,2022-06-03T01:15:01Z,460000,,,0,,S. Curry shooting personal FOUL (1 PF) (Tatum 2 FT),"[201939, 1628369]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,,,,,202058.0,1.0,0.0,Tatum,1628369.0,,,,,,
49,PT07M53.00S,2022-06-03T01:15:22.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,12,9,2022-06-03T01:15:22Z,480000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M53.00S,2022-06-03T01:15:22.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,12,9,2022-06-03T01:15:22Z,490000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,
51,PT07M53.00S,2022-06-03T01:15:41.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,12,9,2022-06-03T01:15:41Z,500000,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M51.00S,2022-06-03T01:15:42.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,9,2022-06-03T01:15:42Z,510000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
53,PT07M31.00S,2022-06-03T01:16:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,9.543363994743759,49.50980392156863,1610612744,14,9,2022-06-03T01:17:44Z,520000,2.0,37.0,1,left,A. Wiggins driving floating Jump Shot (6 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,3.73,Made,,,,,6.0,K. Thompson,202691.0,1.0,,,,,,,,,,,
55,PT07M23.00S,2022-06-03T01:16:10.7Z,1,REGULAR,3pt,Jump Shot,[],201143,65.52233902759527,47.794117647058826,1610612738,14,12,2022-06-03T01:16:13Z,540000,-11.0,272.0,1,right,A. Horford 27' 3PT  (3 PTS) (J. Tatum 3 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,27.18,Made,,,,,3.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,
58,PT07M14.00S,2022-06-03T01:16:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,33.459264126149804,59.80392156862745,1610612744,17,12,2022-06-03T01:16:25Z,560000,-49.0,262.0,1,left,S. Curry 26' 3PT running pullup (8 PTS),[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,26.65,Made,,,,,8.0,,,,,,,,,,,,,,
59,PT06M49.00S,2022-06-03T01:16:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,83.26215505913272,42.15686274509804,1610612738,17,12,2022-06-03T01:16:46Z,570000,-39.0,105.0,1,right,MISS A. Horford 11' fadeaway Shot,[201143],1610612738.0,BOS,fadeaway,,,Horford,A. Horford,,,,,11.19,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-06-03T01:16:47.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,17,12,2022-06-03T01:16:47Z,580000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
61,PT06M43.00S,2022-06-03T01:16:49.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,92.85479632063075,48.28431372549019,1610612738,17,14,2022-06-03T01:16:52Z,590000,-9.0,15.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.7,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
63,PT06M17.00S,2022-06-03T01:17:15.6Z,1,REGULAR,3pt,Jump Shot,[],203110,24.129434954007884,89.2156862745098,1610612744,17,14,2022-06-03T01:17:18Z,610000,-196.0,174.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M15.00S,2022-06-03T01:17:19.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,17,14,2022-06-03T01:17:19Z,620000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
65,PT06M05.00S,2022-06-03T01:17:29.1Z,1,REGULAR,3pt,Jump Shot,[],201143,74.98357424441524,15.196078431372548,1610612738,17,14,2022-06-03T01:17:32Z,630000,-174.0,183.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M03.00S,2022-06-03T01:17:31.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,17,14,2022-06-03T01:18:03Z,640000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
67,PT05M57.00S,2022-06-03T01:17:36.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,32.53942181340342,23.03921568627451,1610612744,20,14,2022-06-03T01:19:04Z,650000,135.0,253.0,1,left,S. Curry 28' 3PT pullup (11 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,28.7,Made,,,,,11.0,,,,,,,,,,,,,,
68,PT05M55.00S,2022-06-03T01:17:46.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,20,14,2022-06-03T01:17:47Z,660000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,out,[],203110,,,1610612738,20,14,2022-06-03T01:21:25Z,670000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,20,14,2022-06-03T01:21:25Z,680000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,20,14,2022-06-03T01:21:25Z,690000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,in,[],1629673,,,1610612738,20,14,2022-06-03T01:21:25Z,700000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,20,14,2022-06-03T01:21:25Z,710000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2022-06-03T01:21:02.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,20,14,2022-06-03T01:21:25Z,720000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M42.00S,2022-06-03T01:21:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,84.31340341655716,41.17647058823529,1610612738,20,16,2022-06-03T01:21:50Z,730000,-44.0,95.0,1,right,J. Brown 10' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,10.47,Made,,,,,2.0,,,,,,,,,,,,,,
76,PT05M27.00S,2022-06-03T01:22:01.1Z,1,REGULAR,3pt,Jump Shot,[],201939,34.773324572930356,45.34313725490196,1610612744,23,16,2022-06-03T01:22:04Z,740000,23.0,274.0,1,left,S. Curry 27' 3PT pullup (14 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,27.54,Made,,,,,14.0,,,,,,,,,,,,,,
77,PT05M11.00S,2022-06-03T01:22:17.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.12155059132719,74.50980392156863,1610612738,23,16,2022-06-03T01:22:20Z,750000,123.0,228.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M07.00S,2022-06-03T01:22:21.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,23,16,2022-06-03T01:22:21Z,760000,,,0,,S. Curry REBOUND (Off:0 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,77.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
79,PT05M04.00S,2022-06-03T01:22:24.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626172,6.915243101182654,58.57843137254902,1610612744,23,16,2022-06-03T01:23:19Z,770000,-43.0,13.0,1,left,MISS K. Looney running Layup - blocked,"[1626172, 1627759]",1610612744.0,GSW,running,,,Looney,K. Looney,,,,,4.47,Missed,,,,,,,,,,,,,,Brown,1627759.0,,,,
80,PT05M04.00S,2022-06-03T01:22:24.6Z,1,REGULAR,block,,[],1627759,,,1610612744,23,16,2022-06-03T01:22:29Z,780000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M02.00S,2022-06-03T01:22:26.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,23,16,2022-06-03T01:23:05Z,790000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT04M56.00S,2022-06-03T01:22:33.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,91.93495400788436,53.92156862745098,1610612738,23,18,2022-06-03T01:24:23Z,800000,20.0,23.0,1,right,J. Brown driving DUNK (4 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.04,Made,,,,,4.0,D. White,1628401.0,1.0,,,,,,,,,,,
84,PT04M45.00S,2022-06-03T01:22:43.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,29.25427069645204,21.07843137254902,1610612744,23,18,2022-06-03T01:22:46Z,820000,145.0,222.0,1,left,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M42.00S,2022-06-03T01:22:47.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,23,18,2022-06-03T01:22:47Z,830000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
86,PT04M36.00S,2022-06-03T01:22:53.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.99014454664915,77.45098039215686,1610612738,23,18,2022-06-03T01:22:55Z,840000,137.0,230.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.75,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M33.00S,2022-06-03T01:22:56.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,23,18,2022-06-03T01:22:56Z,850000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,
88,PT04M33.00S,2022-06-03T01:22:57.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,23,18,2022-06-03T01:22:57Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M14.00S,2022-06-03T01:23:28.2Z,1,REGULAR,turnover,out-of-bounds,[],1626172,,,1610612744,23,18,2022-06-03T01:25:21Z,870000,,,0,,K. Looney lost ball out-of-bounds TURNOVER (1 TO),[1626172],1610612744.0,GSW,lost ball,,,Looney,K. Looney,,,,,,,,,,,,,,,1830.0,,,,,,,1.0,,,
90,PT04M03.00S,2022-06-03T01:23:53.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,85.10183968462549,55.88235294117647,1610612738,23,20,2022-06-03T01:23:55Z,880000,29.0,88.0,1,right,D. White 9' driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,9.23,Made,,,,,2.0,,,,,,,,,,,,,,
92,PT03M41.00S,2022-06-03T01:24:14.1Z,1,REGULAR,2pt,Jump Shot,[],202691,13.87976346911958,23.03921568627451,1610612744,23,20,2022-06-03T01:24:16Z,900000,135.0,78.0,1,left,MISS K. Thompson 15' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,15.57,Missed,,,,,,,,,,,,,,,,,,,
