actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT10M40.00S,2022-05-18T00:47:53.1Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612738,0,5,2022-05-18T00:47:59Z,170000,,,0,,M. Strus shooting personal FOUL (1 PF) (Williams III 2 FT),"[1629622, 1629057]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,,,,,,,,,,,2530.0,1.0,0.0,Williams III,1629057.0,,,,,,
19,PT10M40.00S,2022-05-18T00:48:11.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629057,,,1610612738,0,6,2022-05-18T00:48:11Z,190000,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2022-05-18T00:48:28.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629057,,,1610612738,0,7,2022-05-18T00:48:28Z,200000,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2022-05-18T00:48:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,82.7365308804205,51.71568627450981,1610612748,0,7,2022-05-18T00:48:47Z,210000,9.0,110.0,1,right,MISS G. Vincent 11' driving floating Shot - blocked,"[1629216, 1629057]",1610612748.0,MIA,driving floating,,,Vincent,G. Vincent,,,,,11.01,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,,
22,PT10M27.00S,2022-05-18T00:48:42.6Z,1,REGULAR,block,,[],1629057,,,1610612748,0,7,2022-05-18T00:48:45Z,220000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2022-05-18T00:48:46.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,7,2022-05-18T00:48:47Z,230000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,
24,PT10M21.00S,2022-05-18T00:49:01.4Z,1,REGULAR,violation,kicked ball,[],1628389,,,1610612738,0,7,2022-05-18T00:49:13Z,240000,,,0,,B. Adebayo kicked ball VIOLATION,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2534.0,,,,,,,,,,
25,PT10M06.00S,2022-05-18T00:49:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.915243101182654,48.77450980392157,1610612738,0,7,2022-05-18T00:49:26Z,250000,6.0,13.0,1,left,MISS J. Brown Layup,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2022-05-18T00:49:24.7Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,7,2022-05-18T00:49:24Z,260000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M56.00S,2022-05-18T00:49:31.1Z,1,REGULAR,3pt,Jump Shot,[],1629216,92.46057818659659,97.30392156862744,1610612748,0,7,2022-05-18T00:49:35Z,270000,237.0,18.0,1,right,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,23.72,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2022-05-18T00:49:33.3Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,7,2022-05-18T00:49:33Z,280000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,
29,PT09M51.00S,2022-05-18T00:49:35.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202710,92.9862023653088,54.41176470588235,1610612748,0,7,2022-05-18T00:49:48Z,290000,22.0,13.0,1,right,MISS J. Butler turnaround bank Shot,[202710],1610612748.0,MIA,turnaround bank,,,Butler,J. Butler,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M48.00S,2022-05-18T00:49:39.5Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,7,2022-05-18T00:49:39Z,300000,,,0,,J. Butler REBOUND (Off:2 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,29.0,3.0,1.0,2.0,,,,,,,,,,,
31,PT09M44.00S,2022-05-18T00:49:42.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,72.35545335085413,17.401960784313726,1610612748,0,7,2022-05-18T00:50:10Z,310000,-163.0,207.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M44.00S,2022-05-18T00:49:42.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,0,7,2022-05-18T00:50:10Z,320000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M39.00S,2022-05-18T00:50:18.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612738,0,7,2022-05-18T00:56:58Z,330000,,,0,,Jump Ball J. Butler vs. G. Williams: Tip to Team (MIA),"[202710, 1629684]",1610612748.0,MIA,heldball,Team (MIA),,,,Butler,202710.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,
83,PT09M39.00S,2022-05-18T00:50:35.7Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,0,7,2022-05-18T01:00:29Z,355000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 202710]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1.0,Butler,202710.0,
149,PT09M39.00S,2022-05-18T00:50:35.7Z,1,REGULAR,steal,,[],202710,,,1610612748,0,7,2022-05-18T01:15:12Z,357500,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M32.00S,2022-05-18T00:50:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,69.33311432325887,25.0,1610612748,0,7,2022-05-18T01:00:29Z,360000,-125.0,236.0,1,right,MISS M. Strus 26' 3PT - blocked,"[1629622, 1628401]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.69,Missed,,,,,,,,,,,,,,White,1628401.0,,,,
37,PT09M32.00S,2022-05-18T00:50:53.0Z,1,REGULAR,block,,[],1628401,,,1610612748,0,7,2022-05-18T00:50:55Z,370000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M30.00S,2022-05-18T00:50:55.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,7,2022-05-18T00:51:14Z,380000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,
39,PT09M30.00S,2022-05-18T00:51:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,6.915243101182654,53.92156862745098,1610612738,0,7,2022-05-18T00:51:25Z,390000,-20.0,13.0,1,left,MISS D. White running Layup - blocked,"[1628401, 1629216]",1610612738.0,BOS,running,,,White,D. White,,,,,2.32,Missed,,,,,,,,,,,,,,Vincent,1629216.0,,,,
40,PT09M30.00S,2022-05-18T00:51:00.4Z,1,REGULAR,block,,[],1629216,,,1610612738,0,7,2022-05-18T00:51:04Z,400000,,,0,,G. Vincent BLOCK (1 BLK),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M30.00S,2022-05-18T00:51:00.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,7,2022-05-18T00:51:25Z,410000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,
42,PT09M30.00S,2022-05-18T00:51:06.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,7,2022-05-18T00:51:06Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M24.00S,2022-05-18T00:51:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,11.251642575558476,40.931372549019606,1610612738,0,7,2022-05-18T00:56:15Z,430000,45.0,53.0,1,left,MISS J. Tatum 6' driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,,
44,PT09M21.00S,2022-05-18T00:51:27.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,7,2022-05-18T00:51:31Z,440000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT09M14.00S,2022-05-18T00:51:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.26215505913272,49.754901960784316,1610612748,2,7,2022-05-18T00:51:41Z,450000,-1.0,105.0,1,right,B. Adebayo 10' turnaround fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,10.48,Made,2.0,,,,,,,,,,,,,,,,,,
46,PT09M00.00S,2022-05-18T00:51:49.9Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,2,7,2022-05-18T00:51:57Z,460000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2530.0,,,,,,,1.0,,,
47,PT08M49.00S,2022-05-18T00:52:04.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200782,84.1819973718791,58.333333333333336,1610612748,4,7,2022-05-18T00:52:12Z,470000,42.0,96.0,1,right,P. Tucker 10' floating Jump Shot (2 PTS) (G. Vincent 1 AST),"[200782, 1629216]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,10.48,Made,2.0,G. Vincent,1629216.0,1.0,,,,,,,,,,,,,,,
49,PT08M34.00S,2022-05-18T00:52:19.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.56833114323259,75.49019607843137,1610612738,4,10,2022-05-18T00:52:25Z,490000,-127.0,235.0,1,left,J. Brown 26' 3PT  (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.72,Made,3.0,,,,,,,,,,,,,,,,,,
50,PT08M16.00S,2022-05-18T00:52:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1629622,,,1610612748,4,10,2022-05-18T00:52:54Z,500000,,,0,,M. Strus lost ball out-of-bounds TURNOVER (1 TO),[1629622],1610612748.0,MIA,lost ball,,,Strus,M. Strus,,,,,,,,,,,,,,,1146.0,,,,,,,1.0,,,
51,PT08M06.00S,2022-05-18T00:52:59.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,10.988830486202366,96.56862745098039,1610612738,4,10,2022-05-18T00:53:04Z,510000,-233.0,51.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.83,Missed,,,,,,,,,,,,,,,,,,,
52,PT08M02.00S,2022-05-18T00:53:03.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,4,10,2022-05-18T00:53:04Z,520000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,
53,PT07M52.00S,2022-05-18T00:53:13.2Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,4,10,2022-05-18T00:53:21Z,530000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1629684]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,
54,PT07M52.00S,2022-05-18T00:53:13.2Z,1,REGULAR,steal,,[],1629684,,,1610612738,4,10,2022-05-18T00:53:15Z,540000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M47.00S,2022-05-18T00:53:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,5.995400788436268,48.28431372549019,1610612738,4,12,2022-05-18T00:53:26Z,550000,9.0,4.0,1,left,J. Tatum running reverse Layup (4 PTS) (G. Williams 1 AST),"[1628369, 1629684]",1610612738.0,BOS,running reverse,,,Tatum,J. Tatum,,,,,0.94,Made,4.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
57,PT07M26.00S,2022-05-18T00:53:39.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202710,93.51182654402102,51.225490196078425,1610612748,6,12,2022-05-18T00:53:45Z,570000,6.0,8.0,1,right,J. Butler driving DUNK (2 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,1.05,Made,2.0,,,,,,,,,,,,,,,,,,
58,PT07M12.00S,2022-05-18T00:53:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.258212877792378,47.549019607843135,1610612738,6,14,2022-05-18T00:54:11Z,580000,12.0,6.0,1,left,J. Tatum driving finger roll Layup (6 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,1.38,Made,6.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
60,PT07M12.00S,2022-05-18T00:54:02.2Z,1,REGULAR,foul,personal,['1freethrow'],1629622,,,1610612738,6,14,2022-05-18T00:54:13Z,600000,,,0,,M. Strus shooting personal FOUL (2 PF) (Tatum 1 FT),"[1629622, 1628369]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,,,,,,,,,,,1146.0,2.0,0.0,Tatum,1628369.0,,,,,,
62,PT07M12.00S,2022-05-18T00:54:22.5Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,6,14,2022-05-18T00:54:26Z,620000,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2022-05-18T00:54:26.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,14,2022-05-18T00:54:26Z,630000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,
64,PT06M58.00S,2022-05-18T00:54:41.1Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,6,14,2022-05-18T01:02:30Z,640000,,,0,,P. Tucker bad pass TURNOVER (1 TO),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,1.0,,,
65,PT06M58.00S,2022-05-18T00:54:47.0Z,1,REGULAR,foul,personal,[],200782,,,1610612738,6,14,2022-05-18T00:54:58Z,650000,,,0,,P. Tucker loose ball personal FOUL (1 PF),"[200782, 1628369]",1610612748.0,MIA,loose ball,,,Tucker,P. Tucker,,,,,,,,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,,,,
67,PT06M58.00S,2022-05-18T00:54:59.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,14,2022-05-18T00:54:59Z,670000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M58.00S,2022-05-18T00:55:04.0Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,6,14,2022-05-18T00:58:35Z,680000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2022-05-18T00:55:04.0Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,6,14,2022-05-18T00:58:35Z,690000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M43.00S,2022-05-18T00:58:50.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,32.670827858081466,69.36274509803921,1610612738,6,14,2022-05-18T01:04:41Z,700000,-97.0,255.0,1,left,MISS J. Tatum 27' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M38.00S,2022-05-18T00:58:55.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,6,14,2022-05-18T00:58:55Z,710000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT06M33.00S,2022-05-18T00:59:02.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.62483574244416,64.70588235294117,1610612748,9,14,2022-05-18T00:59:11Z,720000,74.0,252.0,1,right,T. Herro 26' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,26.23,Made,3.0,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2022-05-18T00:59:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.748357424441524,39.705882352941174,1610612738,9,14,2022-05-18T01:04:52Z,730000,51.0,77.0,1,left,MISS D. White 9' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,9.24,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2022-05-18T00:59:31.3Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,9,14,2022-05-18T01:04:52Z,740000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,74.0,3.0,1.0,2.0,,,,,,,,,,,
76,PT06M01.00S,2022-05-18T00:59:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,7.966491458607096,45.83333333333333,1610612738,9,16,2022-05-18T01:05:24Z,750000,21.0,22.0,1,left,R. Williams III putback Layup (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,3.06,Made,4.0,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2022-05-18T00:59:51.2Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,9,16,2022-05-18T01:00:33Z,760000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1629639]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1146.0,1.0,0.0,Herro,1629639.0,,,,,,
79,PT05M41.00S,2022-05-18T01:00:13.1Z,1,REGULAR,2pt,Jump Shot,[],1629639,74.32654402102497,53.18627450980392,1610612748,9,16,2022-05-18T01:05:48Z,780000,16.0,189.0,1,right,MISS T. Herro 18' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,18.95,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2022-05-18T01:00:17.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,16,2022-05-18T01:00:17Z,790000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,
81,PT05M30.00S,2022-05-18T01:00:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,7.30946123521682,50.98039215686274,1610612738,9,18,2022-05-18T01:06:33Z,800000,-5.0,16.0,1,left,R. Williams III cutting Layup (6 PTS) (D. White 1 AST),"[1629057, 1628401]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.69,Made,6.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,,
84,PT05M16.00S,2022-05-18T01:00:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,90.09526938239159,39.46078431372549,1610612748,11,18,2022-05-18T01:07:02Z,820000,-53.0,41.0,1,right,J. Butler 6' driving floating Jump Shot (4 PTS) (T. Herro 1 AST),"[202710, 1629639]",1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,6.65,Made,4.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,,
86,PT04M57.00S,2022-05-18T01:00:56.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,21.632720105124836,95.34313725490196,1610612738,11,18,2022-05-18T01:01:02Z,840000,-227.0,151.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M54.00S,2022-05-18T01:00:59.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,11,18,2022-05-18T01:01:02Z,850000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,
88,PT04M44.00S,2022-05-18T01:01:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,91.93495400788436,49.754901960784316,1610612748,13,18,2022-05-18T01:01:15Z,860000,-1.0,23.0,1,right,B. Adebayo cutting Layup (4 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,2.33,Made,4.0,T. Herro,1629639.0,2.0,,,,,,,,,,,,,,,
