actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
32,PT09M17.00S,2022-05-20T00:49:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,7,5,2022-05-20T00:49:27Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2022-05-20T00:49:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,65.52233902759527,46.32352941176471,1610612748,10,5,2022-05-20T00:49:51Z,330000,-18.0,272.0,1,right,G. Vincent 27' 3PT  (3 PTS) (M. Strus 1 AST),"[1629216, 1629622]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,27.22,Made,3.0,,,,,M. Strus,1629622.0,1.0,,,,,,,,,,
35,PT08M50.00S,2022-05-20T00:50:06.7Z,1,REGULAR,3pt,Jump Shot,[],201143,4.681340341655716,1.715686274509804,1610612738,10,8,2022-05-20T00:50:10Z,350000,241.0,-8.0,1,left,A. Horford 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,24.15,Made,3.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
37,PT08M34.00S,2022-05-20T00:50:23.6Z,1,REGULAR,2pt,Jump Shot,[],202710,86.28449408672799,74.26470588235294,1610612748,12,8,2022-05-20T00:50:28Z,370000,121.0,76.0,1,right,J. Butler 14' Jump Shot (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,14.34,Made,4.0,,,,,,,,,,,,,,,,,
38,PT08M15.00S,2022-05-20T00:50:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.799605781865965,50.245098039215684,1610612738,12,8,2022-05-20T00:53:57Z,380000,-1.0,87.0,1,left,MISS M. Smart 8' turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,8.66,Missed,,,,,,,,,,,,,,,,,,
39,PT08M11.00S,2022-05-20T00:50:45.7Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,12,8,2022-05-20T00:50:46Z,390000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M04.00S,2022-05-20T00:50:53.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,71.82982917214193,13.23529411764706,1610612748,15,8,2022-05-20T00:50:57Z,400000,-184.0,212.0,1,right,M. Strus 28' 3PT  (3 PTS) (J. Butler 2 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,28.08,Made,3.0,,,,,J. Butler,202710.0,2.0,,,,,,,,,,
42,PT08M04.00S,2022-05-20T00:51:02.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,8,2022-05-20T00:51:02Z,420000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M44.00S,2022-05-20T00:55:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,13.61695137976347,50.245098039215684,1610612738,15,8,2022-05-20T00:55:42Z,430000,-1.0,75.0,1,left,MISS M. Smart 7' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,7.55,Missed,,,,,,,,,,,,,,,,,,
44,PT07M40.00S,2022-05-20T00:55:19.2Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,15,8,2022-05-20T00:55:20Z,440000,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,
45,PT07M29.00S,2022-05-20T00:55:29.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,66.17936925098554,50.0,1610612748,18,8,2022-05-20T00:55:35Z,450000,0.0,265.0,1,right,M. Strus 26' 3PT  (6 PTS) (G. Vincent 1 AST),"[1629622, 1629216]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.54,Made,6.0,,,,,G. Vincent,1629216.0,1.0,,,,,,,,,,
47,PT07M09.00S,2022-05-20T00:55:49.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,25.04927726675427,53.18627450980392,1610612738,18,10,2022-05-20T00:55:53Z,470000,-16.0,183.0,1,left,J. Brown 18' pullup Jump Shot (5 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.37,Made,5.0,,,,,,,,,,,,,,,,,
48,PT06M41.00S,2022-05-20T00:56:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,82.7365308804205,34.80392156862745,1610612748,18,10,2022-05-20T00:56:23Z,480000,-76.0,110.0,1,right,MISS J. Butler 13' fadeaway Shot,[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,13.35,Missed,,,,,,,,,,,,,,,,,,
49,PT06M41.00S,2022-05-20T00:56:21.8Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,18,10,2022-05-20T00:56:21Z,490000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,
