actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
167,PT09M46.00S,2022-05-20T01:18:34.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.915243101182654,51.470588235294116,1610612738,28,40,2022-05-20T01:19:45Z,1650000,-7.0,13.0,1,left,J. Tatum reverse Layup (8 PTS) (M. Smart 5 AST),"[1628369, 203935]",1610612738.0,BOS,reverse,,,Tatum,J. Tatum,,,,,1.45,Made,8.0,,,,,M. Smart,203935.0,5.0,,,,,,,,,,
169,PT09M29.00S,2022-05-20T01:18:51.8Z,2,REGULAR,turnover,bad pass,[],1629622,,,1610612748,28,40,2022-05-20T01:18:58Z,1670000,,,0,,M. Strus bad pass TURNOVER (1 TO),"[1629622, 1629057]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0
170,PT09M29.00S,2022-05-20T01:18:51.8Z,2,REGULAR,steal,,[],1629057,,,1610612738,28,40,2022-05-20T01:19:40Z,1680000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M25.00S,2022-05-20T01:18:55.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,6.389618922470433,49.50980392156863,1610612738,28,42,2022-05-20T01:19:19Z,1690000,2.0,8.0,1,left,J. Tatum running finger roll Layup (10 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,0.8,Made,10.0,,,,,,,,,,,,,,,,,
172,PT09M10.00S,2022-05-20T01:19:10.9Z,2,REGULAR,3pt,Jump Shot,[],203506,84.83902759526939,96.07843137254902,1610612748,28,42,2022-05-20T01:21:15Z,1700000,230.0,90.0,1,right,MISS V. Oladipo 24' 3PT,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,
173,PT09M10.00S,2022-05-20T01:19:10.9Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,28,42,2022-05-20T01:19:29Z,1710000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,172.0,2.0,2.0,0.0,,,,,,,,,,,,,
174,PT08M52.00S,2022-05-20T01:19:29.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,33.590670170827856,48.03921568627451,1610612738,28,42,2022-05-20T01:19:35Z,1720000,10.0,263.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,
175,PT08M47.00S,2022-05-20T01:19:34.2Z,2,REGULAR,rebound,defensive,[],1628997,,,1610612748,28,42,2022-05-20T01:19:35Z,1730000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,174.0,1.0,1.0,0.0,,,,,,,,,,,,,
176,PT08M39.00S,2022-05-20T01:19:41.5Z,2,REGULAR,2pt,Jump Shot,[],1628997,72.09264126149803,47.30392156862745,1610612748,28,42,2022-05-20T01:22:27Z,1740000,-13.0,210.0,1,right,MISS C. Martin 21' pullup Shot,[1628997],1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,21.02,Missed,,,,,,,,,,,,,,,,,,
177,PT08M36.00S,2022-05-20T01:19:44.5Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,28,42,2022-05-20T01:20:30Z,1750000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,176.0,3.0,3.0,0.0,,,,,,,,,,,,,
180,PT08M34.00S,2022-05-20T01:19:52.5Z,2,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612738,28,42,2022-05-20T01:20:09Z,1780000,,,0,,C. Martin shooting personal FOUL (1 PF) (Williams 2 FT),"[1628997, 1629684]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,,,,,,,,,,,1662.0,1.0,0.0,Williams,1629684.0,,,,,
182,PT08M34.00S,2022-05-20T01:20:24.2Z,2,REGULAR,freethrow,1 of 2,[],1629684,,,1610612738,28,43,2022-05-20T01:20:33Z,1800000,,,0,,G. Williams Free Throw 1 of 2 (9 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
183,PT08M34.00S,2022-05-20T01:20:27.6Z,2,REGULAR,substitution,out,[],203506,,,1610612738,28,43,2022-05-20T01:20:37Z,1810000,,,0,,SUB out: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M34.00S,2022-05-20T01:20:27.6Z,2,REGULAR,substitution,out,[],1628997,,,1610612738,28,43,2022-05-20T01:20:37Z,1820000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M34.00S,2022-05-20T01:20:27.6Z,2,REGULAR,substitution,in,[],200782,,,1610612738,28,43,2022-05-20T01:20:37Z,1830000,,,0,,SUB in: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M34.00S,2022-05-20T01:20:27.6Z,2,REGULAR,substitution,in,[],202710,,,1610612738,28,43,2022-05-20T01:20:37Z,1840000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M34.00S,2022-05-20T01:20:52.9Z,2,REGULAR,freethrow,2 of 2,[],1629684,,,1610612738,28,44,2022-05-20T01:20:52Z,1850000,,,0,,G. Williams Free Throw 2 of 2 (10 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
188,PT08M20.00S,2022-05-20T01:21:10.8Z,2,REGULAR,turnover,traveling,[],200782,,,1610612748,28,44,2022-05-20T01:21:16Z,1860000,,,0,,P. Tucker traveling TURNOVER (1 TO),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,101284.0,,,,,,,1.0,,
189,PT08M06.00S,2022-05-20T01:21:33.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,28.86005256241787,79.16666666666666,1610612738,28,47,2022-05-20T01:21:37Z,1870000,-146.0,219.0,1,left,P. Pritchard 26' 3PT  (6 PTS) (J. Tatum 3 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.29,Made,6.0,,,,,J. Tatum,1628369.0,3.0,,,,,,,,,,
191,PT08M06.00S,2022-05-20T01:21:38.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,28,47,2022-05-20T01:21:38Z,1890000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT07M46.00S,2022-05-20T01:25:48.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202710,94.1688567674113,54.41176470588235,1610612748,30,47,2022-05-20T01:25:54Z,1900000,22.0,2.0,1,right,J. Butler driving Layup (9 PTS) (T. Herro 1 AST),"[202710, 1629639]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,2.22,Made,9.0,,,,,T. Herro,1629639.0,1.0,,,,,,,,,,
208,PT07M30.00S,2022-05-20T01:26:12.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,16.90210249671485,61.76470588235294,1610612738,30,47,2022-05-20T01:30:34Z,1935000,-59.0,106.0,1,left,MISS J. Tatum 12' driving floating Shot - blocked,"[1628369, 1629639]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,12.16,Missed,,,,,,,,,,,,,,Herro,1629639.0,,,
209,PT07M30.00S,2022-05-20T01:26:12.1Z,2,REGULAR,block,,[],1629639,,,1610612738,30,47,2022-05-20T01:28:21Z,1937500,,,0,,T. Herro BLOCK (1 BLK),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M29.00S,2022-05-20T01:26:13.1Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,30,47,2022-05-20T01:28:21Z,1938750,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,208.0,4.0,3.0,1.0,,,,,,,,,,,,,
196,PT07M24.00S,2022-05-20T01:26:17.1Z,2,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612748,30,47,2022-05-20T01:26:29Z,1940000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Butler 2 FT),"[1630202, 202710]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1662.0,1.0,0.0,Butler,202710.0,,,,,
198,PT07M24.00S,2022-05-20T01:26:47.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],202710,,,1610612748,31,47,2022-05-20T01:28:21Z,1960000,,,0,,J. Butler Free Throw 1 of 2 (10 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
199,PT07M24.00S,2022-05-20T01:26:47.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],202710,,,1610612748,31,47,2022-05-20T01:28:21Z,1970000,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Missed,,,,,,,,,,,,,,,,,,
200,PT07M20.00S,2022-05-20T01:26:51.3Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,31,47,2022-05-20T01:27:06Z,1980000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,199.0,2.0,2.0,0.0,,,,,,,,,,,,,
201,PT07M08.00S,2022-05-20T01:27:22.3Z,2,REGULAR,foul,personal,[],1629639,,,1610612738,31,47,2022-05-20T01:28:24Z,1990000,,,0,,T. Herro personal FOUL (2 PF),"[1629639, 1628369]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,101284.0,2.0,0.0,Tatum,1628369.0,,,,,
203,PT06M55.00S,2022-05-20T01:27:48.3Z,2,REGULAR,2pt,Jump Shot,[],203935,11.251642575558476,78.43137254901961,1610612738,31,47,2022-05-20T01:31:30Z,2010000,-142.0,53.0,1,left,MISS M. Smart 15' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,15.19,Missed,,,,,,,,,,,,,,,,,,
204,PT06M54.00S,2022-05-20T01:27:56.7Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,31,47,2022-05-20T01:27:56Z,2020000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,203.0,3.0,2.0,1.0,,,,,,,,,,,,,
205,PT06M54.00S,2022-05-20T01:27:56.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,5.590000152587891,50.0,1610612738,31,49,2022-05-20T01:27:56Z,2030000,0.0,0.0,1,left,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
206,PT06M54.00S,2022-05-20T01:27:59.0Z,2,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612738,31,49,2022-05-20T01:28:09Z,2040000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Williams III 1 FT),"[1628389, 1629057]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2714.0,1.0,0.0,Williams III,1629057.0,,,,,
211,PT06M54.00S,2022-05-20T01:28:24.7Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1629057,,,1610612738,31,50,2022-05-20T01:28:24Z,2060000,,,0,,R. Williams III Free Throw 1 of 1 (5 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
212,PT06M29.00S,2022-05-20T01:28:49.9Z,2,REGULAR,3pt,Jump Shot,[],1629622,94.56307490144546,3.6764705882352944,1610612748,31,50,2022-05-20T01:28:55Z,2070000,-232.0,-1.0,1,right,MISS M. Strus 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,
213,PT06M29.00S,2022-05-20T01:28:49.9Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,31,50,2022-05-20T01:28:55Z,2080000,,,0,,B. Adebayo REBOUND (Off:2 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,212.0,5.0,3.0,2.0,,,,,,,,,,,,,
214,PT06M24.00S,2022-05-20T01:28:54.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,93.64323258869908,45.83333333333333,1610612748,33,50,2022-05-20T01:29:01Z,2090000,-21.0,7.0,1,right,B. Adebayo putback DUNK (2 PTS),[1628389],1610612748.0,MIA,putback,,,Adebayo,B. Adebayo,,,,,2.2,Made,2.0,,,,,,,,,,,,,,,,,
215,PT05M59.00S,2022-05-20T01:29:20.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,9.937582128777924,61.51960784313726,1610612738,33,52,2022-05-20T01:29:30Z,2100000,-58.0,41.0,1,left,P. Pritchard 7' pullup Jump Shot (8 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,7.06,Made,8.0,,,,,,,,,,,,,,,,,
216,PT05M45.00S,2022-05-20T01:29:33.7Z,2,REGULAR,3pt,Jump Shot,[],1629639,70.90998685939553,14.215686274509803,1610612748,33,52,2022-05-20T01:32:35Z,2110000,-179.0,221.0,1,right,MISS T. Herro 28' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,28.43,Missed,,,,,,,,,,,,,,,,,,
217,PT05M42.00S,2022-05-20T01:29:36.7Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,33,52,2022-05-20T01:29:40Z,2120000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,,
218,PT05M41.00S,2022-05-20T01:29:38.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628369,6.652431011826544,48.03921568627451,1610612738,33,54,2022-05-20T01:29:47Z,2130000,10.0,10.0,1,left,J. Tatum running DUNK (12 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.4,Made,12.0,,,,,P. Pritchard,1630202.0,1.0,,,,,,,,,,
220,PT05M19.00S,2022-05-20T01:30:05.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,33,54,2022-05-20T01:30:05Z,2150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,out,[],1629639,,,1610612748,33,54,2022-05-20T01:30:17Z,2160000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
222,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612748,33,54,2022-05-20T01:30:17Z,2170000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
223,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,out,[],1629057,,,1610612748,33,54,2022-05-20T01:30:17Z,2180000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
224,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,in,[],1629216,,,1610612748,33,54,2022-05-20T01:30:17Z,2190000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
225,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,in,[],1627759,,,1610612748,33,54,2022-05-20T01:30:17Z,2200000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
226,PT05M19.00S,2022-05-20T01:30:06.8Z,2,REGULAR,substitution,in,[],201143,,,1610612748,33,54,2022-05-20T01:30:17Z,2210000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
227,PT05M10.00S,2022-05-20T01:30:33.2Z,2,REGULAR,2pt,Jump Shot,[],1628389,78.0059132720105,40.44117647058824,1610612748,33,54,2022-05-20T01:33:20Z,2220000,-48.0,154.0,1,right,MISS B. Adebayo 16' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,16.14,Missed,,,,,,,,,,,,,,,,,,
228,PT05M08.00S,2022-05-20T01:30:35.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,33,54,2022-05-20T01:30:54Z,2230000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,227.0,,,,,,,,,,,,,,,,
229,PT05M08.00S,2022-05-20T01:30:46.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,33,54,2022-05-20T01:30:46Z,2240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT05M08.00S,2022-05-20T01:31:09.9Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612748,33,54,2022-05-20T01:31:10Z,2250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M04.00S,2022-05-20T01:31:16.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,92.32917214191852,2.941176470588235,1610612748,33,54,2022-05-20T01:31:27Z,2260000,-235.0,20.0,1,right,MISS M. Strus 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,23.61,Missed,,,,,,,,,,,,,,,,,,
232,PT05M01.00S,2022-05-20T01:31:19.9Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,33,54,2022-05-20T01:31:27Z,2270000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,231.0,5.0,5.0,0.0,,,,,,,,,,,,,
233,PT04M53.00S,2022-05-20T01:31:27.7Z,2,REGULAR,3pt,Jump Shot,[],203935,29.25427069645204,18.137254901960784,1610612738,33,54,2022-05-20T01:31:34Z,2280000,159.0,222.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,
234,PT04M52.00S,2022-05-20T01:31:28.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,54,2022-05-20T01:31:34Z,2290000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,233.0,,,,,,,,,,,,,,,,
235,PT04M52.00S,2022-05-20T01:31:37.7Z,2,REGULAR,foul,personal,[],1628389,,,1610612738,33,54,2022-05-20T01:31:47Z,2300000,,,0,,B. Adebayo loose ball personal FOUL (2 PF),"[1628389, 201143]",1610612748.0,MIA,loose ball,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,101284.0,2.0,0.0,Horford,201143.0,,,,,
237,PT04M46.00S,2022-05-20T01:31:56.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,21.632720105124836,49.754901960784316,1610612738,33,56,2022-05-20T01:34:31Z,2320000,1.0,151.0,1,left,J. Brown 15' Jump Shot (13 PTS) (M. Smart 6 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,15.08,Made,13.0,,,,,M. Smart,203935.0,6.0,,,,,,,,,,
239,PT04M28.00S,2022-05-20T01:32:15.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,92.9862023653088,48.77450980392157,1610612748,35,56,2022-05-20T01:32:20Z,2340000,-6.0,13.0,1,right,B. Adebayo cutting DUNK (4 PTS) (G. Vincent 2 AST),"[1628389, 1629216]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,1.47,Made,4.0,,,,,G. Vincent,1629216.0,2.0,,,,,,,,,,
241,PT04M09.00S,2022-05-20T01:32:40.3Z,2,REGULAR,2pt,Jump Shot,[],1628369,26.10052562417871,56.61764705882353,1610612738,35,58,2022-05-20T01:32:46Z,2360000,-33.0,193.0,1,left,J. Tatum 19' pullup Jump Shot (14 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,19.56,Made,14.0,,,,,,,,,,,,,,,,,
242,PT04M09.00S,2022-05-20T01:32:44.5Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",200782,,,1610612738,35,58,2022-05-20T01:33:13Z,2370000,,,0,,P. Tucker shooting personal FOUL (2 PF) (Tatum 1 FT),"[200782, 1628369]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,,,2714.0,2.0,0.0,Tatum,1628369.0,,,,,
244,PT04M09.00S,2022-05-20T01:33:05.4Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,35,59,2022-05-20T01:33:05Z,2390000,,,0,,J. Tatum Free Throw 1 of 1 (15 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,15.0,,,,,,,,,,,,,,,,,
245,PT03M49.00S,2022-05-20T01:33:28.3Z,2,REGULAR,2pt,Jump Shot,[],1629216,77.7431011826544,69.11764705882352,1610612748,37,59,2022-05-20T01:33:34Z,2400000,96.0,157.0,1,right,G. Vincent 18' step back Jump Shot (5 PTS),[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,18.36,Made,5.0,,,,,,,,,,,,,,,,,
246,PT03M30.00S,2022-05-20T01:33:48.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,26.62614980289093,13.725490196078432,1610612738,37,62,2022-05-20T01:33:52Z,2410000,181.0,198.0,1,left,J. Tatum 26' 3PT  (18 PTS) (M. Smart 7 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.84,Made,18.0,,,,,M. Smart,203935.0,7.0,,,,,,,,,,
248,PT03M13.00S,2022-05-20T01:34:50.6Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612748,37,62,2022-05-20T01:34:50Z,2430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT03M11.00S,2022-05-20T01:34:58.3Z,2,REGULAR,jumpball,recovered,[],1627759,,,1610612748,37,62,2022-05-20T01:34:58Z,2440000,,,0,,Jump Ball A. Horford vs. G. Vincent: Tip to J. Brown,"[1627759, 201143, 1629216]",1610612738.0,BOS,heldball,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Vincent,1629216.0,,,,,,,,,,,,,,,,,,,,
252,PT03M11.00S,2022-05-20T01:34:58.3Z,2,REGULAR,turnover,lost ball,[],1629216,,,1610612748,37,62,2022-05-20T01:34:58Z,2470000,,,0,,G. Vincent lost ball TURNOVER (1 TO),"[1629216, 201143]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
253,PT03M11.00S,2022-05-20T01:34:58.3Z,2,REGULAR,steal,,[],201143,,,1610612738,37,62,2022-05-20T01:34:58Z,2480000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
254,PT03M05.00S,2022-05-20T01:35:11.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629216,,,1610612738,37,62,2022-05-20T01:35:25Z,2490000,,,0,,G. Vincent personal FOUL (1 PF) (Tatum 2 FT),"[1629216, 1628369]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,2714.0,1.0,0.0,Tatum,1628369.0,,,,,
256,PT03M05.00S,2022-05-20T01:35:40.1Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,37,63,2022-05-20T01:35:40Z,2510000,,,0,,J. Tatum Free Throw 1 of 2 (19 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,19.0,,,,,,,,,,,,,,,,,
257,PT03M05.00S,2022-05-20T01:35:58.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,37,64,2022-05-20T01:35:58Z,2520000,,,0,,J. Tatum Free Throw 2 of 2 (20 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,20.0,,,,,,,,,,,,,,,,,
258,PT02M54.00S,2022-05-20T01:36:10.6Z,2,REGULAR,3pt,Jump Shot,[],202710,71.30420499342969,20.833333333333336,1610612748,37,64,2022-05-20T01:36:15Z,2530000,-146.0,217.0,1,right,MISS J. Butler 26' pullup 3PT,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,
259,PT02M51.00S,2022-05-20T01:36:14.5Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,37,64,2022-05-20T01:36:14Z,2540000,,,0,,B. Adebayo REBOUND (Off:3 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,258.0,6.0,3.0,3.0,,,,,,,,,,,,,
260,PT02M51.00S,2022-05-20T01:36:18.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,90.09526938239159,42.40196078431372,1610612748,39,64,2022-05-20T01:36:23Z,2550000,-38.0,41.0,1,right,B. Adebayo fadeaway Jump Shot (6 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,5.56,Made,6.0,,,,,,,,,,,,,,,,,
261,PT02M51.00S,2022-05-20T01:36:21.7Z,2,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612748,39,64,2022-05-20T01:36:33Z,2560000,,,0,,G. Williams shooting personal FOUL (2 PF) (Adebayo 1 FT),"[1629684, 1628389]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,1662.0,2.0,0.0,Adebayo,1628389.0,,,,,
