actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
103,PT04M47.00S,2022-06-06T00:24:50.2Z,1,REGULAR,foul,personal,[],1629684,,,1610612744,13,18,2022-06-06T00:24:53Z,1020000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 203110]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,1146.0,,,,,,,,,,1.0,0.0,Green,203110.0,,,,,,
105,PT04M47.00S,2022-06-06T00:25:08.8Z,1,REGULAR,foul,technical,['1freethrow'],203110,,,1610612744,13,18,2022-06-06T00:25:20Z,1040000,,,0,,D. Green technical FOUL (1 Tech),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,201639.0,,,,,,,,,,0.0,1.0,,,,,,,,
106,PT04M47.00S,2022-06-06T00:25:33.8Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612744,13,19,2022-06-06T00:25:33Z,1050000,,,0,,J. Brown technical Free Throw 1 of 1 (10 PTS),[1627759],1610612738.0,BOS,technical,,,Brown,J. Brown,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
107,PT04M39.00S,2022-06-06T00:26:03.3Z,1,REGULAR,3pt,Jump Shot,[],201939,28.597240473061763,81.37254901960785,1610612744,13,19,2022-06-06T00:26:06Z,1060000,-157.0,216.0,1,left,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,,,26.72,Missed,,,,,,,,,,,,,,,,
108,PT04M37.00S,2022-06-06T00:26:05.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,19,2022-06-06T00:26:22Z,1070000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,107.0,3.0,3.0,0.0,,
109,PT04M27.00S,2022-06-06T00:26:15.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.96780551905388,57.59803921568627,1610612738,13,22,2022-06-06T00:26:17Z,1080000,38.0,258.0,1,right,J. Brown 26' 3PT  (13 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,26.08,Made,13.0,D. White,1628401.0,1.0,,,,,,,,,,,,
111,PT04M13.00S,2022-06-06T00:26:37.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612744,13,22,2022-06-06T00:26:44Z,1100000,,,0,,D. White shooting personal FOUL (1 PF) (Green 2 FT),"[1628401, 203110]",1610612738.0,BOS,shooting,,,White,D. White,,,,,201639.0,,,,,,,,,,1.0,0.0,Green,203110.0,,,,,,
113,PT04M13.00S,2022-06-06T00:26:58.3Z,1,REGULAR,freethrow,1 of 2,[],203110,,,1610612744,14,22,2022-06-06T00:26:58Z,1120000,,,0,,D. Green Free Throw 1 of 2 (3 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
114,PT04M13.00S,2022-06-06T00:27:15.8Z,1,REGULAR,freethrow,2 of 2,[],203110,,,1610612744,15,22,2022-06-06T00:27:15Z,1130000,,,0,,D. Green Free Throw 2 of 2 (4 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
115,PT03M58.00S,2022-06-06T00:27:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,84.57621550591328,47.05882352941176,1610612738,15,22,2022-06-06T00:27:37Z,1140000,-15.0,92.0,1,right,MISS D. White 9' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,9.37,Missed,,,,,,,,,,,,,,,,
116,PT03M56.00S,2022-06-06T00:27:36.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,22,2022-06-06T00:28:18Z,1150000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,115.0,2.0,2.0,0.0,,
117,PT03M52.00S,2022-06-06T00:27:43.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612744,15,22,2022-06-06T00:27:55Z,1160000,,,0,,J. Brown shooting personal FOUL (2 PF) (Payton II 2 FT),"[1627759, 1627780]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,2534.0,,,,,,,,,,2.0,0.0,Payton II,1627780.0,,,,,,
119,PT03M52.00S,2022-06-06T00:28:10.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612744,15,22,2022-06-06T00:28:12Z,1180000,,,0,,TEAM delay-of-game VIOLATION,[],1610612744.0,GSW,,,,,,,,,,1146.0,,,,,,,,,,,,,,,,,,,
120,PT03M52.00S,2022-06-06T00:28:26.2Z,1,REGULAR,freethrow,1 of 2,[],1627780,,,1610612744,15,22,2022-06-06T00:28:26Z,1190000,,,0,,MISS G. Payton II Free Throw 1 of 2,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,Missed,,,,,,,,,,,,,,,,
121,PT03M52.00S,2022-06-06T00:28:26.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,15,22,2022-06-06T00:28:26Z,1200000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,
122,PT03M52.00S,2022-06-06T00:28:27.0Z,1,REGULAR,substitution,out,[],202691,,,1610612744,15,22,2022-06-06T00:28:32Z,1210000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M52.00S,2022-06-06T00:28:27.0Z,1,REGULAR,substitution,out,[],203110,,,1610612744,15,22,2022-06-06T00:28:32Z,1220000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M52.00S,2022-06-06T00:28:27.0Z,1,REGULAR,substitution,in,[],203490,,,1610612744,15,22,2022-06-06T00:28:32Z,1230000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M52.00S,2022-06-06T00:28:27.0Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,15,22,2022-06-06T00:28:32Z,1240000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M52.00S,2022-06-06T00:28:34.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612744,15,22,2022-06-06T00:28:37Z,1250000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M52.00S,2022-06-06T00:28:34.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612744,15,22,2022-06-06T00:28:37Z,1260000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M52.00S,2022-06-06T00:28:53.6Z,1,REGULAR,freethrow,2 of 2,[],1627780,,,1610612744,15,22,2022-06-06T00:28:53Z,1270000,,,0,,MISS G. Payton II Free Throw 2 of 2,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,Missed,,,,,,,,,,,,,,,,
129,PT03M50.00S,2022-06-06T00:28:54.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,15,22,2022-06-06T00:28:54Z,1280000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,128.0,1.0,1.0,0.0,,
130,PT03M37.00S,2022-06-06T00:29:08.0Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,22,2022-06-06T00:29:09Z,1290000,,,0,,M. Smart bad pass TURNOVER (3 TO),"[203935, 1626172]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,3.0,,,,,,,Looney,1626172.0,,,,,,,,,,
131,PT03M37.00S,2022-06-06T00:29:08.0Z,1,REGULAR,steal,,[],1626172,,,1610612744,15,22,2022-06-06T00:29:09Z,1300000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M37.00S,2022-06-06T00:29:19.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612744,15,22,2022-06-06T00:30:37Z,1310000,,,0,,G. Williams take personal FOUL (2 PF) (Curry 2 FT),"[1629684, 201939]",1610612738.0,BOS,take,,,Williams,G. Williams,,,,,1146.0,,,,,,,,,,2.0,0.0,Curry,201939.0,,,,,,
135,PT03M37.00S,2022-06-06T00:30:33.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201939,,,1610612744,16,22,2022-06-06T00:30:33Z,1340000,,,0,,S. Curry Free Throw 1 of 2 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
136,PT03M37.00S,2022-06-06T00:30:47.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201939,,,1610612744,17,22,2022-06-06T00:30:47Z,1350000,,,0,,S. Curry Free Throw 2 of 2 (4 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
137,PT03M20.00S,2022-06-06T00:31:06.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,82.21090670170827,23.284313725490197,1610612738,17,22,2022-06-06T00:31:08Z,1360000,-134.0,115.0,1,right,MISS J. Tatum 17' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,17.61,Missed,,,,,,,,,,,,,,,,
138,PT03M18.00S,2022-06-06T00:31:08.3Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,17,22,2022-06-06T00:31:22Z,1370000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,137.0,1.0,1.0,0.0,,
140,PT03M02.00S,2022-06-06T00:31:44.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,5.995400788436268,41.42156862745098,1610612744,19,22,2022-06-06T00:31:46Z,1390000,43.0,4.0,1,left,K. Looney DUNK (6 PTS) (S. Curry 2 AST),"[1626172, 201939]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,4.31,Made,6.0,S. Curry,201939.0,2.0,,,,,,,,,,,,
142,PT02M47.00S,2022-06-06T00:32:01.5Z,1,REGULAR,foul,personal,['2freethrow'],1627780,,,1610612738,19,22,2022-06-06T00:32:06Z,1410000,,,0,,G. Payton II shooting personal FOUL (1 PF) (Tatum 2 FT),"[1627780, 1628369]",1610612744.0,GSW,shooting,,,Payton II,G. Payton II,,,,,2534.0,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,
144,PT02M47.00S,2022-06-06T00:32:10.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,22,2022-06-06T00:32:10Z,1430000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M47.00S,2022-06-06T00:34:18.7Z,1,REGULAR,substitution,out,[],203935,,,1610612738,19,22,2022-06-06T00:35:35Z,1440000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M47.00S,2022-06-06T00:34:18.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,19,22,2022-06-06T00:35:35Z,1450000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M47.00S,2022-06-06T00:34:18.7Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,19,22,2022-06-06T00:35:35Z,1460000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M47.00S,2022-06-06T00:34:18.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,19,22,2022-06-06T00:35:35Z,1470000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M47.00S,2022-06-06T00:36:15.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,19,23,2022-06-06T00:36:15Z,1480000,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
150,PT02M47.00S,2022-06-06T00:36:32.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,19,24,2022-06-06T00:36:32Z,1490000,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
151,PT02M34.00S,2022-06-06T00:36:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,12.434296977660972,49.754901960784316,1610612744,19,24,2022-06-06T00:37:32Z,1500000,1.0,64.0,1,left,MISS J. Poole 6' fadeaway Shot,[1629673],1610612744.0,GSW,fadeaway,,,Poole,J. Poole,,,,,,,6.44,Missed,,,,,,,,,,,,,,,,
152,PT02M31.00S,2022-06-06T00:36:54.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,19,24,2022-06-06T00:37:16Z,1510000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,151.0,1.0,1.0,0.0,,
153,PT02M24.00S,2022-06-06T00:37:01.2Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,19,24,2022-06-06T00:37:02Z,1520000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 1626172]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,1.0,,,,,,,Looney,1626172.0,,,,,,,,,,
154,PT02M24.00S,2022-06-06T00:37:01.2Z,1,REGULAR,steal,,[],1626172,,,1610612744,19,24,2022-06-06T00:37:03Z,1530000,,,0,,K. Looney STEAL (2 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
155,PT02M22.00S,2022-06-06T00:37:05.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612744,19,24,2022-06-06T00:38:17Z,1540000,,,0,,J. Tatum take personal FOUL (2 PF) (Curry 2 FT),"[1628369, 201939]",1610612738.0,BOS,take,,,Tatum,J. Tatum,,,,,201639.0,,,,,,,,,,2.0,0.0,Curry,201939.0,,,,,,
157,PT02M22.00S,2022-06-06T00:37:48.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201939,,,1610612744,19,24,2022-06-06T00:37:48Z,1560000,,,0,,MISS S. Curry Free Throw 1 of 2,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Missed,,,,,,,,,,,,,,,,
158,PT02M22.00S,2022-06-06T00:37:48.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,19,24,2022-06-06T00:37:48Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,
159,PT02M22.00S,2022-06-06T00:38:02.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201939,,,1610612744,20,24,2022-06-06T00:38:02Z,1580000,,,0,,S. Curry Free Throw 2 of 2 (5 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
160,PT02M11.00S,2022-06-06T00:38:18.3Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,20,24,2022-06-06T00:38:19Z,1590000,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 201939]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,1.0,,,,,,,Curry,201939.0,,,,,,,,,,
161,PT02M11.00S,2022-06-06T00:38:18.3Z,1,REGULAR,steal,,[],201939,,,1610612744,20,24,2022-06-06T00:42:02Z,1600000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
162,PT02M05.00S,2022-06-06T00:38:24.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,29.25427069645204,16.176470588235293,1610612744,23,24,2022-06-06T00:39:21Z,1610000,169.0,222.0,1,left,S. Curry 27' 3PT pullup (8 PTS) (J. Poole 1 AST),"[201939, 1629673]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,27.95,Made,8.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,
164,PT01M33.00S,2022-06-06T00:38:55.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.64717477003943,77.20588235294117,1610612738,23,27,2022-06-06T00:38:58Z,1630000,136.0,223.0,1,right,J. Tatum 26' 3PT  (10 PTS) (D. Theis 1 AST),"[1628369, 1628464]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,26.15,Made,10.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,
166,PT01M20.00S,2022-06-06T00:39:09.4Z,1,REGULAR,3pt,Jump Shot,[],1627780,3.892904073587385,94.85294117647058,1610612744,26,27,2022-06-06T00:39:11Z,1650000,-224.0,-16.0,1,left,G. Payton II 3PT  (3 PTS) (S. Curry 3 AST),"[1627780, 201939]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,22.49,Made,3.0,S. Curry,201939.0,3.0,,,,,,,,,,,,
168,PT00M58.30S,2022-06-06T00:39:30.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.54467805519053,18.872549019607842,1610612738,26,30,2022-06-06T00:41:33Z,1670000,-156.0,243.0,1,right,J. Tatum 28' 3PT pullup (13 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,28.87,Made,13.0,,,,,,,,,,,,,,,
169,PT00M45.10S,2022-06-06T00:39:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,26.757555847568987,17.401960784313726,1610612744,29,30,2022-06-06T00:39:52Z,1680000,163.0,199.0,1,left,J. Poole 25' 3PT  (3 PTS) (G. Payton II 1 AST),"[1629673, 1627780]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,25.72,Made,3.0,G. Payton II,1627780.0,1.0,,,,,,,,,,,,
171,PT00M40.10S,2022-06-06T00:40:00.7Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,29,30,2022-06-06T00:40:02Z,1700000,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1626172]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,2.0,,,,,,,Looney,1626172.0,,,,,,,,,,
172,PT00M40.10S,2022-06-06T00:40:00.7Z,1,REGULAR,steal,,[],1626172,,,1610612744,29,30,2022-06-06T00:40:02Z,1710000,,,0,,K. Looney STEAL (3 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M35.60S,2022-06-06T00:40:05.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201939,27.151773981603156,82.35294117647058,1610612744,29,30,2022-06-06T00:42:16Z,1720000,-162.0,203.0,1,left,MISS S. Curry 25' running 3PT,[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,,25.94,Missed,,,,,,,,,,,,,,,,
174,PT00M32.10S,2022-06-06T00:40:08.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,29,30,2022-06-06T00:40:08Z,1730000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,
175,PT00M12.90S,2022-06-06T00:40:27.8Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,29,30,2022-06-06T00:40:29Z,1740000,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 203490]",1610612738.0,BOS,,,,White,D. White,,,,,,1.0,,,,,,,Porter Jr.,203490.0,,,,,,,,,,
176,PT00M12.90S,2022-06-06T00:40:27.8Z,1,REGULAR,steal,,[],203490,,,1610612744,29,30,2022-06-06T00:40:29Z,1750000,,,0,,O. Porter Jr. STEAL (1 STL),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M01.50S,2022-06-06T00:40:40.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201939,12.302890932982917,26.225490196078432,1610612744,31,30,2022-06-06T00:41:24Z,1760000,119.0,63.0,1,left,S. Curry 13' driving floating bank Jump Shot (10 PTS),[201939],1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,,,13.46,Made,10.0,,,,,,,,,,,,,,,
178,PT00M00.00S,2022-06-06T00:40:46.3Z,1,REGULAR,period,end,[],0,,,1610612738,31,30,2022-06-06T00:40:46Z,1770000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,out,['startperiod'],1627780,,,1610612738,31,30,2022-06-06T00:44:22Z,1780000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,out,['startperiod'],1626172,,,1610612738,31,30,2022-06-06T00:44:22Z,1790000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,out,['startperiod'],201939,,,1610612738,31,30,2022-06-06T00:44:22Z,1800000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,31,30,2022-06-06T00:44:22Z,1810000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,in,['startperiod'],202691,,,1610612738,31,30,2022-06-06T00:44:22Z,1820000,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,in,['startperiod'],202357,,,1610612738,31,30,2022-06-06T00:44:22Z,1830000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,in,['startperiod'],203952,,,1610612738,31,30,2022-06-06T00:44:22Z,1840000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2022-06-06T00:43:53.5Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,31,30,2022-06-06T00:44:22Z,1850000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2022-06-06T00:44:31.8Z,2,REGULAR,period,start,[],0,,,1610612744,31,30,2022-06-06T00:44:31Z,1860000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT11M50.00S,2022-06-06T00:44:40.8Z,2,REGULAR,3pt,Jump Shot,[],1629673,32.013797634691194,62.745098039215684,1610612744,31,30,2022-06-06T00:44:43Z,1870000,-64.0,248.0,1,left,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,25.64,Missed,,,,,,,,,,,,,,,,
189,PT11M47.00S,2022-06-06T00:44:44.0Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,31,30,2022-06-06T00:44:44Z,1880000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,188.0,2.0,2.0,0.0,,
256,PT11M36.00S,2022-06-06T00:44:47.8Z,2,REGULAR,turnover,lost ball,[],1628369,,,1610612738,31,30,2022-06-06T00:55:33Z,1890000,,,0,,J. Tatum lost ball TURNOVER (3 TO),"[1628369, 1629673]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,3.0,,,,,,,Poole,1629673.0,,,,,,,,,,
257,PT11M36.00S,2022-06-06T00:44:47.8Z,2,REGULAR,steal,,[],1629673,,,1610612744,31,30,2022-06-06T00:55:33Z,1895000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
194,PT11M29.00S,2022-06-06T00:45:02.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1629673,7.440867279894875,39.705882352941174,1610612744,31,30,2022-06-06T00:55:36Z,1930000,51.0,17.0,1,left,MISS J. Poole driving finger roll Layup - blocked,"[1629673, 1628401]",1610612744.0,GSW,driving finger roll,,,Poole,J. Poole,,,,,,,5.44,Missed,,,,,,,,,,,,,,,White,1628401.0
195,PT11M29.00S,2022-06-06T00:45:02.0Z,2,REGULAR,block,,[],1628401,,,1610612744,31,30,2022-06-06T00:45:05Z,1940000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
196,PT11M28.00S,2022-06-06T00:45:03.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,30,2022-06-06T01:00:32Z,1950000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,194.0,3.0,2.0,1.0,,
200,PT11M19.00S,2022-06-06T00:48:30.5Z,2,REGULAR,2pt,Jump Shot,[],1627759,81.15965834428384,71.32352941176471,1610612738,31,30,2022-06-06T00:48:33Z,1990000,107.0,125.0,1,right,MISS J. Brown 16' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,16.4,Missed,,,,,,,,,,,,,,,,
