actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
27,PT08M32.00S,2022-04-23T23:47:22.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,7,5,2022-04-23T23:47:22Z,270000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,26.0,3.0,2.0,1.0,,,,,,,,,,
28,PT08M24.00S,2022-04-23T23:47:33.1Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612751,7,5,2022-04-23T23:47:42Z,280000,,,0,,D. Theis shooting personal FOUL (1 PF) (Irving 2 FT),"[1628464, 202681]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,1148.0,1.0,0.0,Irving,202681.0,,,,,,,,,,,,,,,,
30,PT08M24.00S,2022-04-23T23:48:04.7Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,8,5,2022-04-23T23:48:04Z,300000,,,0,,K. Irving Free Throw 1 of 2 (1 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,Made,,,,,,,,,1.0,,,,,
32,PT08M24.00S,2022-04-23T23:48:28.7Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,9,5,2022-04-23T23:48:28Z,310000,,,0,,K. Irving Free Throw 2 of 2 (2 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,Made,,,,,,,,,2.0,,,,,
33,PT08M12.00S,2022-04-23T23:48:43.2Z,1,REGULAR,3pt,Jump Shot,[],1628464,92.19776609724047,94.85294117647058,1610612738,9,5,2022-04-23T23:48:46Z,320000,224.0,21.0,1,right,MISS D. Theis 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,22.53,Missed,,,,,,,,,,,,,,
34,PT08M08.00S,2022-04-23T23:48:47.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,9,5,2022-04-23T23:48:47Z,330000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,
37,PT07M56.00S,2022-04-23T23:49:00.0Z,1,REGULAR,3pt,Jump Shot,[],201142,23.209592641261498,90.44117647058823,1610612751,12,5,2022-04-23T23:49:02Z,340000,-202.0,166.0,1,left,K. Durant 26' 3PT  (3 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,26.14,Made,,,,,,,,,3.0,B. Brown,1628971.0,1.0,,
39,PT07M52.00S,2022-04-23T23:49:09.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,5,2022-04-23T23:49:09Z,360000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M32.00S,2022-04-23T23:53:08.5Z,1,REGULAR,foul,personal,[],201142,,,1610612738,12,5,2022-04-23T23:53:17Z,370000,,,0,,K. Durant personal FOUL (1 PF),"[201142, 1628369]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,1148.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
47,PT07M24.00S,2022-04-23T23:53:40.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,86.67871222076215,97.30392156862744,1610612738,12,8,2022-04-23T23:53:42Z,390000,237.0,73.0,1,right,J. Tatum 24' 3PT  (3 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,24.74,Made,,,,,,,,,3.0,M. Smart,203935.0,2.0,,
49,PT07M00.00S,2022-04-23T23:54:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,5.732588699080158,56.372549019607845,1610612751,12,8,2022-04-23T23:54:13Z,410000,-32.0,1.0,1,left,MISS B. Brown driving Layup - blocked,"[1628971, 201143]",1610612751.0,BKN,driving,,,Brown,B. Brown,,,,,,,,,,3.19,Missed,,,,,,,,,,,,,Horford,201143.0
50,PT07M00.00S,2022-04-23T23:54:05.6Z,1,REGULAR,block,,[],201143,,,1610612751,12,8,2022-04-23T23:54:10Z,420000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M00.00S,2022-04-23T23:54:05.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,12,8,2022-04-23T23:54:13Z,430000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,
52,PT07M00.00S,2022-04-23T23:54:17.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,12,8,2022-04-23T23:54:17Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M58.00S,2022-04-23T23:54:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,6.258212877792378,46.07843137254902,1610612751,12,8,2022-04-23T23:54:29Z,450000,20.0,6.0,1,left,MISS A. Drummond alley-oop Layup,[203083],1610612751.0,BKN,alley-oop,,,Drummond,A. Drummond,,,,,,,,,,2.06,Missed,,,,,,,,,,,,,,
54,PT06M52.00S,2022-04-23T23:54:30.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,8,2022-04-23T23:54:30Z,460000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,
55,PT06M51.00S,2022-04-23T23:54:34.2Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612738,12,8,2022-04-23T23:54:47Z,470000,,,0,,B. Brown shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628971, 1628369]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,202026.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
57,PT06M51.00S,2022-04-23T23:55:04.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,12,9,2022-04-23T23:55:04Z,490000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,,,,,4.0,,,,,
58,PT06M51.00S,2022-04-23T23:55:24.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,12,10,2022-04-23T23:55:24Z,500000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,,,,,5.0,,,,,
