actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
35,PT09M10.00S,2022-05-15T19:45:36.9Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612749,3,6,2022-05-15T19:46:07Z,350000,,,0,,A. Horford shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[201143, 203507]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,,,,,201640.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
37,PT09M10.00S,2022-05-15T19:46:13.0Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,3,6,2022-05-15T19:46:13Z,370000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M10.00S,2022-05-15T19:46:13.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,3,6,2022-05-15T19:46:13Z,380000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
39,PT09M10.00S,2022-05-15T19:46:36.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,3,7,2022-05-15T19:46:36Z,390000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
40,PT08M55.00S,2022-05-15T19:46:53.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,12.697109067017081,96.07843137254902,1610612738,3,7,2022-05-15T19:46:58Z,400000,-230.0,67.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M53.00S,2022-05-15T19:46:55.8Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,3,7,2022-05-15T19:46:58Z,410000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,40.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
42,PT08M44.00S,2022-05-15T19:47:08.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,7,2022-05-15T19:47:08Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M41.00S,2022-05-15T19:47:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,10.200394218134035,44.36274509803921,1610612738,3,7,2022-05-15T19:47:36Z,430000,28.0,43.0,1,left,MISS A. Horford driving Layup - blocked,"[201143, 201572]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,5.18,Missed,,,,,,,,,,,,,,,Lopez,201572.0,,,
44,PT08M41.00S,2022-05-15T19:47:27.2Z,1,REGULAR,block,,[],201572,,,1610612738,3,7,2022-05-15T19:47:29Z,440000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M40.00S,2022-05-15T19:47:28.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,7,2022-05-15T19:47:36Z,450000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,
