actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
38,PT08M40.00S,2022-04-25T23:08:39.4Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,2,8,2022-04-25T23:08:40Z,380000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M36.00S,2022-04-25T23:08:42.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,28.86005256241787,72.05882352941177,1610612751,5,8,2022-04-25T23:08:53Z,390000,-110.0,219.0,1,left,S. Curry 24' 3PT  (3 PTS) (B. Brown 1 AST),"[203552, 1628971]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,24.5,Made,,,,,,,,,,3.0,B. Brown,1628971.0,1.0,,,,,,
41,PT08M24.00S,2022-04-25T23:09:01.7Z,1,REGULAR,foul,personal,[],203552,,,1610612738,5,8,2022-04-25T23:09:32Z,410000,,,0,,S. Curry personal FOUL (2 PF),"[203552, 1628369]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,101283.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,
43,PT08M24.00S,2022-04-25T23:09:12.0Z,1,REGULAR,substitution,out,[],1628971,,,1610612738,5,8,2022-04-25T23:09:31Z,430000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M24.00S,2022-04-25T23:09:12.0Z,1,REGULAR,substitution,out,[],203083,,,1610612738,5,8,2022-04-25T23:09:31Z,440000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M24.00S,2022-04-25T23:09:12.0Z,1,REGULAR,substitution,in,[],201988,,,1610612738,5,8,2022-04-25T23:09:31Z,450000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M24.00S,2022-04-25T23:09:12.0Z,1,REGULAR,substitution,in,[],1629651,,,1610612738,5,8,2022-04-25T23:09:31Z,460000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M12.00S,2022-04-25T23:09:46.5Z,1,REGULAR,3pt,Jump Shot,[],203935,93.77463863337714,3.431372549019608,1610612738,5,8,2022-04-25T23:09:54Z,470000,-233.0,6.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2022-04-25T23:09:47.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,8,2022-04-25T23:09:54Z,480000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,
49,PT08M11.00S,2022-04-25T23:09:53.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203552,,,1610612738,5,8,2022-04-25T23:10:08Z,490000,,,0,,S. Curry loose ball personal FOUL (3 PF) (Theis 2 FT),"[203552, 1628464]",1610612751.0,BKN,loose ball,,,Curry,S. Curry,,,,,,,,,,,1162.0,3.0,0.0,Theis,1628464.0,,,,,,,,,,
