actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
40,PT08M29.00S,2022-04-20T23:20:36.5Z,1,REGULAR,block,,[],1628971,,,1610612738,2,11,2022-04-20T23:20:38Z,400000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M28.00S,2022-04-20T23:20:37.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,11,2022-04-20T23:20:43Z,410000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,
42,PT08M28.00S,2022-04-20T23:20:39.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,11,2022-04-20T23:20:39Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M24.00S,2022-04-20T23:20:54.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628464,69.72733245729303,73.77450980392157,1610612738,2,11,2022-04-20T23:20:58Z,430000,119.0,232.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2022-04-20T23:20:56.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,11,2022-04-20T23:20:58Z,440000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,
45,PT08M09.00S,2022-04-20T23:21:09.3Z,1,REGULAR,turnover,lost ball,[],203552,,,1610612751,2,11,2022-04-20T23:21:12Z,450000,,,0,,S. Curry lost ball TURNOVER (2 TO),"[203552, 1627759]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,2.0,,,,,,,,,,,Brown,1627759.0,
46,PT08M09.00S,2022-04-20T23:21:09.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,2,11,2022-04-20T23:21:11Z,460000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M06.00S,2022-04-20T23:21:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201143,92.72339027595268,52.450980392156865,1610612738,4,11,2022-04-20T23:21:18Z,470000,12.0,16.0,1,right,A. Horford running Layup (2 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,2.01,Made,2.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
49,PT08M06.00S,2022-04-20T23:21:16.5Z,1,REGULAR,foul,personal,['1freethrow'],1628971,,,1610612738,4,11,2022-04-20T23:21:24Z,490000,,,0,,B. Brown shooting personal FOUL (1 PF) (Horford 1 FT),"[1628971, 201143]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Horford,201143.0,,,,,
51,PT08M06.00S,2022-04-20T23:21:49.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201143,,,1610612738,4,11,2022-04-20T23:21:52Z,510000,,,0,,MISS A. Horford Free Throw 1 of 1,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Missed,,,,,,,,,,,,,,,,,,,
