actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
93,PT03M21.00S,2022-06-14T01:27:26.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.58278580814718,22.30392156862745,1610612738,20,8,2022-06-14T01:27:30Z,900000,-138.0,139.0,1,right,MISS J. Brown 19' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,19.65,Missed,,,,,,,,,,,,,,,,,,
94,PT03M19.00S,2022-06-14T01:27:28.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,20,8,2022-06-14T01:27:49Z,910000,,,0,,G. Payton II REBOUND (Off:0 Def:2),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,93.0,2.0,2.0,0.0,,,,,,,,
95,PT03M14.00S,2022-06-14T01:27:38.0Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,20,8,2022-06-14T01:27:41Z,920000,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,1830.0,1.0,,,,,,,,,,,,
96,PT02M58.00S,2022-06-14T01:27:59.9Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,20,8,2022-06-14T01:28:01Z,930000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 201939]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,,,,,,,,,Curry,201939.0,,
97,PT02M58.00S,2022-06-14T01:27:59.9Z,1,REGULAR,steal,,[],201939,,,1610612744,20,8,2022-06-14T01:28:01Z,940000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
98,PT02M55.00S,2022-06-14T01:28:05.5Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612744,20,8,2022-06-14T01:31:45Z,950000,,,0,,G. Williams shooting personal FOUL (1 PF) (Payton II 2 FT),"[1629684, 1627780]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Payton II,1627780.0,,,,
100,PT02M55.00S,2022-06-14T01:28:32.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627780,,,1610612744,21,8,2022-06-14T01:28:32Z,970000,,,0,,G. Payton II Free Throw 1 of 2 (4 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
101,PT02M55.00S,2022-06-14T01:28:44.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627780,,,1610612744,22,8,2022-06-14T01:28:44Z,980000,,,0,,G. Payton II Free Throw 2 of 2 (5 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
102,PT02M39.00S,2022-06-14T01:29:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,87.20433639947439,59.80392156862745,1610612738,22,8,2022-06-14T01:29:15Z,990000,49.0,68.0,1,right,MISS D. White 8' driving Layup - blocked,"[1628401, 203490]",1610612738.0,BOS,driving,,,White,D. White,,,,,8.37,Missed,,,,,,,,,,,,,,,,,Porter Jr.,203490.0
103,PT02M39.00S,2022-06-14T01:29:04.8Z,1,REGULAR,block,,[],203490,,,1610612738,22,8,2022-06-14T01:29:09Z,1000000,,,0,,O. Porter Jr. BLOCK (1 BLK),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M38.00S,2022-06-14T01:29:05.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,22,8,2022-06-14T01:29:15Z,1010000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,
106,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,out,[],203110,,,1610612738,22,8,2022-06-14T01:29:37Z,1030000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,out,[],203490,,,1610612738,22,8,2022-06-14T01:29:37Z,1040000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,22,8,2022-06-14T01:29:37Z,1050000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,out,[],203935,,,1610612738,22,8,2022-06-14T01:29:37Z,1060000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,out,[],201143,,,1610612738,22,8,2022-06-14T01:29:37Z,1070000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,in,[],2738,,,1610612738,22,8,2022-06-14T01:29:37Z,1080000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,in,[],203952,,,1610612738,22,8,2022-06-14T01:29:37Z,1090000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,22,8,2022-06-14T01:29:37Z,1100000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,22,8,2022-06-14T01:29:37Z,1110000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M38.00S,2022-06-14T01:29:16.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,22,8,2022-06-14T01:29:37Z,1120000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M38.00S,2022-06-14T01:29:39.2Z,1,REGULAR,substitution,out,[],202691,,,1610612738,22,8,2022-06-14T01:29:46Z,1130000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M38.00S,2022-06-14T01:29:39.2Z,1,REGULAR,substitution,in,[],1629673,,,1610612738,22,8,2022-06-14T01:29:46Z,1140000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M37.00S,2022-06-14T01:29:55.0Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,22,8,2022-06-14T01:30:03Z,1150000,,,0,,P. Pritchard step out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,step,,,Pritchard,P. Pritchard,,,,,,,,,,,1146.0,1.0,,,,,,,,,,,,
119,PT02M23.00S,2022-06-14T01:30:18.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201939,14.799605781865965,38.23529411764706,1610612744,24,8,2022-06-14T01:30:23Z,1160000,59.0,87.0,1,left,S. Curry 10' driving floating Jump Shot (4 PTS),[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,10.47,Made,4.0,,,,,,,,,,,,,,,,,
121,PT02M06.00S,2022-06-14T01:30:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,86.81011826544021,50.98039215686274,1610612738,24,10,2022-06-14T01:30:37Z,1180000,5.0,71.0,1,right,J. Tatum 7' driving floating Jump Shot (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,7.17,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
122,PT01M59.00S,2022-06-14T01:30:42.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,37.40144546649146,47.549019607843135,1610612744,24,10,2022-06-14T01:30:45Z,1190000,12.0,299.0,1,left,MISS S. Curry 29' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,29.94,Missed,,,,,,,,,,,,,,,,,,
123,PT01M57.00S,2022-06-14T01:30:44.4Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,10,2022-06-14T01:31:29Z,1200000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,
124,PT01M43.00S,2022-06-14T01:30:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.15308804204993,21.323529411764707,1610612738,24,12,2022-06-14T01:31:01Z,1210000,-143.0,78.0,1,right,J. Tatum 16' turnaround fadeaway Jump Shot (4 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,16.31,Made,4.0,,,,,,,,,,,,,,,,,
126,PT01M20.00S,2022-06-14T01:31:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,17.559132720105126,43.13725490196079,1610612744,26,12,2022-06-14T01:31:24Z,1230000,34.0,113.0,1,left,A. Wiggins 11' turnaround fadeaway Jump Shot (6 PTS),[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,11.77,Made,6.0,,,,,,,,,,,,,,,,,
127,PT01M08.00S,2022-06-14T01:31:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.17542706964521,56.61764705882353,1610612738,26,14,2022-06-14T01:31:51Z,1240000,33.0,49.0,1,right,J. Tatum cutting Layup (6 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,5.94,Made,6.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,
129,PT00M50.90S,2022-06-14T01:32:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,7.966491458607096,46.07843137254902,1610612744,26,14,2022-06-14T01:35:55Z,1260000,20.0,22.0,1,left,MISS S. Curry driving finger roll Layup,[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,
130,PT00M47.40S,2022-06-14T01:32:11.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,26,14,2022-06-14T01:32:57Z,1270000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,129.0,2.0,2.0,0.0,,,,,,,,
131,PT00M44.20S,2022-06-14T01:32:14.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,94.82588699080158,3.1862745098039214,1610612738,26,14,2022-06-14T01:35:11Z,1280000,-234.0,-4.0,1,right,MISS P. Pritchard running 3PT,[1630202],1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
132,PT00M41.40S,2022-06-14T01:32:17.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,26,14,2022-06-14T01:32:50Z,1290000,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,131.0,2.0,0.0,2.0,,,,,,,,
133,PT00M41.40S,2022-06-14T01:32:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,26,16,2022-06-14T01:32:18Z,1300000,0.0,0.0,1,right,R. Williams III putback Layup (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
134,PT00M33.60S,2022-06-14T01:32:27.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,31.882391590013142,78.92156862745098,1610612744,26,16,2022-06-14T01:32:31Z,1310000,-145.0,247.0,1,left,MISS J. Poole 28' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,28.64,Missed,,,,,,,,,,,,,,,,,,
135,PT00M30.30S,2022-06-14T01:32:32.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,26,16,2022-06-14T01:32:32Z,1320000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,
137,PT00M12.90S,2022-06-14T01:32:57.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,69.85873850197109,15.441176470588236,1610612738,26,16,2022-06-14T01:33:00Z,1340000,-173.0,231.0,1,right,MISS P. Pritchard 28' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,28.83,Missed,,,,,,,,,,,,,,,,,,
138,PT00M10.10S,2022-06-14T01:33:00.5Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,26,16,2022-06-14T01:33:00Z,1350000,,,0,,A. Wiggins REBOUND (Off:0 Def:4),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,137.0,4.0,4.0,0.0,,,,,,,,
139,PT00M01.50S,2022-06-14T01:33:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,9.149145860709593,44.36274509803921,1610612744,26,16,2022-06-14T01:33:35Z,1360000,28.0,34.0,1,left,MISS S. Curry driving Layup,[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,4.38,Missed,,,,,,,,,,,,,,,,,,
141,PT00M00.50S,2022-06-14T01:33:12.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,26,16,2022-06-14T01:33:35Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,
143,PT00M00.50S,2022-06-14T01:33:26.0Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,26,16,2022-06-14T01:40:01Z,1400000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M00.50S,2022-06-14T01:33:26.0Z,1,REGULAR,substitution,in,[],202691,,,1610612744,26,16,2022-06-14T01:40:01Z,1410000,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M00.20S,2022-06-14T01:33:47.7Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612744,26,16,2022-06-14T01:36:03Z,1420000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1629057, 203952]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Wiggins,203952.0,,,,
147,PT00M00.20S,2022-06-14T01:34:00.3Z,1,REGULAR,foul,technical,['1freethrow'],203152,,,1610612744,26,16,2022-06-14T01:40:47Z,1432500,,,0,,TEAM foul technical,[203152],1610612738.0,BOS,,,,,,,,,,,,,,,,1830.0,,,,,,,,,,,,,
148,PT00M00.20S,2022-06-14T01:35:50.2Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,26,16,2022-06-14T01:43:31Z,1433750,,,0,,MISS S. Curry technical Free Throw 1 of 1,[201939],1610612744.0,GSW,technical,,,Curry,S. Curry,,,,,,Missed,,,,,,,,,,,,,,,,,,
149,PT00M00.20S,2022-06-14T01:35:50.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612744,26,16,2022-06-14T01:43:31Z,1434375,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,
150,PT00M00.20S,2022-06-14T01:36:15.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203952,,,1610612744,26,16,2022-06-14T01:36:51Z,1435000,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Missed,,,,,,,,,,,,,,,,,,
151,PT00M00.20S,2022-06-14T01:36:15.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612744,26,16,2022-06-14T01:36:51Z,1437500,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,
154,PT00M00.20S,2022-06-14T01:36:15.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203952,,,1610612744,27,16,2022-06-14T01:36:51Z,1438750,,,0,,A. Wiggins Free Throw 2 of 2 (7 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
152,PT00M00.20S,2022-06-14T01:36:20.8Z,1,REGULAR,substitution,out,[],201939,,,1610612738,27,16,2022-06-14T01:37:05Z,1490000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M00.20S,2022-06-14T01:36:20.8Z,1,REGULAR,substitution,in,[],202357,,,1610612738,27,16,2022-06-14T01:37:05Z,1500000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2022-06-14T01:36:41.1Z,1,REGULAR,period,end,[],0,,,1610612738,27,16,2022-06-14T01:37:05Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-06-14T01:40:11.5Z,2,REGULAR,substitution,out,['startperiod'],2738,,,1610612738,27,16,2022-06-14T01:40:21Z,1530000,,,0,,SUB out: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-06-14T01:40:11.5Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612738,27,16,2022-06-14T01:40:21Z,1540000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-06-14T01:40:11.5Z,2,REGULAR,substitution,in,['startperiod'],203110,,,1610612738,27,16,2022-06-14T01:40:21Z,1550000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-06-14T01:40:11.5Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,27,16,2022-06-14T01:40:21Z,1560000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-06-14T01:40:30.3Z,2,REGULAR,period,start,[],0,,,1610612738,27,16,2022-06-14T01:40:30Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M43.00S,2022-06-14T01:40:46.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,71.04139290407359,16.42156862745098,1610612738,27,16,2022-06-14T01:40:50Z,1580000,-168.0,220.0,1,right,MISS P. Pritchard 27' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,27.65,Missed,,,,,,,,,,,,,,,,,,
163,PT11M41.00S,2022-06-14T01:40:53.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,16,2022-06-14T01:40:53Z,1590000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,
164,PT11M41.00S,2022-06-14T01:40:54.6Z,2,REGULAR,foul,personal,[],202357,,,1610612738,27,16,2022-06-14T01:40:59Z,1600000,,,0,,N. Bjelica loose ball personal FOUL (1 PF),"[202357, 1629684]",1610612744.0,GSW,loose ball,,,Bjelica,N. Bjelica,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Williams,1629684.0,,,,
166,PT11M28.00S,2022-06-14T01:41:19.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,89.17542706964521,61.029411764705884,1610612738,27,16,2022-06-14T01:41:22Z,1620000,55.0,49.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.39,Missed,,,,,,,,,,,,,,,,,,
167,PT11M25.00S,2022-06-14T01:41:23.2Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,27,16,2022-06-14T01:41:23Z,1630000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,166.0,3.0,3.0,0.0,,,,,,,,
168,PT11M06.00S,2022-06-14T01:41:42.3Z,2,REGULAR,3pt,Jump Shot,[],203952,27.020367936925098,15.686274509803921,1610612744,27,16,2022-06-14T01:41:45Z,1640000,172.0,201.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,
169,PT11M04.00S,2022-06-14T01:41:44.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,16,2022-06-14T01:42:06Z,1650000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,
170,PT10M50.00S,2022-06-14T01:41:57.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.48948751642575,58.333333333333336,1610612738,27,16,2022-06-14T01:42:00Z,1660000,42.0,37.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,
171,PT10M47.00S,2022-06-14T01:42:01.0Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,27,16,2022-06-14T01:42:01Z,1670000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,
172,PT10M30.00S,2022-06-14T01:42:16.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203110,7.5722733245729295,56.372549019607845,1610612744,27,16,2022-06-14T01:42:20Z,1680000,-32.0,19.0,1,left,MISS D. Green cutting Layup - blocked,"[203110, 1629684]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,3.7,Missed,,,,,,,,,,,,,,,,,Williams,1629684.0
318,PT10M30.00S,2022-06-14T01:42:16.9Z,2,REGULAR,block,,[],1629684,,,1610612744,27,16,2022-06-14T02:13:45Z,1690000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
174,PT10M27.00S,2022-06-14T01:42:19.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,16,2022-06-14T01:42:46Z,1700000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,172.0,3.0,3.0,0.0,,,,,,,,
175,PT10M23.00S,2022-06-14T01:42:24.0Z,2,REGULAR,3pt,Jump Shot,[],1629684,69.72733245729303,79.65686274509804,1610612738,27,16,2022-06-14T01:42:27Z,1710000,148.0,232.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,27.54,Missed,,,,,,,,,,,,,,,,,,
176,PT10M20.00S,2022-06-14T01:42:27.0Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,27,16,2022-06-14T01:56:58Z,1720000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,175.0,3.0,2.0,1.0,,,,,,,,
177,PT10M18.00S,2022-06-14T01:42:31.3Z,2,REGULAR,foul,personal,['2freethrow'],203110,,,1610612738,27,16,2022-06-14T01:42:38Z,1730000,,,0,,D. Green shooting personal FOUL (2 PF) (Williams III 2 FT),"[203110, 1629057]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,1146.0,,,,,,2.0,0.0,Williams III,1629057.0,,,,
179,PT10M18.00S,2022-06-14T01:43:05.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629057,,,1610612738,27,17,2022-06-14T01:43:05Z,1750000,,,0,,R. Williams III Free Throw 1 of 2 (5 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
180,PT10M18.00S,2022-06-14T01:43:28.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629057,,,1610612738,27,18,2022-06-14T01:43:28Z,1760000,,,0,,R. Williams III Free Throw 2 of 2 (6 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
181,PT10M09.00S,2022-06-14T01:43:38.1Z,2,REGULAR,3pt,Jump Shot,[],1629673,32.14520367936925,40.44117647058824,1610612744,30,18,2022-06-14T01:43:41Z,1770000,48.0,250.0,1,left,J. Poole 25' 3PT step back (3 PTS),[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,25.42,Made,3.0,,,,,,,,,,,,,,,,,
182,PT09M59.00S,2022-06-14T01:43:49.4Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,30,18,2022-06-14T01:44:41Z,1780000,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 203110]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,2.0,,,,,,,,,Green,203110.0,,
183,PT09M59.00S,2022-06-14T01:43:49.4Z,2,REGULAR,steal,,[],203110,,,1610612744,30,18,2022-06-14T01:43:51Z,1790000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
